科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"16,902,959.68","37,669,169.58","132,063,579.48","46,624,030.57","1,160,688,537.07","1,140,487,193.06","1,194,929,162.00","1,123,230,854.61","1,088,861,628.75","1,114,701,611.85","1,047,343,391.55","1,036,472,751.07","1,026,789,813.13","1,045,306,400.10","1,152,832,810.21","1,129,561,983.59","1,167,074,885.10","1,210,396,311.38","1,183,619,240.48","718,662,455.46","851,978,564.69","789,898,169.87","997,414,968.44","679,004,908.94","874,817,066.27","1,844,781,571.80","1,386,703,701.44","1,844,454,562.48","1,383,087,149.35","1,551,224,892.48"
短期借款,"20,000,000.00",,"27,000,000.00","9,731,066.36","16,285,002.25","15,000,000.00","18,714,385.98","18,714,385.98",,,,,,,,,,,,,,,"18,397,716.23","119,147,716.23","136,347,716.23","142,347,716.23","133,728,101.00","206,446,023.28","296,646,023.28","331,046,023.28"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"1,346,900.00","5,788,823.00","6,131,756.90","5,124,836.00","4,003,375.10","1,989,934.80","1,131,579.80","7,574,512.70","10,521,934.40","4,844,456.70","14,048,391.79","22,328,464.58","9,868,371.84","3,763,297.05","1,239,954.68","1,145,718.68","556,515.00","556,515.00",,"5,500,000.00","100,000.00","700,000.00",
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"5,159,680.66","7,236,651.06","16,234,427.43","27,650,760.73","31,078,829.97","30,818,906.21","39,231,936.62","20,644,290.79","24,327,727.93","58,945,049.51","45,459,499.18","44,077,271.60","52,691,672.49","70,361,176.52","48,762,896.60","33,307,649.80","37,036,394.24","74,123,457.24","61,896,231.97","55,748,100.74","73,861,152.01","77,344,773.51","70,977,426.60","78,313,607.94","63,599,532.42","101,182,647.42","119,630,681.83","118,463,254.14","134,556,533.77","180,394,199.93"
应付账款,"12,744,717.16","19,766,843.44","39,617,635.06","29,785,456.91","44,146,138.49","84,785,353.43","71,453,656.27","52,639,591.55","63,409,235.32","72,143,801.96","103,282,604.76","56,920,531.38","142,658,199.09","176,354,757.22","93,724,351.43","76,852,071.49","137,708,850.14","144,158,764.65","138,587,318.64","110,733,797.07","185,956,618.28","228,880,419.52","227,379,520.72","181,398,980.22","267,182,625.63","318,633,307.01","413,783,362.04","338,894,018.03","480,480,089.28","523,471,722.43"
预付款项,"6,539,493.24","3,018,719.77","9,728,432.50","22,594,679.60","24,588,682.18","28,491,956.90","7,764,591.46","12,839,547.72","40,830,140.31","35,654,585.10","101,128,229.24","118,320,815.62","123,562,483.50","187,748,879.47","49,704,004.04","67,248,637.91","33,194,045.59","34,982,040.40","21,649,990.35","28,511,615.97","41,914,024.38","56,018,968.40","24,278,261.03","34,104,372.06","47,767,208.07","88,479,299.25","69,571,975.21","81,009,358.22","75,991,229.42","88,548,191.93"
预收款项,"4,926,489.62","14,521,571.51","28,644,087.68","16,756,741.48","20,923,026.93","27,779,770.02","24,664,360.97","22,582,219.40","17,407,164.28","33,584,896.89","32,741,365.36","26,232,466.33","37,705,892.10","59,237,597.40","53,782,468.62","50,285,039.76","44,209,798.80","89,085,960.25","73,564,111.07","82,409,157.91","100,470,199.41","121,233,514.12","119,321,095.04","104,509,157.85","247,160,377.65","364,911,837.08","410,369,500.73","374,821,476.68","451,443,180.09","470,189,117.16"
