科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"1,704,077,000.00","2,344,542,000.00","1,992,519,000.00","4,057,123,000.00","4,836,131,000.00","3,562,899,000.00","4,048,446,000.00","4,772,662,000.00","5,102,165,000.00","4,081,451,000.00","3,683,966,000.00","3,854,764,000.00","4,892,987,000.00","6,484,754,000.00","5,378,828,000.00","4,979,144,000.00","8,797,623,000.00","6,070,079,000.00","4,453,164,000.00","5,055,217,000.00","3,876,512,000.00","4,904,829,000.00","6,596,426,000.00","3,910,076,000.00","5,468,747,000.00","7,588,506,000.00","7,693,666,000.00","9,097,580,000.00","8,701,073,000.00","8,779,718,000.00"
短期借款,"4,134,310,000.00","283,801,000.00","9,796,422,000.00","10,357,017,000.00","8,972,095,000.00","9,771,013,000.00","10,011,122,000.00","8,645,149,000.00","6,817,535,000.00","8,510,205,000.00","8,417,755,000.00","9,436,801,000.00","10,792,013,000.00","12,583,710,000.00","12,401,503,000.00","11,368,736,000.00","13,011,769,000.00","13,367,667,000.00","12,676,440,000.00","10,996,561,000.00","15,008,152,000.00","20,511,366,000.00","19,943,800,000.00","21,344,020,000.00","25,276,808,000.00","19,170,364,000.00","25,009,611,000.00","27,976,568,000.00","34,032,436,000.00","35,295,735,000.00"
交易性金融资产,,"1,000,000.00",,,,,,,,,,,,,,,,,,,,,"18,207,000.00",,"5,045,000.00","2,220,000.00",,,,
交易性金融负债,,"94,000.00",,,,,,,,,,,,,,,,,,,,,,"1,534,000.00",,,,"460,000.00","1,472,000.00","2,262,000.00"
应收票据,"2,894,929,000.00","5,716,197,000.00","2,756,210,000.00","2,787,078,000.00","1,578,344,000.00","2,478,898,000.00","4,319,314,000.00","3,906,072,000.00","3,111,917,000.00","3,522,282,000.00","3,731,462,000.00","4,316,838,000.00","3,879,376,000.00","3,774,796,000.00","5,587,754,000.00","4,594,606,000.00","4,234,018,000.00","6,498,936,000.00","9,352,355,000.00","5,891,287,000.00","3,836,197,000.00","6,240,152,000.00","6,798,810,000.00","3,954,054,000.00","5,809,411,000.00","6,581,799,000.00","6,362,378,000.00","4,399,212,000.00","4,183,255,000.00","5,583,781,000.00"
应付票据,"2,681,587,000.00","3,577,087,000.00","3,972,838,000.00","5,844,339,000.00","9,303,024,000.00","8,307,517,000.00","8,403,533,000.00","11,264,988,000.00","12,542,281,000.00","11,383,748,000.00","10,238,088,000.00","11,760,620,000.00","13,397,674,000.00","13,419,876,000.00","13,034,071,000.00","12,339,584,000.00","12,102,316,000.00","13,171,542,000.00","14,613,079,000.00","15,356,742,000.00","14,556,679,000.00","12,804,908,000.00","12,897,076,000.00","14,233,655,000.00","13,866,924,000.00","14,049,464,000.00","15,742,125,000.00","15,053,586,000.00","13,485,020,000.00","14,836,173,000.00"
应收账款,"2,662,844,000.00","4,066,723,000.00","5,396,590,000.00","4,667,045,000.00","5,044,790,000.00","5,134,471,000.00","5,487,732,000.00","4,619,459,000.00","5,141,516,000.00","5,910,957,000.00","6,260,279,000.00","5,749,780,000.00","6,769,571,000.00","7,431,561,000.00","7,687,422,000.00","8,885,682,000.00","12,060,293,000.00","12,781,710,000.00","13,751,929,000.00","13,808,531,000.00","14,847,226,000.00","16,121,629,000.00","21,519,093,000.00","22,671,297,000.00","27,669,582,000.00","33,985,044,000.00","41,768,002,000.00","41,272,389,000.00","46,530,489,000.00","51,677,203,000.00"
应付账款,"4,166,435,000.00","7,944,163,000.00","7,060,610,000.00","7,745,786,000.00","7,497,640,000.00","7,514,680,000.00","8,832,401,000.00","7,943,174,000.00","7,078,315,000.00","6,418,190,000.00","8,714,020,000.00","8,509,955,000.00","8,957,074,000.00","8,199,542,000.00","9,258,665,000.00","7,556,688,000.00","9,353,063,000.00","9,192,469,000.00","11,323,422,000.00","10,638,164,000.00","11,565,056,000.00","13,114,539,000.00","18,581,611,000.00","13,483,268,000.00","15,258,184,000.00","18,147,881,000.00","19,501,485,000.00","14,149,423,000.00","16,087,628,000.00","21,656,214,000.00"
预付款项,"227,770,000.00","211,206,000.00","610,286,000.00","665,234,000.00","781,355,000.00","711,667,000.00","598,728,000.00","562,613,000.00","546,461,000.00","513,612,000.00","527,974,000.00","523,388,000.00","410,041,000.00","418,190,000.00","326,427,000.00","455,794,000.00","398,708,000.00","289,503,000.00","338,611,000.00","192,084,000.00","185,886,000.00","204,940,000.00","226,962,000.00","341,440,000.00","265,834,000.00","343,889,000.00","205,939,000.00","307,434,000.00","264,386,000.00","380,615,000.00"
预收款项,"1,271,423,000.00","3,340,438,000.00","2,864,656,000.00","2,379,083,000.00","1,711,621,000.00","2,080,565,000.00","1,870,520,000.00","1,679,603,000.00","1,420,223,000.00","2,273,678,000.00","2,739,442,000.00","986,225,000.00","1,523,719,000.00","1,565,100,000.00","1,272,407,000.00","1,859,865,000.00","1,580,379,000.00","2,542,399,000.00","3,646,738,000.00","3,225,295,000.00","2,117,358,000.00","2,276,116,000.00","2,438,009,000.00","1,986,353,000.00","1,629,643,000.00","1,588,813,000.00","1,850,792,000.00","1,382,294,000.00","1,866,446,000.00","2,343,700,000.00"
