科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"84,035,428.44","86,582,156.95","149,348,362.22","147,395,887.52","154,738,567.89","489,178,850.62","513,711,110.43","454,231,984.58","429,927,132.50","371,217,615.04","433,166,369.98","408,594,244.32","448,791,861.20","383,007,969.82","408,369,467.33","280,662,354.88","180,977,978.66","405,240,400.40","389,561,346.40","261,668,606.82","232,878,248.45","214,011,715.80","616,276,589.21","233,439,901.11","227,222,053.57","360,704,220.40"
短期借款,"75,000,000.00","55,000,000.00","96,000,000.00","96,000,000.00","106,000,000.00","100,000,000.00","85,000,000.00","85,000,000.00","65,000,000.00","63,000,000.00","98,000,000.00","162,000,000.00","271,000,000.00","366,600,000.00","182,010,000.00","95,000,000.00","123,000,000.00","353,050,000.00","420,000,000.00","491,000,000.00","560,000,000.00","610,000,000.00","641,000,000.00","630,150,000.00","739,150,000.00","766,150,000.00"
交易性金融资产,,,,,"117,100.00",,"897,600.00",,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,"226,100.00",,,,,,,,,,,,,,,,,,,,
应收票据,,,,,"200,000.00","545,000.00","1,018,000.00","150,000.00","100,000.00","1,000,000.00","5,914,180.00","6,450,100.00","1,680,000.00","3,252,600.00","15,579,109.11","7,956,000.00","2,583,500.00","7,092,869.00","16,901,471.70","8,378,566.00","10,339,012.43","9,560,527.31","6,512,387.15","12,158,759.11","3,335,285.69","5,577,087.60"
应付票据,,,"2,426,770.13",,,"8,730,000.00","43,361,000.00","2,200,000.00","4,185,000.00","21,083,935.31","17,106,221.43","4,522,830.12",,"2,568,400.50","15,380,880.29","10,002,273.10","13,487,149.85","12,987,221.45","32,281,838.30","4,934,123.40","1,300,000.00","873,200.00","5,539,600.00",,,
应收账款,"34,232,183.73","50,438,338.37","66,328,361.83","76,852,333.90","89,813,046.99","108,895,020.32","127,484,338.76","119,939,979.17","135,865,002.56","199,128,606.79","184,348,835.07","217,582,131.01","234,668,624.71","436,476,396.81","376,901,828.67","377,341,707.34","446,752,674.15","794,841,960.85","835,620,819.12","915,154,664.71","989,277,764.07","1,022,831,065.43","812,038,914.90","996,434,056.06","1,112,917,320.19","1,223,084,969.29"
应付账款,"14,365,004.55","15,144,771.83","6,495,183.80","10,942,288.18","10,183,102.02","5,861,522.87","18,955,294.96","18,498,792.57","15,349,546.89","37,387,114.01","59,090,956.26","48,440,142.92","38,294,157.40","38,581,059.47","62,033,342.40","55,566,184.40","80,514,509.10","63,071,560.49","224,419,126.63","178,523,311.95","172,017,548.53","157,545,966.26","121,216,461.11","58,643,160.50","41,189,574.75","26,801,073.46"
预付款项,"3,184,475.95","394,690.54","506,103.32","564,139.44","402,360.82","11,422,915.93","763,580.40","20,756,524.49","10,545,767.11","20,617,685.91","14,369,068.58","18,260,976.81","12,855,011.04","14,004,109.65","19,752,216.50","24,555,044.23","15,798,666.51","17,675,511.63","34,689,513.82","35,210,545.66","10,135,336.72","13,826,141.17","13,127,285.13","20,000,307.36","18,634,551.55","20,371,019.23"
预收款项,"1,668,100.00","455,000.00","867,417.50","28,121.42","175,813.37","5,436,606.80","802,767.13","182,560.74","2,075,646.11","6,619,728.30","12,804,800.83","14,602,695.11","12,172,820.28","8,516,390.72","11,566,808.19","13,051,454.27","8,190,840.13","12,173,270.18","3,059,454.60","8,147,092.86","11,338,668.73","9,383,704.20","7,963,970.04","6,300,550.11","7,149,507.34","6,405,440.34"
