科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"117,440,206.49","162,333,201.66","244,522,604.01","291,494,756.20","265,854,013.69","282,528,487.47","430,813,702.53","323,362,118.95","414,441,501.86","637,979,610.42","623,207,170.51","634,586,866.99","960,400,494.97","544,723,602.32","762,166,620.21","886,304,994.76","932,278,326.87","721,838,642.04","935,324,289.15","972,211,426.55","1,367,368,101.02","1,113,127,044.96","1,023,789,750.18","953,776,410.95","924,511,578.69","1,038,931,545.86"
短期借款,,"10,000,000.00","20,000,000.00","20,000,000.00",,"9,000,000.00",,,"6,119,000.00","160,940,516.78","221,545,895.00","261,557,760.00","620,000,000.00","794,351,546.49","945,801,151.22","841,057,829.90","802,554,184.00","762,395,220.00","788,368,867.33","752,821,980.71","637,737,210.00","781,272,760.00","825,040,068.20","913,245,594.81","863,470,066.55","1,151,552,258.08"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"50,075,351.25","53,559,354.07","46,568,556.29","131,211,040.62","98,546,593.83","126,417,009.34","133,713,708.38","221,767,145.25","164,709,596.59","289,038,886.06","498,516,474.89","622,395,238.05","451,180,853.05","360,887,967.07","444,360,564.43","577,317,448.27","519,347,994.82","457,642,134.29","507,500,452.13","611,169,937.14","574,439,214.55","473,865,832.02","668,215,924.63","697,491,030.03","601,478,957.31","539,892,613.10"
应付账款,"50,718,350.10","62,699,153.81","109,516,303.71","181,268,089.99","183,567,455.92","153,221,414.52","244,464,284.76","317,826,962.96","201,750,543.02","297,494,241.09","512,601,380.84","732,148,536.40","474,619,914.82","361,363,408.94","528,545,997.80","650,322,560.28","611,996,747.25","592,931,016.70","784,731,310.72","897,009,234.45","706,808,241.81","606,528,150.93","847,951,507.65",,"680,916,831.91",
预付款项,"61,758,264.30","104,293,183.81","171,154,423.04","230,059,619.04","220,870,703.46","264,284,345.31","303,814,212.25","350,281,361.89","219,464,300.02","457,296,428.60","683,470,267.18","609,218,503.75","479,032,431.96","728,898,011.59","888,571,054.79","731,581,579.74","607,019,028.44","858,112,977.01","1,075,366,978.37","976,086,815.87","599,956,017.24","1,083,991,941.81","1,411,810,680.63","1,362,571,005.89","913,401,301.63","980,864,588.21"
预收款项,"74,337,611.54","116,632,211.52","153,898,681.59","253,851,164.08","155,095,908.61","98,084,944.59","236,038,736.69","180,796,869.30","219,175,503.46","347,431,879.05","465,210,957.93","332,154,844.43","325,129,304.43","300,438,438.27","500,500,751.30","429,476,892.55","299,826,443.32","445,614,104.90","564,996,249.64","593,495,045.83","390,129,047.51","485,209,595.55","696,791,771.23","704,449,004.49","413,594,908.59","624,694,365.60"
其他应收款,"26,116,771.26","29,503,768.47","46,619,161.02","68,967,086.38","69,443,686.85","84,287,340.03","106,900,223.15","183,275,834.49","132,772,180.53","298,540,500.90","275,775,190.75","403,587,730.68","244,422,594.52","414,680,300.44","460,539,737.58","559,709,232.32","346,226,422.52","527,730,821.54","426,511,522.08","429,591,939.63","357,485,390.20","479,654,993.10","383,746,610.99","453,006,688.00","333,946,355.46","537,264,913.54"
