科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"220,070,213.05","313,752,892.61","75,029,162.66","518,301,085.79","107,795,111.20","291,104,310.12","443,805,063.57","657,834,426.12","97,085,876.57","292,385,262.73","430,702,829.21","641,253,895.47","146,368,350.24","370,489,807.82","642,003,520.44","817,034,638.06","180,394,439.74","618,350,833.65","1,074,506,465.95","1,584,926,962.90","378,181,130.42","1,076,644,203.77","1,704,878,983.81","2,376,319,861.65","568,837,996.88","1,358,264,324.54","2,209,199,302.30","3,080,019,297.38","686,577,681.91","1,538,489,425.40","2,281,254,352.40","3,416,592,788.72","619,935,787.46","1,385,206,878.46","2,109,619,465.93","3,208,837,064.55","1,166,961,514.42","2,551,729,067.19"
取得子公司及其他营业单位支付的现金净额,,"5,820,000.00",,,,,,,,"1,981,351.31","13,260,512.47","13,260,512.47",,,,,,"416,477,935.69","416,477,935.69","416,477,935.69","533,291,214.17","1,262,748,151.38","1,262,748,151.38","1,614,055,296.38","1,014,101,861.52","1,098,352,424.26","1,128,352,424.26","1,118,352,424.26","568,483,697.23","801,722,302.84","1,054,439,802.84","1,154,496,145.71","775,225,500.00","996,126,881.05","997,486,881.05","1,000,486,881.05",,
收到的税费返还,,"1,313,564.34",,,,,,"74,988.38",,,,,,,,,,,,,,,,,,"223,516.48",,,"269,944.41","324,776.57",,"491,083.64",,"16,830.02",,"111,734.53",,"11,794.94"
支付其他与投资活动有关的现金,"20,000,000.00",,"133,823.00","35,000,000.00",,,,,,,,,,,,"38,000,000.00",,,,,,,,,"200,840,000.00","295,840,000.00","295,840,000.00","95,840,000.00",,"24,000,000.00",,,"32,725,405.59","781,245.59","30,781,255.59","282,131,500.00","1,295,249.21","1,408,698.58"
收到其他与经营活动有关的现金,"9,790,826.48","4,887,572.06","9,429,520.15","15,232,179.46","5,260,281.33","42,553,964.64","44,992,353.13","44,522,805.12","1,284,581.78","63,304,123.40","74,540,306.62","77,565,752.73","17,474,205.22","29,316,820.91","43,213,036.85","94,108,705.84","41,081,541.28","87,987,916.67","144,917,719.84","198,274,059.37","43,538,201.46","158,997,662.54","279,636,955.56","348,254,659.07","248,251,840.65","156,436,112.43","671,041,568.76","513,577,528.67","133,407,154.54","475,232,559.61","551,590,521.45","879,256,901.25","56,171,058.94","55,969,091.19","149,687,736.92","171,106,688.69","108,443,342.37","221,709,950.10"
投资活动现金流出小计,"41,932,219.26","84,165,646.18","48,808,226.13","166,470,288.87","12,566,354.17","27,761,777.07","174,337,645.39","240,878,866.91","14,814,028.67","63,804,504.29","122,878,512.67","180,164,265.25","41,250,066.07","519,695,535.26","342,938,000.51","1,360,865,858.07","389,715,693.18","922,807,715.49","1,032,626,669.62","1,227,824,688.58","938,781,783.28","2,312,169,293.64","2,847,960,706.13","3,686,669,117.64","2,426,230,457.43","3,253,016,301.86","5,118,514,931.80","7,051,680,529.26","2,653,281,346.50","4,142,554,572.22","4,988,184,071.75","5,351,749,657.27","1,156,163,314.34","2,209,557,995.41","3,521,551,529.08","4,532,713,839.44","201,146,372.91","661,455,651.01"
经营活动现金流入小计,"229,861,039.53","319,954,029.01","84,458,682.81","533,533,265.25","113,055,392.53","333,658,274.76","488,797,416.70","702,432,219.62","98,370,458.35","355,689,386.13","505,243,135.83","718,819,648.20","163,842,555.46","399,806,628.73","685,216,557.29","911,143,343.90","221,475,981.02","706,338,750.32","1,219,424,185.79","1,783,201,022.27","421,719,331.88","1,235,641,866.31","1,984,515,939.37","2,724,574,520.72","817,089,837.53","1,514,923,953.45","2,880,240,871.06","3,593,596,826.05","820,254,780.86","2,014,046,761.58","2,832,844,873.85","4,296,340,773.61","676,106,846.40","1,441,192,799.67","2,259,307,202.85","3,380,055,487.77","1,275,404,856.79","2,773,450,812.23"
投资活动产生的现金流量净额,"-27,665,203.90","-17,965,754.55","-48,808,226.13","-124,520,288.87","-12,566,354.17","-27,761,777.07","-174,337,645.39","-240,878,866.91","-14,814,028.67","-63,802,879.29","-122,803,053.67","-180,088,806.25","-41,222,471.07","-308,783,181.13","-340,182,336.02","-433,725,497.14","-137,846,894.19","-555,408,471.30","-624,035,671.32","-707,999,785.59","-653,083,642.75","-1,267,727,399.16","-1,257,933,092.62","-1,491,257,115.11","-1,254,376,756.27","-1,536,734,418.90","-1,619,407,817.26","-1,647,225,832.91","-611,669,305.99","-1,117,859,038.42","-1,372,324,814.20","-1,519,293,591.81","-807,016,141.78","-1,102,179,368.20","-1,232,863,658.04","-1,449,299,235.91","-89,653,569.73","-168,987,764.43"
购买商品、接受劳务支付的现金,"118,614,042.86","126,460,553.76","34,514,954.28","238,275,995.40","53,946,084.17","126,980,478.54","236,479,118.97","331,372,610.47","58,594,045.12","161,949,590.75","258,934,268.01","333,737,119.10","64,740,956.97","156,967,049.89","218,831,321.96","301,673,783.48","71,937,834.18","150,686,428.31","213,127,511.77","342,332,453.08","149,071,556.71","498,943,444.52","641,057,632.15","888,474,332.46","194,532,766.88","476,033,101.99","824,064,193.44","978,385,008.54","344,711,001.17","653,418,630.55","950,715,009.05","1,335,603,497.69","253,639,205.66","514,862,275.36","708,240,849.04","945,846,188.53","254,628,322.80","448,190,278.31"
吸收投资收到的现金,,,,,,"1,688,250,000.00","1,688,250,000.00","1,688,250,000.00",,,,,,,,,,,,,,,,"336,815,152.00",,"79,189,365.68",,"13,762,298.00",,,"15,000,000.00","15,000,000.00","991,600,000.00","2,900,000.00","7,985,500.00","5,000,000.00","2,500,000.00","2,500,000.00"
支付给职工以及为职工支付的现金,"10,529,454.94","17,672,262.41","3,714,901.31","24,928,207.17","5,570,682.66","16,568,732.09","26,040,834.08","36,758,578.74","9,777,899.49","21,149,191.60","36,525,026.59","48,719,083.89","15,061,074.29","32,228,807.91","46,898,818.07","58,490,297.87","18,046,794.93","34,676,412.98","52,898,329.70","81,642,083.95","23,482,092.10","57,570,079.34","89,494,532.86","116,422,816.83","71,834,322.32","118,168,875.60","188,515,024.90","265,922,699.65","91,175,425.81","165,757,287.07","247,720,493.13","330,817,733.91","118,303,014.01","201,406,425.74","295,268,551.10","387,854,557.80","134,927,337.42","208,738,681.89"
取得借款收到的现金,"35,940,000.00","52,000,000.00",,"92,000,000.00",,,,,,,,"30,000,000.00",,,,,,,,,"200,000,000.00","630,000,000.00","630,000,000.00","930,000,000.00","1,100,000,000.00","1,250,000,000.00","2,000,000,000.00","3,049,000,000.00","950,000,000.00","1,361,008,334.50","1,961,008,334.50","2,522,765,985.00","672,400,000.00","2,164,000,000.00","2,878,064,168.00","3,664,026,344.00","989,590,000.00","1,209,590,000.00"
支付的各项税费,"23,631,991.09","37,023,785.62","10,034,451.87","53,684,572.59","26,909,653.31","38,779,392.75","61,499,413.07","81,665,876.97","26,162,854.33","40,788,983.04","66,894,235.81","77,892,416.30","16,664,462.89","50,866,856.14","108,073,924.21","118,676,987.88","32,656,133.89","93,697,009.01","176,988,587.81","219,329,332.11","72,536,889.99","152,525,860.97","254,904,997.18","346,745,677.87","114,324,591.88","251,164,629.14","377,586,272.36","565,131,915.07","123,956,853.18","247,821,768.68","373,422,359.11","495,359,014.39","117,008,061.36","238,165,607.47","371,368,635.36","508,120,457.67","197,368,439.92","388,218,580.28"
收到其他与筹资活动有关的现金,"9,584,676.64",,,,,,,"2,784,921.87","1,250,786.55","2,463,260.99","3,650,708.08","4,679,686.85","25,203,955.70","32,908,144.94","38,987,421.29","46,137,412.40","3,493,296.88","12,242,846.19","13,244,231.70","15,556,219.90","1,093,538.42","1,114,620.14","1,137,424.15","1,114,629.49",,"9,940,106.00","49,000,000.00","9,940,106.00","114,596,365.81","118,106,136.61","133,804,846.61","170,813,351.61","20,000,000.00","20,000,000.00","215,100,000.00","223,730,775.00","1,360,337.00","3,637,172.98"
支付其他与经营活动有关的现金,"24,825,043.12","80,988,015.28","11,683,267.10","45,829,443.54","34,820,897.40","107,851,086.12","128,250,442.59","140,042,647.65","25,261,536.19","88,215,545.00","102,394,406.38","129,864,084.55","42,729,795.53","52,123,101.70","136,001,958.03","226,413,161.51","63,661,473.88","280,126,047.75","501,398,696.80","686,876,676.04","151,208,168.13","314,754,274.68","647,137,828.35","698,894,843.77","369,905,621.43","309,054,495.97","890,051,130.82","1,082,109,998.71","272,838,846.70","485,613,554.89","688,113,769.32","1,094,073,372.96","148,268,748.08","206,499,724.22","419,036,814.28","886,438,958.24","572,223,708.35","1,324,241,490.63"
筹资活动现金流入小计,"45,524,676.64","52,000,000.00",,"92,000,000.00",,"1,688,250,000.00","1,688,250,000.00","1,691,034,921.87","1,250,786.55","2,463,260.99","3,650,708.08","34,679,686.85","25,203,955.70","32,908,144.94","38,987,421.29","46,137,412.40","3,493,296.88","12,242,846.19","13,244,231.70","15,556,219.90","201,093,538.42","631,114,620.14","631,137,424.15","1,267,929,781.49","1,100,000,000.00","1,339,129,471.68","2,049,000,000.00","3,072,702,404.00","1,064,596,365.81","1,479,114,471.11","2,109,813,181.11","2,708,579,336.61","1,684,000,000.00","2,186,900,000.00","3,101,149,668.00","3,892,757,119.00","993,450,337.00","1,215,727,172.98"
经营活动现金流出小计,"177,600,532.01","262,144,617.07","59,947,574.56","362,718,218.70","121,247,317.54","290,179,689.50","452,269,808.71","589,839,713.83","119,796,335.13","312,103,310.39","464,747,936.79","590,212,703.84","139,196,289.68","292,185,815.64","509,806,022.27","705,254,230.74","186,302,236.88","559,185,898.05","944,413,126.08","1,330,180,545.18","396,298,706.93","1,023,793,659.51","1,632,594,990.54","2,050,537,670.93","750,597,302.51","1,154,421,102.70","2,280,216,621.52","2,891,549,621.97","832,682,126.86","1,552,611,241.19","2,259,971,630.61","3,255,853,618.95","637,219,029.11","1,160,934,032.79","1,793,914,849.78","2,728,260,162.24","1,159,147,808.49","2,369,389,031.11"
偿还债务支付的现金,"26,338,759.51","35,000,000.00",,"52,000,000.00",,,"50,000,000.00","92,000,000.00",,,,,,"2,500,000.00","2,500,000.00","5,000,000.00",,"5,000,000.00","25,000,000.00","25,000,000.00",,,"150,000,000.00","150,000,000.00","480,000,000.00","480,000,000.00","980,000,000.00","1,830,000,000.00","749,000,000.00","999,000,000.00","1,299,000,000.00","1,799,000,000.00","900,300,000.00","1,100,300,000.00","1,765,591,994.50","2,812,734,251.00","921,590,000.00","1,391,590,000.00"
经营活动产生的现金流量净额,"52,260,507.52","57,809,411.94","24,511,108.25","170,815,046.55","-8,191,925.01","43,478,585.26","36,527,607.99","112,592,505.79","-21,425,876.78","43,586,075.74","40,495,199.04","128,606,944.36","24,646,265.78","107,620,813.09","175,410,535.02","205,889,113.16","35,173,744.14","147,152,852.27","275,011,059.71","453,020,477.09","25,420,624.95","211,848,206.80","351,920,948.83","674,036,849.79","66,492,535.02","360,502,850.75","600,024,249.54","702,047,204.08","-12,427,346.00","461,435,520.39","572,873,243.24","1,040,487,154.66","38,887,817.29","280,258,766.88","465,392,353.07","651,795,325.53","116,257,048.30","404,061,781.12"
分配股利、利润或偿还利息支付的现金,"5,883,571.86","53,344,780.36","730,440.00","40,013,693.50","1,277,055.00","2,582,489.00","3,365,183.00","3,694,226.00","49,514,166.04","70,187,966.09","70,187,966.09","70,000,000.00",,"1,120,643.05","1,468,969.26","2,115,680.56","544,728.12","164,488,406.39","167,430,050.15","168,360,050.15","12,621,269.73","19,381,083.03","55,996,281.79","59,477,815.71","23,791,747.23","115,765,655.45","139,444,916.56","165,308,913.70","34,328,986.24","123,952,955.14","189,463,927.60","264,432,576.95","78,060,350.74","192,427,904.99","246,798,938.99","276,929,793.18","91,198,718.07","123,338,143.83"
收回投资收到的现金,"8,457,389.38","40,000,000.00",,,,,,,,,,,,"210,000,000.00",,"922,000,000.00","208,000,000.00","323,000,000.00","362,993,446.43","473,000,000.00","285,061,760.00","1,041,000,000.00","1,584,403,800.00","2,185,503,800.00","1,170,010,000.00","1,713,010,000.00","3,494,094,767.12","5,395,120,000.00","2,039,294,824.26","2,946,408,013.54","3,507,818,013.54","3,723,868,013.54","252,279,833.75","1,031,575,493.65","2,280,825,493.65","2,994,575,493.65","110,000,000.00","470,000,000.00"
支付其他与筹资活动有关的现金,"29,882,624.32","2,610,530.73",,"602,500.00",,"4,910,087.63","15,920,142.37","16,698,428.00",,,,,630.64,"1,496.68","3,048.02","3,872.48","1,163.38","2,898.97","4,137.67",,710.87,763.17,716.37,"9,940,871.37","25,480.00","49,086,269.33","68,815,201.14","175,509,867.94",,"175,641,024.00","175,641,024.00","219,857,383.70","16,442,760.17","83,045,025.40","276,841,817.40","281,987,171.71","66,025,050.00","71,474,300.00"
