科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,328,997,259.90","1,335,812,390.04","1,548,416,358.41","896,496,997.11","1,447,034,431.32","1,910,234,036.27","496,018,088.50","1,211,488,536.95","1,861,714,837.79","2,449,243,146.83","769,928,522.73","1,503,710,566.80","2,432,973,328.52","3,136,973,995.64","708,024,096.38","1,617,627,831.00","2,254,540,928.87","3,268,585,422.70","621,597,930.39","1,701,227,213.16","2,706,200,633.02","3,699,738,955.57","897,062,477.38","1,684,632,325.94","2,426,247,391.39","3,400,516,664.68","922,639,737.61","2,071,535,402.21","2,885,737,458.82"
二、营业利润,"101,091,910.02","97,586,474.82","92,541,346.54","61,308,800.04","96,129,085.42","110,531,180.66","26,731,276.76","66,278,126.30","90,255,542.56","101,345,615.08","27,695,697.61","52,139,711.47","89,996,496.19","127,465,440.17","35,094,010.88","97,685,546.40","138,413,207.77","157,492,378.80","25,859,206.40","136,513,037.57","217,324,261.49","221,911,964.43","48,674,899.68","133,388,302.55","198,215,838.77","202,125,421.43","26,945,958.61","111,808,754.79","141,777,384.19"
减:营业成本,"1,094,001,121.98","1,075,400,850.16","1,247,184,745.72","709,799,279.21","1,137,609,165.41","1,487,651,511.29","395,294,084.66","976,490,962.88","1,495,974,933.09","1,957,591,261.81","616,834,937.63","1,213,895,085.73","1,973,308,008.81","2,550,754,694.78","567,535,331.80","1,309,829,180.95","1,818,565,708.37","2,657,830,911.85","522,352,115.83","1,355,651,341.72","2,197,557,050.04","3,049,015,375.21","740,589,562.84","1,343,128,628.93","1,912,782,427.62","2,719,488,696.05","755,457,807.13","1,623,127,887.89","2,252,671,450.36"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"8,182,826.61","3,128,167.02","3,263,026.08","1,240,086.15","1,549,335.54","3,766,001.20","2,931,704.42","8,221,293.26","10,052,558.02","20,206,614.69","779,686.67","2,065,573.61","6,385,711.39","13,350,047.62","1,006,885.51","6,538,156.37","7,681,694.21","16,154,761.07","3,191,367.33","11,718,149.31","18,788,591.66","27,747,215.22","7,454,849.32","6,492,311.13","-596,004.72","15,260,942.41","2,993,844.43","11,200,360.88","15,641,736.83"
营业外收入,"7,327,172.68","9,843,196.53","8,638,189.50","2,787,560.64","2,968,756.65","9,081,746.12","303,490.33","640,795.34","11,170,079.34","17,930,270.20","4,001,422.39","20,498,594.80","22,870,067.98","24,624,461.40","1,922,787.15","5,107,437.97","7,425,409.90","11,502,695.97","5,063,922.36","6,067,571.20","6,786,678.93","13,374,701.05","2,385,724.99","8,471,886.09","11,326,430.72","15,172,006.44","614,397.02","554,823.71","8,129,753.67"
销售费用,"24,251,408.21","28,119,538.81","34,787,451.75","33,311,416.33","56,590,117.23","69,323,302.20","15,437,524.49","39,592,252.26","61,830,141.73","77,342,538.37","26,174,124.17","39,704,704.57","50,938,212.79","63,732,769.41","16,815,531.71","22,787,706.97","40,967,298.52","62,391,959.83","12,454,538.65","31,143,514.11","45,067,584.69","49,635,304.20","14,945,488.08","23,654,691.55","32,262,947.07","44,790,398.12","11,692,423.28","26,867,273.78","41,893,843.03"
减:营业外支出,"1,785,321.58","312,055.05","212,900.67","217,862.93","748,771.60","1,081,923.31","970,667.45","123,925.47","455,194.73","267,935.85","519,153.10","2,361,286.76","2,380,674.83","2,557,492.69","80,699.19","84,309.67","220,140.07","325,194.66","42,307.69","125,116.49","211,924.57","453,426.05","119,870.14","1,358,330.76","1,621,088.77","2,424,332.43","1,530,615.64","1,550,100.08","9,299,550.95"
管理费用,"103,239,450.60","111,732,199.27","132,138,370.91","63,721,626.79","105,165,872.64","170,472,496.31","42,830,019.17","95,137,788.62","134,513,133.24","200,679,375.64","61,214,258.70","113,280,003.20","185,824,742.64","242,012,775.47","52,167,592.73","103,489,468.75","158,432,407.23","246,288,272.99","40,370,226.90","99,279,415.10","164,843,086.80","248,952,321.39","45,042,590.94","109,428,669.11","178,024,843.46","261,427,016.15","66,983,621.64","147,022,474.99","218,312,462.24"
其中:非流动资产处置净损失,"540,528.73","107,423.07","88,931.95","72,196.45",,"133,888.98",,"41,290.50","41,290.50","59,987.62",,,201.25,"1,698,217.78","80,685.40","84,295.88","98,173.30","105,120.98",,"75,998.56","76,217.71","93,173.96","9,707.32",,"35,543.16","103,067.23","21,846.16","13,653.81","133,418.89"
