科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"100,664,955.20","119,492,889.33","193,237,453.55","63,847,120.96","245,904,239.60","15,072,743.20","67,236,537.77","126,211,320.78","299,394,339.39","59,870,207.30","118,524,445.54","167,208,810.77","314,029,788.88","70,608,862.59","136,515,688.05","190,271,078.45","383,521,953.84","58,585,839.03","127,340,511.23","238,652,654.23","514,093,249.48","100,769,548.55","185,382,771.65","260,116,065.68","503,188,296.54","55,941,444.36","191,414,196.99","272,706,453.62","461,831,441.62","87,515,804.76","234,332,516.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"38,249,999.00","118,307,854.24",,"8,500,034.00","8,500,034.00","8,500,034.00","40,000,000.00",,,,,
收到的税费返还,,"659,867.95","281,866.62","1,394,603.36","1,394,603.36","2,182,827.21","2,182,827.21","2,182,827.21","2,182,827.21","1,877,781.00","1,877,781.00","1,877,781.00","1,877,781.00","4,935,860.45","4,935,860.45","4,935,860.45","4,935,860.45","2,140,059.05","2,140,059.05","2,140,059.05","2,140,059.05","2,250,201.81","3,337,273.02","3,345,989.52","5,539,908.28","3,424,118.19","3,424,118.19","3,424,118.19","7,797,624.44","6,869,578.66","11,942,281.17"
支付其他与投资活动有关的现金,,,,,,,,260.70,,,,,,,,,,,,,,,,,,,,,"2,430,000.00",,"2,580,000.00"
收到其他与经营活动有关的现金,"2,933,012.30","4,478,311.78","10,795,327.58","665,047.43","6,411,069.48","302,770.63","2,247,211.66","4,464,655.17","5,835,867.34","3,525,166.22","6,640,000.52","8,952,631.50","7,584,902.38","2,394,959.54","5,603,695.31","10,823,074.08","4,785,558.22","3,415,018.40","3,387,604.30","11,089,797.25","12,407,411.78","21,561,471.74","10,818,391.36","15,630,922.56","12,668,889.07","5,230,820.32","5,173,188.13","10,185,099.17","13,218,311.84","1,523,253.00","12,453,710.27"
投资活动现金流出小计,"10,300.00","665,666.10","31,934,540.52","9,877,715.92","5,961,693.10","2,911,379.94","4,595,712.52","10,748,841.64","28,843,971.00","3,100,493.50","6,953,079.90","12,943,107.40","26,335,772.40","2,449,559.00","7,643,268.09","7,939,919.09","36,255,244.30","556,674.00","2,792,905.37","43,313,320.96","141,006,185.31","5,340,916.52","33,609,739.95","39,757,445.29","75,520,486.11","46,869,235.94","19,735,237.06","33,698,526.65","49,683,932.52","14,566,477.03","32,361,585.55"
经营活动现金流入小计,"103,597,967.50","124,631,069.06","204,314,647.75","65,906,771.75","253,709,912.44","17,558,341.04","71,666,576.64","132,858,803.16","307,413,033.94","65,273,154.52","127,042,227.06","178,039,223.27","323,492,472.26","77,939,682.58","147,055,243.81","206,030,012.98","393,243,372.51","64,140,916.48","132,868,174.58","251,882,510.53","528,640,720.31","124,581,222.10","199,538,436.03","279,092,977.76","521,397,093.89","64,596,382.87","200,011,503.31","286,315,670.98","482,847,377.90","95,908,636.42","258,728,507.87"
投资活动产生的现金流量净额,"-10,300.00","-665,666.10","-30,934,080.24","-9,877,715.92","-5,961,693.10","-2,441,379.94","-4,125,712.52","-10,278,841.64","-28,373,971.00","-3,100,493.50","-6,953,079.90","-12,943,107.40","-25,651,564.52","-2,449,559.00","-7,643,268.09","-7,939,919.09","-36,226,309.51","-551,977.50","-2,395,446.37","-42,915,180.46","-140,593,324.31","-5,335,448.02","-33,602,609.95","-39,534,004.29","-75,291,193.11","-46,863,107.44","-19,712,276.56","-33,665,115.15","-49,642,065.02","-14,559,071.53","8,165,360.62"
购买商品、接受劳务支付的现金,"93,331,167.51","97,734,847.05","113,467,324.89","60,526,439.70","141,183,096.39","68,119,921.03","116,976,437.82","182,791,281.10","206,961,995.45","144,265,319.69","240,643,660.94","297,253,139.48","338,250,797.88","73,811,791.78","141,887,082.92","203,226,259.40","298,162,561.56","98,643,349.58","163,607,867.30","250,654,312.43","348,040,832.95","135,403,293.32","201,840,989.71","253,949,094.21","315,968,414.46","126,177,359.27","170,768,669.85","231,129,415.66","300,164,761.07","96,350,286.95","185,633,676.63"
吸收投资收到的现金,,"1,483,187.22","32,617,748.65",,,"169,237,800.00","169,237,800.00","169,237,800.00","169,237,800.00",,,,,,,,,,"384,999,954.28","384,999,954.28","384,999,954.28",,,,,,,,,"22,500.00","22,500.00"
支付给职工以及为职工支付的现金,"1,607,679.67","3,573,291.31","6,677,780.19","11,298,752.49","21,928,728.84","7,645,149.77","16,960,540.79","24,046,661.92","31,004,615.52","8,802,320.99","18,215,368.57","26,698,969.96","43,542,163.08","12,343,273.29","22,883,477.90","33,855,948.72","54,295,285.24","15,699,664.67","31,033,279.02","45,687,577.95","62,650,444.70","19,483,421.25","35,348,850.78","54,032,671.00","72,186,162.30","23,558,799.64","44,204,184.02","70,586,851.67","84,768,986.81","25,753,508.33","62,604,241.60"
取得借款收到的现金,,"190,000.00","14,700,000.00","5,000,000.00","24,000,000.00",,"10,000,000.00","10,000,000.00","20,000,000.00",,"28,000,000.00","58,000,000.00","68,000,000.00","11,000,000.00","42,800,000.00","60,800,000.00","113,833,893.68",,"87,384,088.40","101,064,717.24","101,064,717.24",,,,,"28,644,084.48","135,295,415.90","136,295,415.90","153,994,820.15","9,966,378.45","51,362,639.30"
支付的各项税费,"2,056,657.26","3,048,866.02","13,154,323.64","7,615,407.07","19,293,175.01","9,714,897.46","12,375,128.92","17,851,270.41","21,280,861.74","10,961,273.03","14,027,946.67","21,996,267.75","24,268,650.33","14,293,909.49","16,941,054.58","22,646,419.41","24,534,992.48","14,534,932.37","20,414,228.32","28,399,816.48","34,636,920.31","19,701,613.40","25,844,478.88","34,245,471.33","41,287,607.32","12,792,348.91","18,510,131.33","26,324,316.99","30,545,432.75","14,651,165.40","19,845,658.39"
收到其他与筹资活动有关的现金,,,,,,"85,671.63","1,524,149.27","1,690,631.07",,"29,070,337.19","49,514,484.59","49,514,484.59","49,514,484.59",,,,"1,300,000.00",,"1,287,219.64","1,287,219.64","1,619,149.64","61,500.00","811,280.10","811,280.10","811,280.10","77,250.00","77,250.00","77,250.00","77,250.00","538,694.35","1,635,499.65"
支付其他与经营活动有关的现金,"8,628,696.07","7,066,985.60","30,192,274.38","10,034,631.59","21,897,305.92","5,507,294.39","10,620,705.03","21,300,743.42","17,464,982.24","8,806,101.00","18,359,174.54","33,390,577.56","31,426,945.72","12,367,028.09","19,799,883.77","47,249,732.13","43,259,982.99","11,265,730.21","13,507,833.02","34,951,324.25","30,338,860.40","19,119,023.43","15,653,577.39","23,427,872.26","42,618,653.23","10,256,115.64","23,814,393.20","36,563,677.32","48,693,321.27","6,356,250.36","29,998,546.68"
筹资活动现金流入小计,,"1,673,187.22","47,317,748.65","5,000,000.00","24,000,000.00","169,323,471.63","180,761,949.27","180,928,431.07","189,237,800.00","29,070,337.19","77,514,484.59","107,514,484.59","117,514,484.59","11,000,000.00","42,800,000.00","60,800,000.00","115,133,893.68",,"473,671,262.32","487,351,891.16","487,683,821.16","61,500.00","811,280.10","811,280.10","811,280.10","28,721,334.48","135,372,665.90","136,372,665.90","154,072,070.15","10,527,572.80","53,020,638.95"
经营活动现金流出小计,"105,624,200.51","111,423,989.98","163,491,703.10","89,475,230.85","204,302,306.16","90,987,262.65","156,932,812.56","245,989,956.85","276,712,454.95","172,835,014.71","291,246,150.72","379,338,954.75","437,488,557.01","112,816,002.65","201,511,499.17","306,978,359.66","420,252,822.27","140,143,676.83","228,563,207.66","359,693,031.11","475,667,058.36","193,707,351.40","278,687,896.76","365,655,108.80","472,060,837.31","172,784,623.46","257,297,378.40","364,604,261.64","464,172,501.90","143,111,211.04","298,082,123.30"
偿还债务支付的现金,,,"190,000.00","6,700,000.00","19,700,000.00","11,000,000.00","11,000,000.00","11,000,000.00","29,000,000.00",,,,"10,000,000.00","20,000,000.00","58,000,000.00","68,000,000.00","68,000,000.00","11,000,000.00","84,400,000.00","200,104,169.87","202,148,100.45","12,841,079.40","12,841,079.40","12,841,079.40","12,841,079.40",,,"50,167,415.90","51,177,415.90",,"17,598,500.00"
经营活动产生的现金流量净额,"-2,026,233.01","13,207,079.08","40,822,944.65","-23,568,459.10","49,407,606.28","-73,428,921.61","-85,266,235.92","-113,131,153.69","30,700,578.99","-107,561,860.19","-164,203,923.66","-201,299,731.48","-113,996,084.75","-34,876,320.07","-54,456,255.36","-100,948,346.68","-27,009,449.76","-76,002,760.35","-95,695,033.08","-107,810,520.58","52,973,661.95","-69,126,129.30","-79,149,460.73","-86,562,131.04","49,336,256.58","-108,188,240.59","-57,285,875.09","-78,288,590.66","18,674,876.00","-47,202,574.62","-39,353,615.43"
分配股利、利润或偿还利息支付的现金,,"24,044.04","161,064.03","561,254.88","1,200,850.00","519,136.36","749,086.07","14,719,517.01","15,185,480.20","180,000.00","10,007,576.03","11,612,620.85","12,864,809.22","1,196,266.67","2,164,573.34","13,280,188.89","15,794,387.66","2,012,365.03","15,529,929.29","16,569,106.68","17,384,252.94","43,595.46","11,292,595.68","11,293,633.28","11,293,633.28","17,106.32","8,020,024.33","9,588,274.23","11,050,905.21","1,515,821.02","7,124,655.93"
收回投资收到的现金,,,"1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"5,281,331.19","5,290,539.30","53,934,990.94",,,,,,,,"1,578,330.00",,"312,327.47","1,362,327.47","2,468,456.94","294,300.00","848,854.02","515,580.00","204,745.92",,"141,880,000.00","142,043,972.55","143,010,720.41","16,000,000.00","40,008,128.77"
取得投资收益收到的现金,,,460.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,,"24,044.04","351,064.03","7,261,254.88","20,900,850.00","11,519,136.36","17,030,417.26","31,010,056.31","98,120,471.14","180,000.00","10,007,576.03","11,612,620.85","22,864,809.22","21,196,266.67","60,164,573.34","81,280,188.89","85,372,717.66","13,012,365.03","100,242,256.76","218,035,604.02","222,000,810.33","13,178,974.86","24,982,529.10","24,650,292.68","24,339,458.60","17,106.32","149,900,024.33","201,799,662.68","205,239,041.52","17,515,821.02","64,731,284.70"
