科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"181,897,157.05","291,137,436.41","366,865,877.34","100,220,283.85","196,971,701.14","286,075,190.94","392,109,153.73","111,693,900.95","211,401,958.32","309,783,200.79","434,071,565.61","100,801,941.76","216,036,080.82","312,089,648.26","430,698,947.64","111,636,514.83","228,845,847.75","309,179,161.23","431,514,734.29","126,094,402.27","255,680,669.04","380,310,574.08","535,626,834.29","166,098,596.94","325,716,718.87","469,418,435.45","641,620,673.80","155,653,577.06"
二、营业利润,"35,479,323.39","62,093,704.37","88,787,555.49","23,199,259.60","49,806,214.80","71,783,138.48","97,627,245.75","27,390,151.58","54,869,402.72","76,926,147.99","104,264,474.36","24,067,110.01","50,372,383.95","66,371,598.08","87,770,478.05","19,758,703.23","50,414,051.33","54,046,969.71","71,616,358.43","26,470,050.63","59,569,240.78","73,898,694.50","112,677,880.82","37,297,858.47","82,937,084.67","102,352,395.89","155,163,342.86","28,451,715.19"
减:营业成本,"121,273,224.12","186,379,431.17","234,256,146.83","64,254,792.70","125,930,736.76","183,341,919.20","251,152,950.17","72,758,112.62","138,302,124.90","203,237,934.48","286,465,064.37","67,478,938.42","144,871,319.33","212,430,423.29","298,191,990.81","78,244,474.98","156,751,235.08","212,621,239.98","297,561,414.90","82,522,895.26","165,113,733.21","248,926,692.67","353,347,839.31","107,681,437.17","209,618,935.53","304,337,292.14","410,753,797.74","101,296,213.95"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"141,860.04","843,877.97","2,208,670.89","491,830.77","1,074,689.94","1,517,597.29","2,347,224.79","418,217.71","923,413.07","1,498,584.60","2,233,910.28","427,182.69","1,054,807.32","1,555,980.25","2,370,623.32","831,331.93","1,562,108.73","2,404,995.56","3,647,555.68","974,791.28","1,734,547.26","2,781,057.53","4,208,531.07","1,956,364.00","3,538,922.46","5,378,950.35","6,391,073.65","1,801,491.12"
营业外收入,"1,206,065.21","4,971,016.47","7,942,853.73","2,031,739.14","8,757,587.99","9,462,706.69","10,716,841.39","144,935.20","3,731,612.00","4,346,379.11","6,642,938.64","1,059,469.10","3,879,186.44","4,952,940.66","5,575,362.16","1,498,800.00","3,964,612.12","4,960,364.10","7,378,715.27","1,304,638.49","14,411,217.56","15,876,595.18","11,259,623.52","1,932,015.89","3,441,236.56","8,412,232.75","899,511.81","55,567.79"
销售费用,"5,960,221.20","9,737,330.03","8,620,124.11","2,534,818.51","5,161,169.31","7,418,608.24","10,926,245.25","1,952,605.42","4,275,106.43","6,324,985.96","9,012,447.04","2,017,893.91","4,732,990.16","7,393,533.30","10,739,565.99","1,981,177.36","4,216,063.67","7,446,490.17","10,538,582.28","1,645,887.06","4,295,789.00","8,055,341.45","12,957,872.88","3,135,334.55","6,026,802.58","10,151,715.99","14,197,837.63","3,362,685.17"
减:营业外支出,"40,254.59","247,106.89","29,539.46","27,330.02","33,893.82","159,407.98","192,436.89","12,463.78","13,570.98","13,570.98","13,626.11",,,,"4,339.97",,,"84,146.69","90,618.47","40,774.22","44,448.58","44,609.58","104,975.70","111,749.62","113,834.69","114,013.28","366,554.49",
管理费用,"15,633,659.83","29,862,131.49","31,449,547.82","8,463,180.30","17,584,386.29","26,193,624.72","39,885,612.68","9,620,217.33","19,690,516.51","30,021,021.37","43,226,054.97","9,648,762.30","20,957,330.31","32,828,634.05","48,986,248.73","10,987,351.80","23,145,963.21","37,944,738.35","54,168,237.59","14,160,611.79","30,270,788.63","49,104,131.28","68,489,858.54","19,596,071.45","37,037,373.94","58,873,497.02","92,100,072.31","26,759,369.82"
其中:非流动资产处置净损失,"35,387.83",,"6,517.85",,"25,644.02","56,158.18","88,887.09",,,,,,,,,,,,,,"40,516.22","40,516.22","40,516.22",,"11,749.62","11,749.62",,
