科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"1,175,141,426.74","1,548,568,819.94","133,943,850.74","509,187,461.45","942,644,375.61","1,417,742,749.31","101,130,434.05","192,301,701.96","398,591,211.05","835,728,933.16","-133,175,146.68","902,445,376.26","1,533,302,972.43","2,447,858,039.18","262,439,522.00"
三、利润总额,"4,771,174,689.49","10,410,338,994.13","1,131,789,608.98","5,758,317,517.79","9,439,257,650.74","16,479,835,487.12","3,273,849,767.39","5,582,350,015.12","6,460,110,459.56","20,733,956,950.44","7,230,797,227.63","10,228,915,892.66","12,973,950,711.49","26,600,951,346.54","3,630,282,866.87"
资产减值损失,"1,830,909.91","6,930,826.45","639,568.26","-721,126.73","-20,076,480.12","-51,283,125.42","814,259.69","1,051,815.68","1,676,839.58","331,389,597.78","369,055.78","82,379.46",,"985,525,126.01",
减:所得税,"1,442,764,492.86","2,363,765,413.22","347,120,486.74","1,349,259,079.87","2,311,431,130.01","4,292,950,849.57","799,157,394.42","1,459,204,084.07","1,859,707,365.71","5,724,595,752.63","1,405,010,745.81","2,259,981,038.98","3,250,021,115.23","7,140,170,734.79","964,339,412.11"
加:公允价值变动净收益,,"6,980,158.34",,"-32,686,451.65","-32,686,451.65","-56,524,041.73",,"27,056,838.43","27,106,962.92","-13,983,433.30","-8,301,678.00","-31,557,024.14","-41,400,194.08","-62,561,352.55","6,760,386.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,"528,228,024.48","585,091,590.04","93,701,777.62","1,708,588,069.59","1,766,761,386.49","4,202,610,250.40","2,494,629,696.08","2,786,849,026.66","2,889,132,282.35","2,910,052,705.14","3,838,895,674.04","4,969,753,375.76","5,055,121,989.14","6,547,672,124.17","3,273,017,551.89"
四、净利润,"3,328,410,196.63","8,046,573,580.91","784,669,122.24","4,409,058,437.92","7,127,826,520.73","12,186,884,637.55","2,474,692,372.97","4,123,145,931.05","4,600,403,093.85","15,009,361,197.81","5,825,786,481.82","7,968,934,853.68","9,723,929,596.26","19,460,780,611.75","2,665,943,454.76"
其中:对联营企业和合营企业的投资权益,"115,964,668.38","138,261,221.30",,"81,356,826.66","110,682,871.47","-1,238,659.52","-18,048,213.12","162,741,339.51","215,510,921.32","236,129,632.49","10,876,150.99","1,088,029,829.78","1,047,536,371.29","1,697,175,963.25","296,930,811.37"
归属于母公司所有者的净利润,"1,910,465,478.76","4,850,331,780.69","801,521,763.19","3,829,765,396.74","5,610,675,955.65","9,581,416,757.52","2,121,883,738.73","3,466,437,541.53","3,718,101,609.53","12,220,308,172.65","5,778,048,975.72","7,116,802,989.57","8,275,161,990.29","15,240,053,237.00","2,626,449,062.94"
影响营业利润的其他科目,,,,,,,,,,,,,"-85,210.96",,
少数股东损益,"1,417,944,717.87","3,196,241,800.22","-16,852,640.95","579,293,041.18","1,517,150,565.08","2,605,467,880.03","352,808,634.24","656,708,389.52","882,301,484.32","2,789,053,025.16","47,737,506.10","852,131,864.11","1,448,767,605.97","4,220,727,374.75","39,494,391.82"
