科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"362,833,695.08","457,551,781.56","488,101,062.98","1,199,963,476.31","877,715,063.87","869,310,492.52","795,338,424.69","1,076,743,178.73","743,368,572.06","1,206,353,294.02","961,924,641.53","1,052,476,856.86"
短期借款,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,"500,000.00",,,,,"194,200.00",,,,"153,110.00",
应付票据,,,"44,941,332.46",,,,,,,,,
应收账款,"56,735,529.75","67,905,481.66","76,683,170.76","78,053,974.85","84,834,277.56","85,261,631.85","88,174,254.84","88,736,162.08","109,511,335.06","101,036,531.76","128,877,960.64","153,298,801.18"
应付账款,"75,065,246.62","63,074,882.81","86,941,361.17","90,752,771.91","67,691,473.19","89,677,656.18","93,466,282.71","73,084,512.18","81,615,689.98",,"78,599,228.34",
预付款项,"13,060,671.77","15,921,496.11","9,408,182.70","6,388,008.30","14,319,920.72","10,980,502.01","3,078,340.93","3,971,979.66","7,132,393.66","6,960,028.33","6,248,903.07","7,185,357.48"
预收款项,"74,896,518.33","58,800,798.83","49,654,631.49","49,811,194.23","36,058,058.69","31,659,471.84","37,697,541.96","41,136,310.32","54,717,863.73","56,809,580.98","66,296,488.27","97,633,584.09"
其他应收款,"544,784.25","924,484.52","1,284,181.22","45,738,384.32","2,255,032.01","2,355,446.66","2,595,684.74","2,493,109.60","2,851,506.78","3,992,240.72","31,950,612.52","32,257,325.96"
应付职工薪酬,"6,014,211.61","9,449,251.00","11,225,527.02","8,603,771.05","9,257,344.29","9,283,856.51","18,366,122.36","8,683,923.13","8,792,107.83","9,502,154.06","22,823,770.61","10,579,917.32"
应收关联公司款,,,,,,,,,,,,
应交税费,"31,409,215.65","28,938,260.65","32,762,272.48","21,923,767.13","13,768,091.80","26,323,479.77","17,485,090.95","20,817,999.53","12,307,629.28","22,079,046.69","13,580,938.96","26,203,810.13"
应收利息,,,,,"2,020,547.95","3,375,021.30","708,246.58","32,876.71","1,456,972.61",,"748,493.15","357,500.00"
应付利息,,,,,,,,,,,,
应收股利,,,,,,,,,,,,
应付股利,,"7,278,790.97",,,"29,822,400.00",,,,"3,916,208.90","94,784.35","94,784.35","94,784.35"
存货,"199,828,301.35","202,134,740.73","238,406,834.95","245,007,261.63","246,104,329.83","231,741,538.28","264,408,831.08","289,432,729.39","312,953,750.05","340,586,350.87","340,700,752.37","333,300,394.48"
