科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,197,315,640.42","1,247,146,100.09","1,097,638,855.63","506,251,198.41","619,806,931.59","1,090,510,654.72","202,356,189.61","342,819,950.48","712,227,994.72","1,032,777,142.20","327,213,161.55","577,819,000.50","870,569,157.65","1,116,687,847.49","325,535,609.93","582,818,366.34","849,384,403.72","1,376,700,184.20","158,779,939.18"
取得子公司及其他营业单位支付的现金净额,,,"29,799,686.84",,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"2,645,535.21","944,252.25",,,,,,,,"557,740.35","775,268.66",,500.00,,,,,,
收到其他与经营活动有关的现金,"25,310,236.63","13,535,726.98","6,145,739.26","18,339,571.97","29,746,208.74","14,922,334.47","5,067,989.71","12,200,848.94","16,301,273.40","24,947,942.70","2,530,831.86","11,871,570.34","15,702,461.32","25,522,391.31","2,480,887.16","13,611,516.58","16,050,806.23","23,498,418.16","2,073,659.33"
投资活动现金流出小计,"221,491,006.05","437,351,946.28","460,058,491.13","144,945,385.48","201,472,385.01","322,548,041.33","53,446,387.54","116,452,510.32","154,247,036.48","264,008,056.65","62,775,411.08","61,421,114.05","88,264,517.97","275,409,463.93","13,179,553.94","42,321,773.79","43,726,347.44","68,886,742.53","25,902,277.48"
经营活动现金流入小计,"1,222,625,877.05","1,260,681,827.07","1,103,784,594.89","524,590,770.38","649,553,140.33","1,105,432,989.19","207,424,179.32","355,020,799.42","728,529,268.12","1,057,725,084.90","329,743,993.41","589,690,570.84","886,271,618.97","1,142,210,238.80","328,016,497.09","596,429,882.92","865,435,209.95","1,400,198,602.36","160,853,598.51"
投资活动产生的现金流量净额,"-203,826,736.14","-436,912,565.58","-460,014,356.51","-107,176,622.98","-160,887,454.02","-280,834,506.84","-21,123,767.54","-84,129,330.32","-121,923,856.48","-128,929,300.67","61,171,788.92","-26,918,252.57","-43,857,842.49","-211,006,240.63","-12,544,506.52","-41,791,925.68","-41,298,357.71","-47,484,220.77","-12,533,805.48"
购买商品、接受劳务支付的现金,"411,938,194.05","376,320,054.48","431,215,461.81","181,356,543.23","333,779,760.07","369,382,958.24","117,437,554.40","232,554,079.91","378,620,504.20","546,725,414.80","162,703,432.56","281,014,179.24","469,134,475.52","459,833,207.49","123,269,864.73","286,476,205.45","555,756,029.84","755,545,086.49","74,142,472.82"
吸收投资收到的现金,"399,600,000.00",,,,,,"419,820,000.00","419,820,000.00","419,820,000.00","419,820,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"223,074,378.22","271,313,373.07","242,548,001.82","126,359,094.16","207,421,613.33","286,252,958.60","59,610,422.59","123,390,011.54","187,305,703.91","291,298,950.28","57,233,543.28","120,042,178.86","182,525,091.52","281,544,686.72","54,298,205.59","109,195,674.15","171,418,424.94","255,827,053.60","53,624,039.26"
取得借款收到的现金,"80,000,000.00","510,000,000.00","1,060,000,000.00","250,000,000.00","560,000,000.00","900,000,000.00",,"230,000,000.00","530,000,000.00","530,000,000.00",,"100,000,000.00","160,000,000.00","300,000,000.00","30,000,000.00","30,000,000.00","130,000,000.00","130,000,000.00",
支付的各项税费,"119,714,858.05","165,594,629.74","132,342,404.29","34,136,374.15","53,321,510.83","80,270,064.36","9,472,079.31","21,976,764.87","38,510,820.72","62,626,814.74","9,171,134.65","28,385,331.37","46,750,616.94","82,026,950.14","15,619,006.54","42,882,106.52","64,575,185.25","88,999,906.95","13,756,116.39"
收到其他与筹资活动有关的现金,,,,,,,,,,,,"167,310,750.00","196,068,191.50","251,474,291.50",,"253,418,865.00","352,461,615.00","450,323,375.44",
支付其他与经营活动有关的现金,"37,562,627.04","79,107,760.59","76,941,225.85","19,628,912.88","20,652,137.19","67,297,761.04","9,288,523.77","26,257,597.87","50,901,027.22","47,740,226.86","8,788,785.73","29,270,615.35","43,332,011.16","63,484,934.66","9,760,383.47","29,403,985.65","41,694,811.08","76,652,263.97","8,849,519.79"
筹资活动现金流入小计,"479,600,000.00","510,000,000.00","1,060,000,000.00","250,000,000.00","560,000,000.00","900,000,000.00","419,820,000.00","649,820,000.00","949,820,000.00","949,820,000.00",,"267,310,750.00","356,068,191.50","551,474,291.50","30,000,000.00","283,418,865.00","482,461,615.00","580,323,375.44",
经营活动现金流出小计,"792,290,057.36","892,335,817.88","883,047,093.77","361,480,924.42","615,175,021.42","803,203,742.24","195,808,580.07","404,178,454.19","655,338,056.05","948,391,406.68","237,896,896.22","458,712,304.82","741,742,195.14","886,889,779.01","202,947,460.33","467,957,971.77","833,444,451.11","1,177,024,311.01","150,372,148.26"
偿还债务支付的现金,"126,000,000.00","250,000,000.00","580,000,000.00","380,000,000.00","560,000,000.00","970,000,000.00","310,000,000.00","480,000,000.00","730,000,000.00","830,000,000.00","160,000,000.00","360,000,000.00","430,000,000.00","430,000,000.00",,"200,000,000.00","300,000,000.00","300,000,000.00","30,000,000.00"
经营活动产生的现金流量净额,"430,335,819.69","368,346,009.19","220,737,501.12","163,109,845.96","34,378,118.91","302,229,246.95","11,615,599.25","-49,157,654.77","73,191,212.07","109,333,678.22","91,847,097.19","130,978,266.02","144,529,423.83","255,320,459.79","125,069,036.76","128,471,911.15","31,990,758.84","223,174,291.35","10,481,450.25"
