科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
销售商品、提供劳务收到的现金,"1,054,331,416.74","2,241,314,537.37","3,433,212,964.67","5,109,947,236.32","981,734,123.46","2,190,977,367.10","3,689,582,094.14","5,337,580,322.82","1,776,836,405.92","3,347,247,327.55","4,998,008,767.45","7,364,515,256.80","1,770,021,927.41","3,631,190,254.15","5,892,806,042.12","7,678,467,792.16","2,161,205,438.01","5,186,184,934.38","7,530,472,023.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"275,209.00","333,644.60","402,022.04",,"159,687.68","168,191.00","162,414.48",,"535,566.00","551,770.76","8,623,770.76",,"2,440,288.03","2,455,604.41","2,960,604.41","1,468,275.00","1,468,275.00","1,468,275.00"
支付其他与投资活动有关的现金,,"3,703,565.00",,"78,034,030.80",,,,,,,"805,257.04","1,320,711.15","247,887.32","502,677.07","642,868.17",,,,
收到其他与经营活动有关的现金,"63,925,197.81","70,037,826.73","110,539,991.17","342,770,521.41","64,447,240.04","158,706,006.61","267,890,634.40","394,338,327.66","298,004,281.77","432,611,617.96","490,586,374.39","475,871,744.71","243,206,967.10","441,672,164.02","674,963,993.72","552,437,849.43","252,710,425.73","330,038,698.45","1,090,228,726.21"
投资活动现金流出小计,"8,397,095.09","18,026,312.95","34,628,370.21","163,287,924.54","29,745,219.89","235,115,461.86","482,557,440.47","759,102,614.91","272,820,668.39","1,145,995,986.28","2,134,010,110.16","3,272,094,995.37","1,442,828,308.36","2,735,193,725.08","3,982,376,328.81","6,066,603,541.17","640,808,075.39","1,773,675,775.09","2,287,769,160.64"
经营活动现金流入小计,"1,118,256,614.55","2,311,627,573.10","3,544,086,600.44","5,453,119,779.77","1,046,181,363.50","2,349,843,061.39","3,957,640,919.54","5,732,081,064.96","2,074,840,687.69","3,780,394,511.51","5,489,146,912.60","7,849,010,772.27","2,013,228,894.51","4,075,302,706.20","6,570,225,640.25","8,233,866,246.00","2,415,384,138.74","5,517,691,907.83","8,622,169,024.47"
投资活动产生的现金流量净额,"-4,298,901.22","-9,603,231.57","-19,633,764.40","-140,995,244.64","-27,522,245.44","-209,526,351.44","-337,102,876.96","-613,461,418.38","-272,380,368.39","-1,145,093,826.28","-2,133,102,500.16","-3,032,732,289.37","-1,442,565,208.36","-2,734,156,353.08","-3,947,299,187.31","-6,019,680,403.77","-640,085,468.39","-1,772,092,868.09","-2,285,810,493.64"
购买商品、接受劳务支付的现金,"1,153,040,078.95","2,175,302,220.54","3,235,332,930.25","4,657,651,858.54","1,031,313,314.92","2,078,962,755.33","3,392,261,679.98","4,349,346,272.74","1,796,705,755.28","2,831,084,788.85","4,133,426,996.31","6,158,186,129.38","1,747,726,447.19","3,271,294,206.21","5,403,828,605.88","5,983,057,283.34","2,132,084,897.73","4,785,521,302.06","7,740,753,121.55"
吸收投资收到的现金,,,"245,000,000.00","245,000,000.00",,,,,,,"147,000,000.00","320,950,000.00","156,800,000.00","313,600,000.00","396,900,000.00","622,549,900.00",,"92,169,000.00","92,169,000.00"
