科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"225,770,757.95","254,089,266.44","267,042,948.12","86,202,586.30","255,180,146.40","348,361,445.82","83,559,243.31","179,596,312.14","275,160,399.25","351,370,559.98","81,824,283.51","182,892,684.48","284,512,850.27","389,112,253.88","117,197,790.96","264,365,178.88","435,649,547.05","633,740,019.30","147,136,796.03","359,440,914.28","553,901,524.77","745,357,273.31","182,752,404.59","407,388,995.25","627,246,147.35","860,026,621.29","219,152,023.03","528,382,576.52","896,003,985.97","1,239,888,904.11","356,474,123.19","732,505,697.12","1,143,184,305.13","1,637,802,829.30","523,852,295.22","1,054,095,893.53","1,521,167,308.38","2,081,925,235.84","485,573,330.67"
二、营业利润,"19,552,441.35","19,612,406.04","29,288,223.41","8,993,984.04","24,519,081.04","29,543,586.25","4,922,427.68","11,703,433.47","14,312,436.09","12,811,856.06","1,244,433.56","7,127,817.77","10,777,150.67","8,595,664.23","2,921,086.73","7,912,721.74","10,166,038.21","3,507,783.43","4,412,514.19","21,510,444.27","21,586,337.35","17,564,368.16","6,710,063.98","23,381,871.70","38,834,471.49","46,619,947.94","17,899,541.26","71,174,505.67","143,347,728.33","187,711,066.18","41,252,962.27","99,039,146.96","152,642,268.51","249,968,011.72","128,217,335.31","267,703,155.36","385,278,502.48","459,323,829.31","68,878,395.29"
减:营业成本,"181,199,923.11","208,791,387.94","205,881,713.12","68,449,648.21","200,558,418.27","275,191,438.64","66,388,994.50","142,258,456.37","218,538,218.02","281,322,064.90","65,127,964.50","144,156,151.89","225,771,520.45","317,337,103.08","91,816,209.89","207,197,963.27","341,616,873.32","523,186,255.84","116,641,077.16","287,963,228.09","443,237,365.40","604,372,728.93","139,496,712.72","309,955,673.91","475,862,963.33","652,124,256.76","163,291,661.77","382,762,017.67","633,726,826.20","889,269,933.66","258,548,104.08","521,181,678.44","811,598,971.24","1,173,538,027.56","333,712,066.23","678,439,288.43","968,294,710.49","1,404,468,556.67","354,947,131.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,062,215.82","847,266.34","1,106,886.98","297,202.57","891,694.14","1,233,600.08","644,188.96","1,409,068.14","1,422,185.11","1,817,387.00","420,108.41","899,100.34","1,382,712.49","1,729,564.49","41,461.57","1,078,500.12","1,410,893.52","2,121,328.55","434,625.62","1,251,449.53","1,807,810.01","3,200,408.30","547,908.49","1,277,470.30","2,820,107.33","4,659,527.93","805,792.89","1,986,653.18","3,620,445.75","11,079,213.97","4,871,342.75","9,129,106.86","13,768,691.84","19,537,429.10","6,823,383.35","11,664,412.42","16,415,876.56","21,581,467.60","4,276,469.79"
营业外收入,"277,023.67","1,451,229.13","5,125,323.49","456,889.48","1,697,124.40","3,941,801.95","747,082.53","1,637,154.93","2,338,978.74","5,102,776.74","874,068.31","1,850,779.05","2,461,193.99","5,579,306.32","2,449,807.84","4,060,221.21","7,169,181.53","14,798,283.39","2,291,936.79","3,163,290.97","5,221,861.73","15,931,536.09","761,020.99","1,653,336.31","2,429,797.76","4,881,258.41","1,260,755.95","2,464,294.13","5,477,788.13","6,831,720.35","1,247,432.73","2,808,695.98","6,159,478.56","2,771,987.85","1,048,794.30","13,259,675.06","13,874,282.03","742,146.49","67,709.13"
销售费用,"10,501,716.33","8,971,490.94","11,806,207.20","2,945,059.65","9,627,630.17","14,826,855.19","3,209,489.75","7,471,494.21","9,802,835.69","15,709,346.10","3,196,601.36","5,639,489.66","5,181,365.60","9,033,815.23","3,778,497.88","5,778,227.92","9,556,873.25","15,931,013.01","601,790.03","5,612,622.68","12,565,406.72","22,309,031.89","2,876,135.39","15,431,542.67","24,781,013.61","38,916,997.41","5,608,069.41","12,411,829.21","21,287,641.50","34,273,481.56","10,596,199.18","21,197,393.74","36,933,377.67","57,553,987.19","13,951,812.79","34,874,182.11","56,342,922.79","78,699,127.52","20,316,775.86"
减:营业外支出,"1,399,123.49","569,250.77","826,090.65","1,532.78","216,333.69","421,004.94","128,483.21","452,083.38","581,373.58","728,946.88",,100.00,"785,366.15","1,349,950.76","2,044.62","42,033.25","244,840.34","621,824.55","4,638.10","147,829.83","313,429.83","874,764.15","240,271.70","723,046.38","1,156,019.70","1,873,911.73","45,055.42","1,524,589.06","2,336,753.93","1,877,948.07","400,120.68","2,187,217.49","2,356,782.59","3,149,634.40","51,615.58","426,382.69","816,634.30","6,240,622.02","-1,391,259.46"
管理费用,"11,534,326.92","13,161,038.55","15,864,156.39","4,493,544.95","16,711,508.23","23,992,447.84","7,735,253.78","15,874,543.72","29,450,380.76","36,555,508.78","10,759,628.30","21,263,039.91","35,528,728.29","40,947,680.70","13,931,303.28","28,171,124.16","51,764,292.53","53,782,826.71","18,717,214.96","30,664,512.87","49,953,531.22","62,812,526.28","18,615,598.44","37,431,553.81","59,453,533.70","81,468,364.74","21,137,634.35","42,825,041.55","69,140,897.65","86,301,025.96","31,614,349.25","61,340,883.25","97,657,797.09","97,301,245.62","27,698,786.66","53,157,682.16","57,795,591.32","87,784,503.63","14,799,947.13"
其中:非流动资产处置净损失,,,,,,"203,571.25","7,617.02",,"120,752.51","47,566.84",,,,,,,,"161,054.83",,,,"550,792.65",,,,"345,739.00",,"299,505.08","806,348.00","852,714.79","399,520.68","1,845,129.18","1,970,918.28",,,,,,
