科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"64,848,017.15","78,131,840.25","141,745,673.46","84,536,030.55","114,664,504.61","70,482,160.70","467,654,335.07","412,980,270.92","196,271,517.49","137,075,026.46","129,520,412.40","98,393,085.89","123,960,851.62","148,676,140.40","35,171,958.40","34,927,218.62","76,965,985.71","25,811,376.60","48,417,139.60","47,839,318.40","43,185,652.45","75,797,528.05"
短期借款,"45,000,000.00",,,,,,,,,,,"31,000,000.00","51,000,000.00","89,000,000.00","176,451,111.14","203,085,128.54","163,433,608.72","211,713,511.01","207,923,945.52","216,321,472.58","195,673,142.32","215,180,257.70"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"6,051,269.11"
交易性金融负债,,,,,,,,,,,,,,,,,"31,060.96","30,804.18","24,553.98","25,707.62","8,608.49","6,645.86"
应收票据,"20,969,984.80","5,625,990.00","17,544,000.00","11,160,500.00","10,048,399.54","6,922,000.00","3,597,600.00","300,000.00","4,300,000.00","3,800,000.00","6,560,000.00","671,565.20","13,128,435.60","6,822,285.00","5,778,679.60","1,434,736.70","4,076,555.00","607,680.00","900,000.00","200,000.00","200,000.00","2,000,000.00"
应付票据,,"8,200,000.00",,"10,000,000.00","25,000,000.00","15,000,000.00","10,000,000.00","15,000,000.00","5,000,000.00",,,,"27,693,918.00","37,199,657.00","20,823,139.00","32,385,672.70","27,267,257.35","16,880,586.65","28,446,846.00",,"26,593,222.70",
应收账款,"94,990,566.38","126,008,970.77","129,135,639.35","219,063,415.53","198,085,511.77","237,458,547.66","259,453,172.11","265,206,985.64","291,249,681.74","305,667,824.44","311,882,400.16","345,052,253.11","341,094,943.28","361,401,083.50","434,860,270.87","431,793,050.20","374,593,270.99","409,804,567.16","416,508,825.98","338,138,627.08","321,939,485.49","355,833,175.43"
应付账款,"66,281,662.55","75,691,288.93","121,130,737.37","159,452,132.99","175,170,191.02","159,127,809.23","159,922,414.93","167,977,624.97","194,128,382.69","222,482,774.98","231,857,207.44","252,066,646.51","283,441,077.37","287,199,061.48","286,561,704.04","294,377,202.80","308,700,930.62","337,151,857.33","313,291,841.20",,"328,610,831.07",
预付款项,"11,961,657.11","5,012,240.42","37,173,918.59","55,941,977.00","36,839,744.01","51,095,870.46","39,146,492.45","68,589,557.01","32,211,359.38","57,502,925.92","52,583,785.15","53,297,724.19","41,943,995.65","48,263,879.50","52,759,029.96","64,907,811.58","23,587,679.82","67,993,568.07","51,008,580.81","61,619,649.59","26,415,966.72","37,379,906.11"
预收款项,"45,898,756.71","65,811,239.50","124,542,334.20","91,564,803.56","67,610,494.10","95,059,668.54","55,114,802.73","52,360,074.49","49,658,338.06","46,606,752.71","61,916,044.47","64,032,685.01","51,247,036.91","89,738,020.47","107,670,502.10","99,018,172.04","86,066,444.54","78,571,094.99","63,721,890.16","87,023,341.03","147,277,472.02","122,938,609.29"
