科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"71,866,053.98","257,363,569.11","208,981,444.16","308,602,780.57","41,843,899.04","109,308,722.75","204,903,305.67","242,772,967.32","78,283,832.21","171,916,022.81","275,131,383.35","386,853,969.76","114,489,782.11","257,371,928.85","315,110,860.55","438,250,621.86","118,450,097.99","240,260,557.16","348,644,589.91","583,370,852.59","117,460,502.52","228,774,203.64","385,987,325.38","635,659,227.90","112,578,017.89","290,557,137.55","483,175,307.05","768,049,374.06","149,392,667.63","341,650,375.53","626,337,902.71","984,218,702.59","216,916,600.67","953,758,333.99","1,732,830,906.01","2,751,327,886.67"
二、营业利润,"12,514,665.63","43,124,421.79","31,617,251.32","46,379,090.14","3,901,542.88","12,263,585.53","18,291,220.49","26,098,428.03","4,306,730.42","10,316,564.17","15,179,663.72","26,558,524.56","5,578,085.60","14,074,168.93","14,681,237.38","29,679,051.54","4,308,922.94","11,924,517.84","25,348,845.29","57,394,709.14","1,252,596.52","9,432,554.97","34,905,792.07","58,495,726.48","5,562,341.22","23,184,460.04","41,285,212.95","58,623,765.43","9,439,091.25","44,937,559.76","84,306,821.24","127,410,133.20","10,801,161.42","194,586,484.55","342,781,210.06","550,397,450.15"
减:营业成本,"53,647,965.96","198,016,756.87","159,491,815.08","233,132,420.69","31,549,997.11","83,564,325.12","161,940,246.20","188,248,291.63","63,950,081.49","140,255,297.56","224,223,568.41","311,742,892.92","94,891,091.11","211,488,474.68","250,048,636.83","335,118,488.89","91,025,649.86","177,457,816.65","247,054,317.66","421,854,138.60","85,675,711.78","166,250,870.42","270,487,470.87","447,125,941.40","74,568,876.94","206,226,166.73","340,406,264.86","538,523,597.81","102,293,152.55","228,399,048.88","434,265,364.89","675,892,991.87","171,879,446.95","658,324,073.15","1,173,882,511.71","1,952,526,137.78"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"716,488.92","1,995,811.83","1,452,265.46","2,912,814.25","664,213.36","1,659,373.65","2,468,415.67","1,120,296.49","-187,428.62","651,107.21","920,425.53","1,605,012.18","681,306.98","2,032,468.52","2,463,292.10","3,225,657.19","1,323,348.65","426,001.73","891,237.64","4,428,786.44","436,753.09","1,173,413.17","1,971,232.78","2,930,121.41","366,198.84","976,893.86","1,643,897.08","5,273,285.90","1,295,699.57","2,482,968.03","3,294,594.73","5,625,773.66","797,678.83","4,507,944.06","6,691,822.44","10,117,701.85"
营业外收入,,"850,924.34","1,689,772.33","4,573,513.18","85,382.50","579,338.85","454,314.25","1,963,714.25","2,650,000.00","3,937,111.62","4,732,003.29","6,465,529.56","1,106,310.00","1,811,841.01","13,110,018.07","18,214,118.07","2,403,302.82","6,470,646.77","7,217,146.77","11,755,042.32","5,600,849.55","8,132,213.81","11,316,000.13","15,817,968.78","2,051,687.37","2,616,538.09","3,291,626.47","4,286,618.02","982,795.87","3,075,988.94","5,907,913.94","8,990,871.87","554,085.43","1,444,082.90","1,582,873.04","1,787,507.54"
销售费用,"855,813.71","2,369,107.78","2,677,172.43","3,606,318.35","782,621.39","1,596,808.27","2,927,442.74","3,950,066.79","1,656,373.53","4,112,340.30","5,739,378.50","6,484,672.91","1,403,164.99","2,475,804.72","3,129,975.40","3,695,986.02","1,027,083.98","2,392,655.49","3,112,556.29","4,741,609.22","933,459.48","1,854,388.41","2,878,180.88","3,387,844.61","811,462.62","1,892,965.67","2,525,532.75","4,227,778.57","1,117,954.97","3,279,392.86","4,503,403.73","6,223,063.92","1,222,631.51","7,411,039.45","12,221,009.85","15,023,133.06"
减:营业外支出,,"228,215.72","33,668.43","33,668.43","2,655.00","214,229.01","214,946.33","21,246.30","43,798.27","43,798.27","46,896.27","48,859.52","65,262.68","65,307.34","70,802.59","136,383.03","249,312.97","394,472.91","408,880.58","471,756.40","86,272.04","102,918.67","111,156.59","2,591,806.66",,"4,541.71","102,321.70","637,977.20","58,811.85","94,799.54","105,365.56","267,744.97","3,059.67","81,694.08","166,739.93","88,445.67"
管理费用,"3,503,527.99","9,079,456.21","10,179,417.00","15,769,642.00","4,599,866.35","10,931,667.48","20,029,541.92","23,843,118.88","9,019,024.46","15,047,056.01","26,084,326.86","34,168,942.02","9,629,667.16","23,306,802.21","39,332,356.38","55,851,897.19","16,646,075.12","35,494,850.47","56,764,450.87","69,785,935.49","23,764,093.01","38,609,132.37","58,283,239.57","82,772,300.59","22,200,420.49","43,277,494.02","70,959,106.29","110,111,820.82","27,499,335.79","50,742,512.29","81,461,629.98","126,256,653.93","28,625,803.72","70,099,366.58","173,487,677.41","179,057,450.90"
其中:非流动资产处置净损失,,,,,,,,"21,246.30",,,,"48,859.52",,,,"100,470.23",,"95,520.76",,,,"30,056.94",,"2,510,685.52",,"1,014.54",,"109,458.19",,"67,807.24",,"129,248.57",,"25,953.23",,
