科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"956,550,973.39","1,159,815,123.38","1,219,213,809.69","726,820,924.25","1,137,867,112.92","279,990,498.29","560,240,180.30","845,510,124.37","1,224,380,022.24","192,066,017.61","440,846,087.51","633,614,740.32","914,525,234.17","197,590,521.05","507,991,456.41","820,816,802.47","1,106,751,627.18","199,135,547.76","449,236,071.33","682,041,462.19","892,197,186.78","159,642,732.02","402,783,319.44","625,997,692.34","776,972,387.60","168,013,741.74","345,472,757.39","511,431,450.38","687,008,457.08","140,993,156.96","299,465,655.27","440,597,861.23","645,205,424.55","136,843,452.71","322,272,707.44","448,124,769.77","595,796,626.01","119,467,925.55"
二、营业利润,"74,564,258.82","96,569,517.07","214,826,918.47","92,388,243.48","199,704,216.10","27,483,151.33","72,305,207.51","121,456,773.65","196,496,899.71","1,452,740.04","14,978,586.61","26,362,752.44","23,970,251.28","4,801,765.13","25,100,735.98","41,235,995.87","34,340,707.82","6,283,577.62","20,635,206.23","39,058,136.75","27,494,423.65","5,143,223.40","18,019,385.32","25,994,314.39","-10,251,072.65","-14,887,312.02","-77,367,486.24","-93,914,475.33","-103,004,540.41","-3,057,227.46","2,808,004.94","2,642,037.84","24,712,612.12","2,078,078.90","16,561,128.87","21,498,839.69","-44,053,856.93","12,260,444.22"
减:营业成本,"784,824,089.94","925,280,459.19","912,517,412.46","551,230,751.86","810,589,829.96","206,005,141.18","416,928,365.99","620,148,682.63","891,613,849.07","135,949,714.08","316,475,145.23","458,818,318.25","683,340,057.31","150,227,453.82","387,462,811.42","642,953,545.26","882,272,234.01","154,111,221.28","347,137,541.62","518,522,826.46","682,257,545.28","113,331,894.80","302,716,113.38","481,615,426.90","595,135,902.05","128,731,345.27","266,126,226.55","400,904,317.48","539,283,849.18","106,017,168.37","229,532,676.22","338,419,979.42","490,570,437.00","101,112,651.54","241,567,489.68","331,020,725.02","462,788,804.10","88,380,837.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,106,593.27","3,117,952.32","5,739,568.84","2,209,816.25","4,757,983.63","2,076,901.74","2,898,369.07","3,683,790.21","5,094,912.62","270,232.62","1,063,692.27","1,277,937.35","2,171,844.34","219,044.02","833,511.17","1,468,400.88","1,915,416.37","343,801.34","1,005,890.11","1,634,421.36","2,091,432.20","346,190.13","861,782.76","1,375,037.14","1,928,760.38","721,662.24","1,166,215.44","1,611,549.27","5,365,497.15","322,171.22","2,600,681.50","3,066,779.90","5,041,463.08","507,393.93","2,106,007.38","2,577,410.68","6,312,712.71","239,756.20"
营业外收入,"20,957,905.23","28,271,491.80","26,317,044.97","17,496,365.35","37,356,195.85","5,705,103.17","13,916,201.68","19,811,381.31","36,627,691.97","5,308,327.74","12,727,569.45","19,122,029.38","27,694,324.72","3,106,617.00","6,426,976.90","13,808,232.66","25,985,872.62","290,601.80","5,004,453.25","7,575,760.27","15,831,659.47","1,250,051.14","2,217,794.29","11,773,626.27","19,204,471.24","1,285,292.19","4,332,102.85","9,886,794.87","17,211,271.71","4,151,427.01","6,661,898.18","10,184,379.29","807,932.84","426,707.74","2,644,047.73","194,102,341.60","195,183,334.15",300.00
销售费用,"81,645,818.50","110,378,165.93","92,582,807.41","50,787,853.12","71,024,744.58","33,919,574.04","63,557,337.30","98,405,966.53","122,985,077.84","30,186,263.88","61,305,064.27","87,945,122.23","120,264,527.00","18,618,652.48","52,016,521.02","78,727,567.16","111,314,042.68","17,736,867.98","37,745,184.66","60,452,734.34","89,393,879.79","16,305,486.79","39,733,498.22","59,899,828.14","84,249,491.99","19,349,540.69","37,541,117.88","52,723,173.47","73,209,018.57","16,568,174.54","33,880,196.90","48,960,573.11","71,282,121.04","15,024,104.74","32,651,535.73","44,884,010.70","64,451,426.18","13,250,529.67"
减:营业外支出,"17,000.06","1,239,074.65","234,125.13","150,739.98","627,640.15","8,740.25","209,729.02","209,729.02","441,960.68","150,006.76","151,999.18","152,003.18","279,684.21","576,179.11","581,312.23","766,394.88","1,175,441.57","73,287.86","100,386.21","266,990.63","103,965.13","95,044.33","95,461.05","101,137.06","118,892.37","23,081.61","174,014.47","830,873.74","12,360,161.25",256.41,"104,450.03","11,508.44","292,375.26","1,506.10","2,398.90","7,688,617.89","19,739,168.04","52,830.30"
管理费用,"64,874,672.08","87,094,251.40","95,843,805.50","93,518,122.89","142,868,325.18","25,379,291.76","47,624,539.44","70,305,357.67","99,747,847.21","26,948,208.72","59,453,618.62","85,596,601.33","117,627,915.83","34,985,533.01","66,605,855.54","96,852,470.65","130,553,573.27","36,467,234.88","76,534,605.07","116,422,396.10","146,343,157.34","39,692,064.36","77,411,172.00","112,746,325.42","154,245,749.53","43,611,885.41","126,142,269.10","166,212,908.08","214,479,286.70","37,222,492.41","63,973,345.95","91,683,459.33","125,749,429.15","31,802,815.41","64,175,205.25","83,974,801.38","124,920,331.33","22,452,677.97"
其中:非流动资产处置净损失,,"706,805.71","2,813.64","22,563.39",,,,,"2,198.48",,,,"138,269.98","1,176.02",,,"623,816.07","1,664.00","4,423.61","4,423.61","15,300.16","45,044.33","45,460.33","51,185.84","67,992.37",,,"15,877.48","1,915,611.36",256.41,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"9,495,891.43","12,851,200.06","8,711,390.01","6,354,127.52","8,132,271.30","-1,018,540.16","-8,634,854.05","-11,227,553.54","-13,844,523.13","-3,138,322.74","-5,289,687.64","-10,482,834.65","-14,926,624.80","-4,545,964.32","-8,214,473.25","-10,759,282.26","-12,676,891.81","-1,212,359.61","-1,163,274.11","-1,954,472.99","-1,686,928.37","-2,753,322.34","-3,453,538.46","-5,055,361.20","-1,743,558.10","-708,643.39","-852,918.22","-1,230,811.42","-2,194,083.10","-1,337,010.34","-2,171,087.36","-4,256,163.21","-2,049,281.68","-577,756.53","-1,783,326.48","-4,058,159.83","-10,035,878.69","456,540.26"
