科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"178,009,622.88","243,416,565.37","333,712,788.23","212,380,219.87","354,416,618.66","488,746,323.11","107,249,725.91","273,588,309.76","447,950,825.79","589,111,760.42","140,555,537.99","320,734,824.12","588,980,686.20","739,618,469.41","191,543,280.37","415,617,196.43","758,128,068.71","929,843,131.64","254,296,072.77","469,557,975.68","639,678,318.46","791,046,423.69","196,365,603.02","464,801,194.23","913,868,465.09","919,204,761.62","220,564,503.57","410,164,361.98","693,714,669.33","1,111,811,888.86"
二、营业利润,"888,060.56","14,625,018.80","46,370,562.56","42,342,066.28","67,937,183.31","84,089,648.74","16,712,657.12","65,692,100.22","85,946,722.26","125,687,664.99","36,508,244.07","70,862,360.78","132,866,924.32","182,905,758.58","56,198,443.95","103,697,867.81","206,920,271.02","248,319,363.17","80,674,476.42","133,432,530.23","149,722,335.86","95,206,348.45","42,135,529.98","89,007,768.40","227,739,040.75","101,550,364.51","42,007,270.11","41,313,710.39","50,588,579.98","118,006,845.13"
减:营业成本,"78,929,330.97","119,874,520.09","157,712,416.98","105,208,489.41","177,951,891.77","240,479,863.62","52,388,736.57","128,320,945.95","222,583,623.40","269,019,211.26","67,227,815.46","146,301,627.01","275,644,527.70","281,585,354.21","78,565,220.78","169,106,571.52","310,936,472.50","341,620,585.26","91,868,993.31","173,958,360.32","235,155,746.86","302,645,750.80","86,470,755.91","221,840,678.14","423,895,571.81","424,760,279.45","92,478,728.95","194,977,133.81","339,413,610.16","517,738,108.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,617,598.56","2,660,869.04","3,570,898.75","2,595,904.71","4,747,400.97","6,124,374.54","1,089,435.57","3,938,262.22","6,069,711.49","7,535,412.45","1,014,833.40","3,872,519.67","5,796,497.20","9,003,613.93","913,149.48","3,510,225.72","10,022,445.48","12,393,992.09","1,959,927.07","3,357,852.13","8,133,927.07","11,845,057.36","1,451,219.86","2,940,931.75","8,823,692.28","11,543,356.86","1,589,148.17","2,577,643.84","6,291,591.26","9,841,770.64"
营业外收入,"6,135,974.81","6,844,308.68","11,166,608.29","6,396,593.71","6,676,593.71","13,177,519.61","745,268.46","5,867,687.59","11,982,725.07","22,548,908.75","8,507,839.84","15,418,986.35","20,808,213.68","28,550,155.37","12,965,932.88","16,862,054.75","19,945,602.83","23,577,873.01","14,914,915.06","29,311,828.00","37,794,530.33","36,658,296.10","18,607,093.07","31,186,945.54","40,513,587.75","27,150,689.60","22,024,147.29","28,182,706.74","47,787,198.62","13,896,153.09"
销售费用,"65,013,540.00","66,904,698.49","79,650,207.79","39,750,483.02","64,862,272.65","101,092,976.41","23,178,287.43","52,321,794.69","84,913,823.31","123,062,282.32","19,774,396.50","53,513,509.05","107,713,570.01","160,324,176.08","27,828,879.83","72,114,070.97","128,171,508.24","191,637,623.88","43,517,741.97","89,499,367.20","144,554,896.92","213,024,152.89","39,256,436.91","88,328,467.13","148,059,273.92","197,982,897.59","36,843,317.22","83,646,655.27","140,111,270.67","188,695,076.90"
减:营业外支出,"967,063.42","735,276.32","422,303.01","327,177.46","422,353.16","728,082.34","210,000.00","213,228.58","213,228.58","464,727.66","70,000.00","70,000.00","83,468.04","619,741.36","16,794.16","35,632.58","591,941.88","1,864,327.87","87,432.16","117,432.16","117,452.16","446,180.73",,"102,996.26","353,517.11","799,228.89",,"254,436.55","1,287,619.59","1,232,394.01"
管理费用,"27,728,053.07","31,098,128.38","42,224,944.77","21,294,431.32","36,398,004.67","52,033,281.43","14,539,757.24","28,523,701.21","48,175,619.74","69,328,981.54","15,997,488.72","32,751,248.50","52,572,064.19","88,785,739.36","18,947,714.21","40,423,064.26","61,487,048.06","91,897,481.44","19,078,948.35","37,782,237.19","58,460,563.80","97,695,118.12","19,504,444.28","43,878,644.51","67,890,045.04","127,110,902.96","26,181,513.93","55,311,427.99","87,513,318.71","155,319,345.92"
其中:非流动资产处置净损失,,,"68,610.92",,,,,,,,,,,"246,945.93",,,,"510,862.96",,,,"409,225.64",,,,"12,714.46",,"173,301.83","173,301.83",
