科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"56,988,207.55","67,771,787.75","113,566,171.32","127,159,879.36","131,228,352.64","141,418,654.32","325,483,539.86","359,692,413.42","119,519,356.51","79,956,767.20","92,634,464.33","85,508,183.65","100,848,438.56","115,044,030.54","163,448,689.72","114,771,889.26"
短期借款,"30,000,000.00",,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,,"400,000.00","1,391,216.25","708,503.00",,,"1,802,889.96","100,000.00","200,000.00","1,795,000.00","400,000.00","1,000,000.00","760,000.00","1,900,000.00","1,160,000.00","1,000,000.00"
应付票据,"29,016,850.00","33,264,700.00","33,660,600.00","33,660,600.00","33,455,650.00","33,455,650.00","8,456,600.00","8,456,600.00",,,,,,"38,078,764.00","56,952,646.00","18,874,036.83"
应收账款,"67,182,887.52","72,574,036.24","90,200,413.10","108,387,087.90","105,712,606.09","74,620,877.62","100,587,581.38","112,187,191.87","96,493,701.76","83,901,425.95","90,149,662.48","117,416,073.19","86,699,022.85","98,452,867.06","79,327,089.91","104,062,936.44"
应付账款,"87,308,695.18","99,017,176.59","111,465,283.47","138,063,537.53","112,580,993.21","76,187,111.74","127,201,780.79","147,777,649.58","97,955,313.95","95,512,658.74","129,238,206.07","112,030,340.50","113,630,795.99","104,149,281.41","127,266,625.40","135,740,567.62"
预付款项,"9,809,109.95","10,799,151.47","10,948,299.55","10,899,683.90","13,337,639.03","13,050,308.79","9,916,353.26","9,469,961.17","12,143,049.12","10,120,611.06","11,539,137.33","12,132,326.89","10,608,338.01","10,346,929.96","5,388,388.66","6,703,613.33"
预收款项,"3,372,888.83","8,584,707.89","7,783,617.37","4,420,457.44","6,598,824.47","3,441,589.93","2,752,081.96","3,964,035.05","4,672,215.32","5,748,910.84","6,304,370.11","8,024,559.95","10,895,687.89","10,477,145.40","6,426,571.76","5,088,846.60"
其他应收款,"1,425,948.79","1,109,887.20","1,552,293.65","757,469.47","579,096.56","2,764,923.94","3,621,969.55","4,627,137.02","9,085,453.11","3,356,448.11","2,826,299.25","2,857,718.87","2,803,258.86","4,294,829.97","4,551,786.94","5,624,159.49"
应付职工薪酬,"4,868,718.15","5,417,565.11","8,179,767.61","5,236,939.49","5,733,608.28","5,324,341.99","8,500,728.94","5,727,254.33","5,924,009.91","6,064,148.32","10,480,916.61","6,512,651.96","6,443,837.30","6,685,568.45","10,327,586.78","6,676,110.82"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"2,423,750.01","998,837.44","-157,030.63","1,116,025.65","166,006.74","1,323,980.79","3,287,923.24","4,387,530.55","2,155,754.84","2,934,302.06","1,719,612.46","2,498,303.23","1,529,792.90","3,904,183.20","2,437,957.97","5,754,941.71"
应收利息,,,,,,,,"591,166.68",,,,,,,,
应付利息,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"10,120,000.00",,,,"7,260,000.00",,,
存货,"98,407,764.68","121,057,280.41","127,169,935.95","129,265,762.88","118,261,473.17","106,377,877.78","113,443,678.62","106,011,166.64","103,749,265.22","107,446,529.75","140,846,144.58","121,491,890.70","136,082,513.03","130,128,366.56","140,867,816.17","131,749,532.59"
其他应付款,"447,711.25","563,098.50","878,896.13","727,319.08","505,819.03","500,063.06","5,300,287.52","534,814.60","649,130.70","559,430.57","1,318,672.60","1,382,329.77","1,206,602.96","1,753,104.87","1,878,663.80","2,538,645.94"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,"28,800.00","24,400.00"
一年内到期的非流动负债,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,"32,863,757.95","2,496,118.02","202,219,761.42","242,468,918.13","216,294,894.72","181,204,604.15","180,340,628.80","185,050,789.54","157,262,836.82","150,608,795.73"
其他流动负债,,,,,,,,,,,,,,,"2,043,315.58",
流动资产合计,"233,813,918.49","273,712,143.07","344,828,329.82","377,178,386.51","369,119,167.49","338,232,642.45","587,719,770.58","595,175,154.82","543,410,587.14","529,045,700.20","554,690,602.69","521,610,797.45","518,142,200.11","545,217,813.63","552,035,408.22","514,545,326.84"
流动负债合计,"157,438,613.42","147,846,085.53","161,811,133.95","183,224,879.19","159,040,901.73","120,232,737.51","155,499,402.45","170,847,884.11","121,476,424.72","110,819,450.53","149,061,777.85","130,448,185.41","140,966,717.04","165,048,047.33","207,333,367.29","174,673,149.52"
可供出售金融资产,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
