科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"384,881,132.91","455,237,955.50","649,665,754.83","614,337,897.28","901,027,875.12","159,315,170.85","420,647,235.89","739,030,242.97","1,081,982,094.17","194,700,943.50","530,428,119.75","955,074,826.52","1,433,028,172.15","263,216,174.87","718,214,567.39","1,251,621,673.35","1,863,247,602.33","344,512,401.89","902,704,860.54"
二、营业利润,"54,541,375.55","71,253,875.18","117,990,968.30","101,004,599.98","160,380,382.93","5,760,888.41","56,370,995.52","120,573,053.39","187,150,487.14","19,534,709.04","94,241,331.05","199,137,274.27","288,483,797.35","27,783,544.36","123,677,913.03","259,943,130.21","410,734,965.46","45,545,856.96","174,391,199.33"
减:营业成本,"256,309,696.21","290,107,480.71","405,390,998.17","386,523,007.50","564,624,682.43","105,942,642.34","266,492,319.49","462,522,106.84","669,022,034.95","123,086,507.12","321,497,903.08","576,390,009.89","860,084,244.11","162,495,525.60","443,225,423.02","762,257,984.92","1,148,858,646.02","211,035,340.16","548,090,288.54"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,219,143.41","4,244,533.04","6,190,429.38","5,387,655.42","7,884,924.28","1,013,427.48","3,805,756.09","6,853,482.86","10,363,105.16","1,679,161.71","5,504,817.16","9,687,972.00","16,467,400.57","2,367,356.06","8,151,728.95","14,443,435.11","21,813,303.56","3,315,833.82","9,288,255.22"
营业外收入,"173,796.50","63,272.03","1,935,537.04","3,803,295.25","3,975,055.81","235,106.41","463,839.69","1,580,798.18","5,290,776.54","82,245.00","2,558,396.75","10,384,429.24","11,441,301.81","2,143,856.94","5,237,286.53","5,763,212.38","2,275,020.44","764,140.86","46,650,969.63"
销售费用,"55,001,940.62","66,342,777.30","89,068,524.93","91,044,578.17","125,389,410.16","31,366,036.37","62,751,571.50","106,209,288.98","154,183,448.73","38,073,323.36","79,081,393.95","121,516,018.91","191,346,248.37","52,523,574.74","107,512,660.84","161,746,005.86","219,420,472.35","63,765,014.97","136,612,902.19"
减:营业外支出,"130,492.96","15,360.42","2,122,549.41","945,624.68","970,591.64",100.00,"8,347.05","16,848.19","1,429,124.09",230.12,"2,747,595.80","3,749,595.80","4,932,579.45","137,956.14","2,536,884.42","3,532,454.95","5,476,082.23","2,763,084.25","2,768,384.25"
管理费用,"14,968,292.58","23,172,213.36","30,890,833.26","30,850,262.53","43,998,903.23","16,023,083.62","31,267,546.73","47,312,853.71","61,927,504.08","14,615,109.71","34,408,351.96","54,679,518.69","82,354,350.66","22,899,538.59","46,093,077.03","68,752,440.26","97,440,393.81","32,132,992.84","60,953,426.03"
其中:非流动资产处置净损失,"124,836.21",,"389,400.55","419,040.09","421,664.85",,,,"1,037,774.88",,"1,729,115.68","1,729,115.68","2,444,625.53","137,906.14","746,831.73","1,685,007.26",,,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"846,146.79","-143,062.59","-197,632.23","-1,098,398.37","-1,641,270.85","-484,891.23","-892,817.27","-1,633,749.60","-2,136,628.47","-370,219.37","-899,737.46","-1,743,175.88","-2,192,489.03","-450,147.10","-870,442.85","-1,714,993.10","-2,567,570.42","-1,016,715.57","-2,113,497.85"
三、利润总额,"54,584,679.09","71,301,786.79","117,803,955.93","103,862,270.55","163,384,847.10","5,995,894.82","56,826,488.16","122,137,003.38","191,012,139.59","19,616,723.92","94,052,132.00","205,772,107.71","294,992,519.71","29,789,445.16","126,378,315.14","262,173,887.64","407,533,903.67","43,546,913.57","218,273,784.71"
资产减值损失,"-1,862.45","266,581.73","331,633.02","626,192.05","390,842.94","-306,016.14","1,143,592.87","1,143,592.87","8,480,367.48",,"-69,685.00","-67,509.91","3,280,724.93","89,376.32","356,020.59","573,968.99","1,012,837.03","512,192.68","606,161.08"
