科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"152,910,198.09","238,020,581.33","288,015,827.81","215,430,559.16","335,454,361.10","490,800,497.64","111,706,348.08","241,719,195.02","396,488,578.15","511,425,870.62","136,982,134.14","273,340,828.92","393,733,620.33","510,506,723.26","120,625,779.60","244,676,102.43","418,377,398.88","573,856,910.28","128,736,173.64","284,592,046.58","437,091,357.58","604,953,694.97","139,036,798.93","246,712,310.68","379,148,244.66","539,797,287.00","157,713,953.73","285,491,644.53","435,987,595.35","523,146,739.01","118,601,748.45","262,930,773.26","436,564,345.48","678,529,384.18"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"117,624,291.52","117,624,291.52",,,,,,,,"1,960,000.00",,,,,,,,,,,,,,,,
收到的税费返还,"1,649,982.51","487,566.49","3,399,694.45","5,988,797.51","5,988,797.51","6,713,406.84","1,975,178.56","12,052,991.50","14,707,646.15","16,365,666.42","5,085,757.84","5,700,840.83","9,538,147.44","11,026,908.45","3,639,340.06","14,404,840.55","15,415,521.28","22,990,857.72","5,340,266.53","9,179,463.60","11,734,034.37","13,193,320.64","3,841,980.62","5,682,650.51","5,976,164.17","10,118,293.62",,,"8,628,189.79","10,496,491.08","3,358,136.62","6,129,567.49","7,987,802.05","12,289,698.28"
支付其他与投资活动有关的现金,,,,,,,,,"80,000.00",,,,,"9,000.00",,,,,"80,552.00",,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"18,978,309.74","33,025,812.18","4,804,567.30","1,525,928.82","1,930,070.12","3,654,739.17","2,523,471.16","7,523,390.19","14,257,663.74","13,778,965.46","1,135,149.90","9,424,341.77","11,510,944.87","7,101,301.39","604,868.09","3,352,161.89","6,306,319.31","7,216,320.77","1,739,229.89","4,113,981.89","3,086,871.96","6,244,506.32","1,189,992.08","3,692,059.59","5,710,370.20","13,578,875.26","175,213,914.56","176,615,982.27","180,957,667.21","10,457,855.14","1,583,935.89","2,985,275.54","21,368,931.47","9,929,794.07"
投资活动现金流出小计,"31,979,229.76","52,660,750.73","38,291,038.74","10,106,626.50","19,092,001.58","26,431,484.75","10,781,743.67","23,786,123.49","186,691,955.95","203,009,629.53","17,434,039.75","27,732,002.23","49,987,310.81","66,152,854.82","16,968,293.44","30,396,272.65","29,553,984.32","30,108,994.32","10,094,347.54","23,052,137.57","46,272,490.86","35,460,311.77","15,045,146.43","21,710,295.27","32,942,784.07","24,491,303.25","6,224,535.46","17,879,964.79","35,025,466.77","10,646,658.08","5,484,629.21","10,179,570.36","19,634,817.21","16,867,767.54"
经营活动现金流入小计,"173,538,490.34","271,533,960.00","296,220,089.56","222,945,285.49","343,373,228.73","501,168,643.65","116,204,997.80","261,295,576.71","425,453,888.04","541,570,502.50","143,203,041.88","288,466,011.52","414,782,712.64","528,634,933.10","124,869,987.75","262,433,104.87","440,099,239.47","604,064,088.77","135,815,670.06","297,885,492.07","451,912,263.91","624,391,521.93","144,068,771.63","256,087,020.78","390,834,779.03","563,494,455.88","332,927,868.29","462,107,626.80","625,573,452.35","544,101,085.23","123,543,820.96","272,045,616.29","465,921,079.00","700,748,876.53"
投资活动产生的现金流量净额,"-24,979,229.76","-50,644,969.90","-8,103,923.83","-10,045,252.50","-19,030,627.58","-26,370,110.75","-10,781,743.67","-23,786,123.49","-186,691,955.95","-203,009,629.53","-17,434,039.75","-27,732,002.23","-49,987,310.81","-66,152,854.82","-16,968,293.44","-30,396,272.65","-29,553,984.32","-30,107,889.62","-10,094,347.54","-23,044,137.57","-46,264,490.86","-35,452,311.77","-15,045,146.43","-21,710,295.27","-32,942,784.07","72,293,549.12","-6,146,535.46","-17,801,964.79","-34,947,466.77","-10,568,658.08","-5,484,629.21","-10,179,570.36","-19,634,817.21","-16,867,767.54"
购买商品、接受劳务支付的现金,"138,953,116.51","200,969,903.71","269,634,992.52","166,677,482.74","268,445,111.28","478,470,755.09","125,220,956.45","210,015,166.99","331,416,774.92","456,982,938.17","71,775,242.01","245,691,600.24","335,610,216.22","506,517,025.92","139,988,966.52","265,977,463.20","338,305,150.44","477,713,951.86","100,676,586.47","213,243,274.33","321,717,848.24","456,633,948.71","97,503,648.00","150,791,845.26","242,371,733.82","366,123,204.06","44,953,266.44","98,160,296.60","261,140,769.27","395,249,458.04","78,248,055.74","189,357,830.76","370,504,711.52","586,596,960.54"
吸收投资收到的现金,"6,000,000.00","1,750,000.00","20,022,000.00",,,"370,577,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
