科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"114,812,010.47","126,839,667.12","213,513,992.17","816,268,551.43","754,133,480.94","736,828,317.87","810,068,092.92","690,320,593.89","586,400,093.08","470,179,439.57","758,557,128.19","710,180,867.55","533,493,843.29","420,129,495.40","458,809,910.89","582,819,991.48","846,955,826.59","335,846,086.88","433,413,946.05","408,466,608.20","420,622,764.69","815,202,524.51","486,329,881.09","587,694,181.79","649,664,134.23","723,865,938.89"
短期借款,"33,000,000.00","40,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","96,000,000.00","149,000,000.00","140,000,000.00","215,000,000.00","293,000,000.00","278,000,000.00","290,599,185.70","179,743,129.68","158,686,701.37","170,581,072.00","340,830,484.62","297,858,083.95","212,468,222.05","340,561,036.30","356,218,567.32","372,910,900.85","374,441,442.31","178,932,428.44","272,170,153.08","260,000,000.00","230,000,000.00"
交易性金融资产,,,,,,,,,,"154,357,875.00",,,,,,,,,,,,,,"50,000,000.00","5,771,145.52","62,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"3,217,868.32",,,,"450,000.00","28,069,584.34","600,000.00","20,509,800.23","21,139,800.23","20,350,000.00","19,850,000.00","20,600,000.00","20,350,000.00","15,500,000.00","15,300,000.00","34,918,268.86","500,000.00","200,000.00","500,000.00",,"200,000.00"
应付票据,"31,807,360.70","65,558,874.15","99,165,641.32","47,243,882.61","55,341,017.81","119,904,161.68","126,692,686.21","69,486,859.24","73,783,273.68","127,068,141.33","118,771,788.76","49,938,568.35","45,302,647.27","71,291,104.55","63,599,944.34","36,027,622.55","29,146,085.90","50,351,953.86","50,416,487.26","23,142,195.52","22,865,576.22","34,351,232.89","30,519,151.32","21,362,617.60","11,212,024.10","27,866,609.30"
应收账款,"17,129,156.40","26,121,480.16","44,595,389.16","72,803,761.10","79,938,989.72","92,785,449.65","111,843,907.94","160,499,534.68","154,315,287.88","178,239,124.83","194,806,069.87","182,027,319.42","153,177,033.68","153,309,180.31","154,393,632.89","169,721,538.87","158,110,309.34","192,225,687.43","170,425,500.76","191,001,457.22","163,711,656.11","163,130,147.28","147,646,810.59","171,154,651.40","161,351,638.50","181,085,487.12"
应付账款,"34,958,920.50","29,772,238.79","30,904,452.05","35,283,703.38","29,643,246.10","33,653,666.55","44,937,536.71","60,714,734.39","45,052,017.62","47,628,672.25","80,156,588.80","82,430,996.48","68,837,110.91","74,946,939.17","74,512,156.21","79,446,425.21","67,475,629.71","75,217,209.07","101,047,619.39","99,195,704.37","76,337,415.90","86,671,047.43","77,985,677.08","75,859,229.32","53,758,517.05","48,628,597.74"
预付款项,"23,130,169.25","29,313,686.21","64,442,216.72","37,343,600.79","58,779,120.54","60,195,089.20","49,918,494.14","31,725,604.94","67,297,857.65","67,009,910.82","49,250,283.58","68,482,091.10","71,843,285.28","83,314,558.31","53,796,412.62","52,480,149.25","51,740,404.28","80,096,116.59","59,275,838.16","45,568,654.86","62,683,589.55","84,918,138.98","54,944,442.70","58,182,092.05","66,681,351.97","78,935,947.80"
预收款项,"25,470,034.41","27,520,014.90","50,979,474.48","27,320,563.33","16,668,989.67","26,783,283.18","26,327,241.44","26,662,697.52","29,467,400.84","32,279,727.53","28,749,664.42","34,493,250.71","37,268,101.09","39,891,465.54","33,560,643.35","37,274,637.23","36,158,113.74","38,811,242.67","28,742,253.30","34,392,138.06","32,555,975.09","35,375,126.61","31,630,211.26","34,152,210.37","33,768,230.39","40,818,431.83"
