科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"564,256,389.75","513,287,942.99","551,919,730.84","265,550,994.26","518,084,118.28","147,523,403.78","275,139,510.88","389,064,227.28","507,490,237.75","134,696,825.89","248,424,481.61","359,541,095.06","489,421,490.67","160,709,341.98","303,927,178.01","449,695,291.41","600,750,188.74","187,820,248.36","369,691,886.77","622,381,472.79","781,681,780.94","292,239,408.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"55,200,000.00","47,012,480.01",
收到的税费返还,"763,392.83","1,472,759.52","8,642,512.20","4,541,396.33","7,270,082.17","2,185,255.82","2,565,554.15","3,361,155.96","3,849,797.63","310,494.72","877,696.67","1,568,637.72","2,538,532.03","545,809.59","1,423,198.56","2,148,547.67","2,942,884.18","682,517.39","1,409,194.97","3,810,468.84","5,570,528.23","2,684,573.64"
支付其他与投资活动有关的现金,,,"4,650,168.93",,,,,,"106,032,972.62",,"236,460,000.00","361,160,000.00","501,821,239.59","111,700,000.00","274,400,000.00","428,900,000.00","554,900,000.00","129,000,000.00","226,000,000.00","270,000,000.00","200,473,600.00",
收到其他与经营活动有关的现金,"2,614,277.32","3,093,736.49","6,461,009.50","525,751.01","3,804,769.11","1,645,545.57","3,994,508.62","7,706,074.54","13,113,406.20","1,540,180.74","2,978,245.28","4,759,193.95","2,740,395.08","1,932,485.03","3,546,718.90","18,942,134.90","4,818,299.54","3,083,570.54","4,921,520.31","9,425,218.59","15,237,127.23","7,218,361.60"
投资活动现金流出小计,"24,110,904.35","23,002,720.36","19,922,186.77","6,455,086.03","22,851,839.74","3,095,503.60","17,696,312.04","26,485,736.36","139,156,410.47","2,795,239.32","241,600,052.02","368,015,513.12","516,303,230.43","114,006,150.27","280,719,612.29","437,273,967.70","598,093,701.21","135,212,782.83","264,379,766.92","402,035,946.56","344,061,160.94","9,184,627.34"
经营活动现金流入小计,"567,634,059.90","517,854,439.00","567,023,252.54","270,618,141.60","529,158,969.56","151,354,205.17","281,699,573.65","400,131,457.78","524,453,441.58","136,547,501.35","252,280,423.56","365,868,926.73","494,700,417.78","163,187,636.60","308,897,095.47","470,785,973.98","608,511,372.46","191,586,336.29","376,022,602.05","635,617,160.22","802,489,436.40","302,142,343.38"
投资活动产生的现金流量净额,"-22,442,214.19","-22,694,099.13","-19,715,333.66","-6,366,406.73","-22,646,949.21","-3,095,503.60","-16,174,593.64","-24,964,017.96","-134,366,410.47","-2,795,239.32","-22,759,208.93","-20,191,958.26","23,924,984.26","-24,097,031.83","-44,877,496.18","-89,149,211.16","-93,596,116.68","5,112,117.05","56,155,011.15","-11,342,468.49","31,635,480.53","-9,100,917.46"
购买商品、接受劳务支付的现金,"381,944,300.03","352,933,428.70","368,911,011.14","180,074,168.71","356,276,128.91","97,338,102.49","175,423,230.03","251,920,901.29","329,074,628.76","69,880,831.08","135,151,386.52","221,405,859.00","318,626,183.97","95,060,986.57","192,367,317.18","294,103,464.34","408,680,826.40","122,178,440.61","237,842,355.19","486,140,701.66","663,203,933.98","193,526,729.44"
吸收投资收到的现金,,,,,"161,200,000.00",,,,,,,,,,,"79,304,238.00","85,324,238.00","480,000.00","960,000.00","3,960,100.00","7,560,000.00","400,000.00"
支付给职工以及为职工支付的现金,"68,291,977.65","73,047,009.18","78,411,286.96","40,292,297.97","81,582,365.97","18,594,135.37","38,374,458.53","60,217,269.47","86,090,478.55","19,658,043.90","40,672,901.76","61,895,787.09","88,825,780.12","20,375,101.59","43,843,733.66","68,200,007.36","100,379,658.74","23,994,134.76","49,444,386.25","87,142,730.63","125,782,352.77","32,028,005.55"
取得借款收到的现金,"40,000,000.00","63,200,000.00","60,000,000.00",,"30,000,000.00",,,,,,,,,,,,,,,"80,000,000.00","142,481,975.23","12,000,000.00"
支付的各项税费,"46,769,479.84","40,672,791.44","43,470,828.62","18,371,146.95","36,854,038.44","11,036,151.88","19,504,401.58","27,716,996.74","36,306,462.25","9,870,891.85","18,763,411.32","32,371,560.03","39,739,306.16","13,189,010.50","26,076,124.59","37,991,431.55","49,521,325.04","17,331,273.17","31,328,438.49","42,370,486.30","58,378,995.55","26,173,696.07"
收到其他与筹资活动有关的现金,,,,,,,,,"905,000.00",,,,,,,,,,,"21,951,975.23",,"979,216.66"
支付其他与经营活动有关的现金,"24,549,308.19","19,883,257.39","17,565,904.95","8,336,515.54","17,745,378.93","8,895,816.62","21,208,654.96","24,743,703.23","21,111,467.71","8,188,047.63","17,265,345.23","25,989,180.02","27,444,832.40","9,449,097.37","22,871,506.90","38,421,898.27","40,003,196.60","12,366,737.85","23,810,098.94","52,891,304.79","68,121,489.75","18,599,464.09"
筹资活动现金流入小计,"40,000,000.00","63,200,000.00","60,000,000.00",,"191,200,000.00",,,,"905,000.00",,,,,,,"79,304,238.00","85,324,238.00","480,000.00","960,000.00","105,912,075.23","150,041,975.23","13,379,216.66"
经营活动现金流出小计,"521,555,065.71","486,536,486.71","508,359,031.67","247,074,129.17","492,457,912.25","135,864,206.36","254,510,745.10","364,598,870.73","472,583,037.27","107,597,814.46","211,853,044.83","341,662,386.14","474,636,102.65","138,074,196.03","285,158,682.33","438,716,801.52","598,585,006.78","175,870,586.39","342,425,278.87","668,545,223.38","915,486,772.05","270,327,895.15"
偿还债务支付的现金,"54,836,558.77","53,200,000.00","90,000,000.00",,"50,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,"77,364,472.61",
经营活动产生的现金流量净额,"46,078,994.19","31,317,952.29","58,664,220.87","23,544,012.43","36,701,057.31","15,489,998.81","27,188,828.55","35,532,587.05","51,870,404.31","28,949,686.89","40,427,378.73","24,206,540.59","20,064,315.13","25,113,440.57","23,738,413.14","32,069,172.46","9,926,365.68","15,715,749.90","33,597,323.18","-32,928,063.16","-112,997,335.65","31,814,448.23"
分配股利、利润或偿还利息支付的现金,"11,228,177.89","5,639,251.41","8,081,073.35","5,064,782.61","6,075,811.60","159,499.99","6,719,499.99","6,962,978.25","6,962,978.25",,"6,560,000.00","6,560,000.00","6,560,000.00",,"9,600,000.00","9,843,500.00","9,843,500.00",,"7,603,500.00","8,416,379.48","10,760,460.81",
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,"50,000,200.00",,
支付其他与筹资活动有关的现金,,,,,"7,880,871.70",,,,,,,,"547,500.00",,,,,,"2,412.24","86,932,280.04","2,050,000.00","3,315,600.00"
取得投资收益收到的现金,,"199,981.02","142,874.00",,,,,,,,,,,,,,,"1,324,899.88",,"78,750.00","2,677,555.29",
筹资活动现金流出小计,"66,064,736.66","58,839,251.41","98,081,073.35","5,064,782.61","63,956,683.30","10,159,499.99","16,719,499.99","16,962,978.25","16,962,978.25",,"6,560,000.00","6,560,000.00","7,107,500.00",,"9,600,000.00","9,843,500.00","9,843,500.00",,"7,605,912.24","95,348,659.52","90,174,933.42","3,315,600.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"588,690.16","108,640.21","63,979.11","88,679.30","204,890.53",,,,"290,000.00",,"125,850.47","125,850.47","99,181.05","28,716.22","42,000.00","72,000.00","83,850.00",,"85,695.00","86,695.00","18,886.18","83,709.88"
筹资活动产生的现金流量净额,"-26,064,736.66","4,360,748.59","-38,081,073.35","-5,064,782.61","127,243,316.70","-10,159,499.99","-16,719,499.99","-16,962,978.25","-16,057,978.25",,"-6,560,000.00","-6,560,000.00","-7,107,500.00",,"-9,600,000.00","69,460,738.00","75,480,738.00","480,000.00","-6,645,912.24","10,563,415.71","59,867,041.81","10,063,616.66"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,"50,000,200.00",
四、汇率变动对现金的影响,"-207,759.93","-523,027.68","-2,612,893.64","591,576.54","281,502.68",,,,"2,865,185.89","-220,709.15","545,248.29","843,706.57","4,030,005.24","-365,537.85","-1,310,433.40","-1,451,179.58","-3,406,516.32","-1,424,223.71","-701,063.68","-256,929.60","685,635.60","-308,172.12"
收到其他与投资活动有关的现金,"1,080,000.00",,,,,,"1,521,718.40","1,521,718.40","4,500,000.00",,"218,714,992.62","347,697,704.39","540,129,033.64","89,880,402.22","235,800,116.11","348,052,756.54","504,413,734.53","139,000,000.00","320,449,083.07","340,527,833.07","323,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,
