科目,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"83,335,530.76","92,590,228.95","553,387,541.11","446,570,012.51","289,485,590.80","302,571,958.34","218,483,645.90","152,967,209.46","105,235,314.24","201,591,729.78","127,204,062.45","171,671,954.51","91,350,883.80","155,340,075.04","126,023,843.56","144,954,215.98","94,425,418.90","1,528,707,954.52","1,710,869,547.99","1,553,161,783.44","808,939,965.30","1,176,600,917.11","967,779,785.06","1,441,370,624.56","1,003,512,535.73","1,568,787,452.07","1,322,582,735.20","1,067,331,218.24","1,125,838,248.46","1,263,480,464.14","1,115,271,033.73","935,128,509.79","1,319,315,742.80","1,388,492,871.54","1,247,928,103.26","1,339,532,613.62","1,048,025,675.00","1,002,413,141.97",,"1,105,855,452.46","758,858,884.62","745,531,459.71","680,445,915.83","678,601,301.24","640,241,671.25","861,446,581.37","927,109,091.58"
短期借款,"25,000,000.00",,,"90,000,000.00","100,000,000.00","145,000,000.00","118,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","215,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","305,000,000.00","305,000,000.00","1,830,000,000.00","1,335,000,000.00","1,010,000,000.00","1,030,000,000.00","1,030,000,000.00","780,000,000.00","400,000,000.00","450,000,000.00","200,000,000.00",,,"100,000,000.00","216,811,710.00","216,811,710.00","604,450,492.47","504,450,492.47","208,282,226.96","208,282,226.96","200,000,000.00","200,000,000.00","238,000,000.00","238,000,000.00","438,000,000.00","438,000,000.00","400,000,000.00","600,000,000.00","750,000,000.00","750,000,000.00","650,000,000.00","750,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,524,940.84"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"42,900,000.00","12,430,000.00","16,250,000.00","21,316,000.00","51,835,800.00","51,713,100.00","58,848,600.00","90,535,539.00","120,918,000.00","91,507,000.00","88,036,000.00","151,557,200.00","226,755,590.80","327,692,907.20","259,042,660.30","202,975,403.00","240,671,426.30","3,091,988,278.88","1,851,427,414.80","1,604,067,223.04","1,983,896,642.64","3,015,827,119.11","2,598,942,166.35","1,725,643,412.80","1,749,523,629.34","1,340,971,320.62","1,033,185,017.84","837,399,984.48","900,752,613.11","1,355,047,056.80","1,277,092,497.78","1,307,781,612.80","1,031,142,036.86","1,132,186,650.23","1,111,252,366.44","1,185,152,210.29","1,170,458,543.79","1,245,651,219.11","1,472,654,752.69","1,977,754,054.11","1,896,472,205.93","1,799,896,464.00","1,631,659,333.21","1,555,882,517.80","1,462,277,457.37","1,746,197,742.05","1,767,978,269.63"
应付票据,"47,542,000.00","49,585,644.77","33,185,644.77","53,600,600.00","164,371,187.37","200,209,869.17","283,305,388.18","254,345,434.42","187,238,910.57","238,694,279.04","180,750,604.71","165,575,892.00","239,774,737.80","285,340,237.80","269,268,215.20","259,424,715.20","229,481,330.00","1,961,439,290.00","1,965,515,821.21","1,987,668,484.88","1,764,407,432.43","1,650,016,128.48","1,728,316,879.80","1,603,877,983.12","1,545,522,774.40","1,685,104,194.66","1,527,879,684.38","1,362,470,188.13","1,597,429,906.55","1,779,736,203.09","1,579,050,885.67","1,420,043,741.99","1,275,765,564.26","1,574,834,158.10","1,646,877,141.02","1,390,159,269.87","1,279,786,933.03","1,314,332,025.05","1,180,767,344.10","1,424,359,146.67","1,295,311,625.54","1,535,077,239.08","1,547,916,190.97","1,222,136,746.49",,"1,401,837,473.62",
应收账款,"61,378,516.75","70,049,015.44","146,633,057.41","123,761,821.92","105,136,256.16","125,587,770.72","302,812,961.03","502,435,759.54","559,042,612.44","604,197,712.89","639,639,616.52","796,742,300.89","802,353,384.06","772,585,577.35","784,908,990.98","796,782,056.20","732,625,598.41","7,882,857,943.92","7,688,807,445.92","7,635,366,274.44","7,447,338,162.49","7,037,246,922.88","6,470,114,205.74","6,451,575,271.68","6,696,409,253.18","7,159,966,161.25","6,761,096,060.01","6,912,705,766.47","7,083,386,604.41","6,940,697,006.48","6,570,328,005.65","6,578,695,660.73","6,285,465,758.56","5,800,417,057.31","5,594,612,736.97","5,680,928,075.71","5,401,640,437.51","5,362,178,034.64","5,118,415,966.51","4,599,692,971.10","4,577,987,946.32","5,107,030,468.46","4,955,689,300.84","4,788,385,129.56","4,521,328,743.58","4,852,895,139.29","4,949,305,453.32"
应付账款,"160,016,547.80","164,337,012.18","218,915,424.33","232,731,180.60","267,344,903.96","494,140,630.54","525,988,476.42","678,843,230.16","700,487,762.31","718,501,020.57","817,284,690.76","851,111,720.13","866,282,842.18","803,710,928.75","738,203,589.33","732,019,582.20","743,686,013.19","7,128,295,877.54","6,569,353,815.34","6,640,780,220.03","6,568,898,301.00","6,735,855,308.94","6,330,719,049.92","6,377,755,916.52","6,608,387,970.13","6,473,750,572.33","6,257,459,185.92","6,347,708,694.42","6,436,770,283.89","6,546,827,586.05","5,997,079,515.41","5,980,949,159.35","5,735,850,585.75","5,478,641,841.86","5,179,632,782.96","5,162,917,960.04","5,041,955,033.00","4,864,814,588.99","4,792,078,403.66","4,620,385,748.76","4,390,444,089.27","4,119,690,453.93","3,977,143,093.30","4,245,615,118.44",,"3,943,283,969.41",
预付款项,"15,053,628.78","14,040.00","87,622,140.07","246,567,900.30","273,336,859.72","23,868,303.60","97,555,965.35","46,561,693.39","5,714,997.06","6,988,020.19","59,019,642.83","18,263,937.22","47,816,775.83","34,603,637.32","29,278,753.47","47,109,516.15","65,989,832.61","1,095,380,720.09","1,188,918,538.48","1,046,775,412.32","1,062,252,699.00","954,157,609.70","1,100,342,225.11","1,188,201,427.87","1,125,265,056.89","916,756,710.26","968,103,480.58","1,130,531,365.25","1,179,778,546.26","810,280,643.69","852,612,219.71","827,279,993.69","759,099,176.00","728,995,673.99","711,326,769.32","617,527,779.09","684,483,690.42","540,727,386.03","585,104,267.85","690,801,387.35","796,491,918.47","862,257,084.49","931,119,815.62","984,043,976.56","1,064,527,739.61","754,102,989.78","675,752,775.71"
预收款项,"19,168,257.53","41,248,776.10","39,313,525.70","46,012,471.45","40,819,964.08","53,821,108.24","41,997,048.40","27,664,093.79","27,050,600.08","36,161,311.26","32,349,463.66","23,197,023.21","28,642,566.27","11,131,172.28","15,216,120.88","13,425,205.10","28,605,801.27","3,434,080,186.78","3,463,798,550.17","2,795,505,170.50","3,032,294,105.92","2,637,078,525.95","2,673,462,698.00","2,624,849,921.10","2,599,100,813.52","2,470,908,411.67","2,796,502,141.83","2,877,361,876.94","2,922,585,402.19","2,244,461,641.41","2,557,318,621.56","2,302,552,701.49","2,520,299,650.21","2,149,847,143.21","2,408,152,364.57","2,430,090,253.86","2,829,293,941.29","2,188,617,010.99","2,553,862,527.35","2,687,024,081.80","3,425,401,389.96","1,979,221,667.26","2,527,711,142.98","2,523,214,885.57","2,995,838,400.10","2,232,037,622.01","2,613,310,691.33"
其他应收款,"361,095.43","382,802.73","537,718.93","564,608.21","41,279,247.20","1,382,418.75","460,435.47","973,236.75","703,028.29","669,294.52","1,328,984.78","1,354,888.90","1,848,769.84","2,455,721.01","1,114,271.87","1,406,821.75","3,484,202.39","136,114,276.35","55,182,246.85","121,502,547.78","127,640,494.67","121,764,602.88","107,602,739.09","160,554,983.56","144,901,721.73","151,063,279.90","181,974,265.46","156,037,693.92","175,424,566.87","192,449,487.48","214,166,261.97","222,045,581.85","151,221,247.94","138,981,140.37","103,009,462.94","116,437,029.80","114,590,241.12","205,922,144.76","259,822,826.42","200,877,296.50","188,579,644.07","199,464,017.75","169,999,462.66","184,195,103.68","228,811,458.42","184,029,451.27","170,459,847.48"
应付职工薪酬,"839,159.72",,"1,459,268.06","3,389,147.03","5,497,780.26",,"3,562,377.75","6,872,196.98","8,531,089.34",,"5,164,161.04","9,885,756.56","13,109,708.00",,"3,209,090.72","3,065,146.69","4,805,900.55","140,122,303.19","64,929,091.79","81,857,369.86","85,424,064.73","93,298,796.96","35,932,353.99","34,343,327.54","60,405,250.70","106,918,016.17","25,506,639.43","21,894,071.43","12,249,725.19","111,596,340.50","10,548,602.41","9,829,629.11","32,968,091.90","109,279,769.68","24,742,758.39","22,259,380.61","19,132,555.96","98,552,759.46","11,992,484.47","9,102,794.76","13,578,435.15","101,879,878.57","4,071,772.18","9,038,045.79","62,818,800.91","122,211,376.14","8,413,483.17"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-6,750,533.36","254,944.12","5,775,898.70","-2,792,500.10","-7,482,773.37","-45,285,967.48","-22,339,143.79","-4,261,458.87","6,461,704.96","-11,785,346.83","-22,177,442.34","-18,955,183.26","-19,410,883.80","15,525,711.65","-2,916,922.82","-7,026,245.40","-7,979,690.08","184,584,812.22","41,615,854.19","90,332,027.86","-24,820,682.12","124,132,641.94","-9,874,331.86","64,615,928.45","44,808,135.27","105,811,518.17","-73,789,052.56","-60,436,728.63","-54,004,900.41","93,169,603.64","-17,550,047.83","21,023,164.86","-50,510,239.62","58,540,405.60","-36,194,540.94","18,836,158.32","12,111,526.93","92,979,115.24","26,437,710.55","60,672,534.55","19,447,286.99","100,757,372.95","4,531,609.68","29,392,403.27","20,389,265.47","120,942,425.02","37,480,601.74"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,"375,276.58","498,598.28","757,661.19",,,,"2,064,738.89","3,000,000.00",,,,"150,000.00",,,,,,,,,"257,777.78",,,,"1,104,508.55","1,104,508.55","1,104,508.55","846,730.77","456,870.83",,,,"900,510.42",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,477,800.00",,,,,,,,"11,499,000.00",,,,,
应付股利,,,,,,,,,,"4,700,947.89","4,700,947.89","24,721,747.89",,"619,200.01","619,200.01","18,398,372.51","2,459,200.01",,,"59,167,174.56",,,,"46,533,647.84",,,,,,,,,,,,,,,,,,,,"19,313,700.32",,,
存货,"142,713,874.76","171,660,917.92","184,965,904.17","232,873,813.80","281,035,227.71","318,471,719.02","321,787,926.60","283,932,583.74","282,264,800.31","263,610,899.63","341,805,474.92","363,935,373.86","378,030,001.23","303,838,883.47","329,868,515.30","361,036,968.74","360,720,328.02","3,608,508,988.05","3,643,556,816.92","3,598,526,258.49","3,813,815,192.92","2,767,420,346.76","3,184,610,219.27","3,138,630,015.95","3,404,228,798.36","2,826,466,049.03","3,449,903,593.22","3,628,740,968.56","3,805,809,568.48","3,508,708,637.53","3,442,320,974.37","3,244,121,586.75","3,721,278,709.01","3,493,011,357.34","3,885,908,169.53","3,623,333,601.30","4,294,913,547.53","3,852,854,039.65","4,144,745,737.44","4,067,360,955.75","4,355,097,922.23","2,607,662,752.78","3,289,821,144.68","3,551,735,081.84","4,191,860,980.15","3,495,230,561.21","3,771,354,517.34"
其他应付款,"3,979,164.55","3,298,387.90","3,440,806.02","4,395,579.44","5,958,571.71","5,478,175.72","5,306,926.77","7,206,607.01","19,382,632.92","7,395,293.68","12,088,510.38","22,827,427.20","29,287,958.04","21,076,630.48","34,387,335.02","47,098,920.85","12,841,041.28","95,984,945.37","47,338,121.88","47,694,891.64","64,620,592.19","46,389,184.10","43,893,861.26","49,244,929.80","71,152,073.73","54,167,691.27","51,517,878.73","55,421,545.46","60,647,199.19","52,431,703.92","41,489,890.24","31,588,891.44","36,144,230.96","37,722,440.90","34,855,219.41","38,596,070.36","29,595,134.17","55,731,669.96","47,124,571.90","51,514,535.19","47,175,634.77","45,342,896.58","32,120,096.84","41,815,965.58","45,327,533.45","48,897,890.02","43,756,005.20"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,"3,000,000.00","3,000,000.00",,,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","130,000,000.00","80,000,000.00","80,000,000.00","280,000,000.00","260,000,000.00","260,000,000.00","250,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","300,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00",,,,,,"400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00",,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,"694,658.12","3,888,593.21","72,912.78","19,349.23","665,701.91","3,824,283.73","330,086.97","34,756.88","625,402.09","54,087,349.13","166,036.10","4,760,197.78","101,740,936.72","51,064,268.29","1,880,427.03","96,839,550.69","160,167,224.37","148,787,169.74","217,450,274.37","233,531,328.44","264,155,408.14","44,823,399.60","44,503,162.38"
其他流动负债,,,,,,,,,,,,,,,,,,"200,000,000.00","200,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"345,742,646.48","347,127,005.04","989,396,361.69","1,071,654,156.74","1,042,108,981.59","823,595,270.43","999,949,534.35","1,077,406,021.88","1,073,878,752.34","1,168,564,657.01","1,257,033,781.50","1,503,525,655.38","1,548,155,405.56","1,596,516,801.39","1,530,237,035.48","1,554,264,981.82","1,497,916,806.63","17,343,558,161.81","16,138,762,010.96","15,559,399,499.51","15,243,883,157.02","15,073,017,518.44","14,429,391,340.62","14,105,975,736.42","14,124,535,653.35","13,967,899,566.34","13,716,918,065.09","13,732,766,346.15","14,271,655,849.50","14,074,487,579.85","13,472,121,080.18","13,115,087,702.49","13,268,148,073.26","12,770,649,899.91","12,654,203,644.56","12,567,671,507.59","12,815,853,072.09","12,260,810,234.45","12,327,853,472.09","12,739,181,667.96","12,733,655,746.01","11,482,128,416.93","11,876,185,247.21","11,976,374,439.12","12,373,203,458.52","11,938,725,864.57","12,400,988,058.28"
流动负债合计,"249,794,596.24","258,724,765.07","302,090,567.58","427,336,478.42","576,509,634.01","856,363,816.19","958,821,073.73","1,070,670,103.49","1,049,152,700.18","1,173,667,505.61","1,210,160,936.10","1,373,364,383.73","1,532,686,928.49","1,492,779,157.55","1,413,485,226.62","1,432,163,358.34","1,378,899,596.22","15,104,507,415.10","13,767,551,254.58","12,795,070,078.22","12,803,823,814.15","12,576,770,586.37","11,842,450,511.11","11,451,221,654.37","11,429,527,017.75","11,146,660,404.27","10,635,076,477.73","10,904,419,647.75","11,365,677,616.60","11,335,034,788.61","10,674,749,177.46","10,370,437,780.71","10,054,968,375.93","9,617,405,764.09","9,466,347,952.37","9,262,859,093.06","9,811,875,124.38","9,254,131,678.24","9,251,367,550.58","9,692,163,350.28","9,630,205,192.45","8,282,426,379.20","8,693,493,905.95","8,840,526,865.46","9,294,807,123.96","8,519,210,756.22","8,829,011,518.78"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,888,000.00","55,888,000.00","55,888,000.00","55,888,000.00","55,888,000.00","55,888,000.00","55,888,000.00","86,488,000.00","86,488,000.00","86,488,000.00","86,488,000.00","86,488,000.00","86,488,000.00","94,378,147.40","94,993,675.16","93,929,422.72","93,937,767.08","93,607,481.84",
长期借款,"180,000,000.00","180,000,000.00","180,000,000.00","174,000,000.00","174,000,000.00","167,000,000.00","167,000,000.00","167,000,000.00","167,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","38,564,863.00","98,564,863.00","128,564,863.00","138,564,863.00","148,564,863.00","384,564,863.00","384,564,863.00","574,564,863.00","226,000,000.00","226,000,000.00","226,000,000.00","226,000,000.00","176,000,000.00","226,000,000.00","406,000,000.00","156,000,000.00","136,000,000.00","136,000,000.00","116,000,000.00",,"400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
