科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,560,245,079.17","2,309,790,143.17","2,728,670,631.79","2,611,699,187.77","3,412,577,821.56","1,050,192,686.33","2,071,348,606.40","3,219,271,125.34","4,420,603,515.69","1,217,907,116.98","2,402,202,941.39","3,858,424,593.83","5,442,099,561.88","1,510,013,962.40","3,059,391,635.20","5,006,884,113.02","7,256,886,416.09","1,942,749,037.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"1,210,579.43","1,163,974.83","948,884.90",,,,,"206,466.68","232,620.53","232,620.53","232,620.53",,,,,
支付其他与投资活动有关的现金,,,,,,"2,314,290.37","6,797,526.58","8,730,767.38",,,,,,,,,,
收到其他与经营活动有关的现金,"45,689,280.38","55,206,417.44","51,855,522.23","54,814,376.61","57,982,624.24","299,399.10","34,956,499.52","54,103,538.63","66,970,204.01","15,557,958.56","26,401,630.61","66,918,809.46","77,730,171.44","18,229,569.99","132,623,155.13","160,778,706.96","185,725,011.54","17,605,159.55"
投资活动现金流出小计,"292,657,211.66","135,109,563.74","270,921,650.69","235,561,199.79","284,917,367.36","83,529,317.29","1,047,795,487.94","1,295,057,213.61","1,848,962,505.65","530,130,552.98","1,858,018,372.97","2,862,423,209.37","4,027,258,627.75","778,352,924.05","2,131,091,594.42","3,085,464,109.20","4,386,776,023.82","268,222,579.07"
经营活动现金流入小计,"1,605,934,359.55","2,364,996,560.61","2,781,736,733.45","2,667,677,539.21","3,471,509,330.70","1,050,492,085.43","2,106,305,105.92","3,273,374,663.97","4,487,573,719.70","1,233,671,542.22","2,428,837,192.53","3,925,576,023.82","5,520,062,353.85","1,528,243,532.39","3,192,014,790.33","5,167,662,819.98","7,442,611,427.63","1,960,354,197.23"
投资活动产生的现金流量净额,"-65,779,418.18","-129,993,486.14","-255,391,683.98","-223,694,995.76","-246,124,804.68","-33,507,115.75","-747,596,450.24","-669,853,525.56","-733,844,943.19","146,733,761.42","-268,346,253.78","-323,807,862.09","-436,081,325.87","-37,454,691.18","-350,072,921.44","-336,885,404.15","-617,433,560.16","994,467,763.01"
购买商品、接受劳务支付的现金,"1,126,674,584.44","1,558,798,031.36","1,971,672,887.19","1,792,957,454.48","2,383,107,571.20","625,907,447.34","1,331,667,626.85","2,196,213,035.76","2,934,256,733.84","802,707,864.47","1,681,113,371.95","2,733,375,207.71","3,789,717,778.31","1,085,866,556.51","2,337,877,644.89","3,744,216,867.67","5,257,292,246.49","1,559,241,486.17"
吸收投资收到的现金,,,"41,000,000.00","15,000,000.00","15,000,000.00","789,000,000.00","753,440,000.00","773,440,000.00","794,440,000.00",,"30,000,000.00","30,000,000.00","32,000,000.00",,,,,
支付给职工以及为职工支付的现金,"159,747,354.45","222,282,693.39","284,382,488.11","283,761,943.38","394,374,455.30","135,557,021.36","261,626,434.13","381,701,502.05","526,771,451.48","120,847,235.06","219,185,548.15","320,567,809.07","431,042,873.49","154,164,792.96","273,532,557.13","387,149,280.41","518,584,321.37","180,713,534.32"
取得借款收到的现金,"28,312,437.39",,,"1,005,000.00","1,005,000.00",,,,,,,,,,,,,
支付的各项税费,"154,020,047.48","173,298,417.37","161,954,906.29","161,111,782.80","202,929,604.22","64,824,471.93","136,613,143.73","212,033,258.66","291,602,491.74","103,059,303.50","182,057,036.49","269,344,065.87","336,846,154.26","85,069,545.84","199,250,617.76","281,716,757.91","350,961,771.90","130,294,595.32"
收到其他与筹资活动有关的现金,"4,590,000.00","5,005,400.00","4,426,000.00",,,,,,,,,"11,118,800.00",,,,,,
支付其他与经营活动有关的现金,"111,915,675.33","135,409,987.68","144,756,922.44","139,364,775.91","148,583,761.72","42,829,793.48","114,647,243.60","189,960,937.50","237,677,440.28","63,286,834.14","130,558,791.47","205,496,213.73","280,861,826.09","72,512,785.97","196,535,354.08","380,062,483.87","598,275,159.84","127,168,874.02"
筹资活动现金流入小计,"32,902,437.39","5,005,400.00","45,426,000.00","16,005,000.00","16,005,000.00","789,000,000.00","753,440,000.00","773,440,000.00","794,440,000.00",,"30,000,000.00","41,118,800.00","32,000,000.00",,,,,
经营活动现金流出小计,"1,552,357,661.70","2,089,789,129.80","2,562,767,204.03","2,377,195,956.57","3,128,995,392.44","869,118,734.11","1,844,554,448.31","2,979,908,733.97","3,990,308,117.34","1,089,901,237.17","2,212,914,748.06","3,528,783,296.38","4,838,468,632.15","1,397,613,681.28","3,007,196,173.86","4,793,145,389.86","6,725,113,499.60","1,997,418,489.83"
