科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"123,795,602.75","129,635,829.67","139,847,915.25","45,070,723.13","76,310,738.10","159,602,896.03","28,553,303.70","86,882,218.46","118,249,617.69","291,395,542.99","51,877,960.53","93,821,284.81","148,793,641.60","312,124,433.94","51,556,497.98","99,773,982.96","185,958,854.85","432,705,516.63","103,739,758.91","212,739,606.81","336,626,056.02","684,719,776.92","125,198,404.65","328,198,188.97","501,830,543.88","936,519,388.85","137,919,107.38","311,784,123.45","525,865,578.24","1,067,594,951.08","180,500,594.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"300,000.00","164,977,780.71","33,353,169.54","42,814,904.97","127,184,634.32","143,547,907.84",,"108,012,126.02","107,362,672.20","87,331,287.79",,,,"27,712,386.02",
收到的税费返还,"4,311,306.57","10,457,103.67","9,052,608.62",,,"4,987,564.17","2,133,979.99","9,345,974.24","14,057,692.27","14,023,858.54","14,013,816.05","20,676,460.90","25,456,308.63","31,953,088.86","6,696,459.39","13,830,444.76","25,433,507.90","29,367,444.49","10,482,162.18","20,755,484.76","28,835,335.37","37,898,983.51","9,848,608.56","27,630,588.91","34,047,674.82","46,251,266.74","26,541,890.79","41,156,303.59","69,750,104.88","84,583,616.17","6,023,527.15"
支付其他与投资活动有关的现金,"26,491,525.49",,,,,,,,,,,,,,,,,,,,,"15,500,000.00",,"15,857,461.33","15,857,461.33","22,357,461.33",,"497,053.07","497,053.07","5,077,053.07","3,900,000.00"
收到其他与经营活动有关的现金,"7,528,452.73","12,024,687.27","11,034,743.64","10,969,132.21","19,556,066.53","30,932,575.85","4,781,041.76","18,091,931.17","41,792,760.26","58,548,340.44","12,713,798.53","22,496,488.93","42,395,080.51","48,655,999.85","8,173,402.64","23,777,105.10","95,716,117.55","45,765,706.33","6,618,329.88","26,432,991.27","38,583,247.76","72,588,250.98","10,885,309.47","53,161,454.71","69,138,876.50","94,455,807.35","8,050,706.02","44,126,898.43","81,671,452.08","125,763,050.17","38,132,700.28"
投资活动现金流出小计,"27,974,324.91","768,162.09","2,509,615.41","786,337.77","1,154,279.77","23,791,439.93","8,680,878.27","9,941,437.09","12,196,043.41","22,260,617.83","9,583,657.51","14,620,295.02","18,472,440.47","21,721,350.14","4,163,615.30","10,290,215.47","185,224,132.78","187,020,734.05","157,373,864.56","178,912,051.42","310,192,191.26","493,117,565.21","228,619,447.84","480,309,288.47","666,076,432.73","653,952,427.69","30,433,264.40","77,289,049.85","196,615,917.77","255,407,586.34","64,020,765.71"
经营活动现金流入小计,"135,635,362.05","152,117,620.61","159,935,267.51","56,039,855.34","95,866,804.63","195,523,036.05","35,468,325.45","114,320,123.87","174,100,070.22","363,967,741.97","78,605,575.11","136,994,234.64","216,645,030.74","392,733,522.65","66,426,360.01","137,381,532.82","307,108,480.30","507,838,667.45","120,840,250.97","259,928,082.84","404,044,639.15","795,207,011.41","145,932,322.68","408,990,232.59","605,017,095.20","1,077,226,462.94","172,511,704.19","397,067,325.47","677,287,135.20","1,277,941,617.42","224,656,821.50"
投资活动产生的现金流量净额,"10,475,424.54","6,029,837.91","-2,509,615.41","-689,337.77","-1,057,279.77","-13,656,083.77","-8,680,878.27","-9,940,418.09","-12,195,024.41","-22,259,598.83","-9,583,657.51","-14,620,295.02","-18,467,440.47","-21,714,373.60","-4,163,615.30","-10,285,305.35","-168,005,105.73","-140,482,992.57","-157,364,064.56","-178,843,562.00","-310,123,701.84","-493,042,313.27","-228,619,447.84","-480,308,654.78","-666,075,474.34","-635,776,427.69","-30,359,764.40","-74,018,049.85","-190,272,399.66","-249,058,027.88","-55,929,019.01"
购买商品、接受劳务支付的现金,"77,177,801.53","64,101,171.71","41,812,618.39","26,680,562.14","44,498,041.76","55,559,094.00","21,666,850.71","42,251,335.20","79,610,026.13","119,383,595.60","42,452,959.37","52,209,236.17","84,534,381.37","92,183,624.13","31,161,486.12","44,912,326.90","111,710,872.15","179,633,113.52","70,459,922.21","125,152,493.99","182,414,692.48","271,920,443.94","97,943,312.01","183,925,276.86","254,952,550.82","367,871,386.80","112,390,495.52","222,628,670.87","313,956,924.14","445,129,132.64","156,314,462.13"
吸收投资收到的现金,"3,848,320.20",,,,"347,693,750.00","347,693,750.00",,"3,500,000.00","3,900,000.00","3,900,000.00",,,,"15,987,414.00","5,353,388.00","4,349,614.61","8,768,873.65","37,949,861.98","2,204,188.32","2,902,623.20","25,111,797.65","82,756,474.22","806,250,104.25","816,488,423.29","840,066,991.36","893,665,606.86","172,426,860.00","172,526,860.00","172,526,860.00","224,421,603.69","490,000.00"
