科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"44,617,929.27","68,846,967.35","58,889,310.06","43,712,076.29","271,688,875.47","249,193,211.57","325,614,507.98","313,589,727.40","295,734,037.67","297,403,610.34","329,279,776.56","262,554,718.82","244,833,281.37","294,549,838.68","262,791,873.40","223,888,216.59","179,251,783.93","341,889,163.87","345,247,620.77","297,540,524.00","286,726,381.05","164,537,524.38","329,895,127.62","110,471,393.59","262,820,286.51","300,922,364.62","321,262,001.31","177,520,032.82","311,992,567.15","185,517,377.01","306,197,814.63","263,662,247.49"
短期借款,,,,,,,"2,662,833.33","2,326,333.32","2,284,999.98","2,022,999.97","218,148.35",,,,,"1,250,000.00","6,250,000.00",,,,,,,"100,000,000.00","150,000,000.00","250,000,000.00","175,000,000.00","175,000,000.00","295,000,000.00","260,000,000.00","100,000,000.00","130,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195,613,274.05"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"10,300,000.00","3,210,688.00","1,217,064.00","3,092,000.00","2,965,781.91","1,843,931.89","6,608,069.56","2,271,161.00","3,477,808.00","1,013,552.00","490,890.11","209,290.11","761,300.00","200,000.00","879,833.75","582,409.00","386,190.20",,"50,000.00","50,000.00",,,"10,958,849.00","10,958,849.00","11,179,667.38","1,541,530.00","11,606,753.00","4,323,950.00","292,216.00","17,280,929.80","27,251,568.28","10,865,554.48"
应付票据,,,,,"5,895,739.06","6,921,934.19","6,710,958.58","5,717,898.19","2,385,376.80","1,658,394.70","760,721.02","1,660,888.09",,,,,,,,,,,,,,"1,055,920.00","10,465,470.00",,,,"8,319,053.00",
应收账款,"6,583,143.32","10,025,888.94","17,069,307.17","21,236,290.85","49,464,566.21","52,963,394.23","40,883,734.28","39,814,258.12","32,870,527.02","34,474,708.71","30,137,745.01","38,596,768.06","34,532,232.46","32,518,275.15","65,405,800.53","109,429,601.36","129,845,360.25","146,931,871.12","121,662,141.06","160,255,951.93","173,910,868.99","198,814,675.35","197,432,824.42","278,787,297.60","292,804,091.92","298,941,595.05","368,671,700.79","390,512,077.90","451,873,123.21","590,790,775.58","469,067,642.20","548,206,019.68"
应付账款,"7,061,771.66","2,706,258.30","9,237,425.37","7,873,433.01","28,480,350.63","23,208,284.54","22,187,461.95","43,356,044.87","17,710,079.06","31,846,102.49","19,610,997.57","15,381,048.88","13,629,096.78","19,467,659.93","30,298,256.33","43,763,640.79","48,583,711.10","58,594,829.36","60,656,510.19","66,815,919.21","70,357,273.07","82,618,779.84","113,347,672.75","147,914,039.77","150,546,426.24","143,795,220.33","240,189,710.67","246,652,182.41","257,939,909.58",,"266,187,000.19",
预付款项,"1,640,676.42","29,011,812.90","1,268,915.36","1,508,474.40","12,578,675.12","5,138,308.30","2,973,125.35","3,250,688.85","12,136,134.34","24,525,507.85","11,731,009.37","9,682,346.98","58,866,827.48","67,402,556.78","26,943,883.81","28,110,657.42","23,158,351.60","17,558,300.67","16,035,543.04","9,217,891.13","15,933,624.52","28,929,892.10","24,858,582.64","38,901,735.27","40,894,500.80","45,815,923.66","32,447,523.64","73,690,219.86","82,938,040.24","66,209,654.89","79,344,371.76","80,455,809.85"
预收款项,"8,645,226.30","7,911,145.34","14,367,519.74","9,275,880.60","15,755,582.68","4,070,094.92","44,758,867.67","52,180,402.13","63,099,660.46","67,153,470.80","52,496,784.93","41,508,393.55","29,368,810.05","22,102,370.64","29,257,850.70","24,810,253.35","29,304,985.21","20,883,760.70","60,266,068.34","63,897,973.79","69,302,943.84","69,694,064.70","53,288,912.77","63,559,955.78","74,950,671.37","120,196,778.10","202,206,394.37","205,066,948.14","182,794,093.09","215,220,201.05","164,479,215.91","209,819,347.36"
其他应收款,"6,398,426.33","2,629,977.63","5,068,618.03","5,401,609.99","3,937,617.51","4,235,176.71","3,913,150.08","11,662,159.97","11,009,736.53","8,644,853.41","3,555,722.85","3,860,585.35","2,986,548.49","10,436,940.15","6,717,384.69","7,762,433.91","6,638,018.46","13,219,340.49","12,264,852.12","11,604,361.58","9,312,186.84","19,088,719.02","11,566,180.38","17,622,167.45","19,289,710.43","18,810,551.48","17,073,190.79","20,211,852.95","21,459,854.98","22,767,726.47","19,045,849.81","52,686,215.25"
