科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"10,188,773.03","11,966,658.63","27,540,389.10","37,541,308.73","20,041,880.63","559,068,212.52","526,748,076.27","528,873,755.70","521,325,670.07","552,092,461.80","523,429,474.51","509,054,675.64","488,730,340.76","524,274,419.21","458,482,043.68","440,444,019.13","402,785,233.08","444,392,032.08","409,263,707.24","373,532,888.82","376,820,669.83","362,250,453.16","441,177,726.67","390,219,384.70","406,582,878.70","438,794,458.55","434,792,603.90","651,931,126.41","761,459,975.28","802,793,062.38","566,727,872.55","697,871,902.85","767,631,246.03","673,023,139.64","584,753,984.53"
短期借款,"64,000,000.00","115,500,000.00","119,166,000.00","126,000,000.00","121,000,000.00",,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,"119,623.56",,,,,"20,000,000.00","7,500,000.00",,,,,,,"9,985.92",,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,"224,581.38",,,,,,,,"1,086,300.87","792,695.18","754,113.27","487,995.53",,"643,073.97","963,108.73",,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00",,"22,500,000.00","30,500,000.00","10,500,000.00","10,500,000.00",,"101,250.00","15,741,250.00","13,640,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"17,869,819.10","34,929,224.40","35,957,998.81","74,982,932.79","135,304,481.08","82,970,930.24","90,188,462.08","95,775,410.71","160,604,188.45","104,029,188.98","121,848,087.42","137,921,682.57","187,417,683.29","139,759,706.25","166,230,450.41","187,714,983.76","229,321,377.75","178,647,211.85","167,049,937.78","196,330,045.11","212,629,560.30","175,455,615.49","200,113,228.45","171,563,919.03","237,943,268.76","308,655,755.13","337,101,231.41","291,360,074.53","275,605,766.78","114,159,240.37","91,961,348.37","173,044,955.04","306,015,665.25","227,700,408.25","217,394,771.98"
应付账款,"3,287,805.74","12,479,526.74","8,432,921.10","6,969,801.07","9,988,352.19","2,291,290.30","5,195,834.38","5,933,027.10","7,503,945.23","6,148,627.84","7,235,143.93","7,586,166.98","14,565,517.71","44,801,403.91","4,357,499.91","23,227,181.39","12,651,545.25","18,653,410.40","13,999,681.66","15,866,618.27","15,795,911.62","15,157,326.20","17,078,931.69","17,251,206.98","22,011,347.85","27,762,948.42","10,490,320.16","17,351,099.02","24,521,509.83","30,447,402.29","7,615,481.87","22,285,328.64","23,759,466.08","17,736,196.35","11,652,394.85"
预付款项,"14,032,297.96","17,207,275.56","38,654,819.28","10,442,263.97","13,742,983.11","12,523,388.17","20,211,209.25","7,362,013.26","12,724,780.12","12,803,761.41","15,555,038.66","19,516,253.86","10,934,412.64","18,030,229.01","7,786,957.09","6,464,609.23","7,572,503.72","17,524,719.99","13,777,228.50","10,667,628.08","16,331,359.09","8,924,274.94","64,189,845.91","58,989,263.29","49,643,211.79","44,518,320.79","56,078,898.04","54,256,345.23","71,284,830.68","27,498,375.06","59,413,513.86","62,203,315.69","85,263,163.65","23,399,778.57","41,884,285.35"
预收款项,"8,350.84","514,433.02","1,672,783.06","1,391,175.91","1,776,746.62","857,694.24","2,449,186.11","1,248,064.82","2,090,205.27","2,290,780.99","2,004,290.95","1,216,121.82","2,669,549.67","2,726,386.87","3,342,436.41","3,690,243.85","5,142,232.43","2,597,379.14","2,307,164.92","2,679,147.05","11,935,912.34","13,283,256.85","28,991,813.89","21,400,078.94","33,458,657.02","79,443,794.98","62,084,729.77","290,506,627.95","307,924,321.86","150,215,693.70","32,200,692.32","25,073,255.28","42,624,882.87","41,542,602.39","143,364,992.18"
其他应收款,"2,506,106.59","8,412,054.96","9,591,617.63","10,097,710.52","9,579,282.52","7,898,778.41","4,892,813.10","6,721,038.15","6,432,464.92","6,823,597.70","5,434,476.89","5,804,149.79","14,633,045.48","6,850,553.92","2,388,183.75","4,620,707.30","7,137,505.97","7,285,868.44","3,230,237.30","1,681,009.91","8,223,082.97","6,467,908.17","5,791,998.31","19,354,594.08","20,110,178.51","5,620,178.70","11,427,169.35","3,179,681.35","3,781,414.88","111,242,995.76","129,589,152.15","2,328,737.60","2,552,253.38","48,659,889.28","48,705,216.48"
