科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"166,794,268.54","236,251,675.90","846,363,233.61","209,722,154.80","285,750,851.63","330,817,150.13","83,669,865.65","139,756,633.15","225,937,421.33","282,531,555.03","54,635,203.09","98,811,279.03","164,588,149.68","226,580,621.00","50,916,910.94","101,566,993.29","141,527,566.58","152,418,243.66","43,514,949.50","153,429,718.73","238,455,692.37","804,938,152.10","272,774,903.69","649,797,443.18","1,059,293,461.66","1,966,556,511.42","315,065,141.66","708,958,002.73"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"8,559,522.76","8,559,283.64",,,,,,,,,,,,"177,927,225.00",,,,"78,292,000.00",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,"3,075,486.53","3,075,486.53","9,370,803.65","1,312,999.56","2,086,713.90"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"290,000.00",,,,,,,
收到其他与经营活动有关的现金,"5,802,466.15","7,850,692.10","2,643,512.32","5,952,812.60","6,902,496.26","11,629,001.46","2,129,542.28","3,234,573.62","11,120,958.95","38,027,064.46","1,991,295.15","9,246,757.63","11,595,583.96","33,088,337.71","6,067,234.29","6,233,288.91","13,941,270.98","55,373,962.04","14,929,756.66","57,523,757.33","68,108,605.69","105,852,417.02","19,767,186.32","20,737,967.27","44,418,851.79","50,555,071.13","6,640,418.67","16,025,054.46"
投资活动现金流出小计,"16,198,934.63","10,785,475.53","13,494,913.80","7,399,488.94","7,747,100.94","22,346,586.77","7,836,780.50","25,426,607.85","58,216,600.94","86,283,582.19","5,987,564.01","15,700,829.58","47,193,976.07","50,304,176.46","10,075,423.42","15,126,169.40","17,479,723.52","21,682,973.49","23,182,079.33","156,181,888.19","184,940,220.33","325,740,378.46","60,817,016.61","104,461,719.35","186,826,981.52","276,484,255.34","39,570,918.09","138,733,032.78"
经营活动现金流入小计,"172,596,734.69","244,102,368.00","849,006,745.93","215,674,967.40","292,653,347.89","342,446,151.59","85,799,407.93","142,991,206.77","237,058,380.28","320,558,619.49","56,626,498.24","108,058,036.66","176,183,733.64","259,668,958.71","56,984,145.23","107,800,282.20","155,468,837.56","207,792,205.70","58,444,706.16","210,953,476.06","306,564,298.06","910,790,569.12","292,542,090.01","673,610,896.98","1,106,787,799.98","2,026,482,386.20","323,018,559.89","727,069,771.09"
投资活动产生的现金流量净额,"-16,161,353.63","-10,459,665.53","-13,060,284.63","-7,399,488.94","-7,747,100.94","-22,118,362.60","-7,836,780.50","-25,426,607.85","-58,216,600.94","-85,283,582.19","-5,834,023.36","-15,547,163.93","-47,040,310.42","-50,150,510.81","-9,825,423.42","-14,876,169.40","-17,229,723.52","-22,314,658.50","-22,932,079.33","-155,931,888.19","-181,190,220.33","-287,357,737.35","-59,192,016.61","-102,836,719.35","-153,038,088.52","-225,482,767.28","-39,070,918.09","-138,233,032.78"
购买商品、接受劳务支付的现金,"112,484,676.11","203,421,474.57","731,097,827.07","244,858,821.79","269,694,931.49","306,024,783.98","101,306,045.97","129,658,787.85","187,030,375.61","203,844,516.90","33,090,215.07","82,544,092.16","148,990,363.42","182,165,971.33","42,691,273.36","77,677,870.91","95,413,371.00","87,922,911.58","75,299,978.14","192,479,298.76","279,314,166.04","781,107,016.61","196,428,601.56","487,677,598.74","662,318,111.36","1,547,283,978.76","335,303,466.66","744,669,162.96"
吸收投资收到的现金,"27,272,000.00",,,,"560,200,000.00","560,200,000.00",,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","129,739,111.81",,,,,,
支付给职工以及为职工支付的现金,"8,127,247.90","12,581,430.52","15,756,672.77","8,659,960.05","12,200,968.47","16,956,429.54","5,912,698.11","10,197,920.44","16,120,501.08","21,771,212.31","7,882,921.76","13,266,049.87","19,929,969.35","26,809,178.34","8,889,639.15","16,392,146.58","22,967,911.89","29,911,064.91","9,390,635.62","14,377,948.71","22,826,446.13","43,825,677.57","28,214,809.18","49,250,367.42","85,270,427.47","117,414,652.50","39,353,337.42","79,414,380.03"
取得借款收到的现金,"58,470,000.00","72,150,000.00","63,560,000.00","220,000,000.00","240,000,000.00","320,000,000.00","95,400,000.00","95,400,000.00","154,042,000.00","158,042,000.00","76,650,000.00","148,050,000.00","154,730,000.00","158,499,200.00","18,090,000.00","18,390,000.00","19,315,000.00","17,000,000.00","21,775,000.00","54,354,573.40","63,204,573.40","164,784,573.40","48,950,000.00","161,010,000.00","189,010,000.00","300,160,000.00","230,522,210.80","438,522,210.80"
支付的各项税费,"17,627,846.19","12,330,409.44","70,769,056.08","27,648,318.40","31,546,350.23","42,873,110.05","5,441,050.01","8,758,569.40","11,963,516.29","15,859,913.88","3,631,131.41","7,070,868.33","11,066,807.45","14,698,714.17","5,100,306.98","8,192,287.95","11,997,658.06","15,764,861.32","2,857,214.05","4,515,090.85","10,857,825.14","17,427,291.21","27,275,871.03","36,517,766.11","56,219,856.32","78,635,100.71","27,789,319.73","35,707,022.95"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"14,507,903.76",,
支付其他与经营活动有关的现金,"14,507,722.49","20,139,330.36","25,260,672.21","11,466,940.99","16,707,490.61","21,061,686.74","3,898,904.54","8,549,127.71","19,423,879.48","53,311,111.58","8,087,288.25","20,391,626.74","29,369,397.95","48,027,622.22","12,752,136.09","20,635,141.26","31,221,505.44","136,237,237.12","3,372,613.40","20,699,104.76","24,159,226.31","66,652,390.96","70,065,076.66","183,307,270.89","338,653,606.48","382,907,608.80","38,571,871.94","50,891,455.11"
筹资活动现金流入小计,"85,742,000.00","72,150,000.00","63,560,000.00","220,000,000.00","800,200,000.00","880,200,000.00","95,400,000.00","95,400,000.00","154,042,000.00","158,042,000.00","76,650,000.00","148,050,000.00","154,730,000.00","158,499,200.00","18,090,000.00","18,390,000.00","19,315,000.00","17,000,000.00","21,775,000.00","56,354,573.40","65,204,573.40","294,523,685.21","48,950,000.00","161,010,000.00","189,010,000.00","411,507,526.39","230,522,210.80","438,522,210.80"
经营活动现金流出小计,"152,747,492.69","248,472,644.89","842,884,228.13","292,634,041.23","330,149,740.80","386,916,010.31","116,558,698.63","157,164,405.40","234,538,272.46","294,786,754.67","52,691,556.49","123,272,637.10","209,356,538.17","271,701,486.06","69,433,355.58","122,897,446.70","161,600,446.39","269,836,074.93","90,920,441.21","232,071,443.08","337,157,663.62","909,012,376.35","321,984,358.43","756,753,003.16","1,142,462,001.63","2,126,241,340.77","441,017,995.75","910,682,021.05"
偿还债务支付的现金,"57,130,000.00","75,700,000.00","33,510,000.00","150,000,000.00","210,000,000.00","275,000,000.00","90,000,000.00","135,000,000.00","232,779,420.00","243,276,000.00","8,420,600.00","82,870,600.00","88,050,600.00","145,075,400.00","8,720,000.00","39,920,000.00","40,020,000.00","36,500,000.00",,,"13,775,000.00","39,525,000.00","16,861,600.00","23,710,979.16","28,710,979.16","136,659,573.40","121,542,096.24","179,894,192.48"
