科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"19,596,580.72","26,812,637.27","17,036,694.03","23,909,585.90","21,900,891.83","36,330,917.14","328,495,667.47","307,769,752.92","265,303,309.52","276,784,452.65","234,048,943.20","189,247,465.51","245,826,247.72","103,092,917.84","88,562,232.92","57,422,976.16","68,785,528.24","58,175,651.29","58,950,801.15","66,264,608.04","118,197,806.77","144,478,470.94","115,644,787.69","49,711,578.68","77,250,987.85","97,873,048.32","111,094,615.43","119,423,683.33","158,866,119.86","184,851,858.66","157,972,424.92","112,425,017.93","79,926,941.85"
短期借款,"11,900,000.00","30,000,000.00","44,000,000.00","72,000,000.00","77,000,000.00","77,000,000.00",,,,,,,"85,000,000.00",,,,,,,"15,000,000.00","15,000,000.00","706,585.39",,"1,460,424.96","62,923,532.97","121,234,597.46","109,950,000.00","111,614,556.15","112,648,436.89","110,728,401.78","109,950,000.00","71,689,022.94","15,077,268.69"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"282,642.00","437,250.00","537,250.00","237,250.00",,,"1,311,030.85","850,000.00","640,000.00","552,200.10","765,634.20","1,039,352.20","643,718.00","1,025,000.00","700,000.00","1,790,000.00","400,000.00","1,878,000.00","600,000.00","1,462,480.00","100,000.00","200,000.00","488,878.75","835,064.16",,"620,000.00","384,000.00","380,000.00","396,600.00","386,000.00","309,679.80"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,"10,400,000.00","19,650,000.00","28,570,000.00","34,540,000.00","25,195,000.00","27,982,000.00","25,302,000.00","23,166,000.00","26,480,680.00","15,209,680.00"
应收账款,"16,313,088.15","11,437,077.72","19,590,118.03","27,605,269.74","38,566,102.77","20,461,702.69","44,218,150.73","47,983,145.40","57,721,484.53","34,416,009.77","52,539,237.75","56,430,286.76","63,614,514.01","54,576,839.03","63,817,936.71","74,593,202.58","74,661,780.84","60,882,051.82","79,655,435.93","84,481,659.06","90,862,457.56","67,198,439.57","91,528,666.74","81,362,717.95","97,140,130.21","89,491,744.28","87,800,666.04","101,288,548.66","110,376,154.48","102,187,616.11","124,390,943.34","108,693,192.05","110,663,439.16"
应付账款,"46,917,745.47","25,621,131.11","19,429,043.91","9,231,902.13","32,671,728.80","29,727,770.93","34,526,433.07","34,697,101.49","10,880,900.26","42,374,857.68","26,597,286.02","31,030,376.27","15,740,508.29","16,283,067.78","7,670,790.67","15,484,578.34","12,438,834.15","12,742,681.96","14,296,898.92","12,909,379.72","16,886,652.44","29,664,854.97","29,736,243.23","39,602,764.44","64,941,551.96","50,257,953.27","51,893,691.22","41,610,228.84","52,610,437.03","47,766,878.16","44,610,646.91","39,212,929.32","47,425,111.00"
预付款项,"1,026,925.97","7,495,657.73","2,948,785.74","2,278,807.94","3,580,180.94","1,152,631.90","2,670,758.76","8,485,850.41","12,992,367.95","7,041,487.02","5,914,177.17","6,816,270.01","11,760,512.28","49,567,048.59","64,186,452.44","61,996,846.42","62,732,735.31","3,946,770.29","4,693,419.14","6,328,467.53","8,074,441.13","19,543,599.64","15,893,190.26","11,944,263.14","18,374,037.24","15,569,063.51","19,363,516.85","11,361,761.76","15,054,512.09","10,708,014.42","9,527,275.37","7,974,878.54","13,842,501.60"
预收款项,"4,484,388.51","1,935,297.45","1,220,280.27","3,085,033.80","7,034,680.53","1,356,546.64","4,962,828.79","1,888,093.48","5,649,107.17","1,171,484.17","4,793,343.89","3,009,260.03","4,799,476.96","2,192,201.81","3,288,625.19","1,779,549.66","3,914,301.72","4,787,176.41","10,110,714.17","9,554,609.08","13,043,895.25","25,734,403.10","21,850,078.80","25,569,198.31","34,527,467.80","35,625,788.47","39,298,911.05","41,123,535.47","40,570,557.31","50,167,998.31","42,713,035.93","36,518,903.90","37,980,090.11"
其他应收款,"5,959,644.31","1,615,545.45","5,399,730.59","4,486,712.33","4,820,825.63","3,939,667.65","5,690,277.81","2,054,669.70","5,715,412.11","5,683,679.34","4,778,376.79","7,863,058.66","8,239,374.59","8,638,486.48","10,595,287.48","12,531,178.25","17,770,763.36","12,500,894.21","9,110,446.06","5,139,333.77","2,041,700.67","4,853,829.63","9,547,819.42","4,741,187.92","4,685,209.78","8,264,933.62","5,151,369.90","7,388,484.87","10,096,644.71","6,946,345.31","63,658,177.69","41,347,302.65","40,304,458.50"
应付职工薪酬,"1,014,146.35","450,000.00","19,174.20",,,,,,,,,,,,,,,,,,,"19,922,236.39","20,913,105.74","21,124,973.12","19,080,016.55","19,292,826.83","19,163,802.72","19,519,466.05","20,258,307.52","20,476,322.79","19,639,391.41","17,222,027.79","20,662,335.57"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,251,406.74","1,343,618.27","2,791,905.64","4,356,712.53","2,963,435.16","4,443,647.88","2,408,666.12","3,771,459.01","3,356,012.30","1,769,515.42","-2,544,180.31","-3,781,182.50","-1,923,271.62","-4,715,611.02","-2,409,804.28","-1,653,013.08","-3,041,840.86","3,637,180.65","2,194,259.19","2,925,666.30","1,611,624.56","6,678,089.81","7,545,658.91","5,145,364.71","6,415,402.93","7,248,935.74","5,832,773.22","8,691,237.17","9,531,646.95","11,732,164.85","6,658,883.76","6,868,844.72","6,378,221.67"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,"77,000.00","22,000.00","2,099,066.68","2,076,000.00","2,122,133.32","2,099,066.68","132,189.58","132,189.58","101,887.48","132,189.58","2,231,256.26","132,189.58","259,564.20","132,189.58"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,"15,800,000.00","5,769,366.72",,"11,850,000.00","2,406,009.59","2,406,009.59",,,,
存货,"8,991,054.75","21,342,944.40","52,107,148.38","54,231,152.82","57,058,370.07","61,442,143.94","64,491,198.00","67,801,025.09","75,227,312.52","90,669,893.19","93,730,095.03","98,917,494.52","106,152,121.92","102,683,309.07","96,000,563.61","92,736,892.43","95,162,816.47","100,908,166.68","100,177,408.45","92,536,472.64","97,010,713.70","147,446,667.55","153,046,407.14","177,597,879.45","196,045,368.51","208,195,056.63","208,650,406.91","191,045,426.60","188,939,911.46","181,161,639.30","175,417,056.16","167,692,149.46","175,459,943.31"
其他应付款,"18,486,810.62","3,992,797.83","158,101.51","167,512.65","195,388.55","194,048.74","177,040.70","180,778.28","161,692.25","272,871.93","161,927.04","288,559.49","161,825.94","297,887.87","157,372.70","257,227.25","209,830.37","217,236.27","211,487.46","247,119.56","185,578.07","2,707,986.41","3,942,342.16","3,135,860.80","4,825,093.09","3,379,212.19","3,896,144.80","1,790,139.19","18,355,719.59","3,192,826.09","4,095,152.18","3,124,230.06","23,700,482.61"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,"599,863.35","599,863.35","599,863.35","599,863.35","681,941.80","681,941.80","504,127.56","504,127.56",,,,,,,,,,,,
一年内到期的非流动负债,,"20,000,000.00","20,000,000.00","100,000,000.00","100,000,000.00","100,706,766.80","706,766.80","706,766.80","706,766.80","706,766.80","706,766.80","706,766.80","951,766.80","951,766.80","1,096,166.80","1,096,166.80","1,096,166.80","880,588.93","853,897.23","845,000.00","845,000.00","2,338,368.98","2,319,528.57","2,727,684.58","2,273,107.34","2,179,811.95","2,624,082.53","2,250,206.49","2,198,486.09","175,134,582.56","175,260,329.38","1,719,392.04","2,719,392.04"
其他流动资产,,,,,,,,,,,,,,,,,,"7,207,638.11","6,169,682.20","10,269,699.38","8,391,507.70","9,217,695.32","1,102,780.72","6,995,182.95","2,968,049.81","1,244,223.39","120,803.51",,,"1,280,463.81","858,526.11","2,444,333.91",
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"51,887,293.90","68,703,862.57","97,365,118.77","112,948,778.73","126,463,621.24","123,564,313.32","445,566,052.77","434,094,443.52","418,270,917.48","415,445,521.97","391,650,829.94","359,826,775.56","436,358,404.72","320,197,816.56","324,406,054.51","300,905,959.19","320,413,487.57","246,093,114.20","259,839,134.73","267,402,367.98","325,682,755.09","394,201,182.65","386,863,651.97","332,552,810.09","396,952,662.15","421,473,133.91","432,181,378.64","431,127,905.22","483,717,342.60","487,515,937.61","532,221,003.59","440,962,874.54","483,506,964.22"
流动负债合计,"88,054,497.69","83,342,844.66","87,618,505.53","188,841,161.11","219,865,233.04","213,428,780.99","42,781,735.48","41,244,199.06","20,754,478.78","46,295,496.00","29,715,143.44","31,253,780.09","104,730,306.37","15,009,313.24","9,803,151.08","16,964,508.97","14,617,292.18","22,264,864.22","27,667,256.97","41,558,774.66","47,594,750.32","89,851,591.73","88,382,957.41","127,088,404.24","222,504,606.04","267,921,315.49","279,181,595.12","254,302,266.43","286,693,790.55","446,732,430.80","426,225,629.15","203,095,594.97","169,284,771.27"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,"62,100,000.00","62,100,000.00","62,100,000.00","62,100,000.00","62,100,000.00","62,100,000.00","62,100,000.00",,,
长期借款,,"75,000,000.00","100,000,000.00",,,,,,,,,,,,,,,,,,"174,378,000.00","173,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00",,,"178,240,800.00","179,935,900.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,"1,153,189.18","968,793.60","795,845.25","593,345.68","399,795.03","299,698.22","119,641.55",,,,,
长期股权投资,,"3,105,722.18",,,,,,,,,,,,,,,,"24,238,833.24","29,578,833.24","35,578,833.24","166,521,241.91",,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,"3,186,486.38","2,805,471.69","2,342,284.37","2,648,256.81","3,040,566.57","3,058,657.09","3,233,361.26","3,289,563.45","2,968,627.01","3,330,969.97","3,439,336.32","1,890,695.72"
固定资产,"73,319,816.57","69,668,871.45","190,249,546.68","188,143,101.26","185,771,709.57","183,245,687.16","211,723,129.75","208,106,310.74","207,664,864.03","210,783,675.20","212,468,193.78","263,061,949.86","257,058,929.70","252,279,195.29","246,121,987.91","285,076,759.49","292,920,954.22","335,449,676.11","329,379,596.44","321,942,178.34","316,049,661.10","369,353,509.33","358,674,793.43","357,194,332.43","348,241,382.34","347,656,187.30","341,904,876.19","332,776,494.11","325,853,677.83","423,555,385.06","417,629,770.76","435,805,092.66","420,524,577.55"
递延所得税负债,,,"113,496.84","109,602.01","107,654.59","105,707.17","105,707.17","101,812.34","101,812.34","97,917.51","97,917.51","97,917.51","92,075.25","90,127.84","88,180.42","86,233.00","84,285.59","82,338.17","80,390.75","78,443.34","76,495.92","6,157,521.68","5,653,552.30","4,791,840.47","5,015,216.24","5,685,609.33","4,689,074.42","6,187,153.64","6,388,797.63","7,145,090.57","6,923,666.54","6,047,881.89","4,797,770.14"
在建工程,"132,517.63","97,095,489.58","46,250.00","5,858,056.73","29,792,068.11","37,438,513.55","7,198,077.86","7,198,077.86","15,072,780.02","48,797,843.60","59,083,247.62","27,906,910.50","36,349,296.32","73,175,790.64","75,165,049.65","63,904,050.22","49,829,120.99","4,701,432.79","9,424,363.95","18,369,758.54","18,495,911.36","21,807,820.18","25,076,658.93","21,698,631.57","23,007,778.64","87,682,753.79","86,932,857.85","102,335,176.51","103,654,701.73","7,967,480.77","9,650,974.52","9,127,829.32","18,170,874.75"
其他非流动负债,,"2,700,000.00","2,862,656.13","5,634,272.73","5,528,758.90","4,574,122.53","4,397,430.83","4,220,739.13","4,044,047.43","3,867,355.73","3,690,664.03","5,923,139.00","5,440,197.30","5,202,255.60","6,227,813.90","5,953,772.20","15,679,730.50","15,765,266.67","15,554,416.67","15,343,166.67","15,131,916.67","3,586,115.54","3,433,503.47","3,621,395.19",,,,,,,,,
工程物资,,"155,596.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,"77,700,000.00","102,976,152.97","5,743,874.74","5,636,413.49","4,679,829.70","4,503,138.00","4,322,551.47","4,145,859.77","3,965,273.24","3,788,581.54","6,021,056.51","5,532,272.55","5,292,383.44","6,315,994.32","6,040,005.20","15,764,016.09","15,847,604.84","15,634,807.42","15,421,610.01","189,586,412.59","202,848,979.45","201,875,060.23","200,131,846.60","199,797,577.33","200,112,446.51","198,989,562.73","199,922,507.17","199,878,018.16","26,604,467.27","26,596,377.83","203,261,049.47","202,369,128.02"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"88,054,497.69","161,042,844.66","190,594,658.50","194,585,035.85","225,501,646.53","218,108,610.69","47,284,873.48","45,566,750.53","24,900,338.55","50,260,769.24","33,503,724.98","37,274,836.60","110,262,578.92","20,301,696.68","16,119,145.40","23,004,514.17","30,381,308.27","38,112,469.06","43,302,064.39","56,980,384.67","237,181,162.91","292,700,571.18","290,258,017.64","327,220,250.84","422,302,183.37","468,033,762.00","478,171,157.85","454,224,773.60","486,571,808.71","473,336,898.07","452,822,006.98","406,356,644.44","371,653,899.29"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"50,355,000.00","59,000,000.00","59,000,000.00","59,000,000.00","59,000,000.00","59,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","158,000,000.00","158,000,000.00","158,000,000.00","158,000,000.00","158,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00","474,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"1,851,578.40","25,883,943.70","24,032,365.30","24,032,365.30","24,032,365.30","24,032,365.30","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","489,430,861.58","410,430,861.58","410,430,861.58","410,430,861.58","410,430,861.58","410,430,861.58","94,430,861.58","94,430,861.58","94,430,861.58","93,704,769.25","94,094,478.24","94,094,476.39","94,094,476.39","94,094,476.39","94,094,476.39"
无形资产,"16,987,536.04","16,743,371.01","16,466,877.80","16,271,861.36","16,174,353.14","16,081,887.66","15,984,123.03","15,886,358.40","15,788,593.77","15,918,718.60","15,832,842.28","15,737,724.28","15,692,864.10","15,613,287.41","15,497,217.79","15,381,415.03","15,293,022.53","52,526,308.56","52,229,036.32","51,960,512.27","51,664,281.65","53,077,114.77","53,211,843.34","53,354,914.34","53,084,360.34","59,355,448.28","58,938,447.61","58,281,194.46","57,755,211.38","64,633,489.84","64,118,969.35","59,153,909.06","58,727,966.38"
