科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
销售商品、提供劳务收到的现金,"712,750,032.58","1,224,373,816.49","1,801,744,764.57","2,649,924,466.70","977,469,025.71","1,527,478,272.59","2,293,324,443.72","3,130,593,236.98","914,563,209.61","1,591,196,710.62","2,446,458,557.35","3,533,043,849.67","1,195,477,400.47","1,915,955,303.58","2,958,803,478.56","4,158,912,211.60","1,438,860,579.89","2,344,347,553.79","3,569,623,074.71","5,183,444,781.96","1,361,760,862.61","2,343,856,827.36","3,674,547,051.09","5,142,278,246.68","1,397,215,012.93","2,307,101,498.15","3,330,246,542.25","4,558,778,541.72","1,001,095,067.28","1,785,309,229.19","2,598,015,672.83","3,523,265,618.74","801,463,490.89","1,394,647,925.23","2,120,695,616.69","2,881,029,306.01","735,601,949.49","1,433,568,250.68","2,290,379,509.26","3,307,186,931.96","891,771,781.47","1,644,536,063.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,829,882,700.00",,,"-7,204,384,408.54",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,594,158.03","4,963,351.11",,"25,781,653.14","3,179,835.07"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"1,660,992.11","1,050,000,000.00","18,282.98","17,740.90","5,019.39",,,,,,,,,,,,,,,"78,528,848.45",,,
收到其他与经营活动有关的现金,"34,367,600.96","45,975,089.89","156,163,632.97","165,295,097.42","42,564,290.75","75,545,626.73","80,585,429.89","136,027,311.79","26,389,982.99","57,584,986.08","79,129,168.99","129,692,226.25","47,932,789.18","101,697,803.50","176,944,565.62","250,489,792.81","22,914,868.38","49,501,893.13","190,328,159.35","197,791,637.43","33,554,361.63","59,587,286.79","111,673,828.87","236,424,818.93","26,420,671.17","63,088,701.16","109,161,928.45","237,398,760.33","33,561,223.96","64,496,028.91","147,022,513.41","240,711,349.85","10,169,390.61","68,020,492.50","128,092,736.56","212,583,626.65","85,318,826.72","1,674,389,382.07","5,757,265,877.41","7,934,470,501.68","1,576,932,126.65","4,455,844,991.20"
投资活动现金流出小计,"984,101.00","2,196,670.10","3,985,567.80","5,388,045.95","454,030.00","1,618,393.40","2,805,935.30","13,197,209.24","988,164.08","1,386,222.08","2,709,634.06","3,099,077.22","311,866,562.88","2,677,729.98","30,171,722.09","54,915,096.49","210,517.12","2,323,183.53","3,672,094.98","1,797,452,064.03","1,058,122,999.16","1,545,981,018.64","2,196,004,406.56","2,412,307,564.19","751,664,747.94","1,206,827,707.28","1,588,484,606.64","1,959,432,144.08","700,748,659.47","807,477,327.91","1,296,268,174.98","3,341,732,615.62","216,308,457.96","661,852,242.49","2,544,681,456.17","4,232,902,355.58","9,679,882,700.00","19,844,989.82","475,754,960.23","-7,097,772,393.23","19,762,001.42","1,311,952,410.43"
经营活动现金流入小计,"747,117,633.54","1,270,348,906.38","1,957,908,397.54","2,815,219,564.12","1,020,033,316.46","1,603,023,899.32","2,373,909,873.61","3,266,620,548.77","940,953,192.60","1,648,781,696.70","2,525,587,726.34","3,662,736,075.92","1,243,410,189.65","2,017,653,107.08","3,135,748,044.18","4,409,402,004.41","1,461,775,448.27","2,393,849,446.92","3,759,951,234.06","5,381,236,419.39","1,395,315,224.24","2,403,444,114.15","3,786,220,879.96","5,378,703,065.61","1,423,635,684.10","2,370,190,199.31","3,439,408,470.70","4,796,177,302.05","1,034,656,291.24","1,849,805,258.10","2,745,038,186.24","3,763,976,968.59","811,632,881.50","1,462,668,417.73","2,248,788,353.25","3,093,612,932.66","820,920,776.21","4,071,205,439.25","10,313,457,481.35","12,366,886,224.96","8,682,861,789.43","11,734,365,220.97"
投资活动产生的现金流量净额,"-977,521.00","-2,160,590.10","-48,487.80","20,527,856.35","-449,030.00","6,428,019.03","5,242,937.13","-3,324,895.10","-523,289.08","55,693.92","-1,664,079.33","-528,968.30","-311,866,562.88","-2,630,521.34","-29,811,384.66","-39,524,394.91","-209,317.12","-4,053,290.68","-5,349,972.13","-330,495,105.13","-301,887,471.22","-501,804,657.00","-434,934,908.09","167,974,810.99","-649,310,701.54","-497,039,985.08","-807,848,051.68","-499,014,750.58","-297,374,376.58","-302,482,714.85","-431,084,622.56","-985,800,018.95","-13,736,407.28","397,104,764.39","-81,150,894.90","-170,406,994.61","-8,702,038,502.58","8,638,734,473.16","7,208,894,904.52","8,719,362,191.99","1,388,269,060.05","-356,396,805.05"
购买商品、接受劳务支付的现金,"536,294,105.80","995,919,623.17","1,407,632,563.35","2,040,104,219.23","798,061,608.63","1,309,110,432.86","1,859,036,344.01","2,436,312,820.92","742,091,675.38","1,347,002,008.51","1,851,777,551.74","2,675,921,297.38","864,591,364.85","1,548,732,115.19","2,215,894,065.30","3,039,563,316.32","1,232,400,675.23","2,050,411,945.34","2,875,789,004.41","3,882,249,346.46","1,187,652,178.12","2,164,763,442.83","3,056,358,750.03","4,148,902,867.99","1,199,419,802.57","2,063,499,079.02","2,872,605,937.14","3,732,371,183.54","989,962,097.71","1,712,988,789.82","2,356,163,920.53","2,985,455,089.51","739,248,107.20","1,310,732,343.23","1,876,955,510.21","2,462,625,168.28","725,540,422.91","2,496,149,085.29","7,228,164,989.61","10,389,407,875.31","5,325,598,395.13","10,699,294,157.52"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,952,887,608.25","9,952,887,608.25","9,952,887,608.25","9,953,622,608.25",,"1,950,000.00"
