科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"4,314,751,530.70","5,079,630,891.32","6,138,111,258.51","2,959,981,061.51","4,475,915,711.98","6,170,516,564.29","1,620,403,408.99","3,336,341,314.23","4,854,794,876.36","6,199,614,977.16","1,291,238,026.28","2,872,387,496.48","4,588,576,612.54","6,037,099,227.67","1,285,376,029.53","2,879,398,089.85","4,443,744,157.58","6,488,930,034.21","1,814,473,333.37","3,743,221,394.55","5,613,405,435.69","8,242,190,286.91","2,101,212,725.82","4,159,659,081.37","6,481,060,764.61","9,771,960,234.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"129,972,102.05",,,,"8,000,000.00","180,408,370.90","180,398,321.10","246,638,321.10","179,390,344.98"
收到的税费返还,"209,431,926.70","293,937,976.27","389,663,146.10","167,928,674.87","242,874,810.36","361,224,631.35","53,327,861.17","153,757,155.59","271,328,036.42","380,571,097.99","32,691,817.25","177,935,871.21","283,107,055.75","438,083,939.69","93,459,161.09","183,778,573.15","336,872,885.34","472,780,719.70","131,123,682.89","240,518,872.18","358,785,282.83","490,475,056.58","133,604,939.24","282,699,924.00","409,713,381.61","601,170,419.57"
支付其他与投资活动有关的现金,"3,853,165,942.95","1,946,737,224.60",,,,,,,,,,,,,,,,,"209,907.50","6,371,134.19",,,,,,
收到其他与经营活动有关的现金,"28,369,766.05","95,606,557.54","117,773,425.78","20,995,391.64","92,684,425.01","40,401,232.08","34,398,047.45","23,501,261.31","67,132,245.59","87,910,910.61","91,566,082.27","55,424,669.08","70,838,765.52","104,039,835.28","44,385,137.89","62,685,127.63","97,025,158.25","154,505,391.16","108,440,959.40","84,521,504.88","127,438,562.95","112,674,287.86","70,815,784.42","163,387,062.61","208,890,271.01","227,558,964.39"
投资活动现金流出小计,"4,038,050,700.76","2,351,070,834.24","419,395,953.90","107,172,085.40","155,556,670.08","608,299,284.59","407,243,389.12","624,976,309.46","856,348,362.62","1,436,544,008.09","1,535,931,374.76","3,679,002,356.30","6,044,980,450.03","9,844,445,757.85","3,777,147,726.65","7,594,089,867.55","10,594,245,768.83","12,218,742,888.35","1,413,601,283.32","3,427,703,830.43","6,166,108,212.47","9,629,950,524.53","3,094,064,858.94","6,272,674,346.60","9,370,132,774.62","13,346,824,065.37"
经营活动现金流入小计,"4,552,553,223.45","5,469,175,425.13","6,645,547,830.39","3,148,905,128.02","4,811,474,947.35","6,572,142,427.72","1,708,129,317.61","3,513,599,731.13","5,193,255,158.37","6,668,096,985.76","1,415,495,925.80","3,105,748,036.77","4,942,522,433.81","6,579,223,002.64","1,423,220,328.51","3,125,861,790.63","4,877,642,201.17","7,116,216,145.07","2,054,037,975.66","4,068,261,771.61","6,099,629,281.47","8,845,339,631.35","2,305,633,449.48","4,605,746,067.98","7,099,664,417.23","10,600,689,618.21"
投资活动产生的现金流量净额,"-748,851,160.44","1,221,115,403.69","-393,214,310.67","-99,689,291.86","-147,662,115.58","-596,230,316.25","-203,602,718.64","-315,045,203.48","-436,905,181.57","-389,170,227.26","-217,592,038.95","-101,815,862.20","-624,600,705.32","-860,941,848.60","-294,723,665.41","-295,097,735.36","-335,335,277.65","-201,309,094.03","-134,950,881.17","-140,218,283.27","-343,984,399.66","-833,220,504.80","381,641,494.05","543,428,978.16","-561,052,038.01","-871,698,228.48"
购买商品、接受劳务支付的现金,"3,170,606,979.71","4,229,061,855.85","5,392,376,625.12","2,638,027,210.32","3,850,698,679.90","5,156,452,452.20","1,388,953,683.40","2,634,364,601.21","3,944,549,198.69","5,209,545,706.61","1,145,612,693.51","2,345,921,143.04","3,633,663,473.67","4,824,740,976.18","1,129,793,389.50","2,222,239,895.78","3,592,141,942.31","5,003,058,886.76","1,496,147,706.37","2,989,591,902.91","4,530,674,601.28","6,265,962,506.13","1,637,415,050.12","3,673,301,635.95","5,606,873,399.25","8,036,598,619.57"
吸收投资收到的现金,,"7,840,000.00","31,360,000.00",,"500,700,000.00","500,700,000.00",,,,"14,000,000.00","3,500,000.00","3,500,000.00","44,563,145.80","63,636,677.77","12,250,000.00","13,684,084.86","61,292,776.18","71,968,154.39",,"15,000,000.00","80,608,783.10","85,152,823.05","653,581.44","1,272,282.88","1,272,282.88","30,672,282.88"
