科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"544,699,756.36","829,607,734.46","1,245,116,141.64","399,020,315.07","656,618,811.68","859,408,435.58","655,640,659.42","130,117,317.84","300,994,649.08","507,359,723.45","664,003,588.46","257,753,816.51","366,041,492.56","712,022,554.26","554,959,287.48","76,371,574.21","78,133,484.65","177,168,003.57","102,001,719.28","316,668,962.72","866,176,581.45","1,346,453,005.52","1,627,583,332.45","525,312,930.01","735,762,960.43","1,127,073,577.16","1,364,007,089.55","777,213,107.30","1,284,037,223.30","1,872,777,894.86","2,197,790,237.92","585,780,464.48","924,868,752.89","1,797,383,582.26","2,282,338,090.87","650,024,313.75","1,086,935,857.42","1,544,674,076.58","1,815,561,605.69","371,335,472.96","949,102,188.03","1,309,616,331.16"
三、利润总额,"1,563,404,642.96","2,784,027,396.73","25,405,518,710.49","8,172,318,888.85","18,805,369,600.06","26,087,587,738.20","14,876,571,453.99","-3,271,558,480.84","-4,166,078,547.80","-4,454,189,255.42","-6,313,182,663.42","1,519,494,420.86","4,957,496,958.35","7,628,346,703.48","9,185,827,960.06","-37,970,683.35","-1,382,566,435.61","-2,776,518,436.72","-7,807,392,113.23","-2,248,830,084.97","-3,720,564,990.16","-4,773,962,876.61","-7,397,345,347.85","-1,577,041,798.17","1,973,892,847.81","1,374,099,474.27","3,743,731,995.70","-1,501,723,909.46","-1,380,937,729.13","684,674,688.61","507,287,007.74","-628,875,049.39","2,806,807,484.53","1,548,100,018.53","1,755,804,836.57","-4,240,503,145.76","-6,513,546,074.03","-8,227,910,088.41","-8,588,441,736.09","637,066,788.70","4,078,471,196.19","5,398,429,493.49"
资产减值损失,"7,832,473.56","9,573,459.02","1,328,425.38","8,065,638.67","-9,164,899.22","-1,980,043.99","293,771,683.63","-160,720,170.01","-186,319,383.29","-165,387,583.66","-40,432,286.60","-45,464,603.80","-12,789,020.82","-15,530,081.25","-15,673,902.88","-5,328,843.49","4,931,952.71","-1,784,447.81","107,614,783.78","12,016,626.42","15,875,817.02","4,792,412.33","164,497,360.86","-6,393,486.38","-37,058,913.91","-30,221,767.59","33,080,596.45","-18,440,113.11","-18,888,591.38","-7,474,327.04","68,729,486.39","-6,272,542.58","-2,796,903.07","-11,580,451.36","-5,541,434.93","4,108,291.02","-27,647,129.87","44,818,645.82","109,665,295.78","5,070,064.91","7,636,124.08","12,522,637.58"
减:所得税,"101,235,700.37","277,971,988.90","4,551,543,873.51","1,771,638,534.22","3,909,466,157.04","5,303,247,095.14","2,950,706,175.46","-130,296,562.17","-11,549,845.33","201,026,327.70","423,947,948.83","427,947,209.12","967,671,131.18","1,085,415,556.97","1,191,529,212.30","30,095,433.39","361,055,762.54","596,956,813.17","1,031,434,291.95","127,615,059.16","398,946,672.67","478,886,557.66","740,096,115.89","135,708,382.80","867,397,746.11","1,005,012,034.51","864,310,288.73","123,677,839.03","292,792,178.15","386,933,991.27","-1,043,534,235.93","100,028,108.47","252,096,208.40","386,321,607.92","-35,698,809.48","129,299,649.55","282,052,785.22","368,623,261.04","512,790,443.08","157,760,026.46","677,111,099.05","831,912,015.30"
加:公允价值变动净收益,"135,100,580.91","294,875,086.40","1,687,841,908.81","-45,428,534.35","-200,176,441.94","-2,305,168,442.52","-5,203,762,963.54","1,105,368,982.53","2,416,812,843.61","2,837,313,515.35","3,469,055,349.73","41,374,025.73","80,974,461.45","126,764,089.41","113,326,040.57","20,674,060.06","115,207,567.66","136,171,719.30","191,476,840.03",,"21,585,606.20","21,377,716.20","29,064,289.86",,"19,322,010.99","13,669,225.49","18,814,157.64",,"28,308,310.88","9,323,595.94","14,378,790.82","-5,994,814.36","-20,489,897.36","-31,683,466.15","6,114,816.65","41,887.45","15,042,443.64","15,212,597.30","15,212,597.30",,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"937,295,915.38","1,407,200,237.36","4,114,921,221.10","589,698,393.79","2,314,205,753.18","3,185,041,503.07","2,637,907,516.75","-822,482,595.91","-1,149,333,732.46","-1,416,140,386.76","-1,250,554,913.17","281,699,765.55","641,284,080.58","1,295,873,677.61","1,753,861,180.97","663,394,018.72","1,365,280,857.01","1,853,792,001.41","2,173,141,827.26","375,665,537.15","833,276,071.72","1,322,789,444.61","1,728,565,227.80","288,487,223.47","5,536,680,438.39","5,853,642,046.24","9,898,949,299.80","395,025,513.36","846,170,494.61","1,212,310,043.06","2,116,403,140.77","365,711,185.73","787,679,770.75","1,111,983,234.26","2,071,123,569.95","-2,114,125,810.21","-1,715,537,188.03","-1,361,435,177.48","-976,595,750.95","273,964,265.34","2,884,623,392.26","3,393,795,612.16"
四、净利润,"1,462,168,942.59","2,506,055,407.83","20,853,974,836.98","6,400,680,354.63","14,895,903,443.02","20,784,340,643.06","11,925,865,278.53","-3,141,261,918.67","-4,154,528,702.47","-4,655,215,583.12","-6,737,130,612.25","1,091,547,211.74","3,989,825,827.17","6,542,931,146.51","7,994,298,747.76","-68,066,116.74","-1,743,622,198.15","-3,373,475,249.89","-8,838,826,405.18","-2,376,445,144.13","-4,119,511,662.83","-5,252,849,434.27","-8,137,441,463.74","-1,712,750,180.97","1,106,495,101.70","369,087,439.76","2,879,421,706.97","-1,625,401,748.49","-1,673,729,907.28","297,740,697.34","1,550,821,243.67","-728,903,157.86","2,554,711,276.13","1,161,778,410.61","1,791,503,646.05","-4,369,802,795.31","-6,795,598,859.25","-8,596,533,349.45","-9,101,232,179.17","479,306,762.24","3,401,360,097.14","4,566,517,478.19"
其中:对联营企业和合营企业的投资权益,"815,145,019.21",,"1,890,150,421.61","415,715,065.02","779,232,078.87","1,136,536,381.09","1,333,052,801.43","176,447,403.97","493,864,110.43","730,383,242.62","932,058,713.68","221,736,427.54","569,377,594.58","1,246,960,733.85","1,718,680,051.93","590,483,211.57","1,223,186,777.93","1,676,957,699.37","2,056,437,969.06","363,996,772.95","819,393,583.35","1,273,898,718.47","1,710,655,820.03","288,462,223.47","704,569,161.70","1,028,906,268.98","1,292,032,601.25","256,459,669.30","703,321,333.67","1,049,827,909.57","1,365,810,431.48","343,685,640.12","725,686,407.42","1,044,546,870.52","1,360,834,498.13","303,960,277.94","676,469,714.54","1,027,003,668.13","1,404,822,116.65","273,964,265.34","723,851,094.42","1,232,049,438.57"
归属于母公司所有者的净利润,"853,808,518.01","1,517,895,000.12","19,085,356,602.71","6,132,217,735.44","14,155,825,741.73","19,711,604,439.87","10,830,364,941.98","-3,350,648,512.53","-4,617,068,986.97","-5,307,739,232.00","-7,541,293,946.31","882,172,598.02","3,526,104,735.84","5,638,606,696.90","6,760,957,337.14","-503,265,502.77","-2,710,566,967.47","-4,776,545,353.39","-10,448,856,161.20","-2,695,476,554.65","-4,871,535,238.54","-6,402,792,872.25","-9,559,164,008.83","-1,987,964,541.90","-990,003,784.54","-2,033,662,980.95","235,469,909.18","-1,880,148,936.01","-2,276,731,914.29","-654,306,183.05","362,528,625.89","-1,029,091,376.56","1,896,667,687.05","188,218,771.26","283,391,104.76","-4,483,790,086.13","-7,209,176,508.67","-9,220,127,195.71","-9,906,003,612.80","270,140,451.23","1,863,466,833.96","2,735,876,568.43"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"608,360,424.58","988,160,407.71","1,743,883,746.87","266,622,619.19","740,077,701.29","1,072,736,203.19","1,095,500,336.55","209,386,593.86","462,540,284.50","652,523,648.88","804,163,334.06","209,374,613.72","463,721,091.33","904,324,449.61","1,233,341,410.62","435,199,386.03","966,944,769.32","1,403,070,103.50","1,610,029,756.02","319,031,410.52","752,023,575.71","1,149,943,437.98","1,421,722,545.09","275,214,360.93","2,096,498,886.24","2,402,750,420.71","2,643,951,797.79","254,747,187.52","603,002,007.01","952,046,880.39","1,188,292,617.78","300,188,218.70","658,043,589.08","973,559,639.35","1,508,112,541.29","113,987,290.82","413,577,649.42","623,593,846.26","804,771,433.63","209,166,311.01","1,537,893,263.18","1,830,640,909.76"
