科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"227,262,118.07","279,812,312.20","264,628,252.97","369,338,256.89","54,493,124.17","116,420,047.25","219,867,593.98","413,885,817.23","104,273,790.62","253,405,599.77","391,962,264.53","523,883,274.89","112,356,330.69","227,883,962.53","385,143,355.77","510,274,518.42","61,505,492.44","125,968,845.01","200,423,627.42","278,589,850.65","39,780,499.98","120,338,228.03","200,747,355.98","299,681,828.97","35,964,399.36","78,171,059.52","121,327,560.04","581,309,459.38","225,103,977.97","380,198,967.12","677,287,154.20","900,606,427.68","187,447,106.22","517,173,929.78","883,992,820.80","912,421,371.28","267,732,635.85","644,841,518.78","898,987,426.67","1,271,556,266.00","173,047,138.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"324,149.86","324,149.86",,,,,"248,396,175.59","6,992,091.09","9,069,012.77","12,897,778.07","10,820,856.39",
收到的税费返还,"7,968,291.27","8,438,946.48","3,334,218.42","5,795,070.57","1,815,876.25","4,090,617.56","10,331,228.98","14,533,361.24","569,136.28","720,396.33","720,396.33","7,960,129.76",,,"170,418.89","5,995,005.70",,"2,093,671.31","2,093,671.31","4,538,097.08",,"690,808.26","1,409,953.52","2,056,107.38",,"858,731.50","2,263,039.19","3,786,940.14",,,,"1,003,692.33",,"2,497,982.95","2,929,230.83","3,589,254.68","4,307.69","12,248.54","455,365.38","910,281.74","685,122.66"
支付其他与投资活动有关的现金,"79,859.88",,,,,,,,,,,,,,,"250,000,000.00",,,,"310,000,000.00",,,,"240,000,000.00","97,000,000.00","337,000,000.00","560,000,000.00","267,000,000.00","92,900,000.00","226,722,842.56","385,727,631.34","363,939,325.00","105,800,000.00","128,000,000.00","210,000,000.00","129,000,000.00","56,605,015.07","88,569,860.00","144,642,087.40","3,330,000.00","61,932,141.40"
收到其他与经营活动有关的现金,"6,108,253.64","11,913,966.09","13,829,376.08","12,241,273.80","71,760.70","1,005,191.76","14,921,923.89","17,803,124.67","326,241.55","6,092,702.94","6,896,311.34","5,373,176.45","553,539.21","6,019,376.87","6,593,468.77","4,970,843.90","8,414,936.47","8,779,732.44","6,881,923.14","16,539,359.37","7,283,321.65","9,322,518.84","5,822,413.18","13,463,421.68","9,605,191.61","15,354,624.84","22,165,853.07","16,677,771.43","6,776,865.42","54,820,173.92","251,902,549.04","189,038,371.17","24,759,202.67","37,869,583.06","45,299,576.65","45,086,664.61","22,007,540.34","93,126,038.37","152,107,972.71","140,382,765.16","21,682,825.59"
投资活动现金流出小计,"8,680,171.69","15,263,649.47","19,453,169.89","18,985,193.53","1,872,469.34","6,909,703.03","29,477,475.38","62,861,632.87","10,028,368.07","56,420,909.22","154,286,092.22","174,304,752.33","14,348,434.88","90,682,075.84","104,112,467.94","502,102,843.16","8,011,061.86","22,595,724.49","51,721,424.83","519,382,531.72","242,623,097.50","311,942,720.10","359,944,334.67","791,595,192.17","108,767,903.46","428,002,550.14","886,150,812.30","791,259,705.69","95,342,763.37","358,246,408.90","875,313,300.23","680,109,004.29","118,316,252.56","163,139,856.44","264,273,064.44","723,339,153.78","115,455,087.03","251,239,716.84","311,736,466.00","515,974,986.07","98,239,425.23"
经营活动现金流入小计,"241,338,662.98","300,165,224.77","281,791,847.47","387,374,601.26","56,380,761.12","121,515,856.57","245,120,746.85","446,222,303.14","105,169,168.45","260,218,699.04","399,578,972.20","537,216,581.10","112,909,869.90","233,903,339.40","391,907,243.43","521,240,368.02","69,920,428.91","136,842,248.76","209,399,221.87","299,667,307.10","47,063,821.63","130,351,555.13","207,979,722.68","315,201,358.03","45,569,590.97","94,384,415.86","145,756,452.30","601,774,170.95","231,880,843.39","435,019,141.04","929,189,703.24","1,090,648,491.18","212,206,308.89","557,541,495.79","932,221,628.28","961,097,290.57","289,744,483.88","737,979,805.69","1,051,550,764.76","1,412,849,312.90","195,415,086.72"
投资活动产生的现金流量净额,"-8,385,994.24","-15,172,864.34","-19,309,241.86","-18,802,922.60","-1,383,870.78","-6,269,724.76","-29,477,475.38","-61,649,107.59","-9,769,475.23","-56,420,909.22","-154,286,092.22","-145,640,870.22","-14,348,434.88","-90,682,075.84","-104,007,300.39","159,546,101.42","41,506,497.77","27,207,850.52","-1,917,849.82","-126,930,794.58","2,629,331.01","-6,091,867.44","-22,172,862.50","-82,829,313.48","-12,478,824.01","176,477,786.77","185,069,858.96","125,832,859.80","-15,308,263.72","1,531,985.95","-243,005,030.49","-100,420,678.79","-27,276,656.09","123,600,093.78","40,038,839.72","-216,464,835.58","-2,740,768.44","-205,639,288.65","-192,298,471.02","-184,200,399.11","-76,127,519.23"
购买商品、接受劳务支付的现金,"189,840,733.17","213,666,080.33","188,649,442.89","267,792,202.66","71,070,686.37","126,287,511.12","226,768,490.86","435,358,881.66","132,339,686.84","291,576,212.34","445,685,469.73","592,356,594.89","82,932,309.36","148,344,097.12","249,886,318.39","339,237,531.34","70,348,198.95","122,650,334.63","167,650,527.07","177,249,761.42","23,267,953.75","81,018,091.27","129,346,075.13","133,255,727.87","18,183,611.38","57,237,650.81","254,945,133.92","463,867,934.61","136,502,612.30","177,293,086.17","337,724,539.14","707,270,129.47","122,254,475.66","553,032,634.15","734,152,283.56","827,571,688.84","156,485,854.08","244,391,088.23","404,092,759.82","556,549,573.15","95,876,464.41"
吸收投资收到的现金,"45,920,000.00",,,"560,000,000.00",,,"13,500,000.00","22,500,000.00",,,,,,,,,,,,,,,,,,,,"50,815,120.00",,,,"1,940,400.00",,,,,,,"10,000,000.00","10,000,000.00",
