科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"24,809,942.81","53,469,628.72","80,105,491.33","110,990,098.99","32,957,851.65","60,286,171.95","85,939,278.57","126,698,240.05","36,453,441.93","65,533,928.27","102,183,848.17","141,384,158.70","43,249,559.68","77,781,064.95","117,145,809.83","191,898,874.20","53,548,106.79","102,758,250.90","168,053,244.27","224,397,588.81","63,685,472.51","129,096,827.12","195,003,989.87","218,894,696.86","64,381,954.15","139,392,451.59","221,205,695.26","243,720,443.25","65,406,992.67","152,727,606.08","227,476,826.90","299,199,789.29","68,918,172.74","139,301,049.10","221,705,832.88","324,585,391.89","63,125,429.44","157,879,261.62","240,754,423.41","344,626,351.67","80,355,542.30","162,821,850.46","240,979,570.39","355,456,704.92","84,697,490.86","203,050,823.63","267,394,168.13","446,449,605.44","105,087,009.53"
取得借款收到的现金,"80,000,000.00","254,600,000.00","452,600,000.00","481,000,000.00","79,000,000.00","353,000,000.00","443,000,000.00","672,000,000.00","323,000,000.00","1,154,000,000.00","1,278,000,000.00","1,664,000,000.00","337,995,000.00","648,000,000.00","1,029,500,000.00","1,482,500,000.00","498,667,200.00","985,191,992.90","1,553,722,685.14","2,110,424,625.33","262,000,000.00","549,600,000.00","972,871,240.00","1,616,200,000.00","250,000,000.00","1,027,000,000.00","1,535,000,000.00","2,122,100,000.00","453,000,000.00","916,200,000.00","1,764,800,000.00","2,364,800,000.00","476,500,000.00","855,200,000.00","1,154,680,000.00","2,008,780,000.00","124,500,000.00","876,510,000.00","1,407,730,000.00","1,745,730,000.00","388,000,000.00","1,286,015,400.00","1,652,105,400.00","2,308,175,400.00","612,553,861.00","1,758,553,861.00","2,069,553,861.00","2,490,673,861.00","665,590,418.50"
支付的各项税费,"27,024,018.49","71,392,138.50","94,620,363.10","140,268,048.70","35,817,612.98","78,807,275.69","102,777,215.80","124,938,469.64","32,360,852.94","64,940,356.22","83,019,241.86","129,139,903.80","21,855,739.95","54,205,297.97","69,571,196.46","149,086,515.17","30,443,125.90","61,539,481.83","89,747,651.34","155,146,174.98","25,961,274.67","52,178,179.58","82,587,545.68","118,722,522.79","26,389,125.34","41,684,299.09","72,582,521.99","111,680,100.95","32,684,937.12","84,286,726.22","115,174,980.20","157,570,474.35","53,935,237.30","107,029,786.01","176,612,363.75","241,618,805.57","57,956,266.88","129,862,032.84","210,966,850.70","266,507,653.48","91,005,680.09","177,699,412.34","274,360,252.83","347,868,545.50","112,115,144.91","260,671,789.31","376,613,119.13","468,884,560.50","188,795,455.33"
收到其他与筹资活动有关的现金,,,,,,"65,000,000.00","60,000,000.00","39,700,000.00",,,,,,"49,995,000.00","150,774,385.00","172,774,385.00",,,,,,,,"191,500,000.00",,,,"670,000,000.00",,"225,000,000.00","340,000,000.00","550,000,000.00","88,000,000.00","445,348,000.00","642,500,000.00","714,848,000.00",,"330,000,000.00","580,466,000.00","776,281,500.00","181,675,000.00","226,500,000.00","226,500,000.00","231,397,979.67",,,,,
支付其他与经营活动有关的现金,"4,746,701.84","17,723,747.18","15,861,547.04","36,981,076.67","1,457,106.24","22,813,319.48","12,972,249.09","21,322,678.74","4,978,462.60","13,949,885.89","9,513,759.52","40,267,969.27","22,321,915.44","24,615,774.34","35,760,444.48","120,828,929.70","13,162,538.54","22,546,560.51","22,873,956.51","132,814,128.46","17,835,830.26","32,653,914.63","23,731,421.87","178,113,736.32","27,897,104.18","69,219,453.32","71,972,617.30","161,317,508.08","32,285,880.87","71,783,561.63","86,008,345.24","431,122,935.44","157,781,282.16","247,280,417.02","310,793,201.53","384,456,341.78","191,277,717.13","174,544,415.63","258,303,252.85","361,523,015.96","149,818,909.05","215,108,079.32","316,625,172.07","539,888,991.52","137,339,907.87","266,937,079.63","339,656,853.56","592,773,619.95","121,487,968.78"
筹资活动现金流入小计,"80,000,000.00","254,600,000.00","452,650,000.00","481,050,000.00","79,000,000.00","457,305,155.50","542,305,155.50","751,006,122.85","323,000,000.00","1,161,500,000.00","1,324,738,640.00","1,725,438,640.00","337,995,000.00","697,995,000.00","1,180,274,385.00","1,655,274,385.00","498,667,200.00","985,191,992.90","1,571,222,685.14","2,110,424,625.33","262,000,000.00","549,600,000.00","972,871,240.00","1,807,700,000.00","250,000,000.00","1,027,000,000.00","1,535,000,000.00","2,792,100,000.00","453,000,000.00","1,141,200,000.00","2,104,800,000.00","2,914,800,000.00","564,500,000.00","1,300,548,000.00","1,797,180,000.00","2,723,628,000.00","833,149,995.60","1,915,159,995.60","2,696,845,995.60","3,230,661,495.60","569,675,000.00","1,512,515,400.00","1,878,605,400.00","2,539,573,379.67","612,553,861.00","1,758,553,861.00","2,069,553,861.00","2,490,673,861.00","665,590,418.50"
经营活动现金流出小计,"162,509,547.92","284,640,052.45","392,503,800.15","834,285,819.23","155,037,626.96","330,954,619.46","536,117,283.99","640,588,413.52","110,258,597.26","237,618,969.94","366,289,966.03","644,504,453.50","182,614,002.30","347,193,358.67","553,519,544.81","842,428,213.03","203,380,326.85","468,186,406.48","668,148,321.77","1,026,133,734.38","235,659,882.51","485,692,455.71","680,335,752.28","875,557,623.22","206,479,420.54","485,831,643.30","721,145,615.74","804,784,418.58","229,953,994.11","667,341,364.58","1,042,500,496.27","1,475,892,918.46","438,019,405.29","728,600,228.67","1,227,383,432.72","1,632,742,558.98","448,308,016.29","681,018,122.96","1,148,376,977.20","1,638,294,298.03","382,914,019.72","731,455,304.89","1,176,899,517.94","1,621,339,036.68","420,483,185.65","911,164,710.72","1,307,896,675.27","2,000,450,536.65","498,313,317.56"
偿还债务支付的现金,"50,000,000.00","67,410,000.00","216,799,858.82","387,799,858.82","71,000,000.00","195,000,000.00","400,000,000.00","556,600,000.00","96,500,000.00","436,500,000.00","526,500,000.00","957,760,000.00","38,000,000.00","357,000,000.00","487,000,000.00","819,436,617.57","148,162,000.00","485,000,000.00","789,834,800.00","1,110,850,000.00","249,000,000.00","444,000,000.00","855,479,143.14","1,438,500,000.00","377,200,000.00","889,325,000.00","1,314,875,000.00","2,463,100,000.00","442,200,000.00","1,034,915,300.00","1,902,425,000.00","2,641,756,828.10","391,143,171.90","977,968,171.90","1,374,959,440.74","2,205,337,715.15","610,408,264.53","1,320,160,142.31","2,007,072,583.83","2,729,797,649.61","355,400,000.00","1,281,333,768.85","1,540,524,125.68","2,205,923,971.94","498,329,538.07","1,304,264,232.98","1,733,765,923.68","2,321,621,781.80","712,563,418.16"
经营活动产生的现金流量净额,"9,162,935.30","11,205,296.09","53,474,322.64","93,807,617.79","4,016,033.22","36,587,502.17","94,814,135.70","106,048,665.89","-32,912,354.40","-42,836,861.38","-36,769,936.95","45,972,479.88","-16,924,565.68","15,977,175.94","14,908,650.69","31,436,766.55","-34,904,172.99","-7,910,285.15","-37,627,591.38","-30,802,550.47","-21,021,490.19","27,265,739.38","-18,563,927.30","19,813,520.95","-5,725,933.47","11,676,739.42","-35,694,010.70","92,872,089.60","36,491,109.09","46,919,991.23","109,506,081.44","267,824,020.75","-160,349.77","207,497,094.85","337,497,156.18","285,828,864.98","-23,300,833.66","147,329,426.78","-6,714,266.48","281,903,575.29","95,750,613.89","184,238,806.03","247,652,871.93","624,816,694.26","132,231,453.49","165,574,413.25","594,573,079.34","848,170,646.22","176,272,568.58"
分配股利、利润或偿还利息支付的现金,"11,140,767.46","26,570,141.32","42,178,744.29","60,814,159.61","14,645,042.47","36,404,543.53","53,859,300.18","70,689,739.63","16,439,784.55","38,880,324.51","61,299,541.99","86,871,579.16","22,597,771.95","38,656,032.81","59,842,460.66","128,328,811.81","34,157,617.08","86,618,608.49","137,924,129.69","83,883,389.47","34,605,520.36","63,200,784.09","101,706,212.24","258,985,086.45","55,633,841.86","110,124,734.04","157,614,027.15","262,273,519.43","53,711,122.85","111,951,972.54","163,910,125.14","286,037,523.48","43,508,579.34","105,401,468.02","134,837,490.63","282,225,361.19","29,472,241.16","56,531,716.92","79,896,861.64","215,368,781.37","27,970,035.14","47,446,664.80","84,697,855.00","184,368,663.77","17,128,170.59","173,499,148.23","228,967,186.03","194,091,812.60","18,884,701.36"
