科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"142,642,503.15","114,311,448.39","167,827,597.74","76,193,382.90","2,076,562,476.94","1,460,479,113.20","1,314,545,748.49","1,305,687,091.25","1,608,789,389.65","1,335,823,165.05","816,288,209.23","618,602,942.87","969,179,263.43","723,760,268.07","524,523,181.77","432,316,341.95","682,243,744.48","431,847,608.30","339,291,944.00","308,172,864.54","486,396,472.60","471,209,910.60","317,532,172.97","209,602,597.46","463,788,579.41","210,991,281.79","245,704,525.69","505,026,467.25","351,640,027.26","331,407,658.59","431,966,765.18","230,678,531.54","350,404,272.21","272,311,279.86"
短期借款,"268,000,000.00","356,831,488.00","333,546,486.13","404,325,328.00","358,845,215.16",,,,,,"30,000,000.00","30,000,000.00","90,000,000.00","90,000,000.00","71,000,000.00","51,000,000.00","50,000,000.00","55,000,000.00","145,000,000.00","151,000,000.00","97,119,000.00","210,142,200.00","470,000,000.00","530,240,988.80","162,428,880.00","93,321,960.00","402,983,040.00","569,710,000.00","333,534,000.00","569,433,300.00","805,522,400.00","500,753,400.00","255,000,000.00","180,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"7,543,460.00","7,285,602.05","35,732,935.73","969,000.00","4,820,956.00","3,928,436.00","8,453,680.00","16,766,891.44","38,430,660.87","17,293,873.10","45,853,350.00","65,851,407.37","49,082,766.03","22,933,996.31","28,715,093.01","32,305,140.99","93,140,686.42","59,976,434.20","46,298,588.75","31,614,258.25","97,902,239.72","74,327,543.74","68,206,899.10","72,745,153.11","112,024,372.93","89,862,900.07","129,977,967.18","155,024,493.55","199,356,567.95","145,056,688.50","121,153,922.11","103,637,302.22","161,036,938.99","114,139,957.36"
应付票据,"33,063,045.94","11,470,000.00","8,891,801.80","4,783,978.80","6,368,161.30","6,743,494.80","8,589,264.54","4,167,778.44","3,205,527.63","1,547,867.10","4,018,780.30","3,058,092.06","7,470,582.27","13,797,380.08","17,427,756.11","10,833,237.59","53,011,396.65","10,833,867.90","39,055,476.03","78,938,297.76","78,728,833.07","80,017,283.95","72,478,086.71","77,776,247.27","125,632,502.88","163,944,935.19","158,375,996.40","194,053,796.06","201,434,062.98","146,748,954.63","181,253,409.48","159,332,289.43","169,607,780.18","148,376,420.10"
应收账款,"616,121,922.46","728,889,788.08","779,926,699.69","903,512,805.11","881,502,468.03","968,630,457.88","992,587,012.63","998,714,812.23","1,025,892,533.24","1,067,409,894.45","1,433,311,627.25","1,431,126,759.49","1,582,857,489.29","1,729,583,808.77","1,991,149,821.12","2,055,401,937.43","2,147,763,469.01","2,193,534,665.05","2,390,084,060.95","2,445,864,928.59","2,490,451,018.46","2,476,691,544.84","2,634,024,842.79","2,784,570,143.36","2,782,046,112.06","2,753,217,080.73","2,881,455,110.34","2,935,145,078.28","2,706,679,831.13","2,674,746,941.14","2,715,611,230.57","2,825,639,599.77","2,675,696,338.14","2,611,382,644.50"
应付账款,"289,899,109.76","333,137,859.85","294,386,816.18","331,617,903.33","369,497,717.99","380,234,055.70","343,605,478.46","332,691,363.93","415,633,436.19","327,351,210.07","517,845,852.91","489,997,766.81","645,145,587.92","548,054,929.01","626,270,010.89","712,520,853.15","777,623,332.26","758,802,168.66","800,586,133.69","789,086,420.27","761,839,999.83","659,539,616.36","771,403,865.81","803,327,417.95","794,269,235.21","672,281,754.11","716,685,151.78","774,466,851.86","763,342,169.81","739,594,947.16","742,614,868.46","818,147,256.91","729,220,879.91","714,739,196.31"
预付款项,"35,951,389.56","28,867,473.92","23,984,901.37","21,705,497.88","13,876,522.42","22,978,220.14","15,718,197.47","54,877,281.33","73,902,227.16","82,572,845.28","124,593,571.69","154,576,868.99","106,038,242.59","106,070,971.46","60,974,664.90","89,122,763.64","74,994,780.08","88,158,862.61","90,431,062.89","111,406,127.88","87,265,562.61","98,615,824.03","121,818,517.71","138,149,353.98","81,567,106.81","89,247,150.43","99,658,522.27","98,051,934.26","53,489,673.37","66,250,440.62","65,844,256.43","68,824,965.94","61,299,003.68","59,465,666.09"
预收款项,"102,648,525.83","94,594,990.84","116,940,380.94","129,156,513.73","151,524,066.48","150,467,246.58","160,628,826.10","155,875,549.44","189,138,471.82","185,411,770.03","201,799,548.77","247,297,157.84","222,348,830.82","252,559,112.46","182,755,745.90","265,518,342.96","274,515,683.14","248,164,831.12","195,526,513.37","207,075,806.51","168,295,919.43","159,566,906.21","102,458,937.94","127,009,801.13","78,239,599.23","78,756,222.12","75,270,489.09","71,146,912.18","55,243,161.62","89,365,435.10","93,950,363.88","127,003,639.69","85,168,036.32","158,507,046.90"
