科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"935,505,404.99","951,987,685.07","510,288,012.67","879,292,662.72","1,109,613,648.85","202,972,470.84","498,170,079.18","832,459,163.97","1,130,252,753.38","221,643,118.33","593,084,474.02","959,559,707.60","1,285,337,290.98","243,471,592.09","600,034,473.41","989,019,088.84","1,330,652,818.19","227,118,542.40","582,637,232.28","922,361,685.02","1,242,247,356.46","253,695,673.51","591,608,133.19","903,031,729.65","1,222,295,067.28","205,110,050.45","591,475,869.51","899,881,967.17","1,236,950,341.28","204,785,773.86","535,555,643.43","812,441,461.91","1,132,070,349.56","237,042,702.72","514,877,921.80","855,633,311.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"120,709.12",,,,,,"1,034,711.02","1,136,123.26","201,248.57",,"5,065.21","5,065.21","116,703.19",,"207,002.62","281,007.14","281,007.14",,,,,,,,,,,504.80,,"96,016.23","966,189.69","1,089,353.12","1,111,803.44","62,817.25","95,463.03","95,463.03"
支付其他与投资活动有关的现金,,"3,000,000.00",,,,,"2,500,000.00","2,500,000.00","2,500,000.00","1,383,400.86","2,520,000.00","7,040,000.00","11,500,000.00","9,336,849.29","1,350,000.00","1,768,928.16","1,350,000.00","1,201,589.36","1,601,589.36","1,710,723.66","75,500,000.00","108,500,000.00","139,050,000.00","172,050,000.00","356,050,000.00","517,389,999.82","799,254,631.01","996,642,323.28","1,030,476,600.88","381,000,000.00","669,373,726.17","988,373,726.17","1,248,249,701.93","325,500,000.00","626,800,000.00","826,860,000.00"
收到其他与经营活动有关的现金,"8,899,720.03","7,164,101.59","2,174,592.92","1,421,308.24","3,935,424.76","1,157,441.40","1,652,033.59","4,243,122.18","5,161,914.04","641,480.83","1,501,363.50","2,998,549.54","10,609,914.46","1,067,157.97","6,351,566.34","11,603,291.85","18,348,879.61","1,274,546.22","13,183,306.93","19,308,387.70","22,301,098.32","13,378,746.26","15,776,024.08","16,481,260.95","18,630,103.94","3,124,168.38","5,866,150.06","6,869,875.59","6,151,711.90","1,761,952.31","1,808,188.82","3,032,495.35","11,115,607.81","1,038,744.56","2,455,486.98","4,088,235.65"
投资活动现金流出小计,"52,608,976.73","63,913,391.67","11,313,983.07","45,220,415.69","66,949,934.46","4,497,710.02","14,078,829.93","106,972,484.73","110,437,090.17","10,431,552.40","42,677,321.99","73,464,432.38","120,244,606.15","97,814,710.62","134,020,172.69","253,270,880.10","316,377,325.60","42,573,480.58","114,939,526.81","185,973,451.42","296,248,887.03","151,938,562.79","202,414,962.49","262,811,252.75","492,486,436.51","590,455,269.99","946,977,606.83","1,221,786,179.34","1,292,267,076.93","441,795,831.18","759,324,100.79","1,100,039,072.43","1,378,471,704.09","352,812,692.57","680,416,474.99","901,578,472.78"
经营活动现金流入小计,"944,525,834.14","959,151,786.66","512,462,605.59","880,713,970.96","1,113,549,073.61","204,129,912.24","500,856,823.79","837,838,409.41","1,135,615,915.99","222,284,599.16","594,590,902.73","962,563,322.35","1,296,063,908.63","244,538,750.06","606,593,042.37","1,000,903,387.83","1,349,282,704.94","228,393,088.62","595,820,539.21","941,670,072.72","1,264,548,454.78","267,074,419.77","607,384,157.27","919,512,990.60","1,240,925,171.22","208,234,218.83","597,342,019.57","906,752,347.56","1,243,102,053.18","206,643,742.40","538,330,021.94","816,563,310.38","1,144,297,760.81","238,144,264.53","517,428,871.81","859,817,010.60"
投资活动产生的现金流量净额,"-44,863,760.23","-63,328,198.87","-11,305,523.07","-45,148,923.69","-66,875,992.46","-1,829,300.02","-11,391,017.93","-103,918,164.73","-78,424,534.67","-4,034,245.90","-34,749,259.58","-65,446,072.72","-111,826,050.34","-90,134,710.62","-131,031,033.10","-250,323,740.11","-312,887,733.33","-41,366,621.69","-113,712,972.25","-184,723,982.37","-260,727,535.21","-93,784,341.07","-53,321,223.49","-73,380,668.24","18,476,064.32","-9,128,439.17","-79,656,512.38","-109,261,324.24","-53,686,929.36","-75,547,105.54","68,151,325.30","22,673,450.48","84,055,694.13","-2,569,377.69","-12,858,746.88","-22,161,394.23"
购买商品、接受劳务支付的现金,"757,241,625.18","705,133,192.25","346,821,719.90","639,744,841.63","806,256,145.87","189,845,159.71","398,681,130.58","672,379,058.76","883,263,612.40","195,877,109.46","476,186,710.07","778,734,411.07","1,005,874,491.61","199,868,818.74","471,971,983.04","753,584,573.49","1,006,620,577.56","174,512,218.10","438,573,958.43","698,609,802.83","921,871,162.11","193,379,794.97","449,790,518.91","706,280,731.24","963,526,772.55","158,073,226.23","479,006,392.39","729,859,124.86","990,587,275.14","150,199,357.15","446,683,059.94","634,339,404.54","896,117,827.59","204,096,320.52","404,105,778.43","710,775,215.15"
吸收投资收到的现金,,,,"15,000,000.00","843,902,000.00",,,,,,,,"10,788,360.00",,,,,,,,,,,,,,,,,,,,,,,
