科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"169,775,778.64","200,926,429.62","237,426,449.87","57,149,511.19","114,416,950.64","177,625,660.43","279,591,852.85","52,633,039.60","107,869,905.92","154,642,810.03","239,144,026.22","37,963,150.10","116,499,552.45","169,555,615.84","260,434,805.06","46,885,867.38","102,212,857.90","148,625,280.29","242,917,788.70","45,416,697.96","108,753,857.85","172,799,576.66","299,314,844.51","72,671,830.13","154,437,090.11","228,043,332.31"
取得子公司及其他营业单位支付的现金净额,,"7,880,000.00",,,,,,,,,"1,805,969.10",,,,"660,000.00",,,"75,000,000.00",,,,,,,,
收到的税费返还,,,,,,,,,"403,797.09","1,002,372.93","968,323.34",,,,"644,783.28",,,,"32,984.11",,,,"359,954.18","17,785.05","71,427.42","91,275.44"
支付其他与投资活动有关的现金,"77,282,154.14",,,,,,,,,,,,,,,,,,"230,000,000.00","240,000,000.00","460,000,000.00","600,000,000.00","830,000,000.00","214,000,000.00","488,000,000.00","702,000,000.00"
收到其他与经营活动有关的现金,"2,859,950.03","6,132,797.97","2,021,512.67","222,528.30","676,425.28","2,723,434.55","6,938,848.99","2,461,728.42","8,067,707.10","11,365,832.43","15,529,323.17","2,723,207.44","5,080,488.67","7,806,475.06","11,911,931.98","2,349,320.39","5,535,169.52","8,098,550.73","9,985,509.78","464,573.13","6,488,785.76","7,380,708.42","7,174,633.52","514,841.62","1,618,544.25","3,190,383.85"
投资活动现金流出小计,"108,085,622.97","39,262,763.50","6,988,864.07","751,969.29","1,321,674.81","2,240,343.31","4,315,146.41","7,810,858.59","20,687,269.89","34,167,953.66","50,898,647.67","6,410,477.79","18,171,124.87","30,805,667.59","38,134,885.44","12,049,087.13","17,270,718.75","104,220,357.76","341,422,366.37","244,040,887.27","509,620,831.82","658,491,678.62","889,540,818.87","230,545,896.65","511,818,574.49","731,670,818.64"
经营活动现金流入小计,"172,635,728.67","207,059,227.59","239,447,962.54","57,372,039.49","115,093,375.92","180,349,094.98","286,530,701.84","55,094,768.02","116,341,410.11","167,011,015.39","255,641,672.73","40,686,357.54","121,580,041.12","177,362,090.90","272,991,520.32","49,235,187.77","107,748,027.42","156,723,831.02","252,936,282.59","45,881,271.09","115,242,643.61","180,180,285.08","306,849,432.21","73,204,456.80","156,127,061.78","231,324,991.60"
投资活动产生的现金流量净额,"-526,835.00","-28,530,924.43","-4,996,839.71","-751,969.29","-1,321,674.81","-2,240,293.31","-4,295,615.91","-7,810,858.59","-20,687,269.89","-34,167,953.66","-49,422,043.48","-6,399,067.79","-18,159,714.87","-30,793,657.59","-38,122,875.44","-12,049,087.13","-17,270,718.75","-104,220,357.76","-341,421,966.37","-11,990,037.96","-35,495,078.40","37,483,159.74","-49,745,159.28","1,255,006.81","-63,900,501.16","-67,517,809.67"
购买商品、接受劳务支付的现金,"70,796,721.35","90,692,458.19","102,308,471.09","21,599,388.97","47,485,450.00","75,050,044.51","105,465,622.32","28,741,058.88","59,985,036.34","87,714,521.81","109,207,031.68","25,569,202.33","55,503,505.25","83,765,353.93","100,634,373.00","30,864,662.80","62,164,008.04","90,659,833.25","109,000,154.95","28,775,073.83","59,585,155.89","89,874,678.62","116,365,708.04","49,587,666.32","88,216,339.01","123,601,377.81"
吸收投资收到的现金,"771,174.91",,,,"374,000,000.00","374,000,000.00","374,000,000.00",,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"15,409,050.65","17,990,233.03","23,717,174.35","8,924,067.41","13,615,820.78","18,833,157.83","26,955,672.10","11,274,828.14","18,395,806.49","24,449,755.10","31,077,224.62","11,226,294.01","17,425,607.72","24,449,505.61","32,085,493.83","12,677,217.21","19,837,310.68","27,339,957.61","37,215,621.79","14,030,140.74","22,200,748.33","30,907,041.92","41,286,424.55","19,939,875.57","30,141,002.68","40,572,491.38"
取得借款收到的现金,"124,200,000.00","120,000,000.00","35,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"17,888,343.17","19,177,858.98","20,719,673.03","9,846,889.58","18,446,211.39","25,156,216.08","32,700,368.21","11,521,782.31","18,094,347.65","21,956,190.10","27,014,507.31","8,402,884.40","19,619,717.83","26,827,827.34","33,132,515.17","4,707,736.97","9,862,791.81","14,468,713.62","18,817,127.31","6,903,370.32","14,520,242.75","20,235,563.24","30,866,061.56","9,373,697.95","20,185,054.54","22,870,083.54"
收到其他与筹资活动有关的现金,"14,100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"27,320,727.98","22,423,346.28","25,683,784.47","8,415,458.57","11,776,841.72","18,843,071.94","26,880,741.62","7,355,335.12","13,514,173.59","21,538,743.73","31,852,331.74","7,984,721.37","16,277,897.59","24,373,910.59","39,352,082.00","7,542,147.94","14,537,227.58","23,610,995.42","39,493,424.50","6,718,433.73","15,154,143.41","22,722,013.86","41,380,018.59","9,847,550.69","21,311,970.53","34,897,915.80"
筹资活动现金流入小计,"139,071,174.91","120,000,000.00","35,000,000.00",,"374,000,000.00","374,000,000.00","374,000,000.00",,,,,,,,,,,,,,,,,,,
经营活动现金流出小计,"131,414,843.15","150,283,896.48","172,429,102.94","48,785,804.53","91,324,323.89","137,882,490.36","192,002,404.25","58,893,004.45","109,989,364.07","155,659,210.74","199,151,095.35","53,183,102.11","108,826,728.39","159,416,597.47","205,204,464.00","55,791,764.92","106,401,338.11","156,079,499.90","204,526,328.55","56,427,018.62","111,460,290.38","163,739,297.64","229,898,212.74","88,748,790.53","159,854,366.76","221,941,868.53"
偿还债务支付的现金,"126,000,000.00","110,000,000.00","55,000,000.00","10,000,000.00","65,000,000.00","65,000,000.00","65,000,000.00",,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"41,220,885.52","56,775,331.11","67,018,859.60","8,586,234.96","23,769,052.03","42,466,604.62","94,528,297.59","-3,798,236.43","6,352,046.04","11,351,804.65","56,490,577.38","-12,496,744.57","12,753,312.73","17,945,493.43","67,787,056.32","-6,556,577.15","1,346,689.31","644,331.12","48,409,954.04","-10,545,747.53","3,782,353.23","16,440,987.44","76,951,219.47","-15,544,333.73","-3,727,304.98","9,383,123.07"
分配股利、利润或偿还利息支付的现金,"26,306,769.83","15,613,769.35","4,349,035.44","1,167,994.31","1,905,389.86","1,905,389.86","13,905,389.86",,"28,000,000.00","28,000,000.00","28,330,000.00",,"12,800,000.00","12,800,000.00","12,800,000.00",,"16,140,423.50","16,479,631.25","16,000,000.00",,"11,520,000.00","11,520,000.00","11,520,000.00",,"17,280,000.00","17,280,000.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"14,100,000.00",,"2,300,000.00",,"5,726,500.00","5,726,500.00","5,726,500.00",,"100,014.91","100,014.91",,,,,,,,,,,"11,677.98","11,677.98",,,"17,157.75","17,157.75"
取得投资收益收到的现金,"1,333,248.86","306,159.75",,,,,,,,,,,,,,,,,,"2,050,849.31","4,125,753.42","5,974,838.36","6,482,509.59","1,800,679.46","3,917,849.33","6,092,610.97"
筹资活动现金流出小计,"166,406,769.83","125,613,769.35","61,649,035.44","11,167,994.31","72,631,889.86","72,631,889.86","84,631,889.86",,"28,100,014.91","28,100,014.91","28,330,000.00",,"12,800,000.00","12,800,000.00","12,800,000.00",,"16,140,423.50","16,479,631.25","16,000,000.00",,"11,531,677.98","11,531,677.98","11,520,000.00",,"17,297,157.75","17,297,157.75"
处置固定资产、无形资产和其他长期资产收回的现金净额,"5,443,059.07","8,425,679.32","1,992,024.36",,,50.00,"19,530.50",,,,"1,476,604.19","11,410.00","11,410.00","12,010.00","12,010.00",,,,400.00,,,,"813,150.00",224.00,224.00,"60,398.00"
筹资活动产生的现金流量净额,"-27,335,594.92","-5,613,769.35","-26,649,035.44","-11,167,994.31","301,368,110.14","301,368,110.14","289,368,110.14",,"-28,100,014.91","-28,100,014.91","-28,330,000.00",,"-12,800,000.00","-12,800,000.00","-12,800,000.00",,"-16,140,423.50","-16,479,631.25","-16,000,000.00",,"-11,531,677.98","-11,531,677.98","-11,520,000.00",,"-17,297,157.75","-17,297,157.75"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-10,334.63","-257,305.96","-367,528.67","-2,032.97","-7,516.47","54,429.95","-281,961.43","-119,621.55","-311,248.42","-400,534.59","612,752.69","-42,920.31","98,043.21","56,537.71","33,520.06","90,470.31","281,738.98","547,250.52","-29,885.55","-15,688.89","6,256.46","24,811.89","792,877.82","-53,653.61","-158,949.72","-332,492.43"
收到其他与投资活动有关的现金,"100,782,480.04","2,000,000.00",,,,,,,,,,,,,,,,,,"230,000,000.00","470,000,000.00","690,000,000.00","832,500,000.00","230,000,000.00","444,000,000.00","658,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"107,558,787.97","10,731,839.07","1,992,024.36",,,50.00,"19,530.50",,,,"1,476,604.19","11,410.00","11,410.00","12,010.00","12,010.00",,,,400.00,"232,050,849.31","474,125,753.42","695,974,838.36","839,795,659.59","231,800,903.46","447,918,073.33","664,153,008.97"
五、现金及现金等价物净增加额,"13,348,120.97","22,373,331.37","35,005,455.78","-3,335,761.61","323,807,970.89","341,648,851.40","379,318,830.39","-11,728,716.57","-42,746,487.18","-51,316,698.51","-20,648,713.41","-18,938,732.67","-18,108,358.93","-25,591,626.45","16,897,700.94","-18,515,193.97","-31,782,713.96","-119,508,407.37","-309,041,897.88","-22,551,474.38","-43,238,146.69","42,417,281.09","16,478,938.01","-14,342,980.53","-85,083,913.61","-75,764,336.78"
购建固定资产、无形资产和其他长期资产支付的现金,"30,803,468.83","31,382,763.50","6,988,864.07","751,969.29","1,321,674.81","2,240,343.31","4,315,146.41","7,810,858.59","20,687,269.89","34,167,953.66","49,092,678.57","6,410,477.79","18,171,124.87","30,805,667.59","37,474,885.44","12,049,087.13","17,270,718.75","29,220,357.76","36,422,366.37","4,040,887.27","49,620,831.82","58,491,678.62","59,540,818.87","16,545,896.65","23,818,574.49","29,670,818.64"
期初现金及现金等价物余额,"27,897,260.40","41,245,381.37","63,618,712.74","98,624,168.52","98,624,168.52","98,624,168.52","98,624,168.52","477,942,998.91","477,942,998.91","477,942,998.91","477,942,998.91","457,294,285.50","457,294,285.50","457,294,285.50","457,294,285.50","474,191,986.44","474,191,986.44","474,191,986.44","474,191,986.44","165,150,088.56","165,150,088.56","165,150,088.56","165,150,088.56","181,629,026.57","181,629,026.57","181,629,026.57"
投资支付的现金,,,,,,,,,,,,,,,,,,,"75,000,000.00",,,,,,,
期末现金及现金等价物余额,"41,245,381.37","63,618,712.74","98,624,168.52","95,288,406.91","422,432,139.41","440,273,019.92","477,942,998.91","466,214,282.34","435,196,511.73","426,626,300.40","457,294,285.50","438,355,552.83","439,185,926.57","431,702,659.05","474,191,986.44","455,676,792.47","442,409,272.48","354,683,579.07","165,150,088.56","142,598,614.18","121,911,941.87","207,567,369.65","181,629,026.57","167,286,046.04","96,545,112.96","105,864,689.79"
