科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"351,165,616.36","854,592,723.95","1,460,748,521.74","388,292,824.03","864,814,658.72","1,188,325,310.63","1,477,552,291.03","300,563,018.15","673,745,356.76","953,626,931.02","1,184,005,847.29","323,423,653.30","727,109,986.01","1,124,457,319.17","1,470,223,809.44","405,738,000.27","981,686,444.16","1,620,414,326.57","2,111,315,847.00","572,919,642.04","1,329,508,617.97","2,046,964,153.11","2,680,648,617.51","672,640,434.46","1,602,152,534.04","2,441,255,617.14","3,331,377,294.72","848,941,380.09","1,944,482,757.44","3,067,974,177.42","4,231,591,886.37","911,413,389.27","2,021,268,829.16","3,322,748,788.15","4,630,384,077.30","1,501,013,472.78","2,888,260,310.88","4,603,907,112.80","5,998,666,180.93","1,667,184,557.21","3,820,879,240.09","5,752,113,057.65","7,562,597,097.43","1,979,234,758.67","4,460,645,698.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"23,307,129.27","28,750,000.00",,,,,,,"51,992,640.00","809,793,375.77","818,464,695.77","1,137,811,392.06","818,472,769.45",,"72,217,871.75","72,917,281.70","76,594,469.48","718,421,679.60","730,160,034.98","736,361,039.24","744,661,185.01",,,,,,
收到的税费返还,"14,514,667.73","32,116,411.43","77,922,072.30","10,276,073.51","53,205,101.05","71,071,127.04","99,333,078.14","6,413,088.81","25,891,964.78","37,784,800.80","68,597,984.11","17,474,161.31","56,473,582.38","102,212,164.51","132,314,839.00","26,710,561.66","77,575,672.48","153,480,171.07","194,457,514.10","27,609,774.23",,"123,596,223.70","190,730,906.64","28,434,749.34","76,260,890.86","150,419,172.64","224,951,923.72","65,306,459.56","119,725,507.46","172,492,507.31","205,336,131.62","86,049,227.19","138,232,447.30","189,203,211.11","209,974,434.74","32,759,756.56","56,680,028.77","98,308,611.80","187,472,311.10","71,784,390.34","123,302,878.50","175,298,927.79","247,519,101.95","56,798,334.67","114,902,922.07"
支付其他与投资活动有关的现金,,,,,"3,282.50","60,929.50","66,389,100.00","102,731,384.55","187,795.80","-201,398.20",,,,,,893.22,"1,643.02","1,009,742.55","2,434,003.43",,"372,738.03","432,909.26","13,525.20","2,130.71","4,240.47","6,352.11","746,442.67","35,102,069.43","69,754,186.68","675,056,305.83","1,591,548,403.82","261,112,076.77","291,617,647.48","471,923,047.93","562,715,966.60","291,492,379.22","351,304,475.83","759,905,396.69","948,092,487.15","14,011,261.73","69,113,094.65","129,104,928.97","486,519,525.75","118,901,797.19","790,903,635.68"
收到其他与经营活动有关的现金,"12,147,824.39","33,041,822.64","72,487,042.50","4,554,267.04","6,582,863.34","12,191,708.58","28,454,444.12","2,138,423.18","5,210,052.34","9,432,111.01","14,061,001.90","31,126,608.63","38,576,321.92","65,222,406.77","85,398,596.73","5,150,646.96","13,922,585.97","23,680,804.11","69,819,669.93","24,489,964.98","111,873,199.03","63,233,608.63","84,945,522.68","14,684,713.03","25,279,233.04","35,812,072.83","74,023,433.96","21,837,781.25","34,505,303.06","53,899,435.93","102,568,868.91","22,089,980.61","34,316,762.47","74,924,277.69","200,987,851.49","28,853,075.62","158,870,985.73","267,979,614.00","322,612,814.66","60,288,325.09","96,964,361.62","245,309,717.76","462,503,108.28","97,027,385.83","194,074,997.39"
投资活动现金流出小计,"30,062,853.91","50,519,228.46","151,116,827.27","58,650,927.19","75,592,779.97","99,278,558.03","155,875,755.52","117,891,026.95","39,444,870.86","67,593,087.18","93,516,374.10","56,182,552.92","169,804,555.79","198,352,135.57","276,120,527.41","23,045,207.68","45,979,905.50","90,255,864.58","211,647,837.12","141,906,106.06","214,724,729.45","271,168,183.50","319,629,207.56","48,983,663.32","88,597,904.46","165,298,485.22","244,135,019.79","909,049,373.29","1,034,297,792.28","2,019,633,339.14","2,712,302,184.45","346,449,355.65","573,181,613.54","984,867,926.87","1,293,780,871.02","1,220,558,806.21","1,594,138,515.70","2,374,452,200.68","2,942,970,004.05","190,216,877.35","426,468,447.86","742,447,478.75","1,191,296,568.41","240,908,971.28","985,981,917.44"
经营活动现金流入小计,"377,828,108.48","919,750,958.02","1,611,157,636.54","403,123,164.58","924,602,623.11","1,271,588,146.25","1,605,339,813.29","309,114,530.14","704,847,373.88","1,000,843,842.83","1,266,664,833.30","372,024,423.24","822,159,890.31","1,291,891,890.45","1,687,937,245.17","437,599,208.89","1,073,184,702.61","1,797,575,301.75","2,375,593,031.03","625,019,381.25","1,441,381,817.00","2,233,793,985.44","2,956,325,046.83","715,759,896.83","1,703,692,657.94","2,627,486,862.61","3,630,352,652.40","936,085,620.90","2,098,713,567.96","3,294,366,120.66","4,539,496,886.90","1,019,552,597.07","2,193,818,038.93","3,586,876,276.95","5,041,346,363.53","1,562,626,304.96","3,103,811,325.38","4,970,195,338.60","6,508,751,306.69","1,799,257,272.64","4,041,146,480.21","6,172,721,703.20","8,272,619,307.66","2,133,060,479.17","4,769,623,618.01"
投资活动产生的现金流量净额,"-30,062,853.91","-48,990,544.96","-147,123,943.12","-9,947,029.26","-26,681,231.44","-50,226,939.78","-97,631,433.29","-117,891,026.95","-38,923,769.10","-66,882,450.95","-63,511,785.26","-56,182,552.92","-169,796,848.88","-198,010,050.10","-273,291,235.79","-22,374,819.84","-43,317,866.29","-87,585,912.25","-208,507,360.62","-141,297,767.54","-211,655,899.45","-268,084,530.50","-317,553,821.77","-48,458,427.15","-87,532,337.62","-163,616,303.76","-241,797,524.30","-878,144,674.04","-963,200,549.47","-1,840,606,202.74","-1,828,612,439.26","156,902,714.36","-39,264,342.93","-272,508,946.55","5,897,725.79","-1,152,796,649.55","-1,246,198,428.63","-1,979,789,407.73","-2,218,241,618.70","115,224,729.50","-44,545,214.49","-244,861,033.54","-600,119,259.36","-103,978,633.22","-602,903,570.58"
购买商品、接受劳务支付的现金,"284,433,034.55","673,496,157.58","1,241,118,851.95","319,503,253.36","803,432,561.64","1,199,166,744.56","1,445,712,626.84","126,299,311.27","291,003,214.21","457,779,249.34","695,445,493.56","364,834,489.07","648,437,966.56","960,631,776.04","1,244,249,289.03","263,767,964.79","557,007,736.65","1,191,351,901.79","1,762,778,800.77","451,258,295.33","828,120,376.59","1,368,596,840.14","1,941,642,997.43","521,506,620.47","937,201,987.95","1,642,077,343.84","2,376,138,564.36","720,201,694.24","1,277,846,894.62","2,007,088,016.03","2,766,814,144.18","812,645,975.96","1,620,594,413.95","2,422,430,406.06","3,359,314,119.53","1,049,279,817.75","2,040,842,034.61","3,183,963,360.96","3,990,654,484.37","1,261,262,670.67","2,939,858,928.06","4,454,674,194.66","5,927,377,498.41","1,611,087,938.62","3,293,910,551.07"
吸收投资收到的现金,,,,,"793,662,400.00","793,662,400.00","793,662,400.00",,,,,,,"490,000.00","490,000.00",,"29,400,000.00","1,052,670,164.10","1,060,920,164.10",,"2,000,000.00","5,000,000.00","6,200,000.00",,,,"10,000,000.00",,,"1,081,632,012.36","1,081,635,990.00","74,591,940.00","74,991,940.00","74,991,940.00","74,991,940.00","2,020,396,071.62","2,026,684,572.42","2,036,873,902.56","2,047,819,845.81","2,463,844.74","19,599,225.71","201,049,056.94","210,984,099.43","12,775,236.81","24,775,236.81"
