科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"38,722,709.26","41,286,071.80","41,113,275.96","41,686,473.80","350,183,082.98","280,529,028.06","261,367,948.88","181,506,070.41","204,390,128.73","199,514,788.33","191,170,629.20","145,438,056.79"
短期借款,"153,000,000.00","138,000,000.00","98,000,000.00","78,000,000.00","68,000,000.00","60,000,000.00","60,000,000.00","10,000,000.00",,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"68,371,755.87","61,304,667.89","64,104,484.81","71,118,440.42","72,875,307.21","87,563,880.61","66,293,284.91","72,846,262.47","97,558,983.33","149,305,557.18","137,280,968.87","150,278,405.15"
应付票据,,,,,,,,,,,,
应收账款,"98,390,080.23","120,340,922.73","122,479,290.68","135,996,242.33","137,072,178.47","134,238,062.55","176,336,292.89","175,214,518.09","180,379,384.89","171,474,423.52","208,061,763.69","183,529,461.40"
应付账款,"45,915,340.51","51,793,581.27","61,702,259.74","63,484,748.62","78,062,078.57","77,727,282.75","115,717,306.56","92,845,500.68","98,207,929.88","88,105,626.98","119,104,711.56","104,332,993.06"
预付款项,"23,289,490.63","11,874,736.76","12,376,632.34","15,539,899.13","25,874,986.49","35,867,801.53","52,502,449.64","72,592,052.23","73,655,196.00","56,136,380.99","60,518,594.20","70,639,251.64"
预收款项,"1,515,856.27","1,655,290.02","1,256,851.86","790,354.52","1,920,927.63","3,648,948.03","1,347,336.58","2,259,925.99","1,490,017.24","1,692,318.39","1,700,191.36","3,291,937.14"
其他应收款,"2,765,598.28","3,388,035.73","2,962,796.67","2,999,483.45","1,692,266.14","2,033,518.96","2,792,935.88","1,589,161.70","1,676,500.01","1,808,520.52","3,775,723.36","3,604,013.32"
应付职工薪酬,"11,815,556.70","11,891,560.17","11,106,554.66","9,576,692.77","11,093,363.33","15,502,660.00","13,070,013.49","14,777,809.78","18,145,419.65","18,995,830.85","14,537,037.25","14,846,399.73"
应收关联公司款,,,,,,,,,,,,
应交税费,"11,134,324.28","12,932,544.93","9,502,818.40","10,192,687.81","10,171,884.02","9,992,538.04","10,663,683.26","16,582,321.02","12,955,870.30","12,654,205.48","14,461,009.80","8,958,047.24"
应收利息,,,,,,,,,,,,
应付利息,"263,587.95","266,049.33","136,397.36","109,376.43","100,464.12","73,074.43","73,073.21","31,919.28",,,,
应收股利,,,,,,,,,,,,
应付股利,,"750,000.00","761,638.00",,,,,,,,,
存货,"117,107,080.90","126,539,938.93","112,619,786.59","108,736,277.87","123,007,614.18","126,443,735.22","170,146,458.49","144,313,628.45","151,201,484.34","157,885,989.13","206,460,745.51","196,476,604.25"
其他应付款,"2,798,236.83","2,872,332.06","1,905,134.93","1,093,472.28","5,178,012.95","2,278,704.18","2,997,486.10","1,597,525.08","46,839,626.81","52,405,779.71","63,354,687.05","63,607,114.18"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,"4,000,000.00",,,,,,,,,,
其他流动资产,,,,,,,,,,,,
其他流动负债,"1,977,224.97","3,257,680.48","3,257,680.48","3,257,680.48","3,257,680.48","3,359,812.48","3,359,812.48",,,"3,240,503.15",,
流动资产合计,"348,646,715.17","364,734,373.84","355,656,267.05","376,076,817.00","710,705,435.47","666,676,026.93","729,439,370.69","648,061,693.35","708,861,677.30","736,125,659.67","807,268,424.83","749,965,792.55"
流动负债合计,"228,420,127.51","227,419,038.26","187,629,335.43","166,505,012.91","177,784,411.10","172,583,019.91","207,228,711.68","138,095,001.83","177,638,863.88","177,094,264.56","213,157,637.02","195,036,491.35"
可供出售金融资产,,,,,,,,,,,,
长期借款,"4,000,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,"16,297,405.67",,,,,,,,,,,
投资性房地产,"903,372.72","840,653.76","777,934.80","746,575.32","730,895.58","715,215.84",,,,,,
预计负债,,,,,,,,,,,,
固定资产,"141,036,927.67","133,598,850.71","126,173,343.39","119,922,948.15","118,332,898.92","120,208,844.94","113,570,248.47","117,022,016.34","119,114,788.07","147,358,626.53","146,312,943.91","145,932,610.83"
递延所得税负债,"119,443.50",,,,,,,,,,,
在建工程,,"4,271,875.76","1,345,270.13","2,148,688.90","1,584,852.42","777,026.50","3,207,067.30","11,018,524.41","14,960,973.11","1,203,663.07","5,403,395.30","14,847,152.76"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"42,664,109.54","41,543,106.29","41,785,425.81","41,856,585.57","41,856,585.57","40,117,102.33","40,484,650.21","46,965,899.46","46,110,114.01","41,998,821.18","44,419,372.21","43,602,336.76"
固定资产清理,,,,,,,,,,,,
负债合计,"271,084,237.05","268,962,144.55","229,414,761.24","208,361,598.48","219,640,996.67","212,700,122.24","247,713,361.89","185,060,901.29","223,748,977.89","219,093,085.74","257,577,009.23","238,638,828.11"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"44,829,215.00","44,829,215.00","44,829,215.00","44,829,215.00","59,779,215.00","59,779,215.00","59,779,215.00","59,779,215.00","61,354,215.00","61,354,215.00","61,744,215.00","123,488,430.00"
油气资产,,,,,,,,,,,,
资本公积,"31,700,000.00","31,700,000.00","31,700,000.00","31,700,000.00","320,123,900.00","320,123,900.00","320,123,900.00","320,123,900.00","363,924,650.00","368,758,250.00","383,037,175.00","328,168,115.56"
无形资产,"23,008,748.10","22,660,230.26","22,199,912.42","21,969,753.50","21,854,674.04","21,739,594.58","21,657,303.16","21,509,435.66","21,471,756.20","21,342,396.74","21,212,618.90","22,779,082.56"
盈余公积,"21,190,794.41","22,414,607.50","22,414,607.50","22,414,607.50","22,414,607.50","29,889,607.50","29,889,607.50","29,889,607.50","29,889,607.50","30,677,107.50","30,677,107.50","30,677,107.50"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,"45,375,750.00","45,375,750.00","56,319,150.00","56,319,150.00"
商誉,"235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86","235,937.86"
未分配利润,"150,100,534.20","163,719,530.06","184,060,095.18","220,239,547.68","238,496,995.66","201,134,222.68","223,358,594.55","217,446,765.85","245,036,544.81","284,733,180.77","316,187,683.08","282,297,348.24"
长期待摊费用,,,,,,"6,709,333.20","6,189,663.89","5,669,994.53","5,150,325.17","4,630,655.81","4,110,986.45","3,591,317.09"
少数股东权益,,,,,,,,,,,,
递延所得税资产,"5,073,079.14","5,283,574.92","6,030,013.27","6,444,247.93","7,011,020.54","6,565,087.57","6,565,087.57","8,782,787.49","8,782,787.49","8,343,149.33","8,359,732.56","9,598,785.76"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,
