科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"19,950,478.33","18,477,881.46","14,930,220.36","14,677,076.22","313,465,288.45","273,432,144.73","249,954,622.43","201,569,805.56","115,702,373.44","114,429,329.81","40,006,013.27","30,737,508.63","32,515,028.14","83,156,392.81","90,480,536.67","146,095,450.59","182,244,088.81","179,013,041.40","258,487,750.71","165,626,561.96","170,752,783.69","182,011,251.71","356,608,138.46","192,863,309.15","175,174,007.30","153,906,875.51","194,515,429.44","215,835,772.18","196,927,540.38","170,647,311.16","103,832,988.35","91,277,436.80","71,507,871.39"
短期借款,"7,500,000.00","15,900,000.00","87,370.71","87,370.71",,,,,,"57,500,000.00","57,500,000.00","125,500,000.00","125,500,000.00","160,000,000.00","200,000,000.00","174,000,000.00","163,000,000.00","157,585,680.00","212,000,310.36","216,000,000.00","190,000,000.00","159,004,240.00","194,204,240.00","175,200,000.00","272,563,752.00","285,563,752.00","292,998,213.00","288,088,213.00","239,000,000.00","149,000,000.00","177,566,800.00","214,000,000.00","170,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"13,124,054.20","14,744,861.31","11,959,470.00","15,916,995.99","13,463,825.22","14,464,612.20","12,287,396.98","13,195,054.13","11,111,073.21","13,352,231.00","21,783,635.89","12,932,492.72","8,283,913.48","14,565,645.20","47,014,134.58","26,934,364.92","21,063,127.18","13,591,020.39","34,636,268.69","44,607,378.62","50,513,258.16","49,719,934.70","71,260,752.46","60,436,580.34","68,300,520.56","82,692,699.00","89,897,845.74","80,989,166.57","96,058,726.82","129,426,677.79","98,082,224.56","141,202,221.44","176,281,415.81"
应付票据,"2,800,000.00",,,,,,,,,,,"5,000,000.00","35,000,000.00","90,000,000.00","156,000,000.00","263,000,000.00","294,600,000.00","327,100,000.00","339,053,424.98","192,441,777.61","252,122,410.11","270,900,000.00","356,000,000.00","311,143,000.00","218,500,000.00","167,250,000.00","172,700,000.00","271,000,000.00","203,000,000.00","141,000,000.00","68,000,000.00","79,800,000.00","79,169,747.50"
应收账款,"46,145,425.04","45,030,800.76","53,615,939.62","58,026,197.68","60,883,879.45","67,268,943.11","74,545,757.67","71,289,151.21","84,495,002.79","66,235,012.74","84,253,529.75","87,742,253.94","92,543,158.20","104,437,210.13","123,098,531.16","146,670,936.13","174,217,142.07","202,385,634.82","201,024,446.33","219,742,737.95","217,430,012.37","220,869,360.17","258,599,257.87","284,250,349.94","276,811,673.31","289,186,971.18","296,525,479.69","339,064,672.04","380,345,899.79","389,262,262.25","392,975,163.03","403,875,019.05","434,138,020.01"
应付账款,"17,082,431.95","5,897,062.56","18,334,389.04","24,365,428.73","23,649,683.80","16,372,265.73","18,542,910.03","21,130,461.39","36,130,214.09","37,873,430.28","38,720,234.46","77,002,966.36","74,853,717.18","98,084,143.29","108,077,490.93","98,217,897.19","109,290,563.67","78,552,432.41","73,912,526.92","103,976,790.59","90,360,593.94","103,480,628.90","100,315,583.02","111,821,582.43","90,839,030.54","89,915,571.94","79,011,976.88","109,920,687.92","102,787,414.37","102,273,226.29","97,853,907.11","101,183,167.37","122,375,626.72"
预付款项,"5,498,813.12","4,203,331.89","18,958,657.48","24,539,873.04","7,973,485.66","18,091,440.56","28,672,314.26","43,318,885.40","88,319,492.30","62,689,034.80","69,077,412.92","96,125,842.69","83,844,400.42","82,996,688.60","115,292,318.95","71,772,811.93","89,835,332.12","71,142,652.21","72,595,181.11","105,204,425.57","83,357,908.17","55,373,966.65","58,423,037.70","69,418,475.36","50,501,602.66","33,481,857.94","40,877,814.54","52,568,474.86","54,648,549.63","36,097,496.98","50,826,447.86","50,961,417.07","104,957,022.96"
预收款项,"568,175.67","527,339.33","804,185.81","775,349.04","2,550,289.54","2,075,896.56","2,881,507.09","445,849.69","1,239,653.64","841,917.73","1,737,873.45","2,180,045.88","2,976,161.70","573,435.72","32,247,034.15","1,943,267.97","5,118,237.95","2,259,829.18","2,933,512.55","2,372,470.50","3,574,289.77","1,610,969.93","3,043,514.90","4,178,942.00","3,909,831.55","7,275,147.51","11,272,485.98","12,500,044.25","5,528,584.41","3,309,215.63","3,035,624.11","2,870,463.49","3,531,266.88"
其他应收款,"1,916,423.39","5,265,642.41","3,244,322.80","4,951,601.60","2,780,231.97","1,557,471.88","4,746,237.97","6,119,347.83","13,626,204.28","5,367,016.16","2,264,203.31","1,548,178.55","2,661,719.40","4,019,759.58","6,575,989.75","3,400,221.32","9,422,858.75","2,430,837.08","1,126,872.60","5,605,771.86","4,684,268.42","10,960,918.68","9,708,734.00","21,421,389.02","8,694,067.53","12,049,558.68","4,799,329.67","7,007,923.11","8,451,789.63","16,862,270.31","15,995,930.84","14,577,552.54","19,680,105.93"
应付职工薪酬,"3,908,079.15","3,752,295.26","2,037,200.44","1,747,913.39","4,055,720.73","4,092,427.47","2,199,038.29","1,525,180.23","2,258,850.67","2,260,169.49","2,835,935.98","3,637,588.95","4,518,739.49","2,444,619.21","1,686,738.77","278,564.07","3,722,021.13","2,842,085.51","5,549,039.98","5,249,587.48","4,028,894.63","5,626,128.15","3,868,125.67","5,498,125.28","4,122,664.23","6,065,786.29","6,228,744.70","10,493,000.13","8,925,616.69","8,099,917.53","8,828,699.77","9,859,032.02","9,155,992.08"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,954,795.84","4,973,423.72","2,433,349.16","2,647,549.35","-240,062.88","2,646,405.33","131,850.74","-5,026,200.62","880,437.19","-12,007,328.94","-15,775,719.97","-18,353,913.62","-24,050,806.51","-28,679,708.09","-26,612,543.03","-25,037,054.07","-16,678,001.18","-16,968,367.48","-8,710,123.08","-12,406,366.11","-14,863,673.09","3,910,595.74","-5,741,729.43","11,743,756.65","9,337,185.57","9,589,272.01","2,921,172.81","3,714,627.83","10,161,830.37","20,627,816.86","15,048,961.75","10,517,943.73","19,225,690.98"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,"161,453.37",,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
