科目,2007-06-30,2007-12-31,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"105,285,330.79","121,024,613.43","71,783,710.73","100,578,563.27","40,042,795.83","174,390,907.74","107,728,732.81","182,102,820.64","99,574,995.77","70,187,308.68","633,143,007.76","518,779,681.85","434,366,145.55","400,924,389.78","529,009,175.82","419,728,532.70","285,502,771.21","290,457,161.64","436,993,695.67","274,858,187.25","311,456,892.98","288,048,669.11","537,925,517.39","373,898,375.01","236,680,016.93","291,617,358.93","800,200,416.28","465,619,682.90","454,720,738.12","354,085,576.97","810,395,684.08","651,994,643.94","555,910,524.18","511,054,352.87","1,297,334,119.79","789,554,839.98","628,718,776.55"
短期借款,,"30,000,000.00","40,000,000.00","15,000,000.00","15,000,000.00","35,000,000.00","32,000,000.00","2,000,000.00","32,000,000.00","32,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","8,300,000.00","7,100,000.00","2,110,000.00","2,110,000.00","510,000.00","510,000.00","510,000.00","510,000.00","9,150,000.00","60,350,000.00","60,350,000.00","38,150,000.00","29,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"280,000.00",,,,,,,,,,,,,,,,"200,000.00","200,000.00",,,,,,,"35,000.00","210,000.00","265,000.00","597,500.00","1,560,364.60","2,561,864.60","100,000.00","892,500.00","1,621,000.00","1,814,220.00","5,391,162.65"
应付票据,,,,"651,470.00",,,"1,541,293.00","1,858,482.40",,,,,"679,323.40",,"11,195,797.10","2,707,500.00",,,"2,739,000.00","1,283,206.00",,"4,929,400.00",,"355,536.00",,,,,,,,,,,,"1,641,940.00",
应收账款,"19,771,665.91","15,071,110.22","38,506,927.41","59,851,012.06","90,010,628.50","66,317,715.56","105,511,589.59","69,058,774.06","126,453,769.62","140,131,401.26","108,246,304.62","124,643,109.81","171,211,285.95","203,211,392.71","185,166,426.83","213,618,113.85","286,273,091.59","274,718,331.22","286,144,157.97","305,989,062.97","311,436,024.17","337,979,206.87","303,026,700.26","346,562,563.65","398,197,811.67","425,512,501.25","349,063,928.37","350,827,056.21","384,567,532.60","428,252,733.78","441,313,458.81","467,518,419.92","616,972,292.34","868,883,948.07","642,207,932.98","714,442,528.07","894,762,531.78"
应付账款,"11,507,201.24","12,486,486.07","11,536,483.62","30,153,367.07","31,964,156.08","40,474,548.66","29,321,096.29","35,593,836.96","28,439,313.17","33,054,738.36","32,248,882.39","26,646,178.49","30,554,791.89","44,898,343.56","56,567,253.08","52,133,658.16","60,996,142.63","58,405,136.37","79,846,769.05","77,490,247.71","100,183,726.91","94,224,576.92","118,364,657.35","106,930,480.00","101,598,940.28","114,111,288.97","128,791,494.97","125,075,692.95","183,917,699.59","184,076,004.58","190,356,194.05","129,599,810.78","167,340,328.45","227,508,279.47","295,742,890.68","236,680,553.05","294,494,591.55"
预付款项,"20,870,573.92","28,615,575.63","28,448,748.58","12,956,812.46","10,338,250.38","9,646,179.32","7,997,966.04","16,722,245.57","16,861,948.40","18,782,141.25","9,455,053.51","14,701,999.42","15,089,834.28","9,629,880.55","10,710,575.92","20,480,917.58","30,581,847.43","37,228,505.19","35,440,176.29","42,564,979.61","42,746,034.04","49,762,374.91","30,510,755.74","42,277,044.69","40,942,675.82","33,084,277.22","25,625,692.32","37,897,854.81","40,347,167.38","48,539,403.67","42,221,669.36","51,412,878.10","47,996,571.05","65,661,901.17","28,288,468.66","92,122,623.05","41,947,138.80"
预收款项,"156,384,065.82","158,660,741.83","134,234,329.70","139,327,703.60","88,709,440.40","162,826,569.23","83,100,949.86","130,352,307.86","61,247,141.97","33,731,420.94","76,564,448.52","83,927,280.01","67,552,811.14","51,146,789.48","138,218,311.24","130,716,143.01","83,801,426.33","87,873,349.56","173,188,961.14","154,967,401.52","212,637,266.12","282,175,167.78","453,385,479.85","436,446,448.71","380,881,811.97","420,872,145.98","609,724,521.39","558,309,333.17","418,180,437.73","428,597,930.59","538,687,056.89","461,574,488.84","351,212,744.67","337,652,287.18","519,829,345.82","397,045,619.24","347,200,771.34"
