科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"2,238,663,917.58","3,226,615,643.45","4,260,003,262.68","2,648,504,161.15","5,659,120,427.46","1,701,935,889.96","3,630,018,461.32","5,526,567,015.77","8,449,088,149.64","3,299,911,528.24","5,915,975,589.19","8,669,249,376.93","11,623,391,046.07","3,704,095,200.48","6,919,439,192.74","10,736,383,133.29","13,807,711,459.66","4,074,142,966.51"
取得子公司及其他营业单位支付的现金净额,,,,,"16,800,000.00",,"8,400,000.00","11,200,000.00","1,926,987,096.02","346,027,137.00","422,410,432.31","543,921,913.56","1,576,687,475.33",,"327,762,301.48","417,926,233.32","611,546,989.14",
收到的税费返还,"24,491,761.34","63,911,134.61","74,586,979.96","15,760,107.44","94,531,384.51","20,289,531.85","43,074,188.03","43,074,188.03","106,339,891.75","3,270,000.00","17,228,122.27","69,439,696.72","235,530,916.17","22,302,353.00","50,573,995.14","50,181,021.19","186,214,768.62","9,259,500.00"
支付其他与投资活动有关的现金,,,,,,,,,,,"60,000,000.00","60,000,000.00","60,000,000.00",,,,,
收到其他与经营活动有关的现金,"7,159,486.06","25,616,129.38","64,588,055.19","47,423,270.65","128,792,871.92","32,822,028.14","40,205,143.09","54,935,323.62","83,709,806.78","44,548,229.75","46,275,078.22","83,801,648.58","66,357,044.91","19,918,075.59","18,697,069.56","399,166,226.78","161,596,547.11","46,671,152.68"
投资活动现金流出小计,"572,072,072.94","553,387,864.64","537,061,711.62","203,755,244.10","689,084,229.48","220,478,656.54","491,023,744.90","691,484,543.48","3,486,780,844.74","1,286,368,956.91","2,021,601,139.27","3,858,689,324.46","3,791,757,230.21","1,116,067,570.97","1,764,095,907.80","2,611,861,319.27","2,895,299,172.34","760,410,057.93"
经营活动现金流入小计,"2,270,315,164.98","3,316,142,907.44","4,399,178,297.83","2,711,687,539.24","5,882,444,683.89","1,755,047,449.95","3,713,297,792.44","5,624,576,527.42","8,639,137,848.17","3,347,729,757.99","5,979,478,789.68","8,822,490,722.23","11,925,279,007.15","3,746,315,629.07","6,988,710,257.44","11,185,730,381.26","14,155,522,775.39","4,130,073,619.19"
投资活动产生的现金流量净额,"-570,614,676.95","-551,405,108.54","-536,916,227.67","-203,114,397.96","-688,355,074.87","-220,460,656.54","-490,885,079.83","-691,193,519.01","-3,485,504,920.25","-1,286,368,956.91","-2,016,148,637.81","-3,784,328,591.15","-3,695,902,828.58","-1,111,471,434.20","-1,703,847,976.99","-2,083,058,574.95","-2,281,535,434.12","-760,410,057.93"
购买商品、接受劳务支付的现金,"1,136,479,691.77","1,490,064,722.58","2,079,216,660.73","1,121,672,236.41","2,923,269,503.04","673,313,422.10","1,817,167,775.64","2,896,146,200.13","4,172,405,249.62","1,827,082,879.96","3,514,621,517.73","4,995,833,777.88","6,771,764,367.10","1,967,223,898.19","3,845,038,058.57","6,571,893,642.08","8,084,133,234.58","2,114,735,043.60"
吸收投资收到的现金,,,,,,"1,253,380,000.00","1,253,380,000.00","1,253,380,000.00","3,427,819,262.18",,,,,,,,"17,950,000.00",
支付给职工以及为职工支付的现金,"228,612,258.04","294,728,799.27","414,012,248.69","288,749,307.22","562,617,728.59","188,949,299.09","369,723,265.18","563,130,896.87","940,142,263.52","382,697,573.34","616,175,777.24","962,522,487.13","1,560,074,644.74","595,417,974.85","1,070,774,097.99","1,618,398,820.94","2,051,393,523.14","565,152,148.34"
