科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,059,906.61","4,651,800.00","8,081,147.48","11,126,234.78","-1,849,498.92","-3,503,032.47","-4,916,543.35","-6,991,496.93","235,992.76","55,480.56","-365,388.36","-1,172,513.06","783,160.09","2,135,380.13","2,961,315.35","5,064,269.94","3,733,431.38","10,197,585.72","17,758,402.87","25,467,282.82","4,806,987.98","9,598,030.63","14,987,385.17","21,587,031.07","6,551,033.06","13,466,139.76","21,633,077.37","33,905,777.43","9,578,183.41","18,728,980.75","27,467,754.00","28,331,902.64","7,646,574.55","15,295,661.89","41,402,390.52","58,767,559.42","-933,224.30","-4,816,212.23","-6,018,718.08","-11,726,456.39","1,466,433.38","3,697,708.53","3,128,294.77","6,275,295.41","8,222,325.51","3,134,783.50"
三、利润总额,"20,130,081.81","41,520,800.00","72,086,742.32","96,097,118.60","19,015,539.36","46,192,532.27","77,206,950.68","79,643,272.82","-1,463,551.36","24,310,097.28","60,446,463.81","89,571,065.64","28,768,825.57","71,098,076.91","117,048,579.50","130,945,149.94","30,783,822.46","87,646,068.32","120,770,216.61","86,613,334.38","30,236,121.94","85,828,683.16","133,446,239.16","139,006,458.56","39,980,103.20","118,974,091.62","180,063,105.73","226,562,485.98","55,868,639.95","166,091,070.15","268,563,548.57","348,246,559.49","76,280,142.24","211,285,732.41","323,841,978.31","377,163,823.77","97,196,072.16","225,122,541.23","365,000,805.19","478,345,649.13","146,558,476.06","327,884,057.75","501,484,903.92","631,144,425.06","111,153,796.32","278,252,094.15"
资产减值损失,,"2,419,900.00","2,419,861.23","3,145,786.01",,"2,308,336.11","2,308,336.11","3,076,456.85",,"1,740,515.30","1,740,515.30","2,931,919.73",,"2,668,533.44","2,752,506.75","1,761,253.94",,"-1,386,503.19","-1,386,503.19","1,925,780.49",,"4,940,430.46","4,940,430.46","6,250,392.35",,"6,128,862.28","6,128,862.28","7,033,204.71",,"5,256,889.40","5,256,889.40","2,460,140.34",,"6,510,663.73","6,562,966.41","6,528,129.37",,"5,867,780.03","5,868,503.76","18,682,012.23",,"8,753,691.93","8,753,691.93","24,637,860.02",,"15,892,667.69"
减:所得税,"3,009,001.42","5,882,400.00","10,787,349.86","14,710,578.37","2,838,213.67","6,611,715.81","11,307,323.59","10,659,904.54","-126,971.02","3,608,463.80","9,086,343.89","11,954,004.47","4,393,807.43","10,706,297.80","17,890,059.45","17,875,985.31","5,642,529.28","14,831,207.57","20,219,131.41","6,835,165.51","4,942,016.86","11,952,788.90","17,797,046.60","17,256,400.96","5,930,477.31","16,854,240.86","28,733,112.49","25,882,082.15","7,826,223.24","24,597,607.85","39,974,781.37","42,469,071.21","11,475,228.80","39,182,937.77","58,597,850.77","48,831,130.87","14,516,376.30","32,964,357.82","53,498,142.68","65,064,832.08","20,616,773.38","48,868,175.98","73,537,923.21","84,126,085.00","17,385,836.25","42,147,002.37"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194,558.44",,"26,733.64","26,733.64",,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,"-727,796.96","-1,356,715.08","-557,344.97","-591,325.09","-2,141,204.55","-2,801,126.66","-3,291,828.09","-8,210,110.59","661,406.46","4,937,325.30","-12,218,449.76","-13,258,099.99","-633,083.30","-1,473,328.86","-1,845,626.58","-1,540,461.43","523,504.96","3,783,477.80","3,742,839.88","3,856,074.11","3,891,328.38","8,584,016.31","11,502,653.04","17,923,849.00","373,412.81","337,523.61","3,293,730.85","3,608,647.85","137,798.65","140,989.67"
四、净利润,"17,121,080.39","35,638,300.00","61,299,392.46","81,386,540.23","16,177,325.69","39,580,816.46","65,899,627.09","68,983,368.28","-1,336,580.34","20,701,633.48","51,360,119.92","77,617,061.17","24,375,018.14","60,391,779.11","99,158,520.05","113,069,164.63","25,141,293.18","72,814,860.75","100,551,085.20","79,778,168.87","25,294,105.08","73,875,894.26","115,649,192.56","121,750,057.60","34,049,625.89","102,119,850.76","151,329,993.24","200,680,403.83","48,042,416.71","141,493,462.30","228,588,767.20","305,777,488.28","64,804,913.44","172,102,794.64","265,244,127.54","328,332,692.90","82,679,695.86","192,158,183.41","311,502,662.51","413,280,817.05","125,941,702.68","279,015,881.77","427,946,980.71","547,018,340.06","93,767,960.07","236,105,091.78"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,"-591,325.09","-2,141,204.55","-2,801,126.66","-3,291,828.09","-8,210,110.59","661,406.46","4,937,325.30","-12,218,449.76","6,146,645.35","-633,083.30","-1,324,737.36","-2,281,517.83","-2,275,086.04","-76,495.04","-96,522.20","-137,160.12","-190,677.37","-124,606.68","-113,198.44","-132,719.61","-171,001.94","-137,107.44","-179,366.50","-223,159.26","-405,731.05","-61,190.39","-57,999.37"
归属于母公司所有者的净利润,"17,069,206.39","35,226,900.00","60,839,785.34","80,899,024.11","16,142,859.76","39,432,757.81","65,726,230.95","68,538,479.25","-1,352,510.44","20,571,103.31","51,151,813.77","77,139,928.19","24,126,520.34","59,857,349.12","98,379,351.05","111,871,226.26","24,863,263.98","72,158,345.93","99,724,691.89","78,956,088.94","24,995,598.57","73,387,164.27","115,144,430.61","121,035,150.15","33,880,676.03","101,923,219.29","150,235,228.31","199,164,273.88","48,958,976.68","139,302,456.20","224,571,458.90","298,183,078.68","64,265,250.10","170,902,586.74","260,707,350.79","318,516,127.68","77,290,400.09","179,993,838.38","291,441,057.63","390,920,674.34","114,474,064.98","254,993,014.71","387,694,302.00","495,169,978.15","81,300,293.57","210,483,588.10"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"51,874.00","91,700.00","139,877.67","381,534.35","34,465.93","148,058.65","173,396.14","348,174.02","15,930.10","130,530.17","208,306.15","477,132.98","248,497.80","534,429.99","779,169.00","1,197,938.37","278,029.20","656,514.82","826,393.31","822,079.93","298,506.51","488,729.99","504,761.95","714,907.45","168,949.86","196,631.47","1,094,764.93","1,516,129.95","-916,559.97","2,191,006.10","4,017,308.30","7,594,409.60","539,663.34","1,200,207.90","4,536,776.75","9,816,565.22","5,389,295.77","12,164,345.03","20,061,604.88","22,360,142.71","11,467,637.70","24,022,867.06","40,252,678.71","51,848,361.91","12,467,666.50","25,621,503.68"
