科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"9,333,699.92","10,587,595.18","14,352,262.55","19,615,776.93","9,085,725.19","82,711,245.27","31,821,835.54","34,956,248.67","30,373,379.94","24,385,087.56","29,334,956.92","44,086,444.02"
短期借款,"55,200,000.00","76,700,000.00","71,200,000.00","93,200,000.00","88,200,000.00","65,700,000.00","39,700,000.00","67,700,000.00","70,000,000.00","82,500,000.00","118,800,000.00","148,800,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"13,555,706.77","21,119,652.69","35,217,226.01","32,606,414.61","32,431,816.12","23,255,940.62","43,332,366.90","78,780,844.80","59,928,759.03","57,822,186.78","70,574,576.41","71,385,788.96"
应付票据,"1,000,000.00","3,000,000.00","7,150,000.00","7,150,000.00","2,000,000.00","2,000,000.00",,,,,,
应收账款,"99,090,362.44","97,614,613.20","112,752,745.39","111,943,521.63","139,400,050.98","155,850,983.53","153,249,105.44","129,835,925.61","129,106,300.23","142,642,295.64","138,852,261.19","138,181,741.07"
应付账款,"72,175,007.01","52,787,504.02","60,132,813.61","60,505,990.85","77,277,464.81","77,637,608.93","86,551,599.04","91,273,900.31","90,769,071.94","105,057,083.07","87,898,634.29","95,008,688.14"
预付款项,"4,290,017.32","2,867,145.33","2,321,049.82","3,854,724.00","4,320,110.30","3,484,338.55","3,098,303.65","6,296,706.89","11,303,526.07","9,468,791.68","8,669,646.95","11,569,487.49"
预收款项,"73,916.51","101,937.99","738,319.02","1,160,059.99","1,353,534.20","245,333.36","672,082.47","17,730.15","81,550.65","38,481.06","1,840,269.59","2,788,704.85"
其他应收款,"5,119,633.37","2,627,052.68","3,332,542.99","3,385,775.77","3,029,599.89","773,282.67","1,068,645.13","2,614,802.36","1,951,043.07","3,842,643.88","12,179,146.69","13,825,798.43"
应付职工薪酬,"1,403,001.63","1,681,000.20","1,727,604.57","974,816.18","1,340,044.90","1,664,659.35","2,001,081.31","208,575.35","745,883.02","1,412,453.89","2,268,793.55","1,391,809.29"
应收关联公司款,,,,,,,,,,,,
应交税费,"-1,646,314.04","2,068,759.41","2,074,348.71","2,048,275.21","3,047,134.86","2,483,438.64","5,375,620.39","2,181,415.05","674,702.76","-1,174,089.79","4,222,713.66","4,007,426.92"
应收利息,,,,,,,,,,,,
应付利息,,,,"387,808.75","688,399.58",,,,,,,
应收股利,,,,,,,,,,,,
应付股利,"22,232,813.53","18,732,813.53","15,732,813.53","829,853.68",,,,,"3,423,000.00","3,423,000.00",,
存货,"59,887,270.62","61,456,121.72","64,139,883.79","70,094,094.92","65,250,313.11","63,735,727.97","66,403,296.97","61,955,016.27","69,640,216.79","64,547,634.29","54,735,730.90","66,919,186.59"
其他应付款,"5,691,798.82","1,821,074.58","1,659,207.24","2,019,039.79","2,676,046.45","3,388,162.02","4,637,332.91","2,937,838.97","2,716,998.63","3,179,371.90","5,062,261.73","6,068,700.14"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"10,000,000.00","10,000,000.00","6,442,357.45","6,548,857.67","6,657,118.47","7,404,540.12","6,879,038.72","6,974,163.70","7,069,404.61","5,337,847.35","3,582,643.51","1,803,470.17"
其他流动资产,"3,253,350.24","6,968,851.76","3,822,419.14","2,027,548.11","522,782.68",,"2,809,771.17","3,369,209.78","2,310,560.06","2,138,913.05","7,586,819.83","8,693,912.82"
其他流动负债,,,,,,,,,,,,
流动资产合计,"194,530,040.68","203,241,032.56","235,938,129.69","243,527,855.97","254,040,398.27","329,811,518.61","301,783,324.80","317,808,754.38","304,613,785.19","304,847,552.88","321,933,138.89","354,662,359.38"
流动负债合计,"166,130,223.46","166,893,089.73","166,857,464.13","174,824,702.12","183,239,743.27","160,523,742.42","145,816,754.84","171,293,623.53","175,480,611.61","199,774,147.48","223,675,316.33","259,868,799.51"
可供出售金融资产,,,,,,,,,,,,
长期借款,"10,000,000.00",,"10,491,486.56","8,813,788.92","7,108,356.84","4,720,821.14","3,583,810.68","1,803,470.17",,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"146,343,972.66","142,325,472.11","152,440,124.99","149,855,524.17","146,907,083.51","151,376,267.45","180,786,735.17","175,915,522.46","180,522,305.94","202,273,850.35","220,186,416.26","219,159,867.40"
递延所得税负债,,,,,,,,,,,,
在建工程,"28,733,632.43","30,399,253.74","18,903,106.52","21,435,919.90","28,348,696.60","28,378,452.02","11,484,855.40","26,283,704.62","40,592,900.98","42,256,221.73","47,675,931.87","64,559,903.84"
其他非流动负债,,,,,,,,,,,,
工程物资,"10,940.22","6,613.80",,,,,,,,,,
非流动负债合计,"50,589,723.12","37,398,667.22","44,699,097.88","42,223,636.25","39,720,440.19","36,535,140.49","34,600,366.08","32,022,261.59","29,421,027.44","28,623,263.46","27,825,499.48","27,027,735.50"
固定资产清理,,,,,,,,,,,,
负债合计,"216,719,946.58","204,291,756.95","211,556,562.01","217,048,338.37","222,960,183.46","197,058,882.91","180,417,120.92","203,315,885.12","204,901,639.05","228,397,410.94","251,500,815.81","286,896,535.01"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","136,000,000.00","136,000,000.00","136,000,000.00","137,105,100.00"
油气资产,,,,,,,,,,,,
资本公积,"3,215,915.53","3,215,915.53","3,215,915.53","3,215,915.53","3,215,915.53","82,585,915.53","82,585,915.53","82,585,915.53","26,585,915.53","26,585,915.53","26,585,915.53","39,628,996.42"
无形资产,"26,096,164.23","25,523,577.85","24,950,991.47","24,907,844.88","24,761,364.95","24,625,587.20","24,471,405.11","24,335,627.36","24,199,849.61","24,064,905.19","23,903,340.71","27,216,470.47"
盈余公积,"13,399,095.29","15,441,044.60","17,377,531.92","17,377,531.92","17,377,531.92","17,377,531.92","18,630,625.62","18,630,625.62","18,630,625.62","18,630,625.62","19,435,985.80","19,435,985.80"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,,,,
未分配利润,"107,939,836.99","122,098,114.78","145,802,988.11","148,895,594.63","159,186,126.02","165,039,384.61","170,815,342.51","174,288,682.93","173,722,439.04","180,851,723.55","190,511,019.97","194,280,421.84"
长期待摊费用,"272,726.19","474,211.97","1,703,242.24","1,598,696.54","1,741,680.77","2,740,652.45","3,095,950.83","3,059,632.86","3,066,458.77","5,414,771.12","3,066,064.86","2,658,042.89"
少数股东权益,,,,,,,,"830,000.00","850,000.00","1,105,000.00","899,816.88","890,790.57"
递延所得税资产,"2,287,317.98","3,076,669.83","1,320,279.21","1,095,069.62","1,222,225.20","750,041.16","639,372.32","429,011.98","429,011.98","429,011.98","524,352.74","586,982.08"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,"3,000,000.00",,"2,697,123.45","4,116,469.37","5,718,307.63","4,379,196.08","10,187,360.95","11,818,855.54","7,266,306.77","12,284,362.39","7,644,308.66","9,394,203.58"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"206,744,753.71","201,805,799.30","202,014,867.88","203,009,524.48","208,699,358.66","212,250,196.36","230,665,679.78","241,842,354.82","256,076,834.05","286,723,122.76","303,000,415.10","323,575,470.26"
所有者权益(或股东权益)合计,"184,554,847.81","200,755,074.91","226,396,435.56","229,489,042.08","239,779,573.47","345,002,832.06","352,031,883.66","356,335,224.08","355,788,980.19","363,173,264.70","373,432,738.18","391,341,294.63"
资产总计,"401,274,794.39","405,046,831.86","437,952,997.57","446,537,380.45","462,739,756.93","542,061,714.97","532,449,004.58","559,651,109.20","560,690,619.24","591,570,675.64","624,933,553.99","678,237,829.64"
负债和所有者(或股东权益)合计,"401,274,794.39","405,046,831.86","437,952,997.57","446,537,380.45","462,739,756.93","542,061,714.97","532,449,004.58","559,651,109.20","560,690,619.24","591,570,675.64","624,933,553.99","678,237,829.64"
