科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"415,227,058.10","375,437,466.88","367,951,338.83","195,285,125.87",,"214,703,967.38","60,707,059.94","105,953,092.94","171,956,437.74","299,441,310.14","77,182,045.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"14,667,795.06",
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"131,300,000.00","10,000,000.00",,"70,135,136.25","280,000,000.00","210,000,000.00","312,000,000.00","561,000,000.00","206,000,000.00"
收到其他与经营活动有关的现金,"4,760,686.30","380,152.32","410,433.44","318,753.31",,"8,851,500.15","395,039.01","1,660,192.18","17,886,523.97","7,262,197.47","2,126,276.66"
投资活动现金流出小计,"6,892,605.54","7,385,653.15","134,643,071.55","61,135,812.87",,"123,326,924.85","281,456,400.00","228,536,487.00","476,342,422.71","687,933,387.77","230,801,315.90"
经营活动现金流入小计,"419,987,744.40","375,817,619.20","368,361,772.27","195,603,879.18",,"223,555,467.53","61,102,098.95","107,613,285.12","189,842,961.71","306,703,507.61","79,308,321.67"
投资活动产生的现金流量净额,"-6,856,605.54","11,950,516.85","-32,554,134.56","-3,064,935.27","-38,082,800.00","-54,831,911.79","-159,910,371.72","-54,782,214.90","-164,812,276.07","-146,179,067.08","-41,313,948.71"
购买商品、接受劳务支付的现金,"204,797,706.12","212,476,177.36","174,151,325.25","85,055,223.25",,"25,391,969.68","7,752,884.62","18,997,416.48","32,066,088.91","46,670,150.97","32,252,797.87"
吸收投资收到的现金,,,,,,"182,681,600.00",,,,"5,000,000.00","12,616,500.00"
支付给职工以及为职工支付的现金,"32,620,235.09","31,834,516.54","31,533,461.05","18,150,423.53",,"32,865,017.50","10,824,061.38","18,372,019.98","28,673,854.15","36,113,911.21","14,682,466.77"
取得借款收到的现金,"15,000,000.00",,,,,,,,,,
支付的各项税费,"43,682,727.62","49,122,491.56","51,961,599.17","24,560,587.04",,"47,593,671.41","14,472,902.84","23,897,036.60","32,066,321.11","41,527,739.77","15,021,105.10"
收到其他与筹资活动有关的现金,,,,,,,,,,,
