科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"27,670,881.72","70,784,556.61","94,294,553.00","195,968,919.56","23,998,926.45","48,351,754.84","61,458,580.46","66,745,934.51","11,514,079.00","25,997,705.00","36,137,945.00","63,057,511.18","30,770,455.00","54,447,687.00","83,798,504.00","84,284,039.00","421,797.50","9,920,219.00","13,137,256.50","13,311,294.00","2,242,617.50","3,006,659.00","4,861,427.50","11,284,146.00","176,389.50","352,779.00","529,168.50","12,722,138.00","1,596,639.00","1,794,779.00","1,875,639.00","14,724,901.86","298,630.00","9,373,585.10","12,559,616.72","15,594,157.75","370,020.00","695,480.48","20,698,059.52","44,428,711.88","39,882,865.80","83,830,971.64","130,639,588.55","202,505,533.88","83,558,950.37","166,233,982.10"
二、营业利润,"2,116,172.88","10,320,188.93","12,605,630.50","29,713,588.33","3,485,348.44","11,124,189.09","11,811,679.38","412,373.41","3,129,937.90","7,160,120.11","9,681,384.44","17,039,508.38","11,241,317.34","21,941,589.28","34,878,636.57","34,027,386.25","-757,922.51","2,317,089.35","2,686,961.48","1,706,036.33","-558,007.53","-906,652.73","-1,059,896.64","7,658,078.27","269,720.51","1,181,836.55","1,867,873.65","1,755,053.94","3,893,880.34","5,746,136.85","7,946,581.61","4,958,420.65","502,120.33","13,795,254.95","13,982,535.22","24,360,315.73","1,477,687.45","-628,133.40","-112,115.50","2,511,058.97","21,373,689.77","43,143,110.69","65,066,764.20","84,790,943.54","26,562,731.41","60,383,500.91"
减:营业成本,"15,904,164.35","39,862,793.94","51,943,825.25","117,209,980.41","11,650,707.14","22,488,386.76","28,135,763.82","31,800,179.16","5,708,408.48","12,295,860.17","16,872,694.24","32,493,240.73","9,976,470.44","18,980,833.26","33,517,885.10","35,784,608.34","164,695.86","3,916,975.69","5,550,668.73","5,586,290.55","1,097,208.93","1,457,884.55","2,532,904.00","5,574,093.79","47,032.29","94,064.58","141,096.87","5,953,168.83","628,527.66","642,399.90","656,272.14","13,441,939.25","13,872.24","9,011,587.72","12,009,461.54","14,994,410.84","65,990.40","271,898.44","10,304,167.96","23,322,834.11",,,,,,
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,265,494.31","5,628,004.91","7,595,069.96","16,664,188.22","1,324,674.46","2,532,186.60","3,392,423.51","3,683,260.00","633,274.35","1,429,868.56","1,987,581.76","6,339,601.90","7,404,754.69","12,205,481.31","16,565,403.80","12,549,234.47","20,340.03","1,420,925.35","1,591,333.35","224,886.09","115,840.48","168,372.91","257,604.71","848,125.05","9,877.81","19,755.62","29,633.43","891,970.62","169,906.40","203,193.43","207,108.95","467,250.12","16,723.29","19,350.97","47,329.02","1,718,354.88","66,385.69","48,557.42","2,301,697.14","1,827,190.76","261,238.24","743,082.01","1,136,147.85","713,064.95","2,114,792.62","4,409,902.08"
营业外收入,"42,872.45","352,736.48","477,048.33","502,432.78","19,966.69","29,863.64","42,579.25","33,294,142.74","106,000.00","107,224.85","107,224.85","147,224.85","32,983.00","160,841.00","285,541.00","395,241.00",,"6,600.00","6,600.00","9,663.00",,,"85,020.00","90,020.00",135.00,135.00,135.00,135.00,369.00,369.00,"67,533.42","67,533.61",520.00,"6,320.00","6,320.00","6,320.00",520.00,"1,095,326.53","1,095,326.53","1,350,688.40",260.00,780.00,"11,780.00","11,780.00",,682.50
销售费用,"2,641,049.78","5,226,869.66","7,624,910.80","9,906,475.15","2,807,477.59","4,808,784.32","7,324,126.17","7,925,444.84","407,003.60","742,568.59","1,241,124.19","1,631,437.82","239,580.00","321,064.80","397,028.15","491,508.87","77,755.40","130,282.40","176,619.40","177,093.95","69,154.57","102,760.57","110,808.57","116,158.57","18,823.10","41,049.00","45,604.94","69,519.94","62,963.00","93,345.72","120,294.72","140,370.72","6,090.00","6,090.00","20,680.50","83,426.70",,,,,,,,,,
减:营业外支出,"10,646.00","10,646.00","14,993.96","23,268.36",,"100,000.00","100,000.00","100,000.00",,10.80,10.80,162.00,"2,400.00","10,639.02","10,661.82","10,661.82",,"137,794.88","137,901.51","176,901.51","6,500.00","6,500.00","6,500.00","21,395,512.97",,60.42,60.42,60.42,6.71,"192,465.95","192,495.86","199,381.80",,,488.90,488.90,,265.75,265.75,"7,200.07",,"7,951.84","10,653.78","10,653.78",,
管理费用,"3,922,281.77","8,067,416.20","12,136,931.08","19,338,365.84","4,389,775.33","7,433,292.53","10,484,835.22","21,108,351.86","1,533,286.84","3,968,558.30","5,894,425.53","8,911,829.27","2,526,056.25","4,688,388.71","6,345,463.49","9,573,517.92","2,634,592.25","4,672,224.48","6,422,199.83","8,842,053.55","2,140,981.69","3,806,306.13","5,151,939.45","6,871,661.17","2,077,321.82","4,406,073.40","6,124,673.18","10,991,877.32","2,885,608.09","5,483,554.50","10,226,438.76","13,576,085.91","1,680,892.29","4,884,978.58","6,840,727.22","15,171,530.58","2,834,806.10","6,072,016.51","9,385,646.69","15,456,316.28","7,965,957.29","18,315,908.93","30,010,651.65","44,133,090.30","12,328,641.27","27,803,044.52"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,702.85",,,,,,,,,,,,,,
