科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"551,561,899.05","715,456,959.76","986,639,269.05","206,279,951.76","472,187,530.43","692,559,422.19","919,016,888.40","227,711,705.91","533,734,628.21","832,367,643.56","1,095,781,690.82","230,287,747.71","610,859,623.64","945,751,724.46","1,202,797,628.82","244,806,882.99","620,434,285.04","940,600,620.18","1,137,264,634.65","163,953,868.80","532,514,067.30","833,925,643.06","1,029,524,892.25","155,871,501.15","562,219,189.66","954,493,343.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,637,394.89","3,216,484.75","4,772,704.00","2,092,184.72","8,758,202.86","12,923,125.26","14,260,855.61","1,511,331.94","4,265,027.84","4,629,110.41","5,257,147.53","1,851,870.81","4,375,405.44","5,311,088.45","5,186,227.68","954,688.55","3,736,033.50","3,909,305.28","3,763,200.78","2,010,860.88","2,829,132.96","2,850,852.22","3,436,471.44","1,725,159.99","1,784,089.46","2,990,307.89"
支付其他与投资活动有关的现金,,,,,,,"9,325,751.00",,,,,,,,,,,,,,,"63,158.00",,,,
收到其他与经营活动有关的现金,"7,361,960.52","5,109,814.67","5,638,283.32","1,955,307.25","5,567,008.50","10,003,150.35","28,167,657.11","3,240,505.55","22,590,482.58","26,986,509.04","18,579,336.27","2,328,839.88","10,048,995.30","9,117,416.69","34,690,155.61","1,452,437.50","7,920,289.78","12,563,453.68","14,708,253.53","2,436,339.48","4,554,749.27","4,509,197.31","9,729,431.21","2,166,123.11","8,276,937.04","5,169,217.49"
投资活动现金流出小计,"23,934,293.88","91,465,637.61","104,199,347.12","12,259,862.28","69,384,791.55","100,057,560.13","122,117,641.81","28,225,015.56","49,467,707.35","75,954,991.54","106,014,881.82","41,887,607.46","63,138,999.00","89,570,186.25","131,522,540.43","43,440,815.58","48,621,825.71","71,090,642.46","108,166,283.82","22,056,814.09","33,237,703.03","45,001,552.39","55,455,524.90","31,250,680.46","59,106,148.13","83,502,461.30"
经营活动现金流入小计,"560,561,254.46","723,783,259.18","997,050,256.37","210,327,443.73","486,512,741.79","715,485,697.80","961,445,401.12","232,463,543.40","560,590,138.63","863,983,263.01","1,119,618,174.62","234,468,458.40","625,284,024.38","960,180,229.60","1,242,674,012.11","247,214,009.04","632,090,608.32","957,073,379.14","1,155,736,088.96","168,401,069.16","539,897,949.53","841,285,692.59","1,042,690,794.90","159,762,784.25","572,280,216.16","962,652,869.35"
投资活动产生的现金流量净额,"-22,606,787.34","-87,669,015.29","-104,045,724.12","-12,259,862.28","-69,146,291.55","-99,798,820.13","-121,764,901.81","-28,199,415.56","-49,226,957.35","-75,708,361.54","-90,456,310.82","-41,704,357.46","-62,391,199.00","-88,787,572.84","-129,114,927.44","-43,440,815.58","-48,347,616.71","-70,816,433.46","-106,922,577.21","-22,056,314.09","-32,991,795.98","-44,750,545.34","-53,363,127.17","-31,006,792.46","-58,692,197.13","-61,029,118.80"
购买商品、接受劳务支付的现金,"362,607,512.61","414,377,764.69","609,158,135.64","139,877,771.25","340,000,578.30","474,784,871.80","650,419,857.44","200,634,613.24","393,636,378.09","607,177,724.20","755,120,123.60","202,902,380.21","476,820,645.91","662,821,111.55","803,186,044.32","240,014,462.45","477,763,423.27","672,380,303.43","733,742,006.04","140,171,810.68","294,803,459.54","455,237,583.89","537,685,416.41","195,257,190.49","450,686,931.08","657,895,075.95"
吸收投资收到的现金,"132,204,407.17",,,,"632,000,000.00","632,000,000.00","595,300,000.00",,,,,,,,,,,,,,,,"58,098.99",,,
支付给职工以及为职工支付的现金,"66,411,812.08","97,078,784.27","145,073,583.56","38,693,664.55","71,071,334.13","103,390,930.33","135,151,680.63","41,582,291.45","87,179,754.91","131,356,733.70","185,234,107.98","51,348,617.71","108,229,125.87","165,610,287.86","223,943,994.48","59,698,747.53","121,277,950.12","175,744,259.31","232,650,789.35","60,597,377.50","126,094,730.08","190,582,674.00","260,273,640.38","70,196,590.82","155,566,678.79","230,003,922.38"
取得借款收到的现金,"157,300,000.00","163,500,000.00","272,000,000.00","143,000,000.00","202,000,000.00","222,000,000.00","321,835,352.79","99,308,381.46","118,650,949.54","168,928,909.52","251,736,783.40","12,604,926.43","198,264,529.70","200,354,638.01","208,823,258.38","136,334,175.84","242,290,198.62","397,983,885.19","504,146,950.62","137,767,249.13","283,767,249.26","298,767,249.26","298,767,249.26","190,000,000.00","350,000,000.00","365,000,000.00"
支付的各项税费,"26,807,340.05","50,597,568.31","91,255,716.20","22,923,531.36","37,711,203.69","53,521,024.49","64,686,722.50","17,540,052.04","34,747,464.64","51,052,744.41","60,945,997.55","17,865,160.67","37,648,704.41","58,127,923.23","72,954,296.30","26,328,012.48","42,191,682.04","63,806,285.89","72,149,432.63","12,755,618.29","29,993,262.26","55,713,346.14","71,798,369.17","24,005,558.81","51,796,506.49","74,937,982.51"
收到其他与筹资活动有关的现金,,"1,257,700.67",,"390,403.52",,,"23,920,722.07","284,387.15","147,354.06","439,000.00",,"6,454,897.84","6,110,307.27","6,739,630.00",,"571,018.99","19,897,949.10","31,975,219.48","28,927,386.72","867,429.62","1,189,809.70","1,229,359.71",,"775,738.32","4,758,611.55","1,534,000.40"
