科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"731,643,596.54","779,924,003.04","951,064,408.50","679,838,149.84","984,765,537.50","263,760,030.67","578,927,451.64","893,620,869.14","1,163,743,507.50","319,637,956.01","655,484,172.25","1,037,687,854.75","1,399,187,796.40","385,474,811.76","840,346,149.97","1,326,404,835.87","1,877,902,102.42","497,489,484.27","1,086,893,234.38"
取得子公司及其他营业单位支付的现金净额,"18,954,768.00","659,237.00",,,,,,,"11,881,767.97",,,,,,,,,,
收到的税费返还,"32,428,535.52","43,524,291.47","45,008,324.32","49,422,258.44","54,049,253.11","23,847,665.94","51,192,011.37","69,651,302.25","82,264,910.82","30,800,993.89","56,865,471.20","71,617,295.53","113,805,356.05","33,273,210.16","68,728,770.59","106,542,608.45","135,340,782.72","37,081,516.14","86,480,607.64"
支付其他与投资活动有关的现金,"1,848,424.30",,,,,,,,,,,,"1,350,000.00",,,,"295,708,871.52",,
收到其他与经营活动有关的现金,"39,244,870.84","35,059,859.59","12,375,953.80","5,488,254.52","9,757,512.44","1,172,690.91","1,427,701.72","6,459,299.96","15,913,034.74","12,436,419.57","13,762,868.79","20,863,200.60","18,957,995.84","679,637.30","6,831,943.77","9,429,367.21","11,457,056.06","32,555,570.63","40,990,596.65"
投资活动现金流出小计,"119,275,250.55","88,683,421.41","28,538,976.38","23,120,292.83","29,900,872.45","100,439,611.00","353,436,274.00","628,983,855.47","785,022,327.42","67,580,947.82","81,157,828.78","185,143,973.15","269,461,776.90","20,650,449.42","50,640,590.10","79,882,432.43","888,277,856.62","54,482,557.50","870,776,579.08"
经营活动现金流入小计,"803,317,002.90","858,508,154.10","1,008,448,686.62","734,748,662.80","1,048,572,303.05","288,780,387.52","631,547,164.73","969,731,471.35","1,261,921,453.06","362,875,369.47","726,112,512.24","1,130,168,350.88","1,531,951,148.29","419,427,659.22","915,906,864.33","1,442,376,811.53","2,024,699,941.20","567,126,571.04","1,214,364,438.67"
投资活动产生的现金流量净额,"-26,146,552.20","-61,910,165.92","-25,051,099.37","-20,961,378.38","-26,799,304.50","-72,719,443.88","-110,534,472.63","-210,026,273.28","-203,706,523.97","53,846,796.56","40,013,080.60","-63,568,902.77","-84,031,455.25","30,180,869.76","61,232,460.01","32,018,448.48","16,019,582.98","-54,271,941.06","-526,227,837.07"
购买商品、接受劳务支付的现金,"574,415,814.42","606,728,311.38","734,104,560.35","558,832,671.43","776,969,187.55","244,269,320.98","455,923,440.19","698,032,845.95","883,133,222.19","252,669,010.29","502,489,667.27","795,268,746.87","1,075,506,457.47","307,362,053.92","635,379,353.70","1,054,203,363.78","1,477,176,749.08","514,272,083.30","954,536,390.17"
吸收投资收到的现金,"13,750,000.00",,,,,"235,500,000.00","235,500,000.00","235,500,000.00","235,500,000.00",,"3,000,000.00","6,000,000.00","6,000,000.00",,,"28,560,130.20","28,560,130.20",,"520,000,000.00"
支付给职工以及为职工支付的现金,"71,510,318.20","82,275,964.34","97,037,370.05","82,056,820.61","109,817,156.38","33,123,569.80","70,704,766.87","101,656,265.50","137,382,596.59","43,709,618.45","93,055,679.61","141,469,100.37","192,985,999.06","53,961,751.74","126,807,653.16","197,178,037.80","274,844,316.91","66,286,670.01","167,178,026.49"
取得借款收到的现金,"131,285,630.00","86,212,613.76","77,453,550.00","77,460,290.00","102,466,690.00",,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,
支付的各项税费,"24,911,684.95","43,023,964.53","44,244,159.21","31,822,924.61","46,817,449.10","10,697,420.94","24,870,746.30","36,688,505.68","50,456,053.16","13,311,906.39","33,513,368.25","54,655,670.23","66,689,826.22","8,605,703.68","27,635,222.65","48,954,984.79","54,560,005.80","14,040,137.65","17,399,350.77"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"68,797,860.12","78,716,196.32","52,483,473.95","35,474,084.10","51,984,513.44","13,479,749.84","26,306,683.23","44,575,291.46","78,424,768.71","22,266,843.05","41,153,238.50","71,481,668.64","96,987,181.43","30,552,074.38","60,231,200.89","93,411,203.57","132,892,702.58","22,107,298.00","73,971,883.66"
筹资活动现金流入小计,"145,035,630.00","86,212,613.76","77,453,550.00","77,460,290.00","102,466,690.00","235,500,000.00","235,500,000.00","235,500,000.00","235,500,000.00","30,000,000.00","33,000,000.00","36,000,000.00","36,000,000.00",,,"28,560,130.20","28,560,130.20",,"520,000,000.00"
经营活动现金流出小计,"739,635,677.69","810,744,436.57","927,869,563.56","708,186,500.75","985,588,306.47","301,570,061.56","577,805,636.59","880,952,908.59","1,149,396,640.65","331,957,378.18","670,211,953.63","1,062,875,186.11","1,432,169,464.18","400,481,583.72","850,053,430.40","1,393,747,589.94","1,939,473,774.37","616,706,188.96","1,213,085,651.09"
