科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"9,464,121.52","24,042,760.75","34,469,354.41","40,100,065.19","296,700,424.27","262,512,661.77","251,218,951.31","244,760,784.65","242,295,068.71","242,031,550.95","253,456,856.60","225,916,396.27","213,648,479.41","223,289,884.04","243,836,889.07","228,194,591.34","228,711,356.53","233,123,160.11","234,187,088.22","234,316,769.41","159,386,708.61","150,225,776.34","184,670,282.18","167,518,079.13","212,603,648.80","667,007,307.84","998,907,664.25","1,082,091,791.30","922,823,374.91","990,959,067.10"
短期借款,"20,000,000.00","30,000,000.00","45,284,970.00","52,212,040.00","45,000,000.00","8,000,000.00",,,,,,,,,,,"3,065,100.00","3,782,675.00","3,677,700.00","838,695.00","41,230,940.00","59,204,525.00","60,827,880.00","60,844,560.00","90,865,425.00","60,865,425.00","91,097,878.28","40,845,509.12","45,096,069.68","74,246,859.35"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,009,000.00","414,000.00","830,000.00","500,000.00","1,720,000.00","4,961,877.41","6,071,916.66","7,429,455.96","2,626,076.55","4,560,613.10","2,554,955.50","3,067,041.50","5,048,425.86","2,057,307.25","5,777,661.43","7,119,320.50","4,993,326.94","4,142,021.73","4,946,847.65","4,869,072.56","33,957,022.33","29,915,061.27","28,769,841.65","26,265,213.93","44,440,943.86","34,402,057.38","68,998,215.56","56,164,346.11","54,778,470.15","53,897,808.94"
应付票据,,,,,,,"3,900,000.00","3,900,000.00",,"12,350,000.00","21,250,000.00","19,014,250.00","15,920,000.00","33,560,000.00","39,940,000.00","31,380,000.00","29,950,000.00","30,250,000.00","26,160,000.00","27,396,300.00","80,874,253.47","82,446,703.84","119,000,595.32","122,501,608.96","112,791,724.20","129,339,238.09","128,573,266.76","147,365,678.63","164,938,053.74","193,406,330.48"
应收账款,"34,830,656.16","51,417,308.92","49,635,449.26","57,639,069.04","70,625,535.60","65,052,482.47","70,802,097.71","70,329,956.08","76,541,372.16","80,688,278.20","84,168,962.74","86,303,742.26","86,256,472.98","101,842,191.10","93,855,147.25","86,762,235.01","91,621,727.95","98,415,269.33","106,021,465.96","98,762,700.52","260,848,245.32","266,129,387.47","295,111,831.60","251,636,673.44","324,315,452.39","349,648,031.56","624,992,722.63","540,561,816.70","612,653,340.25","634,027,042.20"
应付账款,"16,073,800.70","17,010,571.11","21,998,491.28","25,836,552.78","30,101,095.63","30,608,126.56","24,371,562.80","29,110,639.39","31,528,822.83","20,370,524.99","24,205,948.21","26,861,549.08","26,969,782.13","22,980,060.51","29,458,627.92","22,267,605.61","22,637,200.52","31,002,779.14","32,743,747.43","21,680,328.78","221,556,280.95","224,334,383.04","258,492,542.78","224,786,649.42","270,861,505.10","291,612,021.00","472,913,102.88","430,928,419.77","475,956,255.89","544,708,388.73"
预付款项,"4,545,176.08","4,326,272.83","3,937,145.43","5,434,920.39","2,666,953.91","2,288,428.07","2,393,069.49","11,361,946.56","10,564,133.89","12,532,551.84","5,810,345.68","11,143,681.01","11,079,848.78","5,494,430.71","3,286,964.95","4,602,107.80","3,743,173.74","4,404,301.45","5,902,859.22","7,664,111.96","16,824,505.28","12,274,906.69","15,967,705.71","22,277,820.37","34,383,163.58","43,787,964.71","28,349,591.61","34,372,657.80","35,444,867.28","36,719,644.58"
预收款项,"3,340,276.49","5,187,909.44","3,792,381.30","1,596,021.48","4,891,714.33","5,072,217.05","5,295,627.63","6,706,428.61","7,360,327.72","7,985,450.31","7,189,724.44","6,490,707.88","8,712,223.36","8,656,909.79","6,640,827.63","6,484,978.93","10,430,958.85","9,592,474.27","7,970,867.14","8,419,462.98","16,934,266.48","13,185,184.70","11,087,088.77","11,978,409.15","14,917,789.15","19,493,609.37","31,501,729.39","37,875,262.98","66,230,483.71","51,307,870.01"
其他应收款,"1,195,501.59","1,834,931.90","8,052,394.49","6,989,269.60","611,483.41","1,046,951.38","425,359.55","848,231.12","1,819,922.77","1,257,920.22","1,170,832.79","4,436,809.80","6,457,184.13","5,661,481.23","3,154,722.08","2,119,924.19","2,087,991.46","2,821,346.59","3,997,980.47","10,629,758.24","28,761,727.33","47,944,743.00","16,443,609.35","14,367,929.50","16,215,587.88","882,280,608.73","115,533,532.63","49,017,299.17","31,002,029.08","68,198,086.18"
应付职工薪酬,"76,700.88",,,"126,732.25","74,973.51","136,189.47",,"176,180.06","250,700.94","190,449.63","64,276.65","202,729.09","213,130.26","371,775.08","186,575.96","389,728.74","616,047.18","729,015.39","2,463,596.38","382,273.81","11,015,207.39","12,138,027.54","16,925,649.48","12,611,135.46","12,887,314.70","16,054,540.42","84,050,060.21","60,065,795.88","63,822,797.49","68,005,442.39"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,054,212.88","4,739,243.31","-851,961.96","1,716,972.20","3,148,991.40","4,730,183.04","5,749,070.35","4,008,572.14","5,462,081.02","2,619,730.35","5,145,824.54","1,209,084.61","4,485,007.17","6,995,595.16","3,247,184.82","4,630,526.81","6,735,972.03","5,769,017.18","2,069,588.74","801,485.24","8,061,770.53","15,025,812.38","11,964,728.19","8,049,589.35","12,046,494.98","13,157,156.68","108,260,136.52","106,757,218.48","102,365,516.30","115,105,729.83"
应收利息,,,,,,"1,398,357.32","2,874,739.02","4,035,507.23","5,535,932.52","1,054,498.04","1,266,588.87","2,074,838.97","3,326,734.59","4,235,602.31","5,445,711.95","5,149,797.04","1,234,596.30","580,903.88","1,071,231.10","454,540.00","285,600.00",,,,,"719,059.72","4,850,768.46","7,143,547.31","7,988,482.12","9,723,076.15"
