科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"993,396,031.17","1,174,807,159.59","1,350,563,036.42","291,153,866.48","619,742,373.63","979,027,468.40","1,492,192,216.65","254,997,421.87","601,280,577.65","968,771,228.73","1,512,051,398.76","302,200,316.33","650,366,887.46","1,031,344,468.17","1,612,756,618.72","262,979,946.83","608,820,972.35","1,002,652,682.77","1,617,051,895.12","256,479,761.53","648,445,924.33","1,083,757,695.15","1,788,431,825.52","337,773,928.64","656,488,360.48","1,305,991,557.47","2,037,609,767.52","423,838,893.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"1,408,170.52",,,,,,,,,,"-832,469.63",,"160,733,054.25",,,,,
收到的税费返还,"2,253,937.79","4,477,220.64","4,289,341.82","3,258,142.12","3,419,866.41","3,790,652.13","4,311,373.65","799,438.92","2,646,573.55","3,851,641.66","5,230,149.05","2,177,836.12","2,642,364.88","3,515,763.51","3,997,802.45","2,574,541.02","3,528,547.29","10,954,888.89","11,107,713.57","78,294.54","1,592,032.91","3,859,273.64","4,022,931.17","299,834.63","1,495,139.31","3,018,623.76","4,543,285.73","3,567,630.06"
支付其他与投资活动有关的现金,,,,"124,866.60",,,,,,,,,,,,"22,020,000.00","50,020,000.00","6,020,000.00","20,000.00","2,526,370.00",,,"30,000,000.00","20,000,000.00","20,000,000.00","96,497,534.25","10,000,000.00",
收到其他与经营活动有关的现金,"67,881,111.37","22,535,668.74","17,428,586.78","3,181,152.19","8,671,317.23","14,664,096.43","29,931,432.80","3,006,533.90","5,691,857.19","14,644,478.84","22,513,339.46","3,612,727.76","7,835,899.66","13,149,155.54","21,965,167.06","7,905,019.74","19,842,620.70","25,156,089.97","36,557,843.44","9,758,572.79","36,341,722.69","59,218,552.09","85,996,877.19","24,511,893.23","33,588,026.07","45,933,493.48","50,372,113.19","9,922,549.36"
投资活动现金流出小计,"23,154,295.07","68,965,690.36","139,591,091.11","14,686,138.10","34,347,809.35","111,195,057.91","156,502,105.98","52,992,368.32","174,326,050.75","300,191,683.46","315,873,450.47","15,475,861.75","34,928,418.41","52,171,732.32","70,591,573.98","47,919,742.27","81,779,389.54","48,449,239.47","64,848,346.11","131,539,869.00","135,699,038.36","300,884,052.43","447,281,243.03","60,115,679.90","113,253,511.40","238,596,323.93","1,302,487,086.98","454,466,042.55"
经营活动现金流入小计,"1,063,531,080.33","1,201,820,048.97","1,372,280,965.02","297,593,160.79","631,833,557.27","997,482,216.96","1,526,435,023.10","258,803,394.69","609,619,008.39","987,267,349.23","1,539,794,887.27","307,990,880.21","660,845,152.00","1,048,009,387.22","1,638,719,588.23","273,459,507.59","632,192,140.34","1,038,763,661.63","1,664,717,452.13","266,316,628.86","686,379,679.93","1,146,835,520.88","1,878,451,633.88","362,585,656.50","691,571,525.86","1,354,943,674.71","2,092,525,166.44","437,329,072.49"
投资活动产生的现金流量净额,"-16,980,285.08","-63,894,454.77","-136,707,864.24","-14,666,738.10","-34,299,809.35","-110,925,285.90","-155,777,519.14","-52,624,765.58","-123,948,906.96","-248,238,850.49","-238,741,110.05","-13,581,380.63","-32,815,051.45","-49,574,915.26","-61,630,400.33","-38,614,346.04","-72,245,358.40","-38,105,208.33","-47,617,164.23","-131,480,669.00","-135,615,838.36","-300,364,792.29","-425,455,275.32","-9,637,551.88","41,324,194.23","-73,662,735.70","-927,462,545.47","70,083,361.00"
购买商品、接受劳务支付的现金,"491,803,260.98","657,380,349.58","744,641,131.42","147,058,572.64","335,176,672.74","557,368,909.73","841,600,167.53","172,495,166.09","397,017,959.91","647,499,447.68","910,243,749.61","219,885,733.45","418,535,047.17","665,338,012.44","888,500,427.34","196,650,631.15","387,073,346.78","589,591,239.73","804,230,329.98","183,123,241.05","422,480,256.27","669,372,423.39","936,156,882.28","214,804,946.12","374,212,722.08","764,679,247.16","1,037,297,166.16","270,677,827.93"
吸收投资收到的现金,"58,900,000.00",,,,"611,152,000.00","611,152,000.00","611,152,000.00",,,,,,,,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,"1,120,000.00","12,870,000.00","7,870,000.00","1,542,070.83","4,230,743.45","1,066,069,980.10","1,092,483,980.10",
支付给职工以及为职工支付的现金,"178,280,264.64","177,773,089.85","214,974,181.48","85,115,861.95","143,246,183.90","206,037,899.29","261,700,857.04","94,716,394.11","152,341,441.40","228,099,579.99","300,986,943.55","110,951,264.13","180,787,672.05","258,187,153.19","326,314,310.12","104,210,258.21","170,805,300.25","250,362,371.60","323,635,026.33","105,995,909.13","188,672,872.02","277,419,308.45","366,204,352.70","106,803,558.85","203,908,205.72","314,195,487.64","461,606,113.75","162,124,048.42"
取得借款收到的现金,"76,941,442.96","237,072,498.53","13,000,000.00","141,000,000.00","141,000,000.00","141,000,000.00","141,000,000.00",,"100,000,000.00","128,000,000.00","128,000,000.00",,,,,,"170,000,000.00","230,000,000.00","260,000,000.00","30,000,000.00","99,504,000.00","345,586,400.00","346,200,800.00","180,000,000.00","300,000,000.00","459,492,222.21","459,720,996.87","300,000.00"
支付的各项税费,"87,212,568.83","109,263,223.28","133,692,147.01","33,039,661.78","65,304,785.75","100,726,127.36","148,036,835.18","32,934,135.10","69,491,462.41","111,204,711.17","148,043,328.16","31,425,702.68","71,736,364.72","113,930,626.04","158,306,678.26","31,923,156.28","79,974,359.93","121,355,105.20","156,061,790.65","43,801,055.56","88,550,081.53","128,315,668.76","159,492,434.70","42,412,960.22","87,690,391.45","127,991,820.43","165,349,326.97","33,210,200.58"
收到其他与筹资活动有关的现金,,,,,,,,,"4,030,000.00","4,030,000.00","4,030,000.00",,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"125,742,177.72","99,374,335.27","102,848,456.05","31,917,372.32","60,914,429.09","98,728,947.65","131,310,122.72","30,725,398.06","58,145,280.35","102,643,778.79","130,698,690.48","32,431,416.32","63,284,339.77","105,185,990.99","138,219,096.70","32,126,830.75","72,287,846.90","157,644,434.91","191,709,435.20","37,345,547.92","73,403,065.44","127,625,307.19","167,818,399.59","47,058,066.52","98,577,835.13","175,435,077.49","208,211,158.51","53,813,314.59"
筹资活动现金流入小计,"135,841,442.96","237,072,498.53","13,000,000.00","141,000,000.00","752,152,000.00","752,152,000.00","752,152,000.00",,"104,030,000.00","132,030,000.00","132,030,000.00",,,,"1,000,000.00","1,000,000.00","171,000,000.00","231,000,000.00","261,000,000.00","30,000,000.00","100,624,000.00","358,456,400.00","354,070,800.00","181,542,070.83","304,230,743.45","1,525,562,202.31","1,552,204,976.97","300,000.00"
经营活动现金流出小计,"883,038,272.17","1,043,790,997.98","1,196,155,915.96","297,131,468.69","604,642,071.48","962,861,884.03","1,382,647,982.47","330,871,093.36","676,996,144.07","1,089,447,517.63","1,489,972,711.80","394,694,116.58","734,343,423.71","1,142,641,782.66","1,511,340,512.42","364,910,876.39","710,140,853.86","1,118,953,151.44","1,475,636,582.16","370,265,753.66","773,106,275.26","1,202,732,707.79","1,629,672,069.27","411,079,531.71","764,389,154.38","1,382,301,632.72","1,872,463,765.39","519,825,391.52"
偿还债务支付的现金,"95,545,355.68","158,927,448.58","31,212,775.60","138,007,709.95","138,425,296.17","278,649,800.66","278,649,800.66",,,,,,,,,,"128,429,886.61","128,429,886.61","198,000,000.00",,"30,000,000.00","60,000,000.00","110,000,000.00","146,033,620.00","378,430,400.00","431,838,400.00","533,789,600.00","180,000,000.00"
经营活动产生的现金流量净额,"180,492,808.16","158,029,050.99","176,125,049.06","461,692.10","27,191,485.79","34,620,332.93","143,787,040.63","-72,067,698.67","-67,377,135.68","-102,180,168.40","49,822,175.47","-86,703,236.37","-73,498,271.71","-94,632,395.44","127,379,075.81","-91,451,368.80","-77,948,713.52","-80,189,489.81","189,080,869.97","-103,949,124.80","-86,726,595.33","-55,897,186.91","248,779,564.61","-48,493,875.21","-72,817,628.52","-27,357,958.01","220,061,401.05","-82,496,319.03"
分配股利、利润或偿还利息支付的现金,"1,709,723.58","172,192,717.10","68,352,579.83","56,122,859.24","59,331,428.75","62,417,357.09","64,298,954.74","984,398.32","2,467,402.37","62,148,721.76","64,458,179.86","1,823,477.71","66,313,713.71","67,687,406.10","70,933,772.17","1,405,687.19","72,282,039.14","141,328,155.59","144,066,395.42","2,065,472.43","4,088,880.18","73,734,215.13","76,437,415.52","2,285,354.23","74,447,378.84","79,398,074.51","82,598,822.32","2,093,973.47"
收回投资收到的现金,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00",,,,,"125,000.00","6,125,000.00","6,125,000.00","6,125,000.00",,,,"300,000.00",,,,"231,500,000.00","521,000,000.00"
支付其他与筹资活动有关的现金,,,"3,000,000.00",,"5,461,700.00","5,501,700.00","9,531,700.00",,,,,,,,,,,,,,"50,000,000.00",,"5,246,379.10",,,"160,333.47","5,137,232.58",
