科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"120,991,818.65","170,856,800.95","214,140,271.78","260,887,780.48","403,924,843.52","253,418,664.25","199,699,550.44","205,136,349.73","147,102,702.69","152,451,339.92","176,045,287.58","130,486,172.00","127,267,904.54","136,731,449.70","100,354,950.75","518,632,278.16","344,891,907.35","219,690,491.83","287,198,367.76","202,682,547.48"
短期借款,"40,315,000.00","85,000,000.00","196,600,000.00","318,500,000.00","240,000,000.00","446,118,340.00","496,420,000.00","347,483,320.00","245,000,000.00","292,483,320.00","300,000,000.00","280,000,000.00","280,000,000.00","300,000,000.00","288,000,000.00","347,000,000.00","305,500,000.00","379,500,000.00","480,000,000.00","514,600,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"3,645,947.28","7,042,963.91","12,202,142.53","3,477,579.18","4,100,000.00","2,261,500.00","9,761,236.80","7,469,071.79","10,951,181.40","16,237,650.27","4,136,302.46","4,610,513.00","2,846,974.22","23,275,600.26","19,451,276.80","4,745,016.45","338,002.24","50,000.00","4,187,676.64","4,007,676.64"
应付票据,"29,452,565.52","29,700,000.00","63,274,827.39","55,482,929.00","55,435,947.10","109,361,951.97","29,408,781.57","22,919,422.30","25,150,942.96","18,548,888.66","50,290,441.80","34,698,307.98","7,700,365.10","22,764,656.14","19,636,942.66","15,420,477.93","27,749,097.64",,"18,149,161.76",
应收账款,"113,324,798.66","118,620,597.63","214,732,491.25","258,050,652.76","214,789,656.89","218,501,658.23","205,952,229.44","245,512,883.65","228,078,096.37","238,590,945.39","227,998,038.43","161,709,335.87","158,406,870.60","235,776,301.83","280,928,063.92","278,661,456.71","293,244,612.94","392,314,796.83","512,938,854.21","487,734,195.37"
应付账款,"28,909,600.85","34,069,695.08","61,451,207.07","33,544,408.03","40,969,095.19","55,270,875.75","55,200,397.23","50,062,502.38","66,453,471.50","93,355,572.30","131,740,268.71","98,497,686.04","115,868,334.89","126,743,488.76","204,019,121.11","157,430,837.21","196,531,577.70",,"264,841,438.38",
预付款项,"9,687,978.27","8,147,059.71","13,345,762.01","22,758,158.26","26,163,933.52","867,320,904.07","11,911,258.64","18,396,570.04","16,491,485.32","10,863,365.49","20,876,705.25","40,770,531.94","37,680,244.86","26,426,328.69","30,941,660.91","54,063,837.97","56,712,126.14","64,388,537.43","38,795,021.69","159,580,555.56"
预收款项,"7,102,912.36","630,831.70","1,300,818.42","2,408,145.89","1,564,337.20","7,951,758.62","2,758,226.62","2,781,985.08","3,793,857.57","13,228,412.91","10,721,355.38","27,020,352.97","29,415,285.00","28,092,173.77","25,656,721.57","27,528,949.77","152,369,771.34","204,293,733.46","32,116,858.73","23,249,670.67"
其他应收款,"1,993,179.50","3,281,045.82","3,588,530.34","5,040,607.43","5,189,614.63","7,035,449.00","7,376,211.95","9,259,592.09","9,071,652.72","9,794,768.74","7,891,902.54","7,367,769.67","10,046,264.63","7,900,992.18","7,678,180.05","9,332,261.69","9,964,576.39","13,407,112.00","46,152,536.02","31,452,153.50"
应付职工薪酬,"5,975,511.06","7,651,068.12","9,943,558.84","8,738,649.70","9,933,870.95","9,967,462.09","9,558,942.43","8,992,950.41","10,347,653.06","11,027,775.43","11,144,745.23","9,502,296.04","9,988,832.68","10,023,105.60","10,521,455.59","9,772,960.13","10,306,273.69","10,990,082.33","13,717,145.59","11,272,625.31"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"8,969,738.42","4,771,123.35","2,456,374.12","3,470,615.50","11,593,530.70","7,312,574.93","4,211,663.71","8,450,803.97","7,232,945.45","10,677,084.33","10,644,580.79","1,156,500.51","10,113,111.78","5,010,762.05","17,168,135.38","10,000,919.39","18,100,877.94","24,529,124.39","64,764,063.81","56,062,652.48"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,"132,784.47","108,647.50","272,605.18","272,605.18","272,605.18","272,605.18","736,741.17","736,741.17","875,522.54",,"1,327,852.99","1,145,241.88"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,"4,524,000.00",,,,,,,,,,,,,,,
存货,"26,902,382.35","25,579,739.62","28,087,089.40","34,888,064.93","34,884,246.49","43,897,923.95","40,461,967.87","40,600,376.49","36,600,109.28","73,773,469.91","69,093,031.24","72,013,080.97","73,845,821.30","84,782,676.60","73,874,044.90","73,120,271.19","93,135,693.62","103,408,602.73","343,733,379.67","308,965,831.72"
其他应付款,"1,878,030.38","2,338,192.21","1,705,893.35","2,032,986.31","2,071,703.91","403,098,203.51","390,489,625.98","212,039,014.47","242,498,830.92","253,723,151.19","243,112,439.75","249,642,316.43","265,955,816.90","272,292,025.96","333,508,620.68","346,952,096.35","287,445,819.47","306,706,164.64","307,725,113.07","280,314,939.06"
