科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,195,078,334.31","1,996,413,354.95","459,328,562.72","1,579,060,252.97","443,648,722.51","798,079,717.54","1,305,010,702.12","1,832,445,310.37","475,107,378.42","915,495,584.47","1,461,728,199.90","1,960,127,377.39","623,271,596.90","1,029,273,343.94","1,582,576,689.96","2,374,485,371.69","586,951,019.45","1,015,301,723.80","1,621,834,611.56","2,488,821,010.50","637,807,653.09","1,337,114,959.38","1,999,476,495.00","3,078,861,226.34","696,820,450.89","1,311,638,333.01","2,201,599,132.13","3,282,602,505.36","673,342,833.29","1,329,354,703.39","2,397,799,710.12","3,523,736,237.98","851,157,393.61","1,671,240,312.93","2,771,662,518.55","4,082,388,140.30","1,047,031,462.12"
取得子公司及其他营业单位支付的现金净额,,"76,103,705.00","476,151.00",,,,,,,"808,950.00","4,098,479.05",,,,,,"19,050,000.00","18,744,508.64","21,562,672.64","18,744,508.64",,,,,,,"168,146,329.49","168,087,929.49",,,,"156,972,147.71",,,"849,996,835.73","867,479,074.00",
收到的税费返还,"84,857,851.71","100,193,092.14","27,855,527.18","75,818,217.80","46,891,862.51","58,274,153.76","86,493,234.73","119,360,032.67","52,245,129.87","97,048,753.01","115,213,030.91","148,317,449.18","70,355,409.78","80,373,968.68","116,119,972.62","163,016,310.01","43,002,904.02","68,876,848.02","112,905,283.21","152,187,451.93","44,856,883.65","98,180,486.02","140,648,533.00","188,617,337.38","20,559,563.50","121,218,589.58","181,922,051.29","250,650,131.44","71,130,499.73","134,435,820.03","198,238,539.13","257,859,701.16","78,346,028.03","144,652,195.26","225,909,241.68","356,181,819.87","74,277,998.59"
支付其他与投资活动有关的现金,"6,600,000.00",,,"5,000,000.00",,"5,000,000.00","50,000,000.00","1,000,000.00",,,,"8,237,811.56",,,,"2,000,000.00",,"7,847,500.00","8,034,124.00","42,126,195.79","9,354,381.56","63,028,102.84","23,754,754.71","3,590,671.47","12,802,431.71","21,398,105.27","21,398,105.28","43,125,808.10","17,155,996.21","65,664,970.88","100,239,339.82","117,718,533.81",,"3,563,822.26","24,172,392.36","24,994,413.27",
收到其他与经营活动有关的现金,"45,633,378.77","82,863,463.73","42,327,495.18","127,203,627.55","3,977,293.41","16,518,554.55","40,437,577.71","44,213,726.37","36,886,813.57","43,635,583.23","74,495,339.49","68,858,183.79","90,927,566.32","22,227,818.92","41,841,598.51","50,429,435.02","73,727,701.69","49,115,241.62","53,010,929.35","60,372,355.35","97,580,716.85","30,943,365.82","63,347,952.36","47,778,978.46","33,787,831.61","27,177,710.26","29,037,540.82","49,727,601.06","56,570,359.04","35,475,033.95","50,711,756.35","60,535,193.97","18,910,947.11","35,982,668.99","41,877,282.21","62,915,187.96","24,341,164.95"
投资活动现金流出小计,"33,202,522.52","91,839,878.63","6,263,865.00","52,085,495.83","10,191,706.61","127,778,887.72","203,610,981.72","158,510,062.62","24,527,942.15","39,274,158.01","312,309,742.98","552,191,891.76","32,751,600.79","77,926,399.61","301,411,497.83","512,818,518.20","195,322,502.61","883,364,112.79","980,242,849.96","1,048,238,673.54","740,954,310.02","1,439,879,367.63","1,229,858,551.91","3,754,788,277.71","358,077,513.24","1,959,743,562.20","2,314,620,388.44","3,451,845,723.71","280,225,040.47","354,346,156.49","430,628,994.35","1,878,336,066.57","124,353,826.22","1,108,860,832.54","1,232,185,400.81","3,252,319,454.93","83,647,014.39"
经营活动现金流入小计,"1,325,569,564.79","2,179,469,910.82","529,511,585.08","1,782,082,098.32","494,517,878.43","872,872,425.85","1,431,941,514.56","1,996,019,069.41","564,239,321.86","1,056,179,920.71","1,651,436,570.30","2,177,303,010.36","784,554,573.00","1,131,875,131.54","1,740,538,261.09","2,587,931,116.72","703,681,625.16","1,133,293,813.44","1,787,750,824.12","2,701,380,817.78","780,245,253.59","1,466,238,811.22","2,203,472,980.36","3,315,257,542.18","751,167,846.00","1,460,034,632.85","2,412,558,724.24","3,582,980,237.86","801,043,692.06","1,499,265,557.37","2,646,750,005.60","3,842,131,133.11","948,414,368.75","1,851,875,177.18","3,039,449,042.44","4,501,485,148.13","1,145,650,625.66"
投资活动产生的现金流量净额,"-23,202,384.50","-91,063,213.20","-6,263,865.00","-47,057,319.63","-10,191,706.61","-125,143,904.76","-199,077,027.58","-150,765,865.25","-23,527,942.15","-14,566,992.83","-277,292,639.11","-515,978,208.81","-30,827,200.79","-74,551,998.16","-299,207,497.83","-499,947,378.00","-193,691,672.47","-712,254,905.04","-725,051,697.58","-775,419,174.61","-68,877,347.44","-86,315,495.40","-295,042,611.15","-507,115,204.20","105,535,526.34","412,003,720.98","248,221,268.33","401,722,579.77","-149,046,802.10","-35,061,408.03","31,311,169.24","-351,084,213.24","-105,781,832.82","-1,014,207,059.96","-747,936,098.42","-1,029,363,905.65","445,698,624.64"
购买商品、接受劳务支付的现金,"1,112,543,120.65","1,559,564,145.02","307,690,854.70","1,240,469,461.09","277,737,628.82","620,873,739.16","1,061,645,305.69","1,431,229,686.96","391,048,827.00","798,226,693.95","1,252,830,898.89","1,656,478,498.00","371,008,101.49","749,685,576.43","1,131,758,916.50","1,628,033,798.48","405,131,970.65","757,869,529.45","1,187,429,828.53","1,783,924,196.64","519,027,493.81","1,008,846,572.90","1,526,496,797.26","2,168,881,626.51","350,610,405.39","937,055,020.56","1,588,165,767.05","2,290,657,086.94","502,729,502.97","980,566,230.00","1,710,345,809.11","2,345,241,284.89","528,670,144.19","1,110,012,588.57","1,939,800,919.27","2,920,759,859.57","678,156,337.99"
吸收投资收到的现金,"45,608,768.00",,,,,,"1,761,898,248.80","1,777,547,500.00",,,,,,,,"10,050,000.00",,,,"4,900,000.00",,,,,,,,,"1,015,497,451.30","1,025,897,451.30","1,025,897,451.30","1,025,897,451.30",,,,"10,333,829.39",
