科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
一、营业收入,"286,339,278.13","637,141,152.34","894,062,376.99","1,505,772,697.70","290,507,833.35","661,578,012.49","1,016,162,452.57","1,307,357,294.20","216,576,097.11","444,902,076.01","716,434,212.21","1,006,927,101.31","225,299,864.17","523,483,528.11","894,327,224.28","1,406,738,061.17","166,202,341.17","373,721,462.39","563,614,375.68","887,398,752.07","153,967,586.30","330,817,670.87","460,959,252.29","945,337,697.75","168,220,135.20","321,482,677.09","648,934,307.05","1,116,827,780.65","183,503,312.78","379,920,290.18","453,842,088.15","597,387,036.46","128,193,469.12","298,542,678.85","340,770,554.38","365,338,046.42","344,021,356.99","406,676,159.04","452,240,916.02","609,343,267.73","155,051,827.41","200,588,685.59"
二、营业利润,"37,938,082.59","70,586,394.46","102,452,786.57","120,125,193.33","4,754,735.58","19,522,810.79","21,748,322.23","25,818,195.88","20,543,814.09","7,215,013.24","14,644,353.72","74,541,478.80","2,381,023.50","20,542,807.03","32,336,466.97","135,093,712.64","39,589,291.16","85,624,481.51","112,087,613.21","151,886,407.80","48,920,647.63","89,313,876.05","91,702,804.15","224,089,391.54","39,562,536.79","60,209,318.93","195,731,019.98","360,456,515.82","45,762,699.49","104,743,869.89","126,707,777.00","188,719,232.46","60,551,714.05","191,925,657.25","190,354,631.70","115,084,608.53","151,150,424.34","158,915,947.36","137,852,241.67","155,994,377.15","11,354,926.79","65,134,143.70"
减:营业成本,"255,632,606.12","575,397,729.52","808,241,343.01","1,379,446,867.05","263,347,938.74","599,959,393.48","922,216,831.08","1,185,447,004.62","188,267,699.22","399,803,262.20","634,719,669.15","837,559,554.26","185,408,820.74","449,812,139.90","769,382,101.54","1,102,917,692.04","102,430,913.17","233,191,543.04","357,609,854.33","520,976,638.60","95,641,117.27","203,182,057.58","307,914,128.52","562,622,976.63","96,692,964.53","197,568,237.34","325,705,771.11","546,468,381.53","106,672,538.78","191,487,978.81","226,159,602.27","305,366,545.57","41,138,746.61","83,960,990.07","113,571,870.73","206,997,233.59","80,651,105.72","106,705,041.99","140,329,638.23","222,049,723.28","100,803,960.72","126,254,030.69"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,874,487.22","3,539,976.99","5,485,543.64","7,735,831.27","1,498,626.95","3,361,053.61","4,969,615.35","6,160,912.38","1,880,419.98","3,160,286.73","4,793,013.82","11,998,304.85","2,968,563.13","4,839,215.87","7,642,665.15","33,807,852.58","10,541,016.52","24,916,326.12","36,625,295.29","76,057,611.83","11,834,922.72","24,024,327.14","27,254,746.80","93,638,992.26","8,008,234.96","18,727,535.68","61,992,107.52","123,115,205.65","8,334,047.08","38,585,122.48","42,099,061.82","53,535,926.92","9,255,735.21","20,403,736.24","22,359,731.80","20,330,193.53","84,651,956.39","86,505,861.59","87,077,415.77","95,433,275.21","8,752,353.28","13,829,751.64"
营业外收入,"1,573,680.42","4,307,834.87","6,567,473.58","13,175,438.88","36,517,205.10","46,669,676.07","65,544,519.34","80,793,019.65","2,066,324.15","28,675,110.45","38,628,034.71","29,811,447.75","11,891,097.03","17,034,195.42","20,032,830.42","12,002,039.11","1,524,679.65","6,406,169.82","8,809,314.30","11,817,455.85","851,985.55","3,205,259.12","4,527,935.82","6,573,720.81","7,305,892.98","10,372,880.43","11,913,031.67","13,391,230.81","1,597,456.71","2,913,861.75","9,214,423.60","14,934,782.09","619,235.84","1,242,471.27","4,963,302.97","10,330,751.49","1,853,031.52","2,261,135.30","17,907,620.78","20,651,598.97","2,321,521.01","19,547,111.76"
销售费用,"2,090,168.39","7,863,249.69","10,841,022.01","17,370,858.97","3,353,489.91","6,307,001.31","8,830,323.82","11,053,636.60","1,982,446.97","3,806,339.62","6,512,141.98","9,156,402.20","3,079,101.84","6,753,141.48","9,874,220.38","12,534,783.29","2,300,296.54","5,384,643.99","6,951,500.95","10,287,509.90","1,505,610.28","3,539,074.50","5,322,990.57","9,145,086.62","1,608,842.15","3,659,237.95","6,492,621.73","9,991,573.91","1,322,249.87","2,983,103.58","5,057,903.60","10,364,031.09","1,493,792.11","3,577,007.89","5,905,945.24","10,317,052.03","2,929,835.52","6,312,664.54","10,792,022.25","19,348,160.27","5,199,917.14","9,148,673.66"
减:营业外支出,"718,069.80","2,580,094.08","14,278,172.24","13,670,693.96","128,422.84","1,264,526.52","2,095,662.90","6,455,046.98","1,203,137.77","1,372,314.13","1,401,036.43","1,569,825.73","67,649.31","104,654.81","153,209.87","4,243,644.58","246,801.10","276,670.45","1,652,015.53","2,299,266.45","51,035.46","144,999.55","579,286.12","14,662,412.13","-324,252.91","21,454.79","820,895.25","21,451,891.95","37,038.60","3,241,840.10","24,292,964.10","20,876,796.99",,"49,975.28","70,941.56","1,583,743.25","2,192.74","4,072.74","4,072.74","525,651.90","48,105.47","1,074,674.73"
管理费用,"24,900,899.46","59,488,467.49","86,094,905.39","117,271,421.94","26,549,548.04","45,448,683.21","72,523,195.81","96,062,934.43","28,986,632.61","57,620,304.33","86,670,695.19","118,249,954.60","28,238,523.29","53,959,242.47","80,369,350.18","116,010,234.25","21,653,556.16","38,111,895.87","58,309,553.75","70,474,958.87","19,239,563.80","34,833,021.75","53,592,523.35","77,531,828.34","17,043,815.12","30,443,894.79","44,508,203.43","61,736,911.90","14,045,951.85","26,649,741.55","37,413,769.54","51,509,305.99","10,876,327.51","21,238,512.97","36,329,120.86","52,227,351.69","21,891,572.84","44,536,811.28","68,457,958.19","99,331,400.75","22,920,594.51","498,860,861.35"
其中:非流动资产处置净损失,"268,685.63","2,416,466.00","14,104,525.72","13,446,346.50","115,750.65","444,790.00","1,231,553.66","1,738,545.79","1,192,433.88","1,361,544.54","1,386,762.58","1,559,250.21",612.56,"32,050.56","44,637.98","170,364.15","85,135.97","96,164.32","1,244,738.81","1,615,517.92",,"123,848.67","297,360.62","535,133.83","-136,143.34","-104,183.62","96,995.04","1,493,060.72",,,"1,776.64","1,412,288.48",,"49,975.28","70,318.53","114,452.71","2,192.74","4,072.74","4,072.74","4,072.74","48,105.47","252,064.16"
