科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"186,424,122.20","197,765,566.03","260,105,801.52","93,017,025.01","62,155,176.97","153,949,621.60","394,482,243.34","363,323,749.25","323,690,696.47","213,272,623.49","182,774,004.88","213,736,949.72","294,907,605.34","304,968,937.70","486,801,631.46"
短期借款,,,,,,,,"101,616,000.00","200,000,000.00","200,000,000.00","250,000,000.00","300,000,000.00","410,000,000.00","360,000,000.00","400,000,000.00"
交易性金融资产,"326,792.74",,,,,,,,,,,,,,
交易性金融负债,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
应收票据,,,,,,,,,,,,,,,
应付票据,,,"5,840,000.00",,,,,,,,,,,,
应收账款,"7,876,313.98","15,979,782.36","27,440,835.42","33,882,127.68","40,089,461.75","38,120,121.87","39,218,753.00","90,436,455.51","76,962,948.29","91,973,343.11","74,405,988.38","79,019,576.49","72,038,891.26","63,813,999.24","65,170,300.06"
应付账款,"5,385,255.96","10,436,362.19","17,197,067.87","14,721,277.17","9,973,790.59","47,752,059.86","18,184,327.53","43,133,307.76","30,771,154.40","121,788,288.43","93,444,621.64","113,802,758.01",,"188,327,558.26",
预付款项,"459,516.54","2,982,839.30","2,590,273.17","2,514,142.78","2,073,120.70","1,758,339.95","16,290,666.75","1,442,409.54","25,496,156.51","23,324,380.69","30,124,516.88","24,919,254.59","32,009,529.93","3,174,049.64","4,385,716.93"
预收款项,"2,020,001.20","1,700,000.00",,"120,437.50",,,,"951,451.20","87,359.16","75,304.80","396,438.00","776,448.10","2,506,071.35","2,247,358.13","3,381,832.14"
其他应收款,"669,783.97","317,480.03","2,340,357.39","3,047,121.94","23,322,224.31","54,766,966.67","65,679,026.69","3,923,125.41","3,915,614.46","3,638,455.38","5,636,172.21","6,568,157.96","6,807,262.33","1,996,479.25","4,049,333.81"
应付职工薪酬,"25,339,262.47","36,858,624.69","51,380,262.87","45,895,990.01","50,573,178.03","53,542,138.10","39,010,648.09","58,804,771.47","43,705,508.60","57,335,849.62","35,278,939.93","58,179,633.34","66,671,691.92","69,263,087.14","40,920,824.64"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"12,536,084.21","11,252,665.53","28,682,637.22","34,153,351.28","29,050,249.37","22,791,258.08","25,221,815.13","68,734,446.82","61,892,321.64","15,151,111.10","20,741,016.69","13,467,616.00","14,122,941.82","4,679,173.98","16,344,960.14"
应收利息,,,,,,,,,,,,,,,
应付利息,,,"75,673.89","62,863.90","62,863.90",,,,"199,583.34","422,430.55","216,672.76","749,866.67",,"3,138,026.22","5,494,190.92"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
