科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"96,623,991.70","233,466,121.17","120,948,792.89","188,852,897.45","262,579,421.85","57,140,775.48","134,645,550.27","223,235,993.78","308,687,945.37","65,452,351.75","145,625,016.26","252,987,748.52","357,318,681.64","96,896,129.29","191,792,868.31","276,600,126.11","371,663,578.21","87,344,064.73","186,550,499.95","291,347,611.39","432,796,462.64","101,272,380.20","222,401,071.77","347,324,418.12","559,485,553.44","147,049,371.70","285,660,367.26","448,770,973.81","657,852,463.44","165,165,394.69","289,500,953.68","426,879,017.42","768,672,197.26","220,028,855.47","490,373,266.99","716,271,771.44","1,028,491,254.43","294,571,016.38","550,762,150.66","800,567,894.10","1,118,818,940.82","236,480,275.34","487,669,998.95","805,103,793.41","1,184,999,985.30","250,575,489.47"
二、营业利润,"34,887,657.93","83,096,748.85","45,994,630.06","67,247,557.92","80,558,749.63","20,851,822.03","49,546,520.60","78,576,619.96","94,421,954.65","21,832,076.98","48,715,892.27","91,567,191.11","121,764,345.22","23,560,385.67","44,543,619.71","51,132,510.26","73,724,131.07","15,714,295.36","22,325,616.10","31,910,117.79","30,224,028.62","10,622,805.29","22,565,427.00","37,611,555.31","38,519,992.85","20,265,801.87","41,536,634.85","74,296,191.73","67,983,198.19","118,394,420.48","131,660,776.79","147,653,050.82","212,265,380.74","51,353,652.65","119,762,295.83","157,236,556.19","196,597,312.19","73,733,554.15","127,270,040.24","151,056,296.44","71,557,961.55","-2,750,999.57","12,706,752.56","50,250,752.02","-1,369,028,736.81","6,969,542.51"
减:营业成本,"39,036,876.99","98,801,964.57","46,482,743.31","74,595,994.52","114,437,927.89","21,774,312.88","49,958,505.49","90,447,485.83","134,935,318.33","25,052,095.14","58,008,855.59","97,323,185.35","137,005,596.81","39,958,948.85","76,597,135.13","117,955,520.10","165,681,929.52","34,524,710.91","84,039,991.54","131,780,065.56","212,106,558.57","38,308,241.18","97,109,300.05","161,032,369.96","296,671,441.48","86,875,107.75","157,512,691.97","242,929,150.10","383,925,271.94","69,153,229.43","125,141,724.15","188,611,693.10","323,431,307.74","77,670,636.93","170,871,384.67","255,494,249.53","364,741,327.19","110,449,216.83","198,741,085.96","307,830,901.79","481,316,351.78","115,366,566.69","229,965,027.15","366,487,670.64","596,827,197.46","116,146,704.37"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,706,288.62","5,464,243.62","2,965,113.53","4,940,994.38","6,869,214.24","1,976,747.25","4,360,830.83","7,040,003.61","8,695,288.23","2,296,104.15","4,850,378.45","8,583,145.72","10,937,603.03","3,369,442.27","6,937,330.86","9,892,226.60","9,862,430.63","3,372,046.44","6,310,759.21","10,193,721.23","13,149,159.23","3,567,078.86","6,879,395.27","9,711,533.30","12,459,160.08","1,958,778.87","4,445,114.78","6,560,817.35","7,121,890.37","1,021,040.15","2,404,825.72","3,300,377.86","6,447,015.14","1,518,904.54","3,566,344.85","4,076,787.29","7,335,089.39","1,387,275.45","6,321,395.25","7,371,515.20","10,296,134.40","1,401,905.75","2,779,019.48","4,517,348.44","7,408,699.02","942,949.73"
营业外收入,"1,394,333.92","2,848,432.68","10,480,070.50","10,650,070.50","12,310,995.44","200,000.00","1,898,650.00","1,898,650.00","8,398,204.17","380,000.00","4,646,300.00","5,697,424.36","7,449,454.11","3,831,285.00","7,312,058.06","8,035,465.95","15,581,496.62","4,241,400.63","9,573,240.93","12,166,574.51","17,501,714.20","2,461,259.27","5,768,398.44","7,523,383.75","18,228,962.05","6,866,954.62","8,693,589.20","12,352,143.57","21,278,829.22","1,755,336.71","6,167,562.88","10,716,936.18","21,126,011.27","26,619,705.63","28,557,881.44","32,289,125.03","35,277,804.32","4,639,928.40","10,402,528.66","11,549,272.65","345,459.53","4,702,428.60","565,109.91","882,805.30","545,955.83","805,920.90"
销售费用,"8,521,861.52","16,884,899.83","9,639,180.66","15,298,765.48","22,979,859.34","6,158,763.73","13,134,836.15","20,115,871.84","29,356,893.54","6,636,079.70","12,972,153.59","20,836,195.80","30,336,455.13","7,869,768.88","19,194,824.04","27,908,608.43","47,038,143.41","13,030,990.80","28,607,875.81","42,796,845.62","58,752,846.21","11,277,728.41","25,545,925.77","36,910,442.91","51,656,930.38","10,966,024.48","23,131,697.83","35,512,311.22","53,406,819.02","11,888,002.94","27,317,573.15","40,480,410.42","79,741,056.29","23,897,511.30","51,465,367.26","85,881,980.35","134,015,895.83","37,707,798.70","79,198,132.55","118,328,702.85","169,214,488.34","38,202,811.67","83,008,408.33","135,141,001.92","206,057,200.29","38,611,092.17"
减:营业外支出,,"250,000.00","541,903.85","541,903.85","641,903.85",,,,"256,240.45","513,374.88","1,104,920.88","1,194,311.24","1,515,163.85",,"8,572.85","21,672.85","40,860.86","25,343.56","40,549.15","67,186.83","1,131,938.11","2,801.07","10,555.73","378,616.51","1,061,522.08","98,000.00","129,642.15","389,075.58","1,676,739.06","26,919.37","28,423.98","117,724.40","207,787.92","5,527.90","292,765.68","4,108,516.42","4,436,893.22","119,610.58","370,336.93","2,194,048.05","1,711,129.25","309,175.01","557,888.53","1,139,260.62","8,378,005.73","152,644.58"
管理费用,"12,261,312.40","32,113,392.42","16,794,363.68","27,762,367.07","43,556,380.28","10,545,394.30","25,664,554.54","38,958,887.92","59,005,471.24","12,689,379.19","26,847,389.35","41,931,579.63","67,179,983.72","23,554,607.49","45,972,409.05","71,178,312.58","79,867,054.05","22,947,230.89","48,180,051.20","80,154,901.41","127,857,996.61","37,863,355.06","71,618,795.87","106,497,677.91","152,543,336.20","31,405,511.72","64,349,649.58","97,412,711.88","150,775,910.57","45,584,745.67","84,265,265.13","130,522,803.20","223,448,211.46","64,276,836.45","138,098,086.48","201,803,293.51","304,379,852.54","71,938,969.00","142,042,929.46","222,237,242.12","317,329,256.29","79,700,135.70","156,366,624.62","133,836,041.00","227,782,366.19","41,544,308.89"
其中:非流动资产处置净损失,,,,"75,043.85","75,043.85",,,,"36,240.45","113,374.88","104,920.88","154,311.24","175,163.85",,"4,572.85",,"1,572.85","25,343.56","15,242.51",,"56,364.02",,"10,555.73","378,616.51","657,930.08",,"31,642.15","291,075.58","376,800.28","26,919.37","28,423.98","77,424.40","167,280.81","5,360.90","6,350.15","829,099.18","856,983.09","99,610.58","243,178.64","914,084.23",,,,,,
