科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
货币资金,"10,841,493,027.69","9,138,732,027.70","7,036,969,185.50","4,636,055,505.18","6,475,171,177.12","2,689,542,714.56","1,798,191,724.22","2,230,338,497.08","1,823,132,128.23","1,542,852,262.60","1,882,501,882.20","3,084,166,615.78","2,617,322,678.13","1,205,732,740.28","1,265,579,515.25","2,251,780,526.98","1,336,604,022.81","1,530,086,652.46","947,079,319.82","1,781,287,802.32","2,439,575,317.92","1,936,699,634.70","2,032,613,897.75","1,613,667,896.73","1,374,654,403.88","1,630,753,583.20","1,765,711,555.90","1,958,588,491.93","1,459,221,933.94","1,429,242,086.25","1,813,982,892.94","3,031,765,613.78","2,725,690,594.25","2,345,261,673.57","4,386,098,114.58","4,467,660,420.99","3,820,689,890.19","5,491,270,204.23","7,307,123,321.21"
短期借款,"738,000,000.00","2,570,100,000.00","3,671,200,000.00","4,994,527,800.00","8,821,386,000.00","6,378,275,800.00","7,770,385,400.00","10,672,322,600.00","11,008,025,900.00","9,828,383,900.00","10,656,982,700.00","10,939,605,660.00","10,622,900,990.00","13,386,606,770.00","12,949,825,390.00","14,135,671,110.00","14,555,914,520.00","17,794,685,680.00","19,107,409,257.69","23,024,074,193.76","25,370,954,126.00","25,162,726,236.08","26,843,710,437.82","26,011,793,961.17","25,784,296,272.85","25,510,877,024.80","26,092,524,181.24","26,930,252,264.94","26,878,380,478.46","26,769,698,546.33","26,111,788,481.42","26,748,109,168.25","33,111,064,650.76","32,365,905,912.17","28,410,720,942.99","26,165,441,769.39","26,143,901,211.76","26,957,213,264.73","27,546,194,218.49"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,225,316,598.75","1,108,304,220.73","1,552,827,350.85","1,212,985,446.47","2,287,683,300.07","1,269,891,623.69","1,257,356,401.65","1,447,790,626.63","1,065,465,955.17","324,846,277.49","2,302,495,856.79","1,135,189,973.18","971,328,600.83","1,426,456,319.11","1,976,365,055.34","2,592,395,740.30","4,977,951,742.20","5,016,568,050.92","6,202,828,743.61","4,320,261,911.96","7,289,303,963.27","6,484,319,458.34","7,772,515,701.56","8,485,370,159.99","5,606,772,565.04","6,172,649,460.60","5,745,422,387.63","5,264,977,256.65","5,759,553,035.94","6,848,268,929.79","6,938,801,842.40","7,580,373,733.31","9,137,630,975.30","9,742,714,809.48","9,500,473,882.43","5,325,771,311.75","7,309,516,197.02","6,955,314,162.02","6,169,065,292.26"
应付票据,,,,,,,,"1,400,000,000.00","1,400,000,000.00","500,000,000.00","1,598,200,000.00","2,998,200,000.00","2,607,000,000.00","3,057,126,383.86","3,431,066,383.86","3,245,814,000.00","3,273,574,000.00","4,422,827,163.24","4,924,888,932.01","6,608,925,727.27","6,865,306,459.91","5,253,907,751.58","4,010,893,352.70","4,786,414,059.49","5,539,293,515.70","7,249,851,606.32","5,876,336,225.71","4,862,717,020.17","5,482,547,455.25","6,326,059,826.13","7,296,464,801.73","5,400,106,032.27","5,990,734,665.92","7,014,818,564.23","9,760,200,322.04","9,656,735,621.67","9,537,656,306.20","10,946,977,193.07","11,998,746,620.96"
应收账款,"95,772,143.11","49,888,345.99","125,893,687.18","93,186,123.22","475,964,368.30","372,603,442.63","310,291,825.32","156,674,205.64","330,420,769.78","337,545,483.01","545,388,135.01","233,595,151.75","578,771,631.81","632,805,064.21","610,885,527.87","363,499,661.34","736,037,554.43","604,888,299.43","465,635,726.89","347,097,751.97","693,877,044.41","2,015,213,010.30","2,542,348,897.02","1,955,094,995.28","2,322,091,836.80","2,747,520,110.28","3,171,580,557.53","2,753,702,759.24","4,264,257,528.22","4,653,461,202.01","4,968,948,580.71","9,272,321,999.49","11,709,316,464.46","11,077,713,222.77","11,759,069,742.98","11,102,200,992.00","11,797,696,788.71","10,267,329,839.17","8,740,362,576.06"
应付账款,"1,916,015,975.93","2,274,040,519.88","1,979,137,812.92","5,182,808,490.48","3,794,538,593.14","2,930,186,786.35","5,144,838,016.16","12,205,426,431.09","11,443,685,082.12","12,065,431,484.58","11,991,025,906.31","13,603,543,393.72","12,029,754,918.91","12,176,956,757.08","12,591,576,713.32","12,814,543,805.58","12,124,204,891.16","15,835,873,210.60","14,267,330,205.82","12,354,743,821.96","16,724,234,312.39","19,671,620,292.83","19,830,935,171.22","14,053,799,407.29","13,681,513,579.49","13,487,854,574.37","14,037,338,879.34","12,254,714,636.47","13,719,074,262.34","14,643,382,671.26","14,807,977,978.96","11,937,148,053.24","13,764,077,691.75","13,792,714,833.46","13,406,091,896.35","12,189,197,053.77","12,909,654,667.26","11,246,392,647.35","9,349,474,515.55"
预付款项,"1,089,485,076.60","564,063,982.03","742,957,986.64","210,104,590.09","194,942,798.82","428,225,952.28","192,717,481.01","130,857,293.30","132,910,875.48","107,837,558.88","128,358,048.81","98,492,263.59","104,863,154.14","41,901,543.19","17,382,870.99","56,939,062.35","105,652,780.19","1,007,163,155.77","924,765,799.72","1,389,897,356.83","1,987,239,424.99","2,127,712,258.75","2,788,573,758.96","1,296,390,729.45","2,889,879,878.13","2,614,349,350.13","1,974,801,031.10","1,148,148,314.86","1,917,925,052.80","1,792,754,720.96","3,095,863,683.60","3,380,486,553.50","3,539,094,834.53","3,454,682,439.85","2,983,436,302.19","1,794,813,825.10","1,925,976,380.42","2,096,832,291.74","3,143,618,078.58"
预收款项,"5,155,319,111.10","5,087,209,033.25","6,050,947,747.71","7,315,598,837.63","8,931,010,531.40","10,807,208,725.84","6,531,619,312.74","4,959,176,901.32","3,353,333,117.93","5,781,514,231.84","6,689,466,299.10","4,830,903,052.47","6,303,380,186.72","4,485,345,665.55","5,293,279,776.99","6,468,074,532.86","6,938,079,915.02","6,137,614,807.25","5,765,453,574.90","5,612,079,082.95","5,702,903,525.66","4,672,914,945.60","6,531,527,982.41","6,106,061,896.96","4,067,408,203.20","3,386,306,757.70","3,260,622,437.92","4,061,688,881.61","3,736,224,546.76","3,706,514,179.88","3,953,484,585.14","3,967,240,324.38","3,948,945,602.99","3,430,364,838.19","3,427,791,002.38","3,360,650,972.92","4,605,755,182.98","4,727,603,077.11","4,039,128,949.20"
