科目,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
应收利息,,,,,,"303,196.14",,,,,,,,,,"717,260.27",,,,,,"711,750.00","816,750.00","1,042,571.92","3,426,821.92","3,426,821.92","5,271,719.18","5,665,136.71","7,844,201.09","7,509,762.74","11,175,906.58","13,308,203.60","11,659,023.01","12,485,754.47"
应付利息,,,,,,,,,,,,"248,777.17","118,356.16",,,,,,,,,,,,,,,"65,312.50",,,,,,
应收股利,,,,,,,,,,,,,,,,"379,197.23",,,,,,,,"720,000.00",,,,"720,000.00","180,000.00","360,000.00","540,000.00","720,000.00","180,000.00","360,000.00"
应付股利,,,,,,"21,837,600.00",,,,,"5,968,036.07",,,"6,564,839.70",,,,"72,373,321.41","38,471,519.79",,,"92,111,499.97",,,,"82,900,349.97",,,,"86,847,985.69",,"550,000.00",,"106,586,164.25"
存货,"4,569,374.44","5,345,907.46","6,775,292.15","6,650,011.59","6,736,449.06","7,178,636.95","6,767,233.37","468,020,126.78","472,642,510.65","476,009,413.22","855,305,864.67","860,305,422.18","904,828,175.82","909,479,849.20","915,927,118.78","938,943,505.02","948,624,491.64","952,481,296.52","987,967,596.84","1,000,757,511.01","1,038,634,613.30","1,102,060,249.36","1,217,433,867.20","1,344,983,203.82","1,426,031,442.15","1,485,990,542.04","1,595,212,656.74","1,799,684,885.20","1,842,591,590.05","1,778,488,378.94","1,865,013,599.51","920,977,398.00","902,409,104.99","886,743,988.54"
其他应付款,"585,266,043.53","556,083,868.34","540,598,152.47","151,494,501.17","189,694,436.50","169,505,305.69","188,406,155.23","165,403,211.02","155,645,290.99","153,727,320.11","158,172,682.85","412,792,621.98","379,097,001.48","384,968,435.43","391,661,054.87","182,291,225.13","190,956,348.17","216,152,482.02","224,729,080.88","228,203,132.73","254,895,317.01","285,417,852.57","243,853,908.67","255,573,215.20","252,527,732.47","252,309,278.91","246,332,310.91","667,054,020.79","624,079,071.11","603,549,614.07","559,109,852.85","547,655,755.82","530,371,661.91","508,910,780.84"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,"505,680,000.00","505,680,000.00","505,680,000.00","505,680,000.00","405,180,000.00","405,180,000.00","405,000,000.00","405,000,000.00","405,000,000.00","505,000,000.00","500,000,000.00","520,000,000.00","30,000,000.00","30,000,000.00",,,,,
其他流动资产,,,,,,,"149,837.03",,,,,,,,,,,,,,,,,"48,126,047.59","49,491,204.96","51,199,520.72","61,594,870.23","87,084,961.36","91,592,826.98","107,998,965.39","130,016,327.89","30,791,631.21","24,986,970.56","23,595,256.99"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"626,255,742.71","644,094,197.24","671,989,085.43","916,775,043.10","962,954,916.49","978,904,325.31","900,705,691.85","733,688,594.05","796,154,323.93","842,472,875.02","1,128,477,964.28","1,111,782,109.84","1,100,683,075.87","1,136,583,382.51","1,237,950,661.68","1,216,654,620.92","1,245,952,859.05","1,392,364,044.90","1,463,563,162.11","1,326,774,651.72","1,476,797,496.82","1,585,494,036.49","1,719,028,944.13","1,890,961,937.17","2,069,385,547.32","2,153,665,556.83","2,357,539,766.89","2,611,074,095.85","2,785,952,026.57","2,869,038,069.63","3,128,381,381.73","2,118,393,898.81","2,163,339,645.70","2,197,172,879.44"
流动负债合计,"663,191,703.67","643,283,129.62","632,824,570.23","212,927,430.13","236,831,536.13","241,241,493.47","237,073,591.18","236,327,924.43","242,974,628.88","239,664,723.39","264,481,856.32","570,665,708.64","519,809,138.88","486,192,954.72","486,558,710.95","741,101,413.23","759,774,541.48","831,130,641.06","824,643,461.36","677,231,818.15","750,545,188.28","889,782,141.11","969,084,451.39","1,062,182,799.60","1,154,879,093.07","1,260,439,311.08","1,364,834,862.41","1,604,560,756.24","1,710,238,878.86","1,821,649,530.41","1,955,165,936.88","792,084,426.03","756,636,188.64","828,026,194.02"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,"1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,"25,000,000.00","25,000,000.00","30,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","127,500,000.00","505,680,000.00","505,680,000.00","505,680,000.00","505,680,000.00","532,680,000.00","27,000,000.00","27,000,000.00","49,500,000.00","49,500,000.00","22,500,000.00","38,700,000.00","38,700,000.00","38,700,000.00","22,500,000.00","22,500,000.00","22,500,000.00","22,500,000.00","22,500,000.00","22,500,000.00",,,,,
长期股权投资,"730,769,731.42","734,266,345.09","750,039,412.22","17,056,708.18","14,328,238.18","44,856,637.21","138,351,012.47","338,761,810.93","335,934,702.99","336,337,059.36","335,721,694.73","663,972,160.59","663,406,131.76","664,886,820.96","665,096,319.71","921,942,625.33","972,114,601.06","1,011,549,835.78","1,021,827,841.79","918,370,752.96","935,063,026.23","977,037,669.35","1,003,994,332.99","1,022,913,846.00","1,053,657,798.28","1,102,352,580.58","1,131,302,065.42","1,098,641,054.74","1,135,204,199.79","1,187,964,238.17","1,192,218,411.99","1,165,798,089.03","1,200,492,113.25","1,248,715,379.58"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,"9,944,653.36","9,869,371.12","9,794,088.88","9,718,806.64","9,643,524.40","9,568,242.16","9,492,959.92","9,417,677.68","69,448,800.79","69,000,214.99","68,551,629.19","68,103,043.39","72,733,307.06","72,251,949.50","71,770,591.94"
预计负债,,,,,,,,,,,,,,,,,,,,"1,480,000.00","1,480,000.00","1,480,000.00",,,,,,"456,100.00","456,100.00","341,017.31","239,642.31","217,789.00","196,000.00","175,879.00"
