科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"60,654,070.19","72,482,197.96","93,906,559.64","103,758,286.54","153,045,618.33","90,270,225.15","98,019,022.05","213,502,981.29","140,693,857.77","94,892,885.38","111,423,350.44","119,351,950.01","161,052,796.14","174,791,888.94","134,587,362.64","97,214,851.25","129,624,787.93"
短期借款,"30,000,000.00","45,000,000.00","45,000,000.00",,,,,,,,,,,,,,
交易性金融资产,,,,"1,440.00","42,795.00",,,,,,,,,,,,
交易性金融负债,,,,"406,916.00",,"227,064.00",,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,
应收账款,"67,028,294.60","72,235,085.91","77,776,409.72","56,465,431.64","86,421,000.24","78,023,354.91","77,100,168.88","51,638,502.24","60,478,183.31","66,091,954.78","69,471,894.26","60,748,006.74","80,998,131.98","78,327,411.06","74,764,708.07","69,599,215.81","84,531,960.14"
应付账款,"46,689,030.59","51,629,592.80","59,257,145.97","47,666,987.04","63,209,223.34","54,964,862.54","57,417,773.09","38,550,972.52","45,516,928.66","41,913,207.20","54,311,950.91","46,676,422.65","57,794,653.43","63,113,851.91","59,518,263.20","54,440,603.72","63,922,159.33"
预付款项,"4,707,471.69","3,564,093.62","2,850,337.49","4,534,679.63","4,246,295.89","14,193,908.09","6,516,026.00","22,510,882.21","13,199,696.51","14,431,850.02","4,930,115.44","4,787,419.00","12,275,186.25","11,387,968.60","11,151,497.36","12,576,456.54","9,265,985.70"
预收款项,"11,684,849.81","10,761,665.63","6,892,194.98","6,513,849.17","7,098,516.89","8,308,918.24","5,611,842.93","9,702,476.32","7,237,224.32","4,839,476.76","10,514,219.11","11,948,070.01","8,401,851.60","8,949,207.23","9,623,496.77","15,151,665.16","12,076,110.72"
其他应收款,"10,943,369.27","13,524,187.75","14,221,201.55","7,845,977.99","6,514,916.64","11,546,502.83","11,515,634.73","9,940,932.58","6,950,390.00","6,441,660.05","6,967,348.48","6,061,570.75","7,322,476.93","8,681,128.33","7,905,134.01","11,816,559.03","8,635,769.80"
应付职工薪酬,"9,020,737.84","14,885,783.74","17,184,037.10","12,511,536.89","10,929,634.57","9,906,548.13","18,077,936.56","14,207,617.85","10,851,081.20","10,759,599.53","21,719,006.85","15,117,251.88","16,921,277.55","17,054,936.99","22,079,127.32","12,812,645.28","20,834,428.06"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"7,008,415.93","5,947,675.14","15,557,327.01","17,115,261.97","8,877,609.38","9,608,275.65","10,095,700.51","9,848,827.29","7,021,118.84","6,901,084.47","11,938,915.28","11,369,165.60","9,691,695.38","5,297,777.17","8,593,594.99","3,755,520.46","7,671,261.65"
应收利息,,,,"564,671.69","2,481,863.93","1,960,537.86","3,834,588.81","2,936,142.47","2,668,490.41","1,717,451.64","3,154,062.53","1,866,643.35","2,130,588.56","2,475,168.20","846,058.11","1,951,341.97","565,150.69"
应付利息,"123,088.02","111,323.44","73,500.00",,,,,,,,,,,,,,"51,893.76"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,"10,500,000.00",,,,"7,637,400.00",,,,,,,"5,424,300.00",,,,
存货,"50,774,097.71","63,866,408.16","55,926,361.87","69,854,692.37","70,402,185.36","73,398,664.74","59,623,020.66","74,621,505.03","74,147,122.16","83,584,100.37","74,568,990.62","91,860,946.11","84,139,478.11","103,186,899.73","75,184,798.73","93,600,467.03","78,955,472.68"
其他应付款,"1,332,913.60","3,119,833.83","2,212,598.75","2,542,313.80","2,349,847.46","2,350,782.26","3,073,681.24","3,008,169.23","2,969,114.50","2,869,761.15","3,235,832.29","2,183,998.45","2,451,186.14","10,165,555.69","3,792,918.11","3,340,496.40","18,810,525.39"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"27,000,000.00","20,250,000.00",,,,,,,,,,,,,,,"4,180,000.00"
其他流动资产,,,,"300,000,000.00","256,442,387.82","308,780,000.00","327,117,249.26","196,025,604.49","276,258,417.93","325,250,015.80","336,483,514.20","310,092,682.51","240,203,782.60","220,077,693.61","272,752,308.60","271,280,073.01","174,041,169.20"
其他流动负债,,,"688,436.00",,,,,,,,,,,,,,
