科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"123,456,587.64","270,978,388.16","178,028,514.85","281,972,284.21","391,330,814.19","64,752,955.48","180,542,604.91","311,589,517.78","530,086,613.25","107,036,824.62","255,159,782.34","405,336,874.10","642,045,367.58","119,934,104.72","283,001,572.36","444,489,536.78","663,931,002.96","172,088,588.84","468,769,698.82","792,069,306.74","1,353,249,279.90","317,528,807.85","745,029,424.85","1,291,551,293.48","1,932,054,240.13","460,101,765.54","999,017,059.79","1,513,692,801.57","3,001,981,471.73","875,029,892.75","2,329,325,594.38","3,105,028,657.75","6,108,506,278.53","941,934,154.33","2,618,881,876.01","3,801,798,356.50","5,104,997,737.80"
二、营业利润,"19,241,737.57","69,922,732.17","42,565,886.49","70,237,346.18","95,087,683.55","17,676,251.61","41,490,783.91","75,844,821.91","127,127,952.24","24,038,882.61","56,275,149.49","84,051,509.73","119,393,539.43","17,123,920.04","41,059,619.25","65,555,018.97","85,326,421.95","23,866,097.95","63,127,584.93","111,429,736.83","141,079,629.38","39,936,898.88","84,161,650.68","150,246,435.32","191,141,383.45","52,344,348.21","75,572,778.83","92,445,391.85","134,589,321.13","50,351,901.68","91,569,223.24","112,749,659.11","175,306,234.29","30,817,922.53","68,371,971.22","87,893,841.28","232,419,983.50"
减:营业成本,"90,883,717.03","174,728,819.44","116,191,782.24","183,220,312.56","253,088,862.26","40,576,893.54","114,424,130.61","195,883,116.82","340,392,989.03","62,995,121.25","157,466,755.06","259,668,404.37","423,130,617.61","81,874,870.13","189,546,951.45","293,242,678.07","439,889,860.25","115,658,645.34","314,774,698.21","537,461,666.73","960,078,528.36","225,265,472.26","535,673,981.10","940,515,867.21","1,399,740,932.44","345,465,305.28","751,267,572.47","1,118,558,204.12","2,277,053,198.06","639,852,089.55","1,774,748,491.81","2,280,054,728.05","4,797,066,641.88","690,056,732.36","2,036,287,198.62","2,928,197,624.82","3,809,498,001.38"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,"1,858,600.07","2,842,503.68","4,021,266.94",,"701,904.38","1,049,965.64","2,928,684.78","364,655.70","648,208.67","1,913,647.51","4,055,023.49","1,348,291.00","4,112,340.15","6,127,069.40","8,321,700.97","1,151,093.88","3,297,706.38","5,612,005.24","11,557,192.30","3,101,597.58","6,743,820.95","10,580,488.62","22,820,567.00","5,147,731.31","13,012,006.71","22,242,207.87","56,867,618.75","2,349,948.45","12,666,161.59","19,729,249.29","48,358,968.41"
营业外收入,"580,000.00","371,354.71","1,576,000.00","1,772,174.36","3,052,174.36","671,850.00","1,575,491.03","2,789,813.30","5,833,416.43","19,600.00","45,600.00","1,058,804.10","4,943,708.78","149,190.00","449,764.00","1,387,774.89","10,492,510.28","1,319,880.57","2,200,912.20","2,827,934.88","13,447,927.49","1,213,618.54","3,647,319.12","7,265,550.01","21,239,644.03","783,250.56","22,892,552.88","40,976,671.76","25,144,840.00","1,915,039.81","7,384,844.62","12,861,966.75","43,694,885.62","5,632,250.05","19,312,313.33","42,426,887.03","64,107,436.94"
销售费用,"6,047,585.96","10,702,371.35","7,704,914.80","12,513,107.88","19,414,315.94","3,892,377.37","10,921,656.20","19,625,103.59","29,826,251.21","10,247,801.73","17,628,576.38","27,372,151.27","39,990,560.74","10,891,060.21","23,245,127.30","37,454,760.02","60,240,938.49","14,282,132.38","31,736,191.39","57,273,361.91","103,747,573.75","21,815,060.57","47,638,133.73","81,659,583.98","119,048,787.25","23,084,180.84","59,460,765.66","100,290,764.28","190,724,324.18","76,757,975.30","172,258,962.70","271,186,462.32","423,683,240.11","92,030,055.21","213,228,612.39","322,987,658.84","475,371,181.21"
减:营业外支出,"140,395.20","1,918.99","98,519.27","98,859.96","99,044.41","20,229.52","61,409.52","66,409.52","66,409.52","60,000.00","98,084.42","107,881.08","231,819.44",,60.00,"20,060.00","79,196.03","641,206.75","688,703.25","718,503.25","718,503.25","48,292.00","487,322.39","584,419.74","741,407.29","372,984.27","430,154.38","546,957.81","1,260,446.62","341,478.38","2,293,798.72","2,594,963.98","3,762,767.59","129,571.67","811,060.30","1,528,852.62","2,501,830.62"
管理费用,"4,599,158.08","8,662,003.65","6,890,258.15","11,001,289.25","16,908,296.16","6,492,391.38","13,282,324.07","19,255,477.99","25,578,951.38","12,318,463.91","22,691,332.55","35,345,248.34","53,143,317.55","12,054,775.02","31,596,230.88","50,949,561.78","72,390,379.07","17,478,894.83","42,854,501.09","68,644,994.15","109,989,492.00","28,015,307.57","61,694,075.84","96,853,867.83","149,661,337.98","32,141,687.97","75,630,669.82","152,795,872.51","272,650,641.91","90,996,055.63","202,591,814.98","332,439,955.55","501,285,637.59","108,318,245.93","248,102,882.53","385,751,107.40","598,264,545.10"
其中:非流动资产处置净损失,,,,,"9,670.03",,,,,,,,"40,578.42",,,,"24,136.03",,"112,349.22","112,349.22","112,349.22",,"27,684.00","-32,082.69","60,974.77",,"60,840.21","92,784.92","299,532.44",,"2,288,060.21","2,223,042.81","2,997,983.00",,"250,176.95","916,412.28",
