科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"691,254,527.21","657,391,839.13","645,311,143.35","110,578,826.43","245,892,458.97","423,382,564.55","528,042,455.04","138,023,274.42","288,389,622.42","469,547,434.77","516,497,023.33","128,950,861.01","288,217,020.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"2,049,988.19","3,350,782.25","2,901,943.14","132,743.80","646,783.60","1,303,435.01","1,386,284.33","121,329.98","967,688.49","1,550,560.04","2,850,371.84","1,055,615.86","2,172,795.22"
支付其他与投资活动有关的现金,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,308,697.58","10,670,531.13","11,643,475.20","5,157,262.18","11,518,665.17","9,192,019.97","8,231,442.26","7,494,736.20","13,732,058.92","18,524,868.83","11,894,102.02","2,851,850.00","5,066,828.79"
投资活动现金流出小计,"48,904,032.42","64,692,257.03","51,166,625.17","14,877,265.57","25,736,005.82","59,625,869.13","51,111,818.66","40,818,239.83","49,657,448.32","62,100,389.94","56,832,832.66","14,592,659.62","27,672,893.50"
经营活动现金流入小计,"702,613,212.98","671,413,152.51","659,856,561.69","115,868,832.41","258,057,907.74","433,878,019.53","537,660,181.63","145,639,340.60","303,089,369.83","489,622,863.64","531,241,497.19","132,858,326.87","295,456,644.29"
投资活动产生的现金流量净额,"-48,573,906.92","-64,516,264.03","-51,116,665.17","-14,876,265.57","-25,735,005.82","-59,581,569.13","-50,554,518.66","-40,818,239.83","-49,657,448.32","-62,100,389.94","-56,818,832.66","-14,592,559.62","-27,657,508.50"
购买商品、接受劳务支付的现金,"499,451,344.93","456,771,667.61","412,620,356.34","112,577,664.02","163,401,604.66","305,912,594.22","335,953,061.27","156,449,767.25","241,269,080.16","395,331,776.07","295,431,494.79","147,132,283.69","232,999,579.99"
吸收投资收到的现金,,,,"203,152,000.00","203,152,000.00","203,152,000.00","203,152,000.00",,,,,,
支付给职工以及为职工支付的现金,"71,236,696.67","76,496,470.88","79,254,197.92","22,987,391.26","43,986,204.00","64,775,819.58","88,030,500.25","25,053,241.91","44,759,337.38","66,118,653.06","95,471,675.79","24,621,405.93","44,837,405.86"
取得借款收到的现金,"252,695,000.00","299,781,312.72","208,158,710.53","55,000,000.00","65,000,000.00","75,000,000.00","88,000,000.00","66,000,000.00","66,000,000.00","122,000,000.00","132,000,000.00","106,499,820.68","153,499,820.68"
支付的各项税费,"33,640,541.34","42,490,400.79","44,728,557.37","7,230,357.32","17,170,313.65","27,531,328.44","35,215,284.94","6,545,197.25","10,768,334.30","14,339,562.54","22,515,220.13","6,431,441.06","10,659,322.74"
收到其他与筹资活动有关的现金,"43,001,044.64","33,928,397.89","35,518,728.29","25,816,041.64","40,359,206.45","78,257,675.42","41,063,269.77","35,330,804.00","43,749,906.40","71,187,786.40","2,282,947.87","29,586,500.00","65,611,500.00"
支付其他与经营活动有关的现金,"42,130,019.37","48,402,168.48","45,038,358.77","10,360,201.39","21,989,934.35","28,667,907.23","44,327,846.34","10,810,535.07","18,017,231.08","25,278,332.23","38,656,380.39","8,425,079.78","15,095,987.18"
筹资活动现金流入小计,"295,696,044.64","333,709,710.61","243,677,438.82","283,968,041.64","308,511,206.45","356,409,675.42","332,215,269.77","101,330,804.00","109,749,906.40","193,187,786.40","134,282,947.87","136,086,320.68","219,111,320.68"
经营活动现金流出小计,"646,458,602.31","624,160,707.76","581,641,470.40","153,155,614.00","246,548,056.66","426,887,649.47","503,526,692.80","198,858,741.48","314,813,982.92","501,068,323.90","452,074,771.10","186,610,210.46","303,592,295.77"
