科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"60,157,923.47","56,793,751.74","103,155,711.93","514,783,303.84","484,134,735.43","446,444,152.41","491,937,888.36","467,310,738.21","438,813,191.34","377,308,051.11","349,956,968.54","339,147,266.52","304,157,405.60","250,545,789.62","250,034,873.92","230,927,741.49","212,434,600.03","192,293,250.40","236,704,896.25","192,354,442.89","199,730,527.07","202,152,845.19","216,082,118.71","227,663,015.06","212,075,984.62","253,886,317.78","269,954,671.36","207,603,196.25","243,962,949.66","204,445,812.80","334,731,190.46","272,960,910.72","626,762,995.30","474,861,415.20"
短期借款,,,,,,,,,,,,,,,"8,500,000.00","8,500,000.00","10,500,000.00","10,500,000.00","8,500,000.00","8,500,000.00","6,000,000.00","6,000,000.00","1,000,000.00","1,000,000.00",,"85,000,000.00","422,756,200.00","366,409,000.00","473,709,000.00","238,409,000.00","321,000,000.00","300,500,000.00","434,911,259.20","347,672,660.41"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,000,000.00","223,400.00","1,000,000.00","1,420,000.00","1,900,000.00","2,610,000.00","2,814,825.00","12,569,117.47","6,308,775.95","11,957,301.00","16,135,909.00","9,809,859.00","10,734,170.00","13,212,362.00","15,448,961.77","29,270,306.07","27,549,609.57","23,999,298.50","26,715,237.00","27,816,664.34","18,813,473.04","22,220,569.30","28,280,787.36","32,303,152.09","27,466,627.49","21,275,074.40","23,668,909.69","19,949,006.06","15,595,173.39","13,365,920.38","10,253,110.00","5,309,330.30","12,321,373.25","14,751,230.99"
应付票据,"26,734,681.32","21,231,058.57","54,623,974.59","34,611,967.55","22,451,922.24","21,360,849.81","25,341,957.43","27,626,270.01","25,137,033.45","28,862,585.47","48,380,655.07","37,989,487.04","36,739,042.17","43,358,022.21","44,833,611.37","53,870,075.20","60,586,861.29","73,603,742.59","92,945,966.92","71,791,783.02","62,442,520.11","61,549,060.97","58,002,888.18","51,052,426.08","38,891,664.90","117,860,244.07","95,043,037.10","136,156,199.02","93,174,466.36","126,931,568.94","136,682,658.45","185,741,817.03","99,558,415.94","138,093,161.29"
应收账款,"26,856,217.45","37,867,870.44","49,978,162.82","57,681,950.13","74,739,323.07","95,446,272.45","189,297,316.95","168,255,800.50","168,830,869.10","215,400,811.74","200,632,421.85","177,023,784.91","216,528,382.00","220,357,061.41","233,415,227.97","216,405,011.42","198,830,467.38","287,538,515.16","276,156,075.95","279,670,143.69","269,397,539.79","301,604,583.37","290,240,280.81","265,201,537.94","271,814,012.52","343,359,759.61","1,060,931,011.06","1,158,176,645.31","1,240,487,764.91","451,003,483.43","491,364,059.59","498,839,629.81","532,221,735.58","560,404,688.14"
应付账款,"19,121,554.29","23,488,231.55","18,996,705.25","20,124,238.10","14,816,572.20","20,137,050.30","87,728,704.00","65,188,959.12","76,214,946.28","69,429,163.38","59,129,315.19","50,952,485.31","65,323,376.26","76,343,635.71","67,515,751.92","64,293,483.44","62,586,563.01","125,377,725.57","86,929,080.68","113,548,009.30","92,658,426.18","108,763,187.86","95,429,433.32","85,015,088.48","94,745,106.12","145,255,923.65","412,808,712.59","429,950,278.61","433,413,148.52","233,326,619.13","250,761,220.02","244,276,785.49","237,589,718.26","248,685,489.02"
预付款项,"6,436,724.51","2,222,459.96","3,425,466.43","7,954,817.51","5,159,204.68","7,083,173.35","5,859,164.46","2,337,546.23","7,929,078.66","24,775,598.05","32,283,818.78","32,012,605.16","43,649,250.77","12,818,192.56","15,791,912.16","21,245,731.96","27,005,107.88","26,843,435.75","17,561,657.80","37,470,367.14","17,915,088.69","23,910,147.95","7,283,721.56","9,457,944.80","10,590,362.91","16,979,944.35","57,818,063.06","84,294,547.36","53,382,310.82","16,488,986.07","10,674,451.89","36,088,390.09","30,185,236.98","82,998,610.72"
预收款项,"6,098,382.69","1,387,693.37","3,299,943.21","4,263,618.88","5,099,088.62","6,363,887.24","16,946,038.91","3,973,263.01","5,875,209.94","8,634,154.12","5,284,947.91","5,534,229.85","14,403,918.43","3,282,254.48","10,784,532.13","19,476,601.87","7,581,378.78","10,536,638.84","9,190,398.42","13,638,633.72","21,673,769.11","27,693,238.87","17,985,224.11","24,320,443.79","8,606,462.12","20,038,731.81","177,566,049.63","248,674,272.25","232,847,586.16","21,605,771.62","11,466,704.81","19,697,171.21","8,244,913.25","10,432,245.97"
