科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"130,855,005.99","157,444,760.24","77,356,920.35","131,326,436.51","192,628,457.94","42,220,384.07","94,850,310.06","141,907,263.29","209,223,824.52","50,985,058.63","111,695,590.67","208,545,508.04","329,613,895.06","88,557,933.56","209,707,977.32","324,618,629.30","446,190,762.34","113,607,601.03","245,625,929.62","405,423,034.10","595,824,559.40","139,696,856.75","282,880,477.00","435,165,708.59","643,276,536.89","146,898,827.77","319,047,385.54","501,828,763.75","707,128,616.37","180,456,560.64","390,977,753.72","584,051,814.88","795,219,624.88","189,252,196.62","457,767,018.63","616,369,655.81"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"177,461,586.31","175,264,849.67",,,,"5,757,454.56",,,"-11,638,543.09",,,,,"15,823,868.84",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,"2,664,974.38",,"926,902.57","43,276.66","43,276.66",,,,,"29,667.76","823,190.20",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"408,914,000.00",,,,,,,,,,,"81,593.42",,,,,,"220,191.23",,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,716,645.21","13,929,684.55","638,427.41","4,704,440.17","2,616,340.60","1,083,723.72","4,596,761.83","5,922,707.91","9,000,883.46","2,410,188.88","3,943,783.16","5,414,311.00","10,986,243.78","16,656,086.01","17,244,017.91","24,732,473.44","22,722,622.45","7,441,397.64","5,473,106.62","30,325,898.57","47,969,125.94","25,735,283.52","51,157,260.00","67,181,377.78","11,834,976.17","1,067,614.41","15,924,089.95","20,390,895.50","23,240,312.16","6,600,653.52","6,722,736.72","13,092,632.73","13,054,093.73","710,631.26","8,983,037.78","14,684,942.11"
投资活动现金流出小计,"7,542,778.30","4,344,180.47","6,879,633.64","12,844,188.03","11,739,148.39","102,783.70","420,233,842.10","17,650,384.76","50,335,943.76","33,690,287.57","223,623,420.60","212,537,655.00","214,984,157.91","9,067,625.30","31,948,958.61","39,602,472.09","30,361,597.98","42,837,155.76","57,725,611.65","42,912,085.34","237,512,860.00","9,790,185.41","45,433,193.24","86,931,173.72","99,419,278.57","25,272,189.95","101,084,771.21","104,077,703.95","241,950,378.10","33,450,483.15","83,699,353.32","243,575,759.79","531,802,286.63","14,150,703.27","51,093,722.07","127,880,089.83"
经营活动现金流入小计,"140,571,651.20","171,374,444.79","77,995,347.76","136,030,876.68","195,244,798.54","43,304,107.79","99,447,071.89","147,829,971.20","218,224,707.98","53,395,247.51","115,639,373.83","216,624,793.42","340,600,138.84","106,140,922.14","226,995,271.89","349,394,379.40","468,913,384.79","121,048,998.67","251,099,036.24","435,748,932.67","643,823,353.10","166,255,330.47","334,037,737.00","502,347,086.37","655,111,513.06","147,966,442.18","334,971,475.49","522,219,659.25","730,368,928.53","187,057,214.16","397,700,490.44","597,144,447.61","808,273,718.61","189,962,827.88","466,750,056.41","631,054,597.92"
投资活动产生的现金流量净额,"-7,540,978.30","-4,344,180.47","-6,878,633.64","-11,376,188.03","-10,793,847.39","-102,783.70","-419,013,611.02","-14,829,274.68","-47,514,833.68","-33,690,287.57","-223,623,420.60","-207,937,655.00","-210,384,157.91","-67,625.30","-22,948,958.61","-30,602,472.09","-20,952,718.75","-42,837,155.76","-57,725,611.65","-42,912,085.34","-117,375,113.32","-9,790,185.41","-45,075,193.24","-86,363,113.73","-98,799,996.94","-25,112,189.95","258,848,663.27","258,026,108.42","153,400,682.80","-6,230,169.74","-25,355,287.27","-182,838,286.22","-266,006,984.43","1,058,422.73","50,866,807.21","-48,816,397.08"
购买商品、接受劳务支付的现金,"43,179,695.67","47,108,401.69","50,942,495.37","79,030,847.61","90,776,949.16","3,028,849.39","18,026,594.15","30,274,934.37","43,937,090.34","12,582,237.20","29,861,214.87","52,922,853.47","84,410,261.12","28,705,590.42","55,315,262.68","96,544,162.37","113,146,696.86","54,112,786.05","121,576,825.91","192,058,203.50","331,040,190.87","80,617,094.49","185,320,531.42","280,475,109.05","381,763,577.09","64,790,582.70","105,267,235.93","228,183,375.19","231,765,735.79","43,141,322.16","121,443,408.29","193,672,054.80","216,997,706.39","71,613,637.83","112,357,865.96","159,595,745.03"
吸收投资收到的现金,,,,,,,"509,582,800.00","509,582,800.00","509,582,800.00",,,,,,,"262,500.00","262,500.00",,,,"9,978,796.41",,"40,227,960.00","40,227,960.00","90,227,960.00","2,754,000.00","256,836,016.33","257,436,016.33","253,770,229.54",,"3,838,414.99","4,466,128.03","5,448,551.61","600,000.00","2,510,000.00","2,850,000.00"
支付给职工以及为职工支付的现金,"9,257,337.84","10,908,668.00","6,623,849.66","10,007,601.98","13,087,170.51","4,106,478.42","10,150,435.10","14,104,366.75","21,361,055.98","5,568,621.24","12,240,492.00","25,046,564.08","38,798,814.62","14,949,373.26","30,715,086.36","49,948,982.70","71,384,305.96","23,633,876.52","41,903,091.93","64,687,059.61","87,005,411.12","26,026,355.74","46,519,194.37","69,522,815.03","93,580,200.16","20,647,326.72","50,284,746.96","71,035,486.86","96,465,300.25","39,332,601.01","77,099,159.32","117,942,578.77","159,489,784.92","44,241,366.39","113,256,578.24","143,326,063.39"
取得借款收到的现金,"55,000,000.00","45,000,000.00","45,000,000.00","53,500,000.00","75,000,000.00",,"20,000,000.00","40,000,000.00","50,000,000.00","20,000,000.00","65,000,000.00","75,000,000.00","75,401,926.87","7,327,931.13","7,298,331.87","25,744,537.07","66,755,705.48","370,000.00","30,370,000.00","50,370,000.00","90,370,000.00",,,"50,000,000.00","90,000,000.00","60,000,000.00","100,000,000.00","110,000,000.00","110,000,000.00","50,000,000.00","70,000,000.00","90,000,000.00","90,000,000.00","51,000,000.00","51,000,000.00","131,000,000.00"
支付的各项税费,"26,109,717.20","27,211,954.93","14,706,240.49","25,537,355.77","33,692,781.97","11,370,513.73","17,722,611.92","32,895,120.57","40,084,848.04","14,693,538.47","26,596,177.10","38,051,215.68","48,889,356.37","17,087,899.28","29,457,771.67","46,124,523.87","56,222,151.82","10,428,951.48","24,079,812.44","32,963,248.22","51,664,557.75","11,475,843.29","26,104,422.58","34,355,304.17","63,045,812.41","19,484,146.08","46,119,950.94","59,069,463.70","88,242,741.61","14,767,488.86","39,520,577.75","44,389,056.33","104,435,440.33","34,182,127.93","75,321,127.36","92,158,702.04"
收到其他与筹资活动有关的现金,,,,,,"509,582,800.00",,,,,,,,"58,103.44","67,704.51","198,488.83",,,,,,,,,,,,,,"483,443.52","489,578.88","55,883,113.60","493,422.72",,,"5,560,000.00"
支付其他与经营活动有关的现金,"44,178,376.68","49,672,370.58","28,349,074.39","31,003,366.01","59,783,777.56","15,362,824.11","25,686,310.58","36,909,058.73","63,643,331.34","13,077,247.58","36,255,102.83","56,820,671.80","92,749,813.99","21,685,390.97","48,704,743.72","71,765,884.73","142,276,497.90","29,481,644.90","62,558,931.77","121,712,408.25","145,930,021.42","46,312,479.65","67,132,818.05","98,822,801.82","65,846,254.13","19,867,668.01","48,278,087.81","94,304,935.76","155,735,511.91","57,504,989.98","90,050,727.22","140,960,766.76","178,506,910.25","42,860,194.72","136,042,136.64","179,085,321.63"
