科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"183,798,271.48","155,430,114.87","140,847,645.68","151,296,171.80","125,080,631.48","144,051,891.27","526,861,395.84","266,832,319.04","170,875,226.15","256,041,763.84","286,710,196.45",,"629,426,611.68","485,584,181.56","358,878,468.53","281,919,910.53","233,652,413.20"
短期借款,"114,200,000.00","105,164,672.19","128,132,130.21","186,214,019.03","194,113,884.20","216,687,721.47","232,335,266.07","251,293,175.03","278,963,506.54","257,902,781.94","215,156,435.79","285,422,128.67","293,912,401.87","241,276,397.95","205,894,584.90","184,335,339.86","158,588,238.57"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"20,767,617.14","43,438,113.88","66,664,669.56","46,654,669.32","50,392,613.99","105,938,804.72","98,798,426.51","72,378,411.02","79,790,543.01","111,505,040.61","102,555,048.22","83,787,211.91","109,066,443.50","152,437,825.55","160,527,260.41","134,447,703.77","160,170,738.76"
应付票据,"18,995,821.79","21,054,618.74",,,,,,,,,,,,,,,
应收账款,"130,474,473.81","278,221,819.60","278,404,148.04","363,977,710.28","385,636,640.24","311,177,159.69","352,682,912.75","462,665,136.18","436,431,933.85","410,382,417.17","424,425,351.72","568,365,137.31","588,713,796.77","543,909,984.36","521,747,597.25","721,501,902.56","766,322,527.44"
应付账款,"63,511,642.64","188,427,463.06","116,545,503.48","131,534,039.98","125,749,241.68","111,465,712.42","152,903,272.33","198,354,253.66","160,835,769.64","175,412,072.90","196,470,166.79","304,645,860.39","251,083,018.73","238,493,520.38","270,432,753.83","284,914,011.80","392,066,689.42"
预付款项,"4,068,827.03","6,585,612.45","2,586,129.09","3,605,072.02","1,709,062.52","2,055,946.96","4,139,817.67","2,758,591.56","6,438,765.96","8,588,096.32","9,507,611.72","10,666,098.92","4,928,634.33","5,345,524.53","12,203,668.79","14,953,691.48","15,776,042.62"
预收款项,"1,079,790.33","1,343,032.74","774,325.13","1,020,119.41","1,171,695.52","1,149,077.26","1,797,044.05","1,481,808.44","1,763,829.00","2,450,532.00","2,565,094.21","2,768,533.89","3,529,160.91","2,490,641.14","2,505,850.26","1,811,917.48","2,739,364.85"
