科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"62,092,631.74","112,696,840.29","34,290,527.55","63,141,529.63","122,545,680.37","28,770,851.25","63,064,709.45","107,441,052.17","196,353,013.10","40,578,459.15","90,861,772.02","170,278,902.97","342,564,627.21","83,912,260.52","183,473,470.05","316,414,707.74","503,483,665.47","113,793,895.75","227,501,526.55","351,699,459.79","559,532,697.97","136,430,842.31","285,171,426.40","417,707,089.73","706,519,171.41","224,721,598.32","419,218,234.65","647,153,684.50","1,070,921,770.19","250,237,072.90","501,681,422.88","794,726,096.99","1,247,048,128.48","348,566,260.79","731,053,908.38","1,083,771,095.37","1,614,289,920.04","390,444,010.74","769,528,211.87"
取得子公司及其他营业单位支付的现金净额,"608,356.03",,,,"3,000,000.00",,"17,653,846.83","17,653,846.83","17,653,846.83","7,726,483.40","14,526,483.40","14,526,483.40","18,105,367.40",,,,,,,"1,200,000.00",,,,,,,,,,,,,"122,373,599.73",,,,"135,094,500.00",,
收到的税费返还,"569,812.17","1,372,157.92","857,997.49","870,894.46","1,520,950.30","713,174.27","931,571.10","1,287,332.42","1,603,150.83","1,131,353.73","1,131,353.73","1,131,353.73","2,369,443.26",,"378,678.34","584,317.87","877,629.01","883,084.33","1,141,037.37","4,332,958.35","1,505,332.69","4,269,028.26","667,008.42","922,990.12","7,584,449.66","64,680.82","700,809.19","700,809.19","1,064,539.87","41,660.98","80,906.23","680,670.70","908,261.27","176,440.37","206,440.37","452,892.25","1,153,918.58","800,000.00","12,569,451.16"
支付其他与投资活动有关的现金,,,,,,"71,067,414.86","70,000,000.00","70,000,000.00","70,000,000.00",,,,"40,220,000.00",,,,"8,491,740.00","10,050,000.00","22,050,000.00","22,050,000.00","25,760,000.00",,,,"30,000,000.00","3,500,000.00","3,500,000.00","5,210,000.00","50,000,000.00","360,000.00","25,660,000.00","65,660,000.00","205,389,478.53",,"123,050,000.00","186,050,000.00","251,050,000.00","53,000,000.00","53,000,000.00"
收到其他与经营活动有关的现金,"551,772.24","1,011,644.53","1,556,965.69","2,602,430.45","3,072,350.38","2,813,271.46","3,288,178.80","3,802,706.79","4,579,499.07","2,752,908.54","9,919,435.67","14,843,746.08","12,762,569.61","8,780,861.85","11,658,547.08","13,031,537.74","15,878,638.88","771,481.75","1,721,530.87","3,007,794.27","9,582,273.52","2,022,420.62","6,800,464.90","7,258,080.02","14,609,799.09","6,568,202.75","12,779,324.78","15,637,307.82","21,639,758.42","3,409,475.16","14,854,949.60","20,888,923.63","36,847,155.47","11,718,660.34","22,816,559.56","30,793,433.91","39,758,221.71","19,214,932.69","44,917,783.04"
投资活动现金流出小计,"5,145,379.03","5,152,161.41","7,485,640.16","8,830,229.43","11,171,630.62","73,332,952.60","96,035,926.90","103,554,553.38","106,156,060.77","11,356,926.81","29,569,119.82","30,734,608.96","75,507,595.02","7,414,371.84","12,615,983.58","29,245,157.72","45,215,361.06","15,611,496.14","51,177,495.63","71,591,589.07","102,289,607.61","13,991,501.05","33,969,164.64","40,867,895.52","86,441,061.11","25,630,044.47","34,282,011.51","72,111,328.24","147,364,375.36","18,387,669.38","47,507,520.39","95,673,332.39","365,471,312.94","162,064,658.37","332,566,461.17","438,346,004.32","476,144,987.18","75,769,412.36","87,935,107.69"
经营活动现金流入小计,"63,214,216.15","115,080,642.74","36,705,490.73","66,614,854.54","127,138,981.05","32,297,296.98","67,284,459.35","112,531,091.38","202,535,663.00","44,462,721.42","101,912,561.42","186,254,002.78","357,696,640.08","92,693,122.37","195,510,695.47","330,030,563.35","520,239,933.36","115,448,461.83","230,364,094.79","359,040,212.41","570,620,304.18","142,722,291.19","292,638,899.72","425,888,159.87","728,713,420.16","231,354,481.89","432,698,368.62","663,491,801.51","1,093,626,068.48","253,688,209.04","516,617,278.71","816,295,691.32","1,284,803,545.22","360,461,361.50","754,076,908.31","1,115,017,421.53","1,655,202,060.33","410,458,943.43","827,015,446.07"
投资活动产生的现金流量净额,"-4,929,337.53","-4,857,703.84","-7,258,552.66","-8,551,950.09","-10,894,970.06","-72,801,659.50","-95,310,897.47","-102,609,950.68","-90,884,835.66","14,853,030.18","7,114,608.65","31,900,731.81","27,738,169.28","-6,676,759.87","-6,531,095.26","-22,943,343.77","-31,605,252.60","-5,633,637.55","-29,077,231.88","-47,973,043.13","-68,597,216.82","-13,466,277.93","-33,177,776.69","-39,913,788.04","-85,373,964.63","8,749,306.75","11,394,811.24","-25,741,533.29","-104,744,328.53","11,948,498.44","4,479,806.09","1,429,703.04","-127,021,741.95","-73,500,268.67","-113,382,674.31","-168,562,195.77","-146,337,498.80","4,406,837.70","-8,686,744.18"
购买商品、接受劳务支付的现金,"31,720,915.22","54,263,631.26","24,319,661.03","45,261,703.51","63,180,029.81","14,185,951.31","36,891,917.01","64,544,969.59","91,144,321.22","35,769,556.64","81,261,505.52","155,238,190.99","266,529,440.66","93,627,067.42","181,343,023.97","240,530,982.68","306,372,655.96","81,022,162.14","162,488,573.72","233,145,281.06","325,073,245.78","119,543,719.42","217,856,059.63","335,473,541.79","476,267,502.69","184,572,299.81","325,330,888.64","500,677,073.84","666,597,407.79","222,319,768.60","405,149,195.22","614,590,951.96","838,986,730.45","263,016,032.44","532,016,087.54","758,698,940.19","1,084,238,261.48","354,844,933.55","551,347,171.38"
吸收投资收到的现金,,"22,200,000.00",,,"184,702,000.00",,"200,000.00","200,000.00","200,000.00","400,000.00","4,400,000.00","4,400,000.00","4,880,000.00",,,"600,000.00","600,000.00","3,080,000.00","3,080,000.00","94,315,312.59","94,748,677.29","1,600,000.00","4,600,000.00","5,000,000.00","5,150,000.00","150,000.00","1,110,000.00","1,350,000.00","1,350,000.00",,,,,,,,,,
